,Concept_ID,mn,ro
0,Auge::N,нүд,ochi
1,Ohr::N,чих,ureche
2,Nase::N,хамар,nas
3,Mund::N,ам,gură
4,Zahn::N,шүд,dinte
5,Zunge::N,хэл,limbă
6,Lippe::N,уруул,buză
7,Wange::N,хацар,bucă
8,Wange::N,хацар,obraz
9,Gesicht::N,царай,față
10,Gesicht::N,царай,figură
11,Gesicht::N,нүүр,față
12,Gesicht::N,нүүр,figură
13,Stirn::N,дух,frunte
14,Haar::N,үс,păr
15,Schnurrbart::N,дээд сахал,mustață
16,Schnurrbart::N,живэр сахал,mustață
17,Bart::N,сахал,barbă
18,Kinn::N,эрүү,bărbie
19,Kiefer[Anatomie]::N,эрүү,falcă
20,Kehle::N,хоолой,beregată
21,Hals::N,хүзүү,gât
22,Genick::N,шил,ceafă
23,Genick::N,хүзүү,ceafă
24,Kopf::N,толгой,cap
25,Rücken::N,ар,dos
26,Rücken::N,ар,spate
27,Rücken::N,ар,spinare
28,Rücken::N,нуруу,dos
29,Rücken::N,нуруу,spate
30,Rücken::N,нуруу,spinare
31,Bauch::N,хэвлий,burtă
32,Bauch::N,хэвлий,pântece
33,Bauch::N,гэдэс,burtă
34,Bauch::N,гэдэс,pântece
35,Nabel::N,хүйс,buric
36,Busen::N,хөх,sân
37,Brust::N,цээж,piept
38,Schulter::N,мөр,umăr
39,Schulter::N,мөр,spate
40,Schulter::N,бугалга,umăr
41,Schulter::N,бугалга,spate
42,Arm::N,гар,braț
43,Ellenbogen::N,тохой,cot
44,Hand::N,гар,mână
45,Hand::N,алга,mână
46,Handfläche::N,алга,palmă
47,Finger::N,хуруу,deget
48,Fingernagel::N,хурууны хумс,unghie
49,Nagel[Anatomie]::N,хумс,unghie
50,Zeh::N,хуруу,deget de la picior
51,Fuß::N,хөл,picior
52,Ferse::N,өсгий,călcâi
53,Knie::N,өвдөг,genunchi
54,Oberschenkel::N,гуя,coapsă
55,Bein::N,хөл,picior
56,Körper::N,бие,corp
57,Haut::N,арьс,piele
58,Blut::N,цус,sânge
59,Ader::N,судас,vână
60,Ader::N,судас,arteră
61,Sehne::N,бүлх,tendon
62,Sehne::N,шандас,tendon
63,Knochen::N,яс,os
64,Gehirn::N,тархи,creier
65,Herz::N,зүрх,inimă
66,Magen::N,ходоод,stomac
67,Leber::N,элэг,ficat
68,Atem::N,амьсгаа,răsuflare
69,Atem::N,амьсгаа,respirație
70,Hunger::N,өлсгөлөн,foame
71,Träne::N,нулимс,lacrimă
72,Geschmack::N,амт,gust
73,Geruch::N,үнэр,miros
74,Schlaf::N,нойр,somn
75,Traum::N,зүүд,vis
76,Himmel::N,тэнгэр,cer
77,Himmel::N,огторгуй,cer
78,Sonne::N,нар,soare
79,Mond::N,сар,lună
80,Stern::N,од,stea
81,Luft::N,агаар,aer
82,Wind::N,салхи,vânt
83,Welle::N,долгио,val
84,Welle::N,долгио,undă
85,Welle::N,давалгаа,val
86,Welle::N,давалгаа,undă
87,Wasser::N,ус,apă
88,Stein::N,чулуу,piatră
