,Concept_ID,ja,no
0,Auge::N,目,øye
1,Ohr::N,耳,øre
2,Nase::N,鼻,nese
3,Mund::N,口,munn
4,Zahn::N,歯,tann
5,Zunge::N,舌,tunge
6,Lippe::N,唇,leppe
7,Wange::N,頬,kinn
8,Gesicht::N,顔,fjes
9,Gesicht::N,顔,ansikt
10,Stirn::N,額,panne
11,Haar::N,髪,hår
12,Schnurrbart::N,口髭,bart
13,Bart::N,髭,skjegg
14,Kinn::N,顎,hake
15,Kiefer[Anatomie]::N,顎,kjeve
16,Kehle::N,喉,strupe
17,Hals::N,首,hals
18,Genick::N,首,nakke
19,Kopf::N,頭,hode
20,Rücken::N,背中,rygg
21,Bauch::N,腹,buk
22,Bauch::N,腹,mage
23,Bauch::N,お腹,buk
24,Bauch::N,お腹,mage
25,Nabel::N,へそ,navle
26,Busen::N,乳房,barm
27,Brust::N,胸,bryst
28,Schulter::N,肩,skulder
29,Arm::N,腕,arm
30,Ellenbogen::N,肘,albue
31,Hand::N,手,hånd
32,Handfläche::N,手のひら,håndflate
33,Finger::N,指,finger
34,Fingernagel::N,爪,fingernegl
35,Nagel[Anatomie]::N,爪,negl
36,Zeh::N,足の指,tå
37,Fuß::N,足,fot
38,Ferse::N,かかと,hæl
39,Knie::N,膝,kne
40,Oberschenkel::N,上腿,lår
41,Bein::N,足,bein
42,Körper::N,体,kropp
43,Körper::N,体,legeme
44,Haut::N,皮膚,hud
45,Haut::N,皮膚,skinn
46,Blut::N,血,blod
47,Ader::N,血管,åre
48,Sehne::N,腱,sene
49,Knochen::N,骨,bein
50,Knochen::N,骨,knokkel
51,Gehirn::N,脳,hjerne
52,Herz::N,心,hjerte
53,Herz::N,心臓,hjerte
54,Magen::N,胃,mage
55,Leber::N,肝臓,lever
56,Atem::N,息,pust
57,Atem::N,呼吸,pust
58,Hunger::N,空腹,sult
59,Träne::N,涙,tåre
60,Geschmack::N,味,smak
61,Geruch::N,匂い,lukt
62,Schlaf::N,睡眠,søvn
63,Traum::N,夢,drøm
64,Himmel::N,空,himmel
65,Sonne::N,太陽,sol
66,Mond::N,月,måne
67,Stern::N,星,stjerne
68,Luft::N,空気,luft
69,Wind::N,風,vind
70,Welle::N,波,bølge
71,Wasser::N,水,vann
72,Stein::N,石,stein
73,Boden::N,土地,bakke
74,Erde::N,土,jord
75,Staub::N,埃,støv
76,Rauch::N,煙,røyk
77,Funke::N,火花,gnist
78,Feuer::N,火,ild
79,Licht::N,光,lys
80,Schatten::N,陰,skygge
81,Wetter::N,天気,vær
82,Nebel::N,霧,tåke
83,Wolke::N,雲,sky
84,Regen::N,雨,regn
85,Schnee::N,雪,snø
86,Eis::N,氷,is
87,Frost::N,霜,frost
88,Kälte::N,寒さ,kulde
89,Hitze::N,暑さ,hete
90,Raureif::N,霧氷,rimfrost
91,Regenbogen::N,虹,regnbue
92,Donner::N,雷,torden
93,Strömung::N,流れ,strømning
94,Tropfen::N,滴,dråpe
95,Schaum::N,泡,skum
96,Schmutz::N,汚れ,søl
97,Schmutz::N,汚れ,skitt
98,See::N,湖,sjø
99,Sumpf::N,沼,sump
100,Sumpf::N,沼,myrlende
101,Moor::N,湿原,myr
102,Moor::N,湿原,myrhei
103,Wiese::N,草原,eng
104,Wald::N,森,skog
105,Hügel::N,丘,haug
106,Hügel::N,丘,bakke
107,Anhöhe::N,高み,haug
108,Anhöhe::N,高み,bakke
109,Berg::N,山,berg
110,Berg::N,山,fjell
111,Gipfel::N,頂上,topp
112,Höhle::N,洞窟,hule
113,Abhang::N,斜面,li
114,Abhang::N,斜面,skråning
115,Quelle::N,泉,kilde
116,Bach::N,小川,bekk
117,Fluss::N,川,elv
