,Concept_ID,sk,sk
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,ústa,ústa
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jazyk
6,Lippe::N,pera,pera
7,Wange::N,líce,líce
8,Gesicht::N,tvár,tvár
9,Gesicht::N,tvár,obličaj
10,Gesicht::N,obličaj,tvár
11,Gesicht::N,obličaj,obličaj
12,Stirn::N,čelo,čelo
13,Haar::N,vlas,vlas
14,Schnurrbart::N,fúzy,fúzy
15,Bart::N,brada,brada
16,Kinn::N,brada,brada
17,Kiefer[Anatomie]::N,čeľusť,čeľusť
18,Kehle::N,hrdlo,hrdlo
19,Hals::N,krk,krk
20,Genick::N,väzy,väzy
21,Kopf::N,hlava,hlava
22,Rücken::N,chrbát,chrbát
23,Bauch::N,brucho,brucho
24,Nabel::N,pupok,pupok
25,Busen::N,prsia,prsia
26,Brust::N,hruď,hruď
27,Schulter::N,plece,plece
28,Arm::N,rameno,rameno
29,Ellenbogen::N,lakeť,lakeť
30,Hand::N,ruka,ruka
31,Handfläche::N,dlaň,dlaň
32,Finger::N,prst,prst
33,Fingernagel::N,necht,necht
34,Nagel[Anatomie]::N,necht,necht
35,Zeh::N,prst na nohe,prst na nohe
36,Fuß::N,noha,noha
37,Ferse::N,päta,päta
38,Knie::N,koleno,koleno
39,Oberschenkel::N,stehno,stehno
40,Bein::N,noha,noha
41,Körper::N,telo,telo
42,Haut::N,koža,koža
43,Blut::N,krv,krv
44,Ader::N,žila,žila
45,Sehne::N,šľacha,šľacha
46,Knochen::N,kosť,kosť
47,Gehirn::N,mozog,mozog
48,Herz::N,srdce,srdce
49,Magen::N,žalúdok,žalúdok
50,Leber::N,pečeň,pečeň
51,Atem::N,dych,dych
52,Hunger::N,hlad,hlad
53,Träne::N,slza,slza
54,Geschmack::N,chuť,chuť
55,Geruch::N,pach,pach
56,Schlaf::N,spánok,spánok
57,Traum::N,sen,sen
58,Himmel::N,nebo,nebo
59,Sonne::N,slnko,slnko
60,Mond::N,mesiac,mesiac
61,Stern::N,hviezda,hviezda
62,Luft::N,vzduch,vzduch
63,Wind::N,vietor,vietor
64,Welle::N,vlna,vlna
65,Wasser::N,voda,voda
66,Stein::N,kameň,kameň
67,Boden::N,zem,zem
68,Boden::N,zem,pôda
69,Boden::N,pôda,zem
70,Boden::N,pôda,pôda
71,Erde::N,zem,zem
72,Staub::N,prach,prach
73,Rauch::N,dym,dym
74,Funke::N,iskra,iskra
75,Feuer::N,oheň,oheň
76,Licht::N,svetlo,svetlo
77,Schatten::N,tieň,tieň
78,Wetter::N,počasie,počasie
79,Nebel::N,hmla,hmla
80,Wolke::N,oblak,oblak
81,Wolke::N,oblak,mračno
82,Wolke::N,mračno,oblak
83,Wolke::N,mračno,mračno
84,Regen::N,dážď,dážď
85,Schnee::N,sneh,sneh
86,Eis::N,ľad,ľad
87,Frost::N,mráz,mráz
88,Kälte::N,zima,zima
89,Kälte::N,zima,chlad
90,Kälte::N,chlad,zima
91,Kälte::N,chlad,chlad
92,Hitze::N,horúčava,horúčava
93,Raureif::N,srieň,srieň
94,Raureif::N,srieň,inovať
95,Raureif::N,inovať,srieň
96,Raureif::N,inovať,inovať
97,Regenbogen::N,dúha,dúha
98,Donner::N,hrom,hrom
99,Strömung::N,prúdenie,prúdenie
100,Tropfen::N,kvapka,kvapka
101,Schaum::N,pena,pena
102,Schmutz::N,špina,špina
103,Schmutz::N,špina,nečistota
104,Schmutz::N,nečistota,špina
105,Schmutz::N,nečistota,nečistota
106,See::N,jazero,jazero
107,Sumpf::N,bahno,bahno
108,Moor::N,močiar,močiar
109,Wiese::N,lúka,lúka
110,Wald::N,les,les
111,Wald::N,les,hora
112,Wald::N,hora,les
113,Wald::N,hora,hora
114,Hügel::N,vŕšok,vŕšok
115,Anhöhe::N,výšina,výšina
116,Anhöhe::N,výšina,vyvýšenina
117,Anhöhe::N,vyvýšenina,výšina
118,Anhöhe::N,vyvýšenina,vyvýšenina
119,Berg::N,hora,hora
120,Gipfel::N,vrchol,vrchol
121,Höhle::N,jaskyňa,jaskyňa
122,Abhang::N,úbočie,úbočie
123,Quelle::N,prameň,prameň
124,Bach::N,potok,potok
125,Fluss::N,rieka,rieka
126,Ufer::N,breh,breh
127,Küste::N,pobrežie,pobrežie
128,Festland::N,pevnina,pevnina
129,Meer::N,more,more
130,Bucht::N,záliv,záliv
131,Bucht::N,záliv,zátoka
132,Bucht::N,zátoka,záliv
133,Bucht::N,zátoka,zátoka
134,Insel::N,ostrov,ostrov
135,Blume::N,kvet,kvet
136,Blume::N,kvet,kvetina
137,Blume::N,kvetina,kvet
138,Blume::N,kvetina,kvetina
139,Gras::N,tráva,tráva
140,Wurzel::N,koreň,koreň
141,Baum::N,strom,strom
142,Stamm::N,kmeň,kmeň
143,Rinde::N,kôra,kôra
144,Ast::N,konár,konár
145,Zweig::N,vetva,vetva
146,Blatt::N,list,list
147,Birke::N,breza,breza
148,Kiefer[Baum]::N,sosna,sosna
149,Kiefer[Baum]::N,sosna,borovica
150,Kiefer[Baum]::N,borovica,sosna
151,Kiefer[Baum]::N,borovica,borovica
152,Weide[Baum]::N,vŕba,vŕba
153,Tanne::N,jedľa,jedľa
154,Horn::N,roh,roh
155,Feder::N,pero,pero
156,Fell::N,koža,koža
157,Fell::N,koža,kožušina
158,Fell::N,kožušina,koža
159,Fell::N,kožušina,kožušina
160,Flügel::N,krídlo,krídlo
161,Klaue::N,paznecht,paznecht
162,Kralle::N,pazúr,pazúr
163,Schwanz::N,chvost,chvost
164,Ei::N,vajce,vajce
165,Ei::N,vajce,vajíčko
166,Ei::N,vajíčko,vajce
167,Ei::N,vajíčko,vajíčko
168,Nest::N,hniezdo,hniezdo
169,Bau::N,nora,nora
170,Tier::N,zviera,zviera
171,Herde::N,stádo,stádo
172,Kuh::N,krava,krava
173,Bulle::N,býk,býk
174,Pferd::N,kôň,kôň
175,Schaf::N,ovca,ovca
176,Schwein::N,sviňa,sviňa
177,Hund::N,pes,pes
178,Katze::N,mačka,mačka
179,Bär::N,medveď,medveď
180,Eichhörnchen::N,veverička,veverička
181,Elch::N,los,los
182,Fuchs::N,líška,líška
183,Hase::N,zajac,zajac
184,Maus::N,myš,myš
185,Wolf::N,vlk,vlk
186,Vogel::N,vták,vták
187,Schwarm::N,roj,roj
188,Huhn::N,kurča,kurča
189,Huhn::N,kurča,sliepka
190,Huhn::N,sliepka,kurča
191,Huhn::N,sliepka,sliepka
192,Hahn::N,kohút,kohút
193,Gans::N,hus,hus
194,Adler::N,orol,orol
195,Ente::N,kačka,kačka
196,Ente::N,kačka,kačica
