,Concept_ID,ta,av
0,Auge::N,கண்,
1,Ohr::N,காது,гӏин
2,Nase::N,மூக்கு,мегӏер
3,Mund::N,வாய்,кӏал
4,Zahn::N,பல்,гӏус
5,Zunge::N,நாக்கு,мацӏ
6,Lippe::N,உதடு,кӏветӏ
7,Wange::N,கன்னம்,гӏоно
8,Gesicht::N,முகம்,гьумер
9,Stirn::N,முன்னெற்றி,нодо
10,Haar::N,முடி,рас
11,Schnurrbart::N,மீசை,михъ
12,Bart::N,தாடி,мегеж
13,Kinn::N,கீழதாடை,нилъу
14,Kiefer[Anatomie]::N,தாடை,чанагъ
15,Kehle::N,தொண்டை,щекъер
16,Hals::N,கழுத்து,габур
17,Genick::N,கழுத்து,гъванща
18,Kopf::N,தலை,бетӏер
19,Rücken::N,முதுகு,мугъ
20,Bauch::N,வயிறு,чехь
21,Nabel::N,தொப்புள்,цӏину
22,Busen::N,மார்பகம்,керен
23,Brust::N, மார்பு,керен
24,Schulter::N,தோள்பட்டை,гъажазубетӏер
25,Arm::N,கரம்,гъеж
26,Ellenbogen::N,முழங்கை,гӏункӏрукь
27,Hand::N,கை,квер
28,Handfläche::N,உள்ளங்கை,огъохъат
29,Handfläche::N,உள்ளங்கை,жанисахъат
30,Finger::N,விரல்,килищ
31,Fingernagel::N,விரல் நகம்,малъ
32,Nagel[Anatomie]::N,நகம்,малъ
33,Zeh::N,கால்விரல்,килищ
34,Fuß::N,கால்,хӏетӏ
35,Fuß::N,கால்,хӏетӏе
36,Ferse::N,குதிகால்,эгъе
37,Knie::N,முழங்கால்,наку
38,Oberschenkel::N,தொடை,мачӏ
39,Bein::N,கால்,бох
40,Körper::N,உடல்,къаркъала
41,Haut::N,சருமம்,тӏом
42,Blut::N,இரத்தம்,би
43,Ader::N,நாளம்,бидурихь
44,Sehne::N,தசைநார்,
45,Knochen::N,எலுமபு,ракьа
46,Gehirn::N,மூனை,гӏадалнах
47,Herz::N,இதயம,ракӏ
48,Magen::N,வயிறு,кванирукъ
49,Leber::N,கல்லீரல்,тӏул
50,Atem::N,மூச்சு,хӏухь
51,Hunger::N,பசி,ракъи
52,Träne::N,கண்ணீர்,магӏу
53,Geschmack::N,நறுமணம்,тату
54,Geruch::N,துர்நாற்றம்,махӏ
55,Schlaf::N,தூக்கம்,макьу
56,Traum::N,கனவு,макьу
57,Himmel::N,வானம்,зоб
58,Sonne::N,சூரியன்,бакъ
59,Mond::N,சந்திரன்,моцӏ
60,Stern::N,நட்சத்திரம்,цӏва
61,Luft::N,காறறு,гьава
62,Wind::N,காற்று,гьури
63,Welle::N,அலை,карачел
64,Wasser::N,நீர்,лъим
65,Stein::N,கல்,гьецӏо
66,Boden::N,தரை,ракь
67,Erde::N,மண்,ракь
68,Erde::N,மண்,дуниял
69,Staub::N,தூசி,хӏур
70,Rauch::N,புகை,кӏкӏуй
71,Funke::N,தீப்பொறி,
72,Feuer::N,தீ,цӏа
73,Licht::N,வெளிச்சம்,канлъи
74,Schatten::N,நிழல்,рагӏад
75,Wetter::N,வானிலை,гьава-бакъ
76,Nebel::N,பனிமூட்டம்,гӏодобнакӏкӏ
77,Wolke::N,மேகம்,накӏкӏ
78,Regen::N,மழை,цӏад
79,Schnee::N,உறைபனி,гӏазу
