,Concept_ID,br,cy
0,Auge::N,lagad,llygad
1,Ohr::N,skouarn,clust
2,Nase::N,fri,trwyn
3,Mund::N,genoù,ceg
4,Zahn::N,dant,dant
5,Zunge::N,teod,tafod
6,Lippe::N,muzell,gwefus
7,Wange::N,chot,boch
8,Gesicht::N,dremm,wyneb
9,Stirn::N,tal,talcen
10,Haar::N,blev,blew
11,Schnurrbart::N,mourenn,mwstas
12,Bart::N,barv,barf
13,Kinn::N,groñj,gên
14,Kiefer[Anatomie]::N,javed,gên
15,Kehle::N,gouzoug,gwddf
16,Hals::N,gouzoug,gwddf
17,Genick::N,choug,gwar
18,Genick::N,choug,gwegil
19,Kopf::N,penn,pen
20,Rücken::N,kein,cefn
21,Bauch::N,kof,bol
22,Nabel::N,begel,bogail
23,Busen::N,bronn,bron
24,Brust::N,bruched,brest
25,Schulter::N,skoaz,ysgwydd
26,Arm::N,brec'h,braich
27,Ellenbogen::N,ilin,penelin
28,Hand::N,dorn,llaw
29,Handfläche::N,palv,palf
30,Finger::N,biz,bys
31,Fingernagel::N,ivin,ewin
32,Nagel[Anatomie]::N,ivin,ewin
33,Zeh::N,biz-troad,bys troed
34,Fuß::N,troad,troed
35,Ferse::N,seul,sawdl
36,Knie::N,glin,glin
37,Oberschenkel::N,morzhed,clun
38,Bein::N,gar,coes
39,Körper::N,korf,corff
40,Haut::N,kroc'hen,croen
41,Blut::N,gwad,gwaed
42,Ader::N,gwazhi,gwythïen
43,Sehne::N,stir,gewyn
44,Knochen::N,askorn,asgwrn
45,Gehirn::N,empenn,ymennydd
46,Herz::N,kalon,calon
47,Magen::N,stomog,cylla
48,Magen::N,stomog,stumog
49,Leber::N,avu,iau
50,Atem::N,anal,anadl
51,Hunger::N,naon,newyn
52,Träne::N,daer,deigryn
53,Geschmack::N,blaz,cyflas
54,Geruch::N,c'hwezh,aroglau
55,Schlaf::N,kousked,cwsg
56,Traum::N,hune,breuddwyd
57,Himmel::N,oabl,awyr
58,Sonne::N,heol,haul
59,Mond::N,loar,lleuad
60,Stern::N,steredenn,seren
61,Luft::N,aer,awyr
62,Wind::N,avel,gwynt
63,Welle::N,houlenn,ton
64,Wasser::N,dour,dŵr
65,Stein::N,maen,carreg
66,Boden::N,tachenn,llawr
67,Erde::N,douar,pridd
68,Staub::N,poultr,llwch
69,Rauch::N,moged,mwg
70,Funke::N,ful,gwreichioni
71,Feuer::N,tan,tân
72,Licht::N,gouloù,golau
73,Schatten::N,disheol,cysgod
74,Wetter::N,amzer,tywydd
75,Nebel::N,brumenn,niwl
76,Wolke::N,koumoulenn,cwmwl
77,Regen::N,glav,glaw
78,Schnee::N,erc'h,ôd
79,Schnee::N,erc'h,eira
80,Eis::N,skorn,iâ
81,Frost::N,rev,rhew
82,Kälte::N,yen,oerni
83,Kälte::N,yen,annwyd
84,Hitze::N,tommder,gwres
85,Raureif::N,frim,barrug
86,Regenbogen::N,gwareg-ar-glav,enfys
87,Donner::N,kurun,tyrfau
88,Strömung::N,red,cerrynt
89,Tropfen::N,bannac'h,dafn
90,Tropfen::N,bannac'h,diferyn
91,Tropfen::N,takenn,dafn
92,Tropfen::N,takenn,diferyn
93,Schaum::N,spoum,ewyn
94,Schmutz::N,fank,baw
95,Schmutz::N,fank,budreddi
96,See::N,lenn,llyn
97,Sumpf::N,gwern,cors
98,Moor::N,taouarc'heg,rhos
99,Wiese::N,prad,dôl
100,Wald::N,koad,coedwig
101,Hügel::N,torgenn,bryn
102,Anhöhe::N,run,bryn
103,Berg::N,menez,mynydd
104,Gipfel::N,barr,copa
105,Höhle::N,kav,ogof
106,Abhang::N,naou,llethr
107,Quelle::N,feunteun,tarddiad
108,Quelle::N,feunteun,ffynhonnell
109,Bach::N,gwazh,nant
110,Bach::N,gwazh,afonig
111,Bach::N,gwazh,cornant
112,Fluss::N,stêr,afon
113,Ufer::N,ribl,glan
