,Concept_ID,he,is
0,Auge::N,עין,auga
1,Ohr::N,אזן,eyra
2,Nase::N,אף,nef
3,Nase::N,חטם,nef
4,Mund::N,פה,munnur
5,Zahn::N,שן,tönn
6,Zunge::N,לשון,tunga
7,Lippe::N,שפה,vör
8,Wange::N,לחי,kinn
9,Wange::N,לחי,vangi
10,Gesicht::N,פנים,andlit
11,Stirn::N,מצח,enni
12,Haar::N,שערה,hár
13,Schnurrbart::N,שפם,yfirskegg
14,Bart::N,זקן,skegg
15,Kinn::N,סנטר,haka
16,Kiefer[Anatomie]::N,לסת,kjálki
17,Kiefer[Anatomie]::N,לסת,skoltur
18,Kehle::N,גרון,kverk
19,Hals::N,צואר,háls
20,Genick::N,ערף,hnakki
21,Kopf::N,ראש,höfuð
22,Rücken::N,גב,hryggur
23,Bauch::N,בטן,kviður
24,Nabel::N,טבור,nafli
25,Busen::N,שד,barmur
26,Brust::N,חזה,brjóst
27,Schulter::N,כתף,öxl
28,Arm::N,זרוע,armur
29,Ellenbogen::N,מרפק,olnbogi
30,Hand::N,יד,hönd
31,Handfläche::N,כף יד,lófi
32,Finger::N,אצבע,fingur
33,Fingernagel::N,צפרן,fingurnögl
34,Nagel[Anatomie]::N,צפרן,nögl
35,Zeh::N,אצבע,tá
36,Fuß::N,רגל,fótur
37,Ferse::N,עקב,hæll
38,Knie::N,ברך,kné
39,Oberschenkel::N,ירך,læri
40,Bein::N,רגל,fótleggur
41,Körper::N,גוף,búkur
42,Körper::N,גוף,líkami
43,Haut::N,עור,húð
44,Haut::N,עור,skinn
45,Blut::N,דם,blóð
46,Ader::N,וריד,æð
47,Sehne::N,גיד,sin
48,Knochen::N,עצם,bein
49,Gehirn::N,מוח,heili
50,Herz::N,לב,hjarta
51,Magen::N,קבה,magi
52,Leber::N,כבד,lifur
53,Atem::N,נשימה,andi
54,Atem::N,נשימה,andardráttur
55,Hunger::N,רעב,hungur
56,Träne::N,דמעה,tár
57,Geschmack::N,טעם,smekkur
58,Geruch::N,ריח,lykt
59,Schlaf::N,שנה,svefn
60,Traum::N,חלום,draumur
61,Himmel::N,שמים,himinn
62,Sonne::N,שמש,sól
63,Mond::N,ירח,tungl
64,Stern::N,כוכב,stjarna
65,Luft::N,אויר,loft
66,Wind::N,רוח,vindur
67,Welle::N,גל,alda
68,Welle::N,גל,bylgja
69,Wasser::N,מים,vatn
70,Stein::N,אבן,steinn
71,Boden::N,קרקע,botn
72,Erde::N,אדמה,jörð
73,Staub::N,אבק,ryk
74,Staub::N,אבק,duft
75,Rauch::N,עשן,reykur
76,Funke::N,ניצוץ,neisti
77,Feuer::N,אש,eldur
78,Licht::N,אור,ljós
79,Schatten::N,צל,skuggi
80,Wetter::N,מזג אויר,veður
81,Nebel::N,ערפל,þoka
82,Wolke::N,ענן,ský
83,Regen::N,גשם,regn
84,Schnee::N,שלג,snjór
85,Eis::N,קרח,ís
86,Frost::N,צנה,frost
87,Kälte::N,קר,kuldi
88,Hitze::N,חם,hiti
89,Raureif::N,כפור,hrím
90,Regenbogen::N,קשת,regnbogi
91,Donner::N,רעם,þruma
92,Strömung::N,זרימה,straumur
93,Tropfen::N,טפה,dropi
94,Schaum::N,קצף,froða
95,Schmutz::N,לכלוך,óhreinindi
96,See::N,אגם,stöðuvatn
97,Sumpf::N,בצה,fen
98,Moor::N,בצה,mýri
99,Wiese::N,מרעה,engi
100,Wald::N,יער,skógur
101,Hügel::N,תל,hæð
102,Hügel::N,תל,hóll
103,Anhöhe::N,מעלה,hæð
104,Anhöhe::N,מעלה,hóll
105,Berg::N,הר,fell
106,Berg::N,הר,fjall
107,Gipfel::N,פסגה,tindur
108,Höhle::N,מערה,hellir
109,Abhang::N,מדרון,hlíð
110,Abhang::N,מדרון,brekka
111,Abhang::N,שפוע,hlíð
112,Abhang::N,שפוע,brekka
113,Quelle::N,מעין,lind
114,Quelle::N,מעין,uppspretta
115,Bach::N,נחל,lækur
116,Fluss::N,נהר,á
117,Fluss::N,נהר,fljót
118,Ufer::N,גדה,árbakki
119,Ufer::N,גדה,sjávarbakki
120,Küste::N,חוף,strönd
121,Festland::N,יבשה,meginland
122,Meer::N,ים,haf
123,Meer::N,ים,sjór
124,Bucht::N,מפרץ,vík
125,Insel::N,אי,eyja
126,Blume::N,פרח,blóm
127,Gras::N,דשא,gras
128,Wurzel::N,שרש,rót
129,Baum::N,עץ,tré
130,Stamm::N,גזע,stofn
131,Rinde::N,קלפת עץ,börkur
132,Ast::N,ענף,grein
133,Zweig::N,ענף,angi
134,Zweig::N,ענף,kvistur
135,Blatt::N,עלה,blað
136,Birke::N,שדר,birki
137,Kiefer[Baum]::N,ארן,fura
138,Weide[Baum]::N,ערבה,víðir
139,Tanne::N,אשוח,greni
140,Horn::N,קרן,horn
141,Feder::N,נוצה,fjöður
142,Fell::N,פרוה,skinn
143,Flügel::N,כנף,vængur
144,Klaue::N,טלף,kló
145,Kralle::N,טפר,kló
146,Schwanz::N,זנב,rófa
147,Schwanz::N,זנב,skott
148,Ei::N,ביצה,egg
149,Nest::N,קן,hreiður
150,Bau::N,מחלה,greni
151,Bau::N,מחלה,bæli
152,Tier::N,חיה,dýr
153,Herde::N,עדר,hjörð
154,Kuh::N,פרה,kýr
155,Bulle::N,פר,boli
156,Pferd::N,סוס,hestur
157,Schaf::N,כבשה,kind
158,Schwein::N,חזיר,svín
159,Hund::N,כלב,hundur
160,Katze::N,חתול,köttur
161,Bär::N,דב,björn
162,Eichhörnchen::N,סנאי,íkorni
163,Elch::N,דישון,elgur
164,Fuchs::N,שועל,refur
