,Concept_ID,mn,nl
0,Auge::N,нүд,oog
1,Ohr::N,чих,oor
2,Nase::N,хамар,neus
3,Mund::N,ам,mond
4,Zahn::N,шүд,tand
5,Zunge::N,хэл,tong
6,Lippe::N,уруул,lip
7,Wange::N,хацар,wang
8,Gesicht::N,царай,gelaat
9,Gesicht::N,царай,gezicht
10,Gesicht::N,нүүр,gelaat
11,Gesicht::N,нүүр,gezicht
12,Stirn::N,дух,voorhoofd
13,Haar::N,үс,haar
14,Schnurrbart::N,дээд сахал,snor
15,Schnurrbart::N,живэр сахал,snor
16,Bart::N,сахал,baard
17,Kinn::N,эрүү,kin
18,Kiefer[Anatomie]::N,эрүү,kaak
19,Kehle::N,хоолой,keel
20,Kehle::N,хоолой,strot
21,Hals::N,хүзүү,hals
22,Genick::N,шил,nek
23,Genick::N,хүзүү,nek
24,Kopf::N,толгой,hoofd
25,Rücken::N,ар,rug
26,Rücken::N,нуруу,rug
27,Bauch::N,хэвлий,buik
28,Bauch::N,гэдэс,buik
29,Nabel::N,хүйс,navel
30,Busen::N,хөх,boezem
31,Brust::N,цээж,borst
32,Schulter::N,мөр,schouder
33,Schulter::N,бугалга,schouder
34,Arm::N,гар,arm
35,Ellenbogen::N,тохой,elleboog
36,Hand::N,гар,hand
37,Hand::N,алга,hand
38,Handfläche::N,алга,handpalm
39,Finger::N,хуруу,vinger
40,Fingernagel::N,хурууны хумс,nagel
41,Nagel[Anatomie]::N,хумс,nagel
42,Zeh::N,хуруу,teen
43,Fuß::N,хөл,voet
44,Ferse::N,өсгий,hak
45,Ferse::N,өсгий,hiel
46,Knie::N,өвдөг,knie
47,Oberschenkel::N,гуя,dij
48,Bein::N,хөл,been
49,Körper::N,бие,lichaam
50,Haut::N,арьс,huid
51,Blut::N,цус,bloed
52,Ader::N,судас,ader
53,Sehne::N,бүлх,pees
54,Sehne::N,шандас,pees
55,Knochen::N,яс,bot
56,Knochen::N,яс,been
57,Knochen::N,яс,knook
58,Gehirn::N,тархи,hersenen
59,Herz::N,зүрх,hart
60,Magen::N,ходоод,maag
61,Leber::N,элэг,lever
62,Atem::N,амьсгаа,adem
63,Hunger::N,өлсгөлөн,honger
64,Träne::N,нулимс,traan
65,Geschmack::N,амт,smaak
66,Geruch::N,үнэр,geur
67,Schlaf::N,нойр,slaap
68,Traum::N,зүүд,droom
69,Himmel::N,тэнгэр,hemel
70,Himmel::N,огторгуй,hemel
71,Sonne::N,нар,zon
72,Mond::N,сар,maan
73,Stern::N,од,ster
74,Luft::N,агаар,lucht
75,Wind::N,салхи,wind
76,Welle::N,долгио,golf
77,Welle::N,давалгаа,golf
78,Wasser::N,ус,water
79,Stein::N,чулуу,steen
80,Boden::N,хөрс,grond
81,Erde::N,газар,aarde
82,Erde::N,шороо,aarde
83,Staub::N,тоос,stof
84,Rauch::N,утаа,rook
85,Funke::N,оч,vonk
86,Feuer::N,гал,vuur
87,Licht::N,гэрэл,licht
88,Licht::N,гэгээ,licht
89,Schatten::N,сүүдэр,schaduw
90,Wetter::N,тэнгэр,weer
91,Wetter::N,цаг уур,weer
92,Nebel::N,будан,mist
93,Nebel::N,будан,nevel
94,Wolke::N,үүл,wolk
95,Regen::N,бороо,regen
96,Schnee::N,цас,sneeuw
97,Eis::N,мөс,ijs
98,Frost::N,хүйт,vorst
99,Kälte::N,хүйт,kou
100,Kälte::N,хүйт,koude
101,Hitze::N,халуун,hitte
102,Raureif::N,цан,rijp
103,Raureif::N,хяруу,rijp
104,Regenbogen::N,солонго,regenboog
105,Donner::N,тэнгэрийн дуу,donder
106,Strömung::N,урсгал,stroming
107,Tropfen::N,дусал,druppel
108,Schaum::N,хөөс,schuim
109,Schmutz::N,хир,vuil
110,Schmutz::N,шавхай,vuil
111,See::N,нуур,meer
112,Sumpf::N,намаг,moeras
113,Sumpf::N,балчиг,moeras
114,Moor::N,хүлрийн намаг,veen
115,Wiese::N,нуга,wei
116,Wiese::N,нуга,weide
117,Wald::N,ой,bos
118,Hügel::N,болдог,heuvel
119,Anhöhe::N,гүвээ,hoogte
120,Berg::N,уул,berg
121,Gipfel::N,орой,top
122,Gipfel::N,оргил,top
123,Höhle::N,агуй,hol
124,Abhang::N,хүр,helling
125,Quelle::N,булаг,bron
126,Bach::N,горхи,beek
127,Fluss::N,гол,stroom
128,Fluss::N,мөрөн,stroom
129,Ufer::N,эрэг,wal
130,Ufer::N,эрэг,oever
131,Küste::N,эрэг,kust
132,Festland::N,хуурай газар,vasteland
133,Meer::N,далай,zee
134,Meer::N,тэнгис,zee
135,Bucht::N,булан,baai
136,Bucht::N,булан,inham
137,Bucht::N,далайн тохой,baai
138,Bucht::N,далайн тохой,inham
139,Insel::N,арал,eiland
140,Blume::N,цэцэг,bloem
141,Gras::N,өвс,gras
