,Concept_ID,xal,cy
0,Auge::N,нүдн,llygad
1,Ohr::N,чикн,clust
2,Nase::N,хамр,trwyn
3,Mund::N,амн,ceg
4,Zahn::N,шүдн,dant
5,Zunge::N,келн,tafod
6,Lippe::N,урл,gwefus
7,Wange::N,халх,boch
8,Gesicht::N,нүр,wyneb
9,Stirn::N,маңна,talcen
10,Haar::N,үсн,blew
11,Schnurrbart::N,сахл,mwstas
12,Bart::N,сахл,barf
13,Bart::N,өргнә сахл,barf
14,Kinn::N,өргн,gên
15,Kiefer[Anatomie]::N,өргн,gên
16,Kehle::N,хол,gwddf
17,Hals::N,күзүн,gwddf
18,Genick::N,гиҗг,gwar
19,Genick::N,гиҗг,gwegil
20,Kopf::N,толһа,pen
21,Rücken::N,нурһн,cefn
22,Bauch::N,гесн,bol
23,Nabel::N,киисн,bogail
24,Busen::N,көкн,bron
25,Brust::N,чееҗ,brest
26,Schulter::N,ээм,ysgwydd
27,Arm::N,һар,braich
28,Ellenbogen::N,тоха,penelin
29,Hand::N,баһлцг,llaw
30,Handfläche::N,альхн,palf
31,Finger::N,хурһн,bys
32,Finger::N,һарин хурһн,bys
33,Fingernagel::N,хумсн,ewin
34,Nagel[Anatomie]::N,хумсн,ewin
35,Zeh::N,хурһн,bys troed
36,Zeh::N,көлин хурһн,bys troed
37,Fuß::N,тавг,troed
38,Ferse::N,өскә,sawdl
39,Knie::N,өвдг,glin
40,Oberschenkel::N,һуй,clun
41,Bein::N,көл,coes
42,Körper::N,махмуд,corff
43,Haut::N,арсн,croen
44,Blut::N,цусн,gwaed
45,Ader::N,судцн,gwythïen
46,Sehne::N,шүрүсн,gewyn
47,Knochen::N,ясн,asgwrn
48,Gehirn::N,экн,ymennydd
49,Herz::N,зүркн,calon
50,Magen::N,гесн,cylla
51,Magen::N,гесн,stumog
52,Leber::N,элкн,iau
53,Atem::N,әмсхл,anadl
54,Hunger::N,харһнлһн,newyn
55,Träne::N,нульмсн,deigryn
56,Geschmack::N,амтн,cyflas
57,Geruch::N,үнр,aroglau
58,Schlaf::N,нөр,cwsg
59,Traum::N,зүүдн,breuddwyd
60,Himmel::N,теңгр,awyr
61,Sonne::N,нарн,haul
62,Mond::N,сар,lleuad
63,Stern::N,одн,seren
64,Luft::N,аһар,awyr
65,Wind::N,салькн,gwynt
66,Welle::N,дольган,ton
67,Wasser::N,усн,dŵr
68,Stein::N,чолун,carreg
69,Boden::N,Һазр,llawr
70,Erde::N,Һазр,pridd
71,Staub::N,тоосн,llwch
72,Rauch::N,утан,mwg
73,Funke::N,очн,gwreichioni
74,Feuer::N,һал,tân
75,Licht::N,герл,golau
76,Schatten::N,сүүдр,cysgod
77,Wetter::N,теңгр,tywydd
78,Nebel::N,будн,niwl
79,Wolke::N,үүлн,cwmwl
80,Regen::N,хур,glaw
81,Schnee::N,цасн,ôd
82,Schnee::N,цасн,eira
83,Eis::N,мөсн,iâ
84,Frost::N,киитн,rhew
85,Kälte::N,киитн,oerni
86,Kälte::N,киитн,annwyd
87,Hitze::N,халун,gwres
88,Raureif::N,цаң,barrug
89,Raureif::N,кирү,barrug
90,Regenbogen::N,солңһ,enfys
91,Donner::N,оһтрһун дун,tyrfau
92,Strömung::N,урсхл,cerrynt
93,Tropfen::N,дусал,dafn
94,Tropfen::N,дусал,diferyn
95,Schaum::N,көөсн,ewyn
96,Schmutz::N,кир,baw
97,Schmutz::N,кир,budreddi
98,See::N,нур,llyn
99,Sumpf::N,унул,cors
100,Moor::N,улм,rhos
101,Wiese::N,хадлһн,dôl
102,Wald::N,ө-модн,coedwig
103,Hügel::N,толһа,bryn
104,Anhöhe::N,хамр,bryn
105,Berg::N,уул,mynydd
106,Gipfel::N,ора,copa
107,Höhle::N,хадин көндә,ogof
108,Abhang::N,ташу,llethr
109,Quelle::N,булг,tarddiad
110,Quelle::N,булг,ffynhonnell
111,Bach::N,һооҗур,nant
112,Bach::N,һооҗур,afonig
113,Bach::N,һооҗур,cornant
114,Fluss::N,һол,afon
115,Ufer::N,көвә,glan
116,Küste::N,көвә,traeth
117,Küste::N,көвә,arfordir
118,Küste::N,теңгсин көвә,traeth
119,Küste::N,теңгсин көвә,arfordir
120,Festland::N,хүүрә һазр,tir
121,Meer::N,теңгс,môr
122,Bucht::N,цекә,bae
123,Bucht::N,теңгсин цекә,bae
124,Insel::N,арл,ynys
125,Blume::N,цецг,blodyn
126,Gras::N,ноһан,glaswellt
127,Wurzel::N,уңг,gwreiddyn
128,Baum::N,модн,coeden
129,Stamm::N,шилв,colfen
130,Stamm::N,шилв,boncyff
131,Stamm::N,һол модн,colfen
132,Stamm::N,һол модн,boncyff
133,Rinde::N,көрсн,rhisgl
134,Ast::N,ац,cangen
135,Zweig::N,ац,cainc
136,Zweig::N,ац,cangen
137,Blatt::N,хамтхасн,deilen
138,Birke::N,хусм модн,bedwen
139,Kiefer[Baum]::N,шар харһа,pinwydden
140,Weide[Baum]::N,удн,helygen
141,Tanne::N,җөөлн цаһан модн,ffynidwydden
142,Horn::N,өвр,corn
143,Feder::N,өрвлг,plufyn
144,Fell::N,арсн,ffwr
145,Flügel::N,җивр,adain
146,Klaue::N,хумсн,crafanc
147,Kralle::N,тавг,ewin
148,Schwanz::N,сүл,cwt
149,Schwanz::N,сүл,cynffon
150,Ei::N,өндгн,wy
151,Nest::N,үр,nyth
152,Bau::N,нүкн,ffau
153,Tier::N,мал,anifail
154,Herde::N,сүрг мал,praidd
155,Herde::N,сүрг мал,diadell
156,Kuh::N,үкр,buwch
157,Bulle::N,бух,tarw
158,Pferd::N,мөрн,ceffyl
159,Schaf::N,хөн,dafad
160,Schwein::N,һаха,mochyn
161,Hund::N,ноха,ci
162,Katze::N,мис,cath
163,Bär::N,аю,arth
164,Eichhörnchen::N,кермн,gwiwer
165,Elch::N,хандһа,elc
166,Fuchs::N,арат,cadno
167,Hase::N,туула,ysgyfarnog
168,Maus::N,хулһн,llygoden
169,Wolf::N,чон,blaidd
170,Vogel::N,шовун,aderyn
171,Schwarm::N,зел,haid
