,Concept_ID,vep,lt
0,Auge::N,sil'm,akis
1,Ohr::N,korv,ausis
2,Nase::N,nena,nosis
3,Mund::N,su,burna
4,Zahn::N,pi,dantis
5,Zahn::N,hambaz,dantis
6,Zunge::N,kel',liežuvis
7,Lippe::N,hul',lūpa
8,Wange::N,modpolišk,žandas
9,Wange::N,modpolišk,skruostas
10,Gesicht::N,mod,veidas
11,Stirn::N,oc,kakta
12,Haar::N,tuk,plaukai
13,Haar::N,hibuz,plaukai
14,Schnurrbart::N,habinod,ūsai
15,Bart::N,bard,barzda
16,Kinn::N,löug,smakras
17,Kiefer[Anatomie]::N,hambazlu,žandikaulis
18,Kehle::N,kurk,gerklė
19,Hals::N,kagl,kaklas
20,Genick::N,tagarai,sprandas
21,Kopf::N,pä,galva
22,Rücken::N,sel'g,nugara
23,Bauch::N,vac,pilvas
24,Bauch::N,koht,pilvas
25,Nabel::N,naba,bamba
26,Busen::N,niža,krūtinė
27,Brust::N,rind,krūtis
28,Schulter::N,oug,petys
29,Arm::N,käzi,ranka
30,Ellenbogen::N,künambruz,alkūnė
31,Hand::N,käzi,ranka
32,Hand::N,käzi,plaštaka
33,Hand::N,käzitera,ranka
34,Hand::N,käzitera,plaštaka
35,Handfläche::N,kämen,delnas
36,Handfläche::N,kämen,plaštaka
37,Finger::N,sor'm,pirštas
38,Fingernagel::N,künz',nagas
39,Nagel[Anatomie]::N,künz',nagas
40,Zeh::N,barbaz,pirštas
41,Fuß::N,jaug,pėda
42,Ferse::N,kand,kulnas
43,Knie::N,komb,kelis
44,Knie::N,pol'v,kelis
45,Oberschenkel::N,riiže,kulšis
46,Oberschenkel::N,riiže,šlaunis
47,Bein::N,jaug,koja
48,Körper::N,hibj,kūnas
49,Haut::N,nahk,oda
50,Blut::N,čak,kraujas
51,Blut::N,veri,kraujas
52,Ader::N,son',kraujagyslė
53,Sehne::N,jände,sausgyslė
54,Knochen::N,lu,kaulas
55,Gehirn::N,aivod,smegenys
56,Herz::N,südäin,širdis
57,Magen::N,südäikoht,skrandis
58,Leber::N,maks,kepenys
59,Atem::N,hengaiduz,kvapas
60,Hunger::N,näl'g,badas
61,Hunger::N,näl'g,alkis
62,Träne::N,kündal',ašara
63,Geschmack::N,magu,skonis
64,Geruch::N,haju,kvapas
65,Schlaf::N,uni,miegas
66,Traum::N,unikuva,sapnas
67,Himmel::N,taivaz,dangus
68,Sonne::N,päiväine,saulė
69,Mond::N,kudmaine,mėnulis
70,Stern::N,tähtaz,žvaigždė
71,Luft::N,il'm,oras
72,Wind::N,döl,vėjas
73,Wind::N,tullei,vėjas
74,Welle::N,ald,banga
75,Welle::N,ald,vilnis
76,Welle::N,laineh,banga
77,Welle::N,laineh,vilnis
78,Wasser::N,vezi,vanduo
79,Stein::N,kivi,akmuo
80,Boden::N,ma,žemė
81,Boden::N,ma,dugnas
82,Boden::N,pohj,žemė
83,Boden::N,pohj,dugnas
84,Erde::N,ma,žemė
85,Staub::N,pölü,dulkės
86,Rauch::N,savu,dūmai
87,Funke::N,kibin,kibirkštis
88,Feuer::N,lämoi,ugnis
89,Licht::N,vauktuz,šviesa
90,Schatten::N,pil'vez,paūksmė
91,Schatten::N,kuvahaine,paūksmė
92,Wetter::N,sä,oras
93,Nebel::N,sumeg,migla
94,Nebel::N,sumeg,rūkas
95,Wolke::N,pil'v,debesis
96,Regen::N,vihm,lietus
97,Schnee::N,lumi,sniegas
98,Eis::N,jä,ledas
99,Frost::N,hala,šalna
100,Frost::N,pakaine,šalna
101,Kälte::N,vilu,šaltis
102,Hitze::N,räk,karštis
103,Raureif::N,hüde,šerkšnas
104,Regenbogen::N,jumalanbembel',vaivorykštė
105,Donner::N,juru,perkūnas
106,Donner::N,juru,griaustinis
107,Donner::N,jumalanjuru,perkūnas
108,Donner::N,jumalanjuru,griaustinis
109,Strömung::N,joksmuz,tėkmė
110,Tropfen::N,tilkuine,lašas
111,Schaum::N,vaht,putos
112,Schmutz::N,redu,purvas
113,Schmutz::N,pačak,purvas
114,See::N,järv,ežeras
115,Sumpf::N,so,klampynė
116,Sumpf::N,so,liūnas
117,Moor::N,so,pelkė
118,Wiese::N,nit,pieva
119,Wald::N,mec,miškas
120,Hügel::N,kukaz,kalva
121,Anhöhe::N,kukaz,kauburys
122,Berg::N,mägi,kalnas
123,Gipfel::N,ladv,viršūnė
124,Höhle::N,mägionduz,ola
125,Abhang::N,paute,šlaitas
126,Abhang::N,paute,nuokalnė
127,Quelle::N,lähte,versmė
128,Quelle::N,lähte,šaltinis
129,Bach::N,oja,upelis
130,Fluss::N,jogi,upė
131,Ufer::N,rand,krantas
132,Küste::N,randišt,pajūris
133,Festland::N,kuivma,sausuma
134,Meer::N,meri,jūra
135,Bucht::N,laht,įlanka
136,Bucht::N,laht,užutekis
137,Insel::N,sar',sala
138,Blume::N,änik,gėlė
139,Gras::N,hein,žolė
140,Wurzel::N,jur',šaknis
141,Baum::N,pu,medis
142,Stamm::N,tüvi,kamienas
143,Rinde::N,kor',žievė
144,Ast::N,oks,šaka
145,Zweig::N,oks,šakelė
146,Zweig::N,barb,šakelė
147,Blatt::N,lehtez,lapas
148,Birke::N,koiv,beržas
149,Kiefer[Baum]::N,pedai,pušis
150,Weide[Baum]::N,raid,karklas
151,Tanne::N,kuz',eglė
152,Tanne::N,kuz',kėnis
153,Horn::N,sar'v,ragas
154,Feder::N,höuneh,plunksna
155,Fell::N,nahk,kailis
156,Flügel::N,suug,sparnas
157,Klaue::N,künz',kanopa
158,Kralle::N,künz',nagas
159,Schwanz::N,händ,uodega
160,Ei::N,muna,kiaušinis
161,Nest::N,peza,gūžta
162,Nest::N,peza,lizdas
163,Bau::N,uru,ola
164,Tier::N,živat,gyvūnas
165,Herde::N,kogo,banda
166,Herde::N,kogo,kaimenė
167,Kuh::N,lehm,karvė
168,Bulle::N,härg,bulius
169,Pferd::N,hebo,arklys
170,Schaf::N,lambaz,avis
171,Schwein::N,siga,kiaulė
172,Hund::N,koir,šuo
173,Katze::N,kaži,katė
174,Bär::N,kondi,lokys
175,Eichhörnchen::N,orav,voveraitė
176,Elch::N,hirb',briedis
177,Fuchs::N,reboi,lapė
178,Hase::N,jäniš,kiškas
179,Maus::N,hir',pelė
180,Wolf::N,händikaz,vilkas
181,Vogel::N,lind,paukštis
182,Schwarm::N,parveh,spiečius
183,Huhn::N,kana,višta
184,Hahn::N,kukoi,gaidys
185,Gans::N,hanh',žąsis
186,Adler::N,orl,erelis
187,Ente::N,sorz,antis
188,Eule::N,hir'pulo,pelėda
189,Kranich::N,kurg,gervė
190,Krähe::N,variš,varna
191,Kuckuck::N,kägi,gegužė
192,Schwan::N,joucen,gulbė
193,Fisch::N,kala,žuvis
194,Barsch::N,ahven,ešerys
195,Hecht::N,haug',lydeka
196,Schlange[Tier]::N,kü,gyvatė
197,Schlange[Tier]::N,mado,gyvatė
198,Wurm::N,mado,kirmėlė
