,Concept_ID,bg,es
0,Auge::N,око,ojo
1,Ohr::N,ухо,oreja
2,Nase::N,нос,nariz
3,Mund::N,уста,boca
4,Zahn::N,зъб,diente
5,Zunge::N,език,lengua
6,Lippe::N,устна,labio
7,Wange::N,буза,mejilla
8,Gesicht::N,лице,cara
9,Gesicht::N,образ,cara
10,Stirn::N,чело,frente
11,Haar::N,коса,cabello
12,Haar::N,косъм,cabello
13,Schnurrbart::N,мустаци,bigote
14,Bart::N,брада,barba
15,Kinn::N,брада,barbilla
16,Kinn::N,брадичка,barbilla
17,Kiefer[Anatomie]::N,челюст,mandíbula
18,Kehle::N,гърло,garganta
19,Hals::N,врат,cuello
20,Genick::N,тил,nuca
21,Genick::N,тил,cerviz
22,Kopf::N,глава,cabeza
23,Rücken::N,гръб,espalda
24,Bauch::N,корем,vientre
25,Nabel::N,пъп,ombligo
26,Busen::N,бозка,pecho
27,Brust::N,гръд,pecho
28,Schulter::N,рамо,hombro
29,Schulter::N,плещи,hombro
30,Arm::N,ръка,brazo
31,Ellenbogen::N,лакът,codo
32,Hand::N,ръка,mano
33,Hand::N,китка,mano
34,Handfläche::N,длан,palma
35,Finger::N,пръст,dedo
36,Fingernagel::N,нокът,uña
37,Nagel[Anatomie]::N,нокът,uña
38,Zeh::N,пръст на крак,dedo del pie
39,Fuß::N,крак,pie
40,Fuß::N,нога,pie
41,Ferse::N,пета,talón
42,Knie::N,коляно,rodilla
43,Oberschenkel::N,бедро,muslo
44,Bein::N,крак,pierna
45,Bein::N,нога,pierna
46,Körper::N,тяло,cuerpo
47,Haut::N,кожа,piel
48,Blut::N,кръв,sangre
49,Ader::N,вена,vena
50,Ader::N,артерия,vena
51,Sehne::N,жила,tendón
52,Sehne::N,сухожилие,tendón
53,Knochen::N,кост,hueso
54,Gehirn::N,мозък,cerebro
55,Gehirn::N,мозък,encéfalo
56,Herz::N,сърце,corazón
57,Magen::N,стомах,estómago
58,Leber::N,черен дроб,hígado
59,Atem::N,дишане,aliento
