,Concept_ID,la,zh
0,Auge::N,oculus,眼睛
1,Ohr::N,auris,耳朵
2,Nase::N,nasus,鼻子
3,Mund::N,os,嘴
4,Zahn::N,dens,牙齿
5,Zunge::N,lingua,舌头
6,Lippe::N,labrum,嘴唇
7,Wange::N,gena,面颊
8,Gesicht::N,vultus,脸
9,Stirn::N,frons,额
10,Haar::N,capillus,头发
11,Schnurrbart::N,barba labri superioris,髭须
12,Bart::N,barba,胡子
13,Kinn::N,mentum,下巴
14,Kiefer[Anatomie]::N,mala,颌
15,Kehle::N,iugulums,嗓子
16,Hals::N,collum,颈
17,Genick::N,cervices,后颈
18,Kopf::N,caput,头
19,Rücken::N,tergum,背
20,Bauch::N,venter,肚子
21,Nabel::N,umbilicus,肚脐
22,Busen::N,sinus,胸脯
23,Brust::N,pectus,胸
24,Schulter::N,umerus,肩膀
25,Arm::N,bracchium,臂膀
26,Ellenbogen::N,cubitum,肘
27,Hand::N,manus,手
28,Handfläche::N,palma,手掌
29,Finger::N,digitus,手指
30,Fingernagel::N,unguiculus,指甲
31,Nagel[Anatomie]::N,unguis,指甲
32,Zeh::N,digitus,脚趾
33,Fuß::N,pes,脚
34,Ferse::N,calx,后跟
35,Knie::N,genu,膝
36,Oberschenkel::N,femur,大腿
37,Bein::N,crus,腿
38,Körper::N,corpus,身体
39,Haut::N,cutis,皮肤
40,Haut::N,pellis,皮肤
41,Blut::N,sanguis,血
42,Ader::N,vena,血管
43,Sehne::N,nervus,腱
44,Knochen::N,os,骨
45,Gehirn::N,cerebrum,脑
46,Herz::N,cor,心
47,Herz::N,animus,心
48,Magen::N,stomachus,胃
49,Leber::N,iecur,肝
50,Atem::N,spiritus,呼吸
51,Hunger::N,fames,饿
52,Träne::N,lacrima,眼泪
53,Geschmack::N,sapor,味道
54,Geschmack::N,gustus,味道
55,Geruch::N,odor,气味
56,Schlaf::N,somnus,睡眠
57,Traum::N,somnium,梦
58,Himmel::N,caelum,天空
59,Sonne::N,sol,太阳
60,Mond::N,luna,月亮
61,Stern::N,sidus,星
62,Stern::N,stella,星
63,Luft::N,aer,空气
64,Wind::N,ventus,风
65,Welle::N,unda,波
66,Wasser::N,aqua,水
67,Stein::N,lapis,石头
68,Boden::N,solum,地面
69,Erde::N,terra,地
70,Staub::N,pulvis,灰尘
71,Rauch::N,fumus,烟
72,Funke::N,scintilla,火花
73,Feuer::N,ignis,火
74,Licht::N,lux,光
75,Licht::N,lumen,光
76,Schatten::N,umbra,影子
77,Wetter::N,caelum,天气
78,Wetter::N,tempestas,天气
79,Nebel::N,nebula,雾
80,Wolke::N,nubes,云
81,Regen::N,imber,雨
82,Regen::N,pluvia,雨
83,Schnee::N,nix,雪
84,Eis::N,glacies,冰
85,Frost::N,gelu,霜冻
86,Kälte::N,frigus,寒冷
87,Hitze::N,calor,炎热
88,Hitze::N,aestus,炎热
89,Raureif::N,pruina,霜
90,Regenbogen::N,arcus,虹
91,Donner::N,tonitrus,雷
92,Strömung::N,fluctus,水流
93,Tropfen::N,gutta,滴
