,Concept_ID,tr,ro
0,Auge::N,göz,ochi
1,Ohr::N,kulak,ureche
2,Nase::N,burun,nas
3,Mund::N,ağız,gură
4,Zahn::N,diş,dinte
5,Zunge::N,dil,limbă
6,Lippe::N,dudak,buză
7,Wange::N,yanak,bucă
8,Wange::N,yanak,obraz
9,Gesicht::N,yüz,față
10,Gesicht::N,yüz,figură
11,Stirn::N,alın,frunte
12,Haar::N,saç,păr
13,Schnurrbart::N,bıyık,mustață
14,Bart::N,sakal,barbă
15,Kinn::N,çene,bărbie
16,Kiefer[Anatomie]::N,çene,falcă
17,Kehle::N,boğaz,beregată
18,Hals::N,boyun,gât
19,Hals::N,gerdan,gât
20,Genick::N,ense,ceafă
21,Kopf::N,baş,cap
22,Kopf::N,kafa,cap
23,Rücken::N,arka,dos
24,Rücken::N,arka,spate
25,Rücken::N,arka,spinare
26,Bauch::N,karın,burtă
27,Bauch::N,karın,pântece
28,Nabel::N,göbek,buric
29,Busen::N,koyun,sân
30,Brust::N,göğüs,piept
31,Schulter::N,omuz,umăr
32,Schulter::N,omuz,spate
33,Arm::N,kol,braț
34,Ellenbogen::N,dirsek,cot
35,Hand::N,el,mână
36,Handfläche::N,avuç,palmă
37,Handfläche::N,el ayası,palmă
38,Finger::N,parmak,deget
39,Fingernagel::N,el tırnağı,unghie
40,Nagel[Anatomie]::N,tırnak,unghie
41,Zeh::N,ayak parmağı,deget de la picior
42,Fuß::N,ayak,picior
43,Ferse::N,topuk,călcâi
44,Knie::N,diz,genunchi
45,Oberschenkel::N,uyluk,coapsă
46,Bein::N,bacak,picior
47,Körper::N,vücut,corp
48,Haut::N,cilt,piele
49,Blut::N,kan,sânge
50,Ader::N,damar,vână
51,Ader::N,damar,arteră
52,Sehne::N,kiriş,tendon
53,Knochen::N,kemik,os
54,Gehirn::N,beyin,creier
55,Herz::N,kalp,inimă
56,Herz::N,yürek,inimă
57,Magen::N,mide,stomac
58,Leber::N,karaciğer,ficat
59,Atem::N,nefes,răsuflare
60,Atem::N,nefes,respirație
61,Hunger::N,açlık,foame
62,Träne::N,gözyaşı,lacrimă
63,Geschmack::N,tat,gust
64,Geschmack::N,lezzet,gust
65,Geruch::N,koku,miros
66,Schlaf::N,uyku,somn
67,Traum::N,düş,vis
68,Traum::N,rüya,vis
69,Himmel::N,gök,cer
70,Sonne::N,güneş,soare
71,Mond::N,ay,lună
72,Stern::N,yıldız,stea
73,Luft::N,hava,aer
74,Wind::N,yel,vânt
75,Wind::N,rüzgâr,vânt
76,Welle::N,dalga,val
77,Welle::N,dalga,undă
78,Wasser::N,su,apă
79,Stein::N,taş,piatră
80,Boden::N,yer,sol
81,Boden::N,yer,pământ
82,Boden::N,zemin,sol
83,Boden::N,zemin,pământ
84,Erde::N,toprak,pământ
85,Staub::N,toz,praf
86,Rauch::N,duman,fum
87,Funke::N,kıvılcım,scânteie
88,Feuer::N,ateş,foc
89,Licht::N,ışık,lumină
90,Schatten::N,gölge,umbră
91,Wetter::N,hava,timp
92,Wetter::N,hava,vreme
93,Nebel::N,pus,ceață
94,Nebel::N,pus,negură
95,Wolke::N,bulut,nor
96,Regen::N,yağmur,ploaie
97,Schnee::N,kar,zăpadă
98,Eis::N,buz,gheață
99,Frost::N,don,ger
100,Kälte::N,soğukluk,frig
101,Hitze::N,sıcaklık,arșiță
102,Hitze::N,sıcaklık,căldură
103,Raureif::N,kırç,chiciură
104,Regenbogen::N,gökkuşağı,curcubeu
105,Donner::N,gök gürlemesi,tunet
106,Strömung::N,akıntı,curent
107,Strömung::N,cereyan,curent
108,Tropfen::N,damla,picătură
109,Schaum::N,köpük,spumă
110,Schmutz::N,çamur,murdărie
111,Schmutz::N,pislik,murdărie
112,See::N,göl,lac
113,Sumpf::N,batak,mlaștină
114,Moor::N,cılgıt,bărăgan
115,Wiese::N,çimen,fânaț
116,Wiese::N,çimen,livadă
117,Wald::N,koru,codru
118,Wald::N,koru,pădure
119,Wald::N,orman,codru
120,Wald::N,orman,pădure
121,Hügel::N,tepe,deal
122,Hügel::N,tepe,movilă
123,Anhöhe::N,tümsek,deal
124,Anhöhe::N,tümsek,ridicătură
125,Anhöhe::N,yükseklik,deal
126,Anhöhe::N,yükseklik,ridicătură
127,Berg::N,dağ,munte
128,Gipfel::N,zirve,pisc
129,Höhle::N,in,peșteră
130,Höhle::N,mağara,peșteră
131,Abhang::N,bayır,pantă
132,Abhang::N,bayır,versant
133,Quelle::N,pınar,izvor
134,Quelle::N,kaynak,izvor
135,Bach::N,çay,gârlă
136,Bach::N,dere,gârlă
137,Fluss::N,nehir,râu
138,Fluss::N,nehir,fluviu
139,Ufer::N,kıyı,mal
140,Ufer::N,kıyı,țărm
141,Ufer::N,sahil,mal
142,Ufer::N,sahil,țărm
143,Küste::N,kıyı,coastă
144,Küste::N,sahil,coastă
145,Festland::N,kara,uscat
146,Meer::N,deniz,mare
147,Bucht::N,koy,golf
148,Bucht::N,körfez,golf
149,Insel::N,ada,insulă
150,Blume::N,çiçek,floare
151,Gras::N,ot,iarbă
152,Gras::N,çim,iarbă
153,Wurzel::N,kök,rădăcină
154,Baum::N,ağaç,copac
155,Baum::N,ağaç,arbore
156,Stamm::N,gövde,tulpină
157,Rinde::N,kabuk,scoarță
158,Ast::N,dal,cracă
159,Ast::N,dal,creangă
160,Ast::N,budak,cracă
