,Concept_ID,az,it
0,Auge::N,göz,occhio
1,Ohr::N,qulaq,orecchio
2,Nase::N,burun,naso
3,Mund::N,ağız,bocca
4,Zahn::N,diş,dente
5,Zunge::N,dil,lingua
6,Lippe::N,dodaq,labbro
7,Wange::N,yanaq,guancia
8,Gesicht::N,üz,viso
9,Gesicht::N,üz,faccia
10,Stirn::N,alın,fronte
11,Haar::N,saç,capello
12,Schnurrbart::N,bığ,baffi
13,Schnurrbart::N,bığ,mustacchi
14,Bart::N,saqqal,barba
15,Kinn::N,çənə,mento
16,Kiefer[Anatomie]::N,çənə,mascella
17,Kehle::N,boğaz,gola
18,Hals::N,boyun,collo
19,Genick::N,ənsə,nuca
20,Kopf::N,baş,capo
21,Kopf::N,baş,testa
22,Rücken::N,bel,dorso
23,Rücken::N,bel,schiena
24,Bauch::N,qarın,ventre
25,Nabel::N,göbək,ombelico
26,Busen::N,məmə,seno
27,Brust::N,döş,petto
28,Schulter::N,çiyin,spalla
29,Arm::N,qol,braccio
30,Ellenbogen::N,dirsək,gomito
31,Hand::N,əl,mano
32,Handfläche::N,ovuc,palma
33,Finger::N,barmaq,dito
34,Fingernagel::N,barmaq dırnağı,unghia
35,Nagel[Anatomie]::N,dırnak,unghia
36,Zeh::N,ayaq barmağı,dito del piede
37,Fuß::N,ayaq,piede
38,Ferse::N,daban,tallone
39,Ferse::N,daban,calcagno
40,Knie::N,diz,ginocchio
41,Oberschenkel::N,bud,fèmore
42,Bein::N,qıç,gamba
43,Körper::N,əndam,corpo
44,Haut::N,dəri,pelle
45,Blut::N,qan,sangue
46,Ader::N,damar,vena
47,Sehne::N,vətər,tèndine
48,Knochen::N,sümük,osso
49,Gehirn::N,beyin,cervello
50,Herz::N,ürək,cuore
51,Magen::N,mədə,stòmaco
52,Leber::N,qara ciyər,fegato
53,Atem::N,nəfəs,fiato
54,Atem::N,nəfəs,respiro
55,Hunger::N,aclıq,fame
56,Träne::N,göz yaşı,làcrima
57,Geschmack::N,tam,gusto
58,Geschmack::N,tam,sapore
59,Geschmack::N,ləzzət,gusto
60,Geschmack::N,ləzzət,sapore
61,Geruch::N,qoxu,odore
62,Schlaf::N,yuxu,sonno
63,Traum::N,röya,sogno
64,Himmel::N,göy,cielo
65,Himmel::N,səma,cielo
66,Sonne::N,günəş,sole
67,Mond::N,ay,luna
68,Stern::N,ulduz,stella
69,Luft::N,hava,aria
70,Wind::N,yel,vento
71,Wind::N,külək,vento
72,Welle::N,dalğa,onda
73,Wasser::N,su,acqua
74,Stein::N,daş,sasso
75,Stein::N,daş,pietra
76,Boden::N,yer,suolo
77,Boden::N,yer,terreno
78,Boden::N,zəmin,suolo
79,Boden::N,zəmin,terreno
80,Erde::N,yer torpaq,terra
81,Staub::N,toz,polvere
82,Rauch::N,tüstü,fumo
83,Funke::N,qığılcım,scintilla
84,Feuer::N,od,fuoco
85,Licht::N,işıq,luce
86,Schatten::N,kölgə,ombra
87,Wetter::N,hava,tempo
88,Nebel::N,duman,nebbia
89,Wolke::N,bulud,nube
90,Wolke::N,bulud,nùvola
91,Regen::N,yağış,pioggia
92,Regen::N,yağmur,pioggia
93,Schnee::N,qar,neve
94,Eis::N,buz,ghiaccio
95,Frost::N,ayaz,gelo
96,Kälte::N,soyuq,freddo
97,Hitze::N,coşğunluq,caldo
98,Hitze::N,coşğunluq,calura
99,Raureif::N,qırov,brina
100,Regenbogen::N,göy qurşağı,arcobaleno
101,Donner::N,göy gurultusu,tuono
102,Strömung::N,axın,corrente
103,Tropfen::N,damcı,goccia
104,Schaum::N,köpük,spuma
105,Schaum::N,köpük,schiuma
106,Schmutz::N,çamır,sudiciume
107,See::N,göl,lago
108,Sumpf::N,bataqlıq,palude
109,Moor::N,bataqlıq,torbiera
110,Wiese::N,çəmən,prato
111,Wald::N,meşə,bosco
112,Wald::N,meşə,foresta
113,Hügel::N,təpə,colle
114,Hügel::N,təpə,collina
115,Anhöhe::N,təpə,altura
116,Berg::N,dağ,monte
117,Berg::N,dağ,montagna
118,Gipfel::N,zirvə,cima
119,Höhle::N,mağara,grotta
120,Höhle::N,mağara,caverna
121,Abhang::N,yamac,pendìo
122,Quelle::N,bulaq,sorgente
123,Bach::N,kiçik çay,ruscello
124,Fluss::N,çay,fiume
125,Ufer::N,kənar,riva
126,Küste::N,sahil,costa
127,Festland::N,materik,terraferma
128,Meer::N,dəniz,mare
129,Bucht::N,körfəz,cala
130,Insel::N,ada,ìsola
131,Blume::N,çiçək,fiore
132,Gras::N,ot,erba
133,Wurzel::N,kök,radice
134,Baum::N,ağac,àlbero
135,Stamm::N,gövdə,tronco
136,Rinde::N,qabıq,corteccia
137,Ast::N,şax,ramo
138,Zweig::N,budaq,ramo
139,Blatt::N,yarpaq,foglia
140,Birke::N,tozağacı,betulla
141,Kiefer[Baum]::N,şam,pino
142,Weide[Baum]::N,söyüd,sàlice
143,Tanne::N,küknar,abete
144,Horn::N,buynuz,corno
145,Feder::N,tük,penna
146,Feder::N,lələk,penna
147,Fell::N,xəz,manto
148,Fell::N,xəz,pelame
149,Flügel::N,qanad,ala
150,Klaue::N,pəncə,grinfia
151,Kralle::N,dırnaq,unghia
152,Kralle::N,dırnaq,artiglio
153,Schwanz::N,quyruq,coda
154,Ei::N,yumurta,uovo
155,Nest::N,yuva,nido
156,Bau::N,yuva,covo
157,Tier::N,heyvan,bestia
158,Tier::N,heyvan,animale
159,Herde::N,sürü,gregge
160,Kuh::N,inək,vacca
161,Bulle::N,öküz,toro
162,Pferd::N,at,cavallo
163,Schaf::N,qoyun,pècora
164,Schwein::N,donuz,porco
165,Schwein::N,donuz,maiale
166,Hund::N,it,cane
167,Hund::N,köpək,cane
168,Katze::N,pişik,gatta
169,Bär::N,ayı,orso
170,Eichhörnchen::N,dələ,scoiàttolo
171,Elch::N,sığın,alce
172,Fuchs::N,tülkü,volpe
173,Hase::N,dovşan,lepre
174,Maus::N,siçan,topo
175,Maus::N,siçan,sorcio
176,Wolf::N,qurd,lupo
177,Vogel::N,quş,uccello
178,Schwarm::N,sürü,stormo
179,Huhn::N,toyuq,gallina
180,Hahn::N,xoruz,gallo
181,Gans::N,qaz,oca
182,Adler::N,qartal,àquila
183,Adler::N,qaraquş,àquila
184,Ente::N,ördək,ànatra
185,Eule::N,bayquş,gufo
186,Eule::N,bayquş,civetta
187,Kranich::N,durna,gru
188,Krähe::N,qarğa,cornacchia
189,Kuckuck::N,ququ,cuccù
190,Kuckuck::N,ququ,cùculo
191,Schwan::N,qu quşu,cigno
192,Fisch::N,balıq,pesce
193,Barsch::N,tar,pèrsico
194,Hecht::N,durnabalığı,luccio
195,Schlange[Tier]::N,ilan,serpente
196,Wurm::N,qurd,baco
197,Wurm::N,qurd,verme
198,Spinne::N,hörümçək,ragno
199,Ameise::N,qarışqa,formica
200,Laus::N,bit,pidocchio
201,Mücke::N,ağcaqanad,zanzara
202,Fliege::N,milçək,mosca
203,Schmetterling::N,kəpənək,farfalla
204,Beere::N,gilə,bacca
205,Apfel::N,alma,mela
206,Pilz::N,göbələk,fungo
207,Zwiebel::N,soğan,cipolla
208,Saat::N,əkin,semente
209,Korn::N,taxıl,grano
210,Heu::N,quru ot,fieno
211,Schale::N,qabıq,buccia
212,Grube::N,çuxur,cava
213,Grube::N,çuxur,fossa
214,Falle::N,tələ,tràppola
215,Falle::N,duzaq,tràppola
216,Schlinge::N,ilmək,laccio
217,Spur::N,iz,traccia
218,Asche::N,kül,cenere
219,Dreck::N,kir,fango
220,Eisen::N,dəmir,ferro
221,Gold::N,altun,oro
222,Silber::N,gümüş,argento
223,Kohle::N,kömür,carbone
224,Glas::N,şüşə,vetro
225,Lehm::N,gil,argilla
226,Lehm::N,palçıq,argilla
