,Concept_ID,zh,et
0,Auge::N,眼睛,silm
1,Ohr::N,耳朵,kõrv
2,Nase::N,鼻子,nina
3,Mund::N,嘴,suu
4,Zahn::N,牙齿,hammas
5,Zunge::N,舌头,keel
6,Lippe::N,嘴唇,huul
7,Wange::N,面颊,põsk
8,Gesicht::N,脸,nägu
9,Stirn::N,额,otsmik
10,Haar::N,头发,juus
11,Schnurrbart::N,髭须,vurrud
12,Schnurrbart::N,髭须,vuntsid
13,Bart::N,胡子,habe
14,Kinn::N,下巴,lõug
15,Kiefer[Anatomie]::N,颌,lõualuu
16,Kehle::N,嗓子,kõri
17,Hals::N,颈,kael
18,Genick::N,后颈,kukal
19,Kopf::N,头,pea
20,Rücken::N,背,selg
21,Bauch::N,肚子,kõht
22,Nabel::N,肚脐,naba
23,Busen::N,胸脯,rind
24,Brust::N,胸,rind
25,Schulter::N,肩膀,õlg
26,Arm::N,臂膀,käsivars
27,Ellenbogen::N,肘,küünarnukk
28,Hand::N,手,käsi
29,Handfläche::N,手掌,pihk
30,Finger::N,手指,sõrm
31,Fingernagel::N,指甲,küüs
32,Nagel[Anatomie]::N,指甲,küüs
33,Zeh::N,脚趾,varvas
34,Fuß::N,脚,jalg
35,Ferse::N,后跟,kand
36,Knie::N,膝,põlv
37,Oberschenkel::N,大腿,reis
38,Bein::N,腿,jalg
39,Körper::N,身体,ihu
40,Körper::N,身体,keha
41,Haut::N,皮肤,nahk
42,Blut::N,血,veri
43,Ader::N,血管,veen
44,Sehne::N,腱,kõõlus
45,Knochen::N,骨,luu
46,Gehirn::N,脑,aju
47,Herz::N,心,süda
48,Magen::N,胃,magu
49,Leber::N,肝,maks
50,Atem::N,呼吸,hingeõhk
51,Atem::N,呼吸,hingamine
52,Hunger::N,饿,nälg
53,Träne::N,眼泪,pisar
54,Geschmack::N,味道,maitse
55,Geruch::N,气味,lõhn
56,Schlaf::N,睡眠,uni
57,Traum::N,梦,unenägu
58,Himmel::N,天空,taevas
59,Sonne::N,太阳,päike
60,Mond::N,月亮,kuu
61,Stern::N,星,täht
62,Luft::N,空气,õhk
63,Wind::N,风,tuul
64,Welle::N,波,laine
65,Wasser::N,水,vesi
66,Stein::N,石头,kivi
67,Boden::N,地面,maa
68,Boden::N,地面,pinnas
69,Erde::N,地,maa
70,Staub::N,灰尘,põrm
71,Rauch::N,烟,suits
72,Funke::N,火花,säde
73,Feuer::N,火,tuli
74,Licht::N,光,valgus
75,Schatten::N,影子,vari
76,Wetter::N,天气,ilm
77,Nebel::N,雾,udu
78,Wolke::N,云,pilv
79,Regen::N,雨,sadu
80,Schnee::N,雪,lumi
81,Eis::N,冰,jää
82,Frost::N,霜冻,pakane
83,Kälte::N,寒冷,külm
84,Kälte::N,寒冷,külmus
85,Hitze::N,炎热,kuumus
86,Hitze::N,炎热,palavus
87,Raureif::N,霜,härmatis
88,Regenbogen::N,虹,vikerkaar
89,Donner::N,雷,kõu
90,Donner::N,雷,müristamine
91,Strömung::N,水流,voolus
92,Strömung::N,水流,jõevool
93,Tropfen::N,滴,tilk
94,Schaum::N,泡沫,vaht
95,Schmutz::N,赃物,pori
96,Schmutz::N,赃物,mustus
97,See::N,湖,järv
98,Sumpf::N,沼泽,soo
99,Moor::N,沼泽,raba
100,Wiese::N,草地,aas
101,Wiese::N,草地,nurm
102,Wald::N,森林,mets
103,Hügel::N,丘陵,küngas
104,Anhöhe::N,山丘,küngas
105,Berg::N,山,mägi
106,Gipfel::N,峰,mäetipp
107,Höhle::N,洞穴,koobas
108,Abhang::N,斜坡,nõlvak
109,Quelle::N,泉,allikas
110,Bach::N,溪,oja
111,Fluss::N,河流,jõgi
112,Ufer::N,岸,kallas
113,Küste::N,海岸,rannik
114,Festland::N,大陆,mander
115,Festland::N,大陆,maismaa
116,Meer::N,海,meri
117,Bucht::N,海湾,laht
118,Insel::N,岛,saar
119,Blume::N,花,lill
120,Gras::N,草,rohi
121,Wurzel::N,根,juur
122,Baum::N,树,puu
123,Stamm::N,树干,tüvi
124,Rinde::N,树皮,koor
125,Ast::N,树枝,oks
126,Zweig::N,树枝,oks
127,Blatt::N,叶子,leht
128,Birke::N,桦木,kask
129,Kiefer[Baum]::N,松树,mänd
130,Weide[Baum]::N,柳树,paju
131,Tanne::N,冷杉,nulg
132,Horn::N,角,sarv
133,Feder::N,羽毛,sulg
134,Fell::N,皮毛,karvkate
135,Fell::N,皮毛,karusnahk
136,Flügel::N,翅膀,tiib
137,Flügel::N,翅膀,tiivik
138,Klaue::N,爪子,küüs
139,Kralle::N,爪子,küünis
140,Schwanz::N,尾巴,saba
141,Ei::N,蛋,muna
142,Nest::N,巢,pesa
143,Bau::N,穴,urg
144,Tier::N,动物,loom
145,Herde::N,群,kari
146,Kuh::N,母牛,lehm
147,Bulle::N,公牛,pull
148,Pferd::N,马,hobune
149,Schaf::N,羊,lammas
150,Schwein::N,猪,siga
151,Hund::N,狗,koer
152,Katze::N,猫,kass
153,Bär::N,熊,karu
154,Eichhörnchen::N,松鼠,orav
155,Elch::N,麋鹿,põder
156,Fuchs::N,狐狸,rebane
157,Hase::N,兔子,jänes
158,Maus::N,老鼠,hiir
159,Wolf::N,狼,hunt
160,Vogel::N,鸟,lind
161,Schwarm::N,群,parv
162,Huhn::N,鸡,kana
163,Hahn::N,公鸡,kukk
164,Gans::N,鹅,hani
165,Adler::N,鹰,kotkas
166,Ente::N,鸭,part
167,Eule::N,猫头鹰,kakk
168,Eule::N,猫头鹰,öökull
169,Kranich::N,鹤,kurg
170,Krähe::N,乌鸦,vares
171,Kuckuck::N,布谷鸟,kägu
172,Schwan::N,天鹅,luik
173,Fisch::N,鱼,kala
174,Barsch::N,鲈鱼,ahven
175,Hecht::N,狗鱼,haug
176,Schlange[Tier]::N,蛇,uss
177,Wurm::N,蠕虫,uss
178,Wurm::N,蠕虫,vagel
179,Spinne::N,蜘蛛,ämblik
180,Ameise::N,蚂蚁,sipelgas
181,Laus::N,虱子,täi
182,Mücke::N,蚊子,sääsk
183,Fliege::N,苍蝇,kärbes
184,Schmetterling::N,蝴蝶,liblikas
185,Beere::N,将果,mari
186,Apfel::N,苹果,õun
187,Pilz::N,蘑菇,seen
188,Zwiebel::N,洋葱,sibul
189,Saat::N,种子,seeme
190,Korn::N,谷粒,iva
191,Korn::N,谷粒,tera
192,Heu::N,干草,hein
193,Schale::N,壳,koor
194,Grube::N,坑,kaevand
195,Falle::N,圈套,lõks
196,Falle::N,圈套,püünis
197,Schlinge::N,活扣,aas
198,Spur::N,踪迹,jälg
199,Asche::N,灰烬,tuhk
200,Dreck::N,污垢,saast
201,Dreck::N,污垢,mustus
202,Eisen::N,铁,raud
203,Gold::N,金子,kuld
204,Silber::N,银,hõbe
205,Kohle::N,煤,süsi
206,Glas::N,玻璃,klaas
207,Lehm::N,粘土,savi
208,Sand::N,沙,liiv
209,Mensch::N,人,inimene
210,Mann::N,男子,mees
211,Frau::N,妇女,naine
212,Kind::N,小孩,laps
213,Junge::N,男孩,poiss
214,Mädchen::N,女孩,tüdruk
215,Familie::N,家庭,perekond
216,Großvater::N,祖父,vanaisa
217,Großmutter::N,祖母,vanaema
218,Eltern::N,父母,vanemad
219,Vater::N,父亲,isa
220,Mutter::N,母亲,ema
221,Sohn::N,儿子,poeg
222,Tochter::N,女儿,tütar
223,Bruder::N,兄弟,vend
224,Schwester::N,姐妹,õde
225,Onkel::N,伯父,onu
226,Tante::N,阿姨,tädi
227,Ehemann::N,丈夫,mees
228,Ehemann::N,丈夫,abikaasa
229,Ehefrau::N,妻子,naine
230,Ehefrau::N,妻子,abikaasa
231,Freude::N,愉快,rõõm
232,Gelächter::N,大笑,naer
233,Glück::N,运气,õnn
234,Kummer::N,苦恼,mure
235,Kummer::N,苦恼,kurbus
236,Wunsch::N,愿望,soov
237,Lust::N,乐趣,himu
238,Geist::N,精神,vaim
239,Gedanke::N,思想,mõte
240,Gedächtnis::N,记性,mälu
241,Verstand::N,理智,aru
242,Verstand::N,理智,mõistus
243,Sinn::N,感觉,tähendus
244,Grund::N,理由,põhjus
245,Wahrheit::N,真理,tõde
246,Gespräch::N,谈话,kõne
247,Gespräch::N,谈话,vestlus
248,Märchen::N,童话,muinasjutt
249,Erzählung::N,故事,jutustus
250,Nachricht::N,消息,teade
251,Neuigkeit::N,新闻,uudis
252,Name::N,名字,nimi
253,Rätsel::N,谜语,mõistatus
254,Rede::N,讲话,kõne
255,Sprache::N,语言,keel
256,Stimme::N,声音,hääl
257,Wort::N,词,sõna
258,Zeichen::N,标记,märk
259,Ruf::N,呼喊,hüüe
260,Lärm::N,噪音,müra
261,Laut::N,响声,hääl
262,Ton::N,声音,toon
263,Lied::N,歌曲,laul
264,Ruhe::N,安静,rahu
265,Ruhe::N,安静,vaikus
266,Leute::N,人们,inimesed
267,Volk::N,人民,rahvas
268,Arbeit::N,劳动,töö
269,Gast::N,客人,külaline
270,Geschenk::N,礼物,kingitus
271,Spiel::N,游戏,mäng
272,Gesellschaft::N,陪同,selts
273,Hilfe::N,帮助,abi
274,Freund::N,朋友,sõber
275,Kamerad::N,同志,sõber
276,Angelegenheit::N,事情,asi
277,Anzahl::N,数目,arv
278,Anzahl::N,数目,hulk
279,Art::N,种类,liik
280,Stück::N,块,tükk
281,Teil::N,部分,osa
282,Hälfte::N,一半,pool
283,Kreis::N,圆,ring
284,Kreuz::N,十字架,rist
285,Linie::N,线条,joon
286,Strich::N,划,joon
287,Abstand::N,距离,vahe
288,Entfernung::N,距离,kaugus
289,Entfernung::N,距离,vahemaa
290,Gegend::N,地区,ümbrus
291,Platz::N,场所,ruum
292,Ort::N,地点,paik
293,Seite::N,面,pool
294,Mitte::N,中间,keskpaik
295,Gegenstand::N,物品,ese
296,Sache::N,物,ese
297,Rand::N,边,äär
298,Rand::N,边,serv
299,Kante::N,棱,kant
300,Ecke::N,角,nurk
301,Spitze::N,尖,teravik
302,Ende::N,结尾,ots
303,Ende::N,结尾,jupp
304,Loch::N,洞,auk
305,Winkel::N,角度,nurk
306,Muster::N,模型,muster
307,Größe::N,大小,suurus
308,Länge::N,长度,pikkus
309,Höhe::N,高度,kõrgus
310,Gewicht::N,重量,kaal
311,Gewicht::N,重量,raskus
312,Menge::N,数量,arv
