,Concept_ID,lt,ku
0,Auge::N,akis,çav
1,Ohr::N,ausis,guh
2,Nase::N,nosis,bêvil
3,Mund::N,burna,dev
4,Zahn::N,dantis,didan
5,Zunge::N,liežuvis,ziman
6,Lippe::N,lūpa,lêv
7,Wange::N,žandas,dêm
8,Wange::N,žandas,hinarik
9,Wange::N,skruostas,dêm
10,Wange::N,skruostas,hinarik
11,Gesicht::N,veidas,rû
12,Stirn::N,kakta,enî
13,Haar::N,plaukai,por
14,Schnurrbart::N,ūsai,simbêl
15,Bart::N,barzda,rih
16,Kinn::N,smakras,zenî
17,Kiefer[Anatomie]::N,žandikaulis,arguşk
18,Kehle::N,gerklė,qirik
19,Hals::N,kaklas,stû
20,Hals::N,kaklas,qirik
21,Genick::N,sprandas,stû
22,Kopf::N,galva,serî
23,Rücken::N,nugara,pişt
24,Bauch::N,pilvas,ûr
25,Bauch::N,pilvas,zik
26,Nabel::N,bamba,navik
27,Busen::N,krūtinė,sîng
28,Brust::N,krūtis,sîng
29,Schulter::N,petys,mil
30,Arm::N,ranka,çepil
31,Ellenbogen::N,alkūnė,enîşk
32,Hand::N,ranka,dest
33,Hand::N,plaštaka,dest
34,Handfläche::N,delnas,kefadest
35,Handfläche::N,plaštaka,kefadest
36,Finger::N,pirštas,tilî
37,Fingernagel::N,nagas,neynuk
38,Nagel[Anatomie]::N,nagas,bizmar
39,Zeh::N,pirštas,tilî linga
40,Fuß::N,pėda,ling
41,Ferse::N,kulnas,pahnî
42,Knie::N,kelis,kabok
43,Oberschenkel::N,kulšis,rahn
44,Oberschenkel::N,šlaunis,rahn
45,Bein::N,koja,çip
46,Körper::N,kūnas,laş
47,Körper::N,kūnas,gowde
48,Haut::N,oda,çerm
49,Blut::N,kraujas,xwîn
50,Ader::N,kraujagyslė,reh
51,Sehne::N,sausgyslė,reh
52,Knochen::N,kaulas,hestî
53,Gehirn::N,smegenys,mêjî
54,Herz::N,širdis,dil
55,Magen::N,skrandis,navêş
56,Leber::N,kepenys,kezeb
57,Atem::N,kvapas,hilm
58,Hunger::N,badas,birçîtî
59,Hunger::N,alkis,birçîtî
60,Träne::N,ašara,hêstir
61,Geschmack::N,skonis,tam
62,Geruch::N,kvapas,bêhn
63,Schlaf::N,miegas,xew
64,Traum::N,sapnas,xewn
65,Himmel::N,dangus,ezman
66,Sonne::N,saulė,roj
67,Mond::N,mėnulis,heyv
68,Stern::N,žvaigždė,stêrk
69,Luft::N,oras,ba
70,Wind::N,vėjas,ba
71,Welle::N,banga,şewl
72,Welle::N,vilnis,şewl
73,Wasser::N,vanduo,av
74,Stein::N,akmuo,kevir
75,Boden::N,žemė,herd
76,Boden::N,dugnas,herd
77,Erde::N,žemė,ax
78,Staub::N,dulkės,toz
79,Rauch::N,dūmai,dû
80,Funke::N,kibirkštis,çirûşk
81,Feuer::N,ugnis,agir
82,Licht::N,šviesa,ronahî
83,Schatten::N,paūksmė,sî
84,Wetter::N,oras,hewa
85,Nebel::N,migla,mij
86,Nebel::N,rūkas,mij
87,Wolke::N,debesis,ewr
88,Regen::N,lietus,baran
89,Schnee::N,sniegas,berf
90,Eis::N,ledas,qeşa
91,Frost::N,šalna,xûsik
92,Kälte::N,šaltis,serma
93,Hitze::N,karštis,germayî
94,Raureif::N,šerkšnas,şext
95,Regenbogen::N,vaivorykštė,heftreng
96,Donner::N,perkūnas,gire-gir
97,Donner::N,griaustinis,gire-gir
98,Strömung::N,tėkmė,şewl
99,Tropfen::N,lašas,dilop
100,Schaum::N,putos,kef
101,Schmutz::N,purvas,gemar
102,See::N,ežeras,gol
103,Sumpf::N,klampynė,hezek
104,Sumpf::N,liūnas,hezek
105,Moor::N,pelkė,mafêl
106,Wiese::N,pieva,sûrik
107,Wald::N,miškas,çiya
108,Wald::N,miškas,daristan
109,Hügel::N,kalva,gir
110,Anhöhe::N,kauburys,sere gir
111,Berg::N,kalnas,kaş
112,Gipfel::N,viršūnė,sere gir
113,Höhle::N,ola,şikeft
114,Abhang::N,šlaitas,kaş
115,Abhang::N,nuokalnė,kaş
116,Quelle::N,versmė,kanî
117,Quelle::N,šaltinis,kanî
118,Bach::N,upelis,çem
119,Fluss::N,upė,çem
120,Fluss::N,upė,rûbar
121,Ufer::N,krantas,kevî
122,Küste::N,pajūris,berav
123,Festland::N,sausuma,bejahî
124,Meer::N,jūra,behr
125,Bucht::N,įlanka,derav
126,Bucht::N,užutekis,derav
127,Insel::N,sala,girav
128,Blume::N,gėlė,kulînk
129,Gras::N,žolė,giha
130,Wurzel::N,šaknis,reh
131,Baum::N,medis,dar
132,Stamm::N,kamienas,bavik
133,Rinde::N,žievė,qaqil
134,Ast::N,šaka,gulî
135,Zweig::N,šakelė,şax
136,Blatt::N,lapas,pel
137,Birke::N,beržas,dara sipî
138,Kiefer[Baum]::N,pušis,dara bî
139,Weide[Baum]::N,karklas,dara belalûk
140,Tanne::N,eglė,merx
141,Tanne::N,kėnis,merx
142,Horn::N,ragas,strô
