,Concept_ID,bg,ru
0,Auge::N,око,глаз
1,Ohr::N,ухо,ухо
2,Nase::N,нос,нос
3,Mund::N,уста,рот
4,Zahn::N,зъб,зуб
5,Zunge::N,език,язык
6,Lippe::N,устна,губа
7,Wange::N,буза,щека
8,Gesicht::N,лице,лицо
9,Gesicht::N,образ,лицо
10,Stirn::N,чело,лоб
11,Haar::N,коса,волос
12,Haar::N,коса,волосы
13,Haar::N,косъм,волос
14,Haar::N,косъм,волосы
15,Schnurrbart::N,мустаци,ус
16,Schnurrbart::N,мустаци,усы
17,Bart::N,брада,борода
18,Kinn::N,брада,подбородок
19,Kinn::N,брадичка,подбородок
20,Kiefer[Anatomie]::N,челюст,челюсть
21,Kehle::N,гърло,горло
22,Hals::N,врат,шея
23,Genick::N,тил,затылок
24,Kopf::N,глава,голова
25,Rücken::N,гръб,спина
26,Bauch::N,корем,живот
27,Nabel::N,пъп,пупок
28,Busen::N,бозка,женская грудь
29,Brust::N,гръд,грудь
30,Schulter::N,рамо,плечо
31,Schulter::N,плещи,плечо
32,Arm::N,ръка,рука
33,Ellenbogen::N,лакът,локоть
34,Hand::N,ръка,кисть
35,Hand::N,китка,кисть
36,Handfläche::N,длан,ладонь
37,Finger::N,пръст,палец
38,Fingernagel::N,нокът,ноготь
39,Nagel[Anatomie]::N,нокът,ноготь
40,Zeh::N,пръст на крак,палец
41,Fuß::N,крак,ступня
42,Fuß::N,нога,ступня
43,Ferse::N,пета,пята
44,Ferse::N,пета,пятка
45,Knie::N,коляно,колено
46,Oberschenkel::N,бедро,бедро
47,Bein::N,крак,нога
48,Bein::N,нога,нога
49,Körper::N,тяло,тело
50,Haut::N,кожа,кожа
51,Blut::N,кръв,кровь
52,Ader::N,вена,вена
53,Ader::N,вена,сосуд
54,Ader::N,артерия,вена
55,Ader::N,артерия,сосуд
56,Sehne::N,жила,жила
57,Sehne::N,жила,тетива
58,Sehne::N,жила,сухожилие
59,Sehne::N,сухожилие,жила
60,Sehne::N,сухожилие,тетива
61,Sehne::N,сухожилие,сухожилие
62,Knochen::N,кост,кость
63,Gehirn::N,мозък,мозг
64,Herz::N,сърце,сердце
65,Magen::N,стомах,желудок
66,Leber::N,черен дроб,печень
67,Atem::N,дишане,дух
68,Atem::N,дишане,дыхание
69,Hunger::N,глад,голод
70,Träne::N,сълза,слеза
71,Geschmack::N,вкус,вкус
72,Geruch::N,миризма,запах
73,Schlaf::N,сън,сон
74,Traum::N,сън,сновидение
75,Himmel::N,небе,небо
76,Sonne::N,слънце,солнце
77,Mond::N,луна,луна
78,Mond::N,месец,луна
79,Stern::N,звезда,звезда
80,Luft::N,въздух,воздух
81,Wind::N,вятър,ветер
82,Welle::N,вълна,волна
83,Wasser::N,вода,вода
84,Stein::N,камък,камень
85,Boden::N,земя,почва
86,Boden::N,почва,почва
87,Erde::N,земя,земля
88,Erde::N,почва,земля
89,Staub::N,прах,пыль
90,Rauch::N,дим,дым
91,Rauch::N,пушек,дым
92,Funke::N,искра,искра
93,Feuer::N,огън,огонь
94,Licht::N,светлина,свет
95,Schatten::N,сянка,тень
96,Wetter::N,време,погода
97,Nebel::N,мъгла,туман
98,Wolke::N,облак,облако
99,Regen::N,дъжд,дождь
100,Schnee::N,сняг,снег
101,Eis::N,лед,лед
102,Frost::N,мраз,мороз
103,Kälte::N,студ,холод
104,Hitze::N,жега,жара
105,Hitze::N,горещина,жара
106,Raureif::N,скреж,иней
107,Raureif::N,слана,иней
108,Regenbogen::N,дъга,радуга
109,Donner::N,гръм,гром
110,Strömung::N,течение,течение
111,Tropfen::N,капка,капля
112,Schaum::N,пяна,пена
113,Schmutz::N,кал,грязь
114,Schmutz::N,мръсотия,грязь
115,See::N,езеро,озеро
116,Sumpf::N,блато,топь
117,Moor::N,мочурище,болото
118,Wiese::N,ливада,луг
119,Wald::N,гора,лес
120,Hügel::N,рид,холм
121,Hügel::N,хълм,холм
122,Anhöhe::N,могила,возвышенность
123,Anhöhe::N,възвишение,возвышенность
124,Berg::N,планина,гора
125,Gipfel::N,връх,вершина
126,Höhle::N,пещера,пещера
127,Abhang::N,склон,склон
128,Abhang::N,стръмнина,склон
129,Quelle::N,извор,источник
130,Bach::N,поток,ручей
131,Fluss::N,река,река
132,Ufer::N,бряг,берег
133,Küste::N,бряг,побережье
134,Küste::N,крайбрежие,побережье
135,Festland::N,суша,суша
136,Meer::N,море,море
137,Bucht::N,залив,бухта
138,Insel::N,остров,остров
139,Blume::N,цвете,цветок
140,Gras::N,трева,трава
141,Wurzel::N,корен,корень
142,Baum::N,дърво,дерево
143,Stamm::N,стъбло,ствол
144,Rinde::N,кора,кора
145,Ast::N,клон,сук
146,Zweig::N,клон,ветвь
147,Blatt::N,лист,лист
148,Birke::N,бреза,береза
149,Kiefer[Baum]::N,бор,сосна
150,Weide[Baum]::N,върба,ива
151,Tanne::N,ела,ель
152,Horn::N,рог,рог
153,Feder::N,перо,перо
154,Fell::N,кожа,шкура
155,Flügel::N,крило,крыло
156,Klaue::N,нокът,коготь
157,Kralle::N,нокът,лапа
158,Schwanz::N,опашка,хвост
159,Ei::N,яйце,яйцо
160,Nest::N,гнездо,гнездо
161,Bau::N,дупка,нора
162,Tier::N,животно,животное
163,Herde::N,стадо,стадо
164,Kuh::N,крава,корова
165,Bulle::N,бик,бык
166,Pferd::N,кон,лошадь
167,Schaf::N,овца,овца
168,Schwein::N,свиня,свинья
169,Hund::N,куче,собака
170,Katze::N,котка,кошка
171,Bär::N,мечка,медведь
172,Eichhörnchen::N,катерица,белка
173,Elch::N,лос,лось
174,Fuchs::N,лисица,лиса
175,Hase::N,заек,заяц
176,Maus::N,мишка,мышь
177,Wolf::N,вълк,волк
178,Vogel::N,птица,птица
179,Schwarm::N,рой,стая
180,Schwarm::N,рояк,стая
181,Huhn::N,кокошка,курица
182,Hahn::N,петел,петух
183,Gans::N,гъска,гусь
184,Adler::N,орел,орел
185,Ente::N,патица,утка
186,Eule::N,сова,сова
187,Kranich::N,жерав,журавль
188,Krähe::N,врана,ворона
189,Kuckuck::N,кукувица,кукушка
190,Schwan::N,лебед,лебедь
191,Fisch::N,риба,рыба
192,Barsch::N,костур,окунь
193,Hecht::N,щука,щука
194,Schlange[Tier]::N,змия,змея
195,Wurm::N,червей,червяк
196,Spinne::N,паяк,паук
197,Ameise::N,мравка,муравей
198,Laus::N,въшка,вошь
199,Mücke::N,комар,комар
200,Fliege::N,муха,муха
201,Schmetterling::N,пеперуда,бабочка
202,Beere::N,плод,ягода
203,Apfel::N,ябълка,яблоко
204,Pilz::N,гъба,гриб
205,Zwiebel::N,лук,луковица
