,Concept_ID,vep,ga
0,Auge::N,sil'm,súil
1,Ohr::N,korv,cluas
2,Nase::N,nena,soc
3,Mund::N,su,béal
4,Zahn::N,pi,fiacail
5,Zahn::N,hambaz,fiacail
6,Zunge::N,kel',teanga
7,Lippe::N,hul',liopa
8,Wange::N,modpolišk,grua
9,Wange::N,modpolišk,leiceann
10,Gesicht::N,mod,éadan
11,Gesicht::N,mod,aghaidh
12,Stirn::N,oc,baithis
13,Stirn::N,oc,clár éadain
14,Haar::N,tuk,gruaig
15,Haar::N,hibuz,gruaig
16,Schnurrbart::N,habinod,croiméal
17,Bart::N,bard,féasóg
18,Kinn::N,löug,smig
19,Kiefer[Anatomie]::N,hambazlu,giall
20,Kehle::N,kurk,scornach
21,Hals::N,kagl,muinéal
22,Genick::N,tagarai,baic
23,Kopf::N,pä,ceann
24,Rücken::N,sel'g,droim
25,Bauch::N,vac,bolg
26,Bauch::N,koht,bolg
27,Nabel::N,naba,imleacán
28,Busen::N,niža,cíoch
29,Brust::N,rind,brollach
30,Schulter::N,oug,gualainn
31,Arm::N,käzi,lámh
32,Ellenbogen::N,künambruz,uillinn
33,Hand::N,käzi,lámh
34,Hand::N,käzitera,lámh
35,Handfläche::N,kämen,bos
36,Finger::N,sor'm,méar
37,Fingernagel::N,künz',ionga
38,Nagel[Anatomie]::N,künz',ionga
39,Zeh::N,barbaz,ladhar
40,Fuß::N,jaug,cos
41,Fuß::N,jaug,troigh
42,Ferse::N,kand,sáil
43,Knie::N,komb,glúin
44,Knie::N,pol'v,glúin
45,Oberschenkel::N,riiže,ceathrú
46,Bein::N,jaug,cos
47,Körper::N,hibj,corp
48,Körper::N,hibj,colainn
49,Haut::N,nahk,cneas
50,Haut::N,nahk,craiceann
51,Blut::N,čak,fuil
52,Blut::N,veri,fuil
53,Ader::N,son',
54,Sehne::N,jände,teannán
55,Sehne::N,jände,féitheog
56,Knochen::N,lu,cnámh
57,Gehirn::N,aivod,inchinn
58,Herz::N,südäin,croí
59,Magen::N,südäikoht,bolg
60,Magen::N,südäikoht,goile
61,Leber::N,maks,ae
62,Atem::N,hengaiduz,anáil
63,Hunger::N,näl'g,ocras
64,Träne::N,kündal',deoir
65,Geschmack::N,magu,blas
66,Geruch::N,haju,boladh
67,Schlaf::N,uni,suan
