,Concept_ID,lt,be
0,Auge::N,akis,вока
1,Ohr::N,ausis,вуха
2,Nase::N,nosis,нос
3,Mund::N,burna,рот
4,Zahn::N,dantis,зуб
5,Zunge::N,liežuvis,язык
6,Lippe::N,lūpa,губа
7,Wange::N,žandas,шчака
8,Wange::N,skruostas,шчака
9,Gesicht::N,veidas,твар
10,Stirn::N,kakta,лоб
11,Haar::N,plaukai,волас
12,Haar::N,plaukai,валасы
13,Schnurrbart::N,ūsai,вус
14,Schnurrbart::N,ūsai,вусы
15,Bart::N,barzda,барада
16,Kinn::N,smakras,падбародак
17,Kiefer[Anatomie]::N,žandikaulis,сківіца
18,Kehle::N,gerklė,горла
19,Hals::N,kaklas,шыя
20,Genick::N,sprandas,патыліца
21,Kopf::N,galva,галава
22,Rücken::N,nugara,спіна
23,Bauch::N,pilvas,жывот
24,Nabel::N,bamba,пупок
25,Busen::N,krūtinė,грудзі
26,Brust::N,krūtis,грудзі
27,Schulter::N,petys,плячо
28,Arm::N,ranka,рука
29,Ellenbogen::N,alkūnė,локаць
30,Hand::N,ranka,кісць
31,Hand::N,plaštaka,кісць
32,Handfläche::N,delnas,далонь
33,Handfläche::N,plaštaka,далонь
34,Finger::N,pirštas,палец
35,Fingernagel::N,nagas,ногаць
36,Nagel[Anatomie]::N,nagas,ногаць
37,Zeh::N,pirštas,палец
38,Fuß::N,pėda,нага
39,Ferse::N,kulnas,пята
40,Ferse::N,kulnas,пятка
41,Knie::N,kelis,калена
42,Oberschenkel::N,kulšis,бядро
43,Oberschenkel::N,kulšis,сцягно
44,Oberschenkel::N,šlaunis,бядро
45,Oberschenkel::N,šlaunis,сцягно
46,Bein::N,koja,нага
47,Körper::N,kūnas,цела
48,Haut::N,oda,скура
49,Blut::N,kraujas,кроў
50,Ader::N,kraujagyslė,вена
51,Ader::N,kraujagyslė,сасуд
52,Sehne::N,sausgyslė,жыла
53,Sehne::N,sausgyslė,цеціва
54,Sehne::N,sausgyslė,сухажылле
55,Knochen::N,kaulas,косць
56,Gehirn::N,smegenys,мозг
57,Herz::N,širdis,сэрца
58,Magen::N,skrandis,страўнік
59,Leber::N,kepenys,печань
60,Atem::N,kvapas,дыханне
61,Hunger::N,badas,голад
62,Hunger::N,alkis,голад
63,Träne::N,ašara,сляза
64,Geschmack::N,skonis,смак
65,Geruch::N,kvapas,пах
66,Schlaf::N,miegas,сон
67,Traum::N,sapnas,сон
68,Himmel::N,dangus,неба
69,Sonne::N,saulė,сонца
70,Mond::N,mėnulis,месяц
71,Stern::N,žvaigždė,зорка
72,Luft::N,oras,паветра
73,Wind::N,vėjas,вецер
74,Welle::N,banga,хваля
75,Welle::N,vilnis,хваля
76,Wasser::N,vanduo,вада
77,Stein::N,akmuo,камень
78,Boden::N,žemė,глеба
79,Boden::N,dugnas,глеба
80,Erde::N,žemė,зямля
81,Staub::N,dulkės,пыл
82,Rauch::N,dūmai,дым
83,Funke::N,kibirkštis,іскра
84,Feuer::N,ugnis,агонь
85,Licht::N,šviesa,святло
86,Schatten::N,paūksmė,цень
87,Wetter::N,oras,пагода
88,Wetter::N,oras,надворʼе
89,Nebel::N,migla,туман
90,Nebel::N,rūkas,туман
91,Wolke::N,debesis,воблака
92,Regen::N,lietus,дождж
93,Schnee::N,sniegas,снег
94,Eis::N,ledas,лёд
95,Frost::N,šalna,мароз
96,Kälte::N,šaltis,холад
97,Hitze::N,karštis,спёка
98,Raureif::N,šerkšnas,іней
99,Regenbogen::N,vaivorykštė,вясёлка
100,Donner::N,perkūnas,гром
101,Donner::N,griaustinis,гром
