,Concept_ID,sk,xal
0,Auge::N,oko,нүдн
1,Ohr::N,ucho,чикн
2,Nase::N,nos,хамр
3,Mund::N,ústa,амн
4,Zahn::N,zub,шүдн
5,Zunge::N,jazyk,келн
6,Lippe::N,pera,урл
7,Wange::N,líce,халх
8,Gesicht::N,tvár,нүр
9,Gesicht::N,obličaj,нүр
10,Stirn::N,čelo,маңна
11,Haar::N,vlas,үсн
12,Schnurrbart::N,fúzy,сахл
13,Bart::N,brada,сахл
14,Bart::N,brada,өргнә сахл
15,Kinn::N,brada,өргн
16,Kiefer[Anatomie]::N,čeľusť,өргн
17,Kehle::N,hrdlo,хол
18,Hals::N,krk,күзүн
19,Genick::N,väzy,гиҗг
20,Kopf::N,hlava,толһа
21,Rücken::N,chrbát,нурһн
22,Bauch::N,brucho,гесн
23,Nabel::N,pupok,киисн
24,Busen::N,prsia,көкн
25,Brust::N,hruď,чееҗ
26,Schulter::N,plece,ээм
27,Arm::N,rameno,һар
28,Ellenbogen::N,lakeť,тоха
29,Hand::N,ruka,баһлцг
30,Handfläche::N,dlaň,альхн
31,Finger::N,prst,хурһн
32,Finger::N,prst,һарин хурһн
33,Fingernagel::N,necht,хумсн
34,Nagel[Anatomie]::N,necht,хумсн
35,Zeh::N,prst na nohe,хурһн
36,Zeh::N,prst na nohe,көлин хурһн
37,Fuß::N,noha,тавг
38,Ferse::N,päta,өскә
39,Knie::N,koleno,өвдг
40,Oberschenkel::N,stehno,һуй
41,Bein::N,noha,көл
42,Körper::N,telo,махмуд
43,Haut::N,koža,арсн
44,Blut::N,krv,цусн
45,Ader::N,žila,судцн
46,Sehne::N,šľacha,шүрүсн
47,Knochen::N,kosť,ясн
48,Gehirn::N,mozog,экн
49,Herz::N,srdce,зүркн
50,Magen::N,žalúdok,гесн
51,Leber::N,pečeň,элкн
52,Atem::N,dych,әмсхл
53,Hunger::N,hlad,харһнлһн
54,Träne::N,slza,нульмсн
55,Geschmack::N,chuť,амтн
56,Geruch::N,pach,үнр
57,Schlaf::N,spánok,нөр
58,Traum::N,sen,зүүдн
59,Himmel::N,nebo,теңгр
60,Sonne::N,slnko,нарн
61,Mond::N,mesiac,сар
62,Stern::N,hviezda,одн
63,Luft::N,vzduch,аһар
64,Wind::N,vietor,салькн
65,Welle::N,vlna,дольган
66,Wasser::N,voda,усн
67,Stein::N,kameň,чолун
68,Boden::N,zem,Һазр
69,Boden::N,pôda,Һазр
70,Erde::N,zem,Һазр
71,Staub::N,prach,тоосн
72,Rauch::N,dym,утан
73,Funke::N,iskra,очн
74,Feuer::N,oheň,һал
75,Licht::N,svetlo,герл
76,Schatten::N,tieň,сүүдр
77,Wetter::N,počasie,теңгр
78,Nebel::N,hmla,будн
79,Wolke::N,oblak,үүлн
80,Wolke::N,mračno,үүлн
81,Regen::N,dážď,хур
82,Schnee::N,sneh,цасн
83,Eis::N,ľad,мөсн
84,Frost::N,mráz,киитн
85,Kälte::N,zima,киитн
