,Concept_ID,br,ka
0,Auge::N,lagad,თვალი
1,Ohr::N,skouarn,ყური
2,Nase::N,fri,ცხვირი
3,Mund::N,genoù,პირი
4,Zahn::N,dant,კბილი
5,Zunge::N,teod,ენა
6,Lippe::N,muzell,ბაგე
7,Wange::N,chot,ლოყა
8,Gesicht::N,dremm,სახე
9,Stirn::N,tal,შუბლი
10,Haar::N,blev,თმა
11,Schnurrbart::N,mourenn,ულვაში
12,Bart::N,barv,წვერი
13,Kinn::N,groñj,ნიკაპი
14,Kiefer[Anatomie]::N,javed,ყბა
15,Kehle::N,gouzoug,ყელი
16,Hals::N,gouzoug,ყელი
17,Hals::N,gouzoug,კისერი
18,Genick::N,choug,კეფა
19,Kopf::N,penn,თავი
20,Rücken::N,kein,ზურგი
21,Bauch::N,kof,მუცელი
22,Nabel::N,begel,ჭიპი
23,Busen::N,bronn,ძუძუ
24,Brust::N,bruched,მკერდი
25,Schulter::N,skoaz,მხარი
26,Schulter::N,skoaz,მკლავი
27,Arm::N,brec'h,ხელი
28,Ellenbogen::N,ilin,იდაყვი
29,Hand::N,dorn,ხელი
30,Handfläche::N,palv,ნები
31,Handfläche::N,palv,ხელისგული
32,Finger::N,biz,თითი
33,Fingernagel::N,ivin,ფრჩხილი
34,Nagel[Anatomie]::N,ivin,ფრჩხილი
35,Zeh::N,biz-troad,ფეხის თითი
36,Fuß::N,troad,ტერფი
37,Fuß::N,troad,ფეხისგული
38,Ferse::N,seul,ქუსლი
39,Knie::N,glin,მუხლი
40,Oberschenkel::N,morzhed,ბარძაყი
41,Bein::N,gar,ფეხი
42,Körper::N,korf,ტანი
43,Körper::N,korf,სხეული
44,Haut::N,kroc'hen,კანი
45,Blut::N,gwad,სისხლი
46,Ader::N,gwazhi,ძარღვი
47,Sehne::N,stir,მყესი
48,Knochen::N,askorn,ძვალი
49,Gehirn::N,empenn,ტვინი
50,Herz::N,kalon,გული
51,Magen::N,stomog,კუჭი
52,Leber::N,avu,ღვიძლი
53,Atem::N,anal,სუნთქვა
54,Hunger::N,naon,შიმშილი
55,Träne::N,daer,ცრემლი
56,Geschmack::N,blaz,გემო
57,Geruch::N,c'hwezh,სუნი
58,Schlaf::N,kousked,ძილი
59,Traum::N,hune,სიზმარი
60,Himmel::N,oabl,ცა
61,Sonne::N,heol,მზე
62,Mond::N,loar,მთვარე
63,Stern::N,steredenn,ვარსკვლავი
64,Luft::N,aer,ჰაერი
65,Wind::N,avel,ქარი
66,Welle::N,houlenn,ტალღა
67,Wasser::N,dour,წყალი
68,Stein::N,maen,ქვა
69,Boden::N,tachenn,მიწა
70,Erde::N,douar,ნიადაგი
71,Staub::N,poultr,მტვერი
72,Rauch::N,moged,ბოლი
73,Rauch::N,moged,კვამლი
74,Funke::N,ful,ნაკვესი
75,Feuer::N,tan,ცეცხლი
76,Licht::N,gouloù,შუქი
77,Licht::N,gouloù,სინათლე
78,Schatten::N,disheol,ლანდი
79,Schatten::N,disheol,ჩრდილი
80,Wetter::N,amzer,ამინდი
81,Nebel::N,brumenn,ნისლი
82,Wolke::N,koumoulenn,ღრუბელი
83,Regen::N,glav,წვიმა
84,Schnee::N,erc'h,თოვლი
85,Eis::N,skorn,თოში
86,Eis::N,skorn,ყინული
87,Frost::N,rev,ყინვა
88,Kälte::N,yen,სიცივე
89,Hitze::N,tommder,სიცხე
90,Raureif::N,frim,ჭირხლი
91,Raureif::N,frim,თრთვილი
92,Regenbogen::N,gwareg-ar-glav,ცისარტყელა
93,Donner::N,kurun,ქუხილი
94,Strömung::N,red,დინება
95,Tropfen::N,bannac'h,წვეთი
96,Tropfen::N,takenn,წვეთი
97,Schaum::N,spoum,ქაფი
98,Schaum::N,spoum,დორბლი
99,Schmutz::N,fank,ჭუჭყი
100,Schmutz::N,fank,ტალახი
101,See::N,lenn,ტბა
102,Sumpf::N,gwern,ჭაობი
103,Moor::N,taouarc'heg,ტორფნარი
104,Wiese::N,prad,ველი
105,Wiese::N,prad,მდელო
106,Wald::N,koad,ტყე
107,Hügel::N,torgenn,ბორცვი
108,Anhöhe::N,run,მაღლობი
109,Berg::N,menez,მთა
110,Gipfel::N,barr,მწვერვალი
111,Höhle::N,kav,მღვიმე
112,Höhle::N,kav,გამოქვებული
113,Abhang::N,naou,ფერდობი
114,Quelle::N,feunteun,წყარო
115,Quelle::N,feunteun,სათავე
116,Bach::N,gwazh,რუ
117,Bach::N,gwazh,ნაკადული
118,Fluss::N,stêr,მდინარე
119,Ufer::N,ribl,კიდე
120,Ufer::N,ribl,ნაპირი
121,Küste::N,aod,ნაპირი
122,Festland::N,douar,ხმელეთი
123,Meer::N,mor,ზღვა
124,Bucht::N,mor-bihan,ყურე
125,Insel::N,enez,კუნძული
126,Blume::N,bleunienn,ყვავილი
127,Gras::N,geot,ბალახი
128,Wurzel::N,gwrizienn,ძირი
129,Wurzel::N,gwrizienn,ფესვი
130,Baum::N,gwezenn,ხე
131,Stamm::N,kef,ტანი
132,Rinde::N,rusk,ქერქი
133,Ast::N,barr,ტოტი
134,Zweig::N,bod,შტო
135,Blatt::N,delienn,ფოთოლი
136,Birke::N,bezvenn,არყი
137,Kiefer[Baum]::N,pinenn,ფიჭვი
138,Weide[Baum]::N,halegenn,ტირიფი
139,Tanne::N,sapenn,ნაძვი
140,Horn::N,korn,რქა
141,Feder::N,pluñv,ფრთა
142,Fell::N,kreoñ,ტყავი
143,Flügel::N,askell,ფრთა
144,Klaue::N,skilf,კლანჭი
145,Kralle::N,skilf,ტორი
146,Schwanz::N,lost,კუდი
147,Ei::N,vi,კვერცხი
148,Nest::N,neizh,ბუდე
149,Bau::N,douarenn,სორო
150,Tier::N,loen,ნადირი
151,Tier::N,loen,ცხოველი
152,Herde::N,tropell,ფარა
153,Kuh::N,buoc'h,ფური
154,Kuh::N,buoc'h,ძროხა
155,Bulle::N,tarv,ხარი
156,Pferd::N,marc'h,რაში
157,Pferd::N,marc'h,ცხენი
158,Schaf::N,dañvad,ცხვარი
159,Schwein::N,pemoc'h,ღორი
160,Hund::N,ki,ძაღლი
161,Katze::N,kazh,კატა
162,Bär::N,arzh,დათვი
163,Eichhörnchen::N,gwiñver,ციყვი
164,Elch::N,karv-dour,ცხენ-ირემი
165,Fuchs::N,louarn,მელა
166,Hase::N,gad,კურდღელი
167,Maus::N,logodenn,თაგვი
168,Wolf::N,bleiz,მგელი
169,Vogel::N,labous,ჩიტი
