,Concept_ID,mrj,uz
0,Auge::N,сӹнзӓ,ko'z
1,Ohr::N,пӹлӹш,quloq
2,Nase::N,нер,burun
3,Mund::N,ышма,og'iz
4,Zahn::N,пӱ,tish
5,Zunge::N,йӹлмӹ,til
6,Lippe::N,тӹрвӹ,dudoq
7,Wange::N,шӹргӹ,bet
8,Gesicht::N,лицӓ,yuz
9,Stirn::N,лепкӓ,manglay
10,Haar::N,ӱп,soch
11,Schnurrbart::N,öрш,mo'ylov
12,Bart::N,пандаш,soqol
13,Kinn::N,онгылаш,ängak
14,Kiefer[Anatomie]::N,пӱ арата,iyak
15,Kehle::N,логер,bo'g'iz
16,Hals::N,шӱ,bo'yin
17,Genick::N,ланга,gardan
18,Kopf::N,вуй,bosh
19,Rücken::N,туп,orqa
20,Bauch::N,мӹшкӹр,qorin
21,Nabel::N,кӹлӹмдӹ,kindik
22,Busen::N,цӹзӹ,ämchak
23,Brust::N,мел,ko'krak
24,Schulter::N,ӹнгӹжӓ,elka
25,Arm::N,кид,bilak
26,Ellenbogen::N,кӹнервуй,tirsak
27,Hand::N,лапа,qo'l
28,Handfläche::N,кид лапа,kaft
29,Finger::N,парня,barmoq
30,Fingernagel::N,кӹч,tirnoq
31,Nagel[Anatomie]::N,кӹч,tirnoq
32,Zeh::N,парня,oyoq barmog'i
33,Fuß::N,ял лапа,oyoq
34,Ferse::N,ялгавал,tovon
35,Ferse::N,ял кавал,tovon
36,Knie::N,пылвуй,tiz
37,Oberschenkel::N,ӓрдӹ,son
38,Bein::N,ял,oyoq
39,Körper::N,монгыр,badna
40,Haut::N,кавашты,teri
41,Blut::N,вӹр,qon
42,Ader::N,вӹршӓр,qon tomir
43,Sehne::N,кукшышӱн,tomir
44,Knochen::N,лу,suyak
45,Gehirn::N,вим,miya
46,Herz::N,шӱм,qalb
47,Magen::N,шӱм,oshqozon
48,Leber::N,мокш,bag'ir
49,Atem::N,шӱлӹш,dam
50,Hunger::N,шужымаш,ochlik
51,Träne::N,сӹнзӓвӹд,yosh
52,Geschmack::N,тот,tam
53,Geruch::N,пыш,jid
54,Schlaf::N,ом,uyqu
55,Traum::N,ом,tush
56,Himmel::N,пӹлгом,osmon
57,Sonne::N,кечӹ,quyosh
58,Mond::N,тӹлзӹ,oy
59,Stern::N,шӹдӹр,yulduz
60,Luft::N,юж,havo
61,Luft::N,воздух,havo
62,Wind::N,мардеж,el
63,Welle::N,ко,to'lqin
64,Welle::N,коэ,to'lqin
65,Wasser::N,вӹд,suv
66,Stein::N,кӱ,tosh
67,Boden::N,рок,tuproq
68,Erde::N,свет,er
69,Staub::N,пырак,chang
70,Rauch::N,шӹкш,tutun
71,Funke::N,ип,yalt
72,Funke::N,тылип,yalt
73,Feuer::N,тыл,o't
74,Licht::N,соты,yorug'
75,Licht::N,валгыды,yorug'
76,Schatten::N,ӹмӹл,soya
77,Wetter::N,игечӹ,havo
78,Nebel::N,тӹтӹрӓ,tuman
79,Wolke::N,пӹл,bulut
80,Regen::N,юр,yomg'ir
81,Schnee::N,лым,qor
82,Eis::N,и,muz
83,Frost::N,ӱштӹ,ajoz
84,Kälte::N,ӱштӹ,ajoz
85,Hitze::N,шокшы,issiq
86,Raureif::N,пöрш,qirov
87,Regenbogen::N,шанавӹл,kamalak
88,Donner::N,хӹдӹртӹш,guldur
89,Strömung::N,йогы,oqim
90,Tropfen::N,капльы,tomchi
91,Tropfen::N,капльык,tomchi
92,Schaum::N,шонг,ko'pik
93,Schmutz::N,лявӹрӓ,gard
94,See::N,йӓр,ko'l
95,Sumpf::N,лӱкӹ,botqoq
96,Moor::N,куп,qir-adir
97,Wiese::N,алык,o'tzor
98,Wald::N,шӹргӹ,o'rmon
99,Hügel::N,пӱгӹрикӓ,tepa
100,Anhöhe::N,кӱкшикӓ,adir
101,Berg::N,кырык,tog'
102,Gipfel::N,неркӓ,cho'qqi
103,Höhle::N,ы́раж,kavak
104,Abhang::N,полом,to'sh
105,Quelle::N,вӹдсӹнзӓ,buloq
106,Bach::N,ӓнгӹр,o'zan
107,Fluss::N,вӹд,daryo
108,Ufer::N,сир,sohil
109,Küste::N,сир,qirg'oq
110,Festland::N,мӱлӓндӹ,materik
111,Meer::N,тангыж,dengiz
112,Bucht::N,вӹдъял,qo'ltiq
113,Insel::N,острок,orol
114,Blume::N,пеледӹш,gul
115,Gras::N,шуды,sabza
116,Wurzel::N,важ,tub
117,Wurzel::N,важ,tomir
118,Baum::N,пушӓнгӹ,daraxt
119,Stamm::N,пушӓнгӹ тӹнг,o'simta
120,Rinde::N,каргыж,qobiq
121,Ast::N,укш,shox
122,Zweig::N,укш,butoq
123,Blatt::N,листӹ,barg
124,Birke::N,куги,qayin
125,Kiefer[Baum]::N,йӓктӹ,qarag'ay
126,Weide[Baum]::N,уа,shum
127,Tanne::N,кож,archa
128,Horn::N,шур,mugiz
129,Feder::N,пын,par
130,Fell::N,кавашты,mo'yna
131,Flügel::N,шылдыр,qanot
132,Klaue::N,кӹч,tirnoq
133,Kralle::N,лапа,tirnoq
134,Schwanz::N,пач,quyruq
135,Ei::N,мыны,tuxum
136,Nest::N,пӹжӓш,oshyon
137,Bau::N,ыраж,o'pqon
