,Concept_ID,tt,lt
0,Auge::N,күз,akis
1,Ohr::N,колак,ausis
2,Nase::N,борын,nosis
3,Mund::N,авыз,burna
4,Mund::N,тамак,burna
5,Zahn::N,теш,dantis
6,Zunge::N,тел,liežuvis
7,Lippe::N,ирен,lūpa
8,Wange::N,яңак,žandas
9,Wange::N,яңак,skruostas
10,Gesicht::N,йөз,veidas
11,Stirn::N,маңгай,kakta
12,Haar::N,чәч,plaukai
13,Schnurrbart::N,мыек,ūsai
14,Bart::N,сакал,barzda
15,Kinn::N,ияк,smakras
16,Kiefer[Anatomie]::N,казналык,žandikaulis
17,Kehle::N,тамак,gerklė
18,Hals::N,бугаз,kaklas
19,Genick::N,җилкә,sprandas
20,Kopf::N,баш,galva
21,Rücken::N,сырт,nugara
22,Bauch::N,корсак,pilvas
23,Nabel::N,кендек,bamba
24,Busen::N,түш,krūtinė
25,Brust::N,имчәк,krūtis
26,Brust::N,күкрәк,krūtis
27,Schulter::N,иңбаш,petys
28,Schulter::N,кулбаш,petys
29,Arm::N,кул,ranka
30,Ellenbogen::N,терсәк,alkūnė
31,Hand::N,кул,ranka
32,Hand::N,кул,plaštaka
33,Handfläche::N,уч,delnas
34,Handfläche::N,уч,plaštaka
35,Finger::N,бармак,pirštas
36,Fingernagel::N,тырнак,nagas
37,Nagel[Anatomie]::N,тырнак,nagas
38,Zeh::N,бармак,pirštas
39,Fuß::N,табан,pėda
40,Ferse::N,үкчә,kulnas
41,Knie::N,тез,kelis
42,Oberschenkel::N,бот,kulšis
43,Oberschenkel::N,бот,šlaunis
44,Bein::N,аяк,koja
45,Körper::N,тән,kūnas
46,Körper::N,җисем,kūnas
47,Haut::N,тире,oda
48,Blut::N,кан,kraujas
49,Ader::N,тамыр,kraujagyslė
50,Sehne::N,сеңер,sausgyslė
51,Knochen::N,сөяк,kaulas
52,Gehirn::N,ми,smegenys
53,Herz::N,йөрәк,širdis
54,Magen::N,ашказаны,skrandis
55,Leber::N,бавыр,kepenys
56,Atem::N,сулыш,kvapas
57,Hunger::N,ачлык,badas
58,Hunger::N,ачлык,alkis
59,Träne::N,яшь,ašara
60,Geschmack::N,тәм,skonis
61,Geschmack::N,зәвык,skonis
62,Geruch::N,ис,kvapas
63,Schlaf::N,йокы,miegas
64,Traum::N,төш,sapnas
65,Himmel::N,күк,dangus
66,Sonne::N,кояш,saulė
67,Mond::N,ай,mėnulis
68,Stern::N,йолдыз,žvaigždė
69,Luft::N,һава,oras
70,Wind::N,җил,vėjas
71,Welle::N,дулкын,banga
72,Welle::N,дулкын,vilnis
73,Wasser::N,су,vanduo
74,Stein::N,таш,akmuo
75,Boden::N,туфрак,žemė
76,Boden::N,туфрак,dugnas
77,Erde::N,җир,žemė
78,Staub::N,тузан,dulkės
79,Rauch::N,төтен,dūmai
80,Funke::N,очкын,kibirkštis
81,Feuer::N,ут,ugnis
82,Licht::N,якты,šviesa
83,Schatten::N,күләгә,paūksmė
84,Wetter::N,һава,oras
85,Nebel::N,томан,migla
86,Nebel::N,томан,rūkas
87,Wolke::N,болыт,debesis
88,Regen::N,яңгыр,lietus
89,Schnee::N,кар,sniegas
90,Eis::N,боз,ledas
91,Frost::N,суык,šalna
92,Frost::N,салкын,šalna
93,Kälte::N,суык,šaltis
94,Kälte::N,салкын,šaltis
95,Hitze::N,эсселек,karštis
96,Raureif::N,бәс,šerkšnas
97,Raureif::N,сыкы,šerkšnas
98,Regenbogen::N,салават күпере,vaivorykštė
99,Donner::N,күкрәү,perkūnas
100,Donner::N,күкрәү,griaustinis
101,Strömung::N,агыш'агым,tėkmė
