,Concept_ID,sv,el
0,Auge::N,öga,μάτι
1,Auge::N,öga,οφθαλμός
2,Ohr::N,öra,αυτί
3,Nase::N,näsa,μύτη
4,Mund::N,mun,στόμα
5,Zahn::N,tand,δόντι
6,Zunge::N,tunga,γλώσσα
7,Lippe::N,läpp,χείλος
8,Wange::N,kind,παρειά
9,Wange::N,kind,μάγουλο
10,Gesicht::N,syn,πρόσωπο
11,Gesicht::N,ansikte,πρόσωπο
12,Stirn::N,panna,μέτωπο
13,Haar::N,hår,μαλλιά
14,Schnurrbart::N,mustasch,μουστάκι
15,Bart::N,skägg,γένια
16,Kinn::N,haka,πιγούνι
17,Kiefer[Anatomie]::N,käke,σαγόνι
18,Kehle::N,strupe,λαρύγγι
19,Hals::N,hals,λαιμός
20,Genick::N,nacke,σβέρκος
21,Kopf::N,huvud,κεφάλι
22,Rücken::N,rygg,ράχη
23,Bauch::N,buk,κοιλιά
24,Bauch::N,mage,κοιλιά
25,Nabel::N,navel,αφαλός
26,Busen::N,barm,στήθος
27,Brust::N,bröst,στήθος
28,Schulter::N,skuldra,ώμος
29,Arm::N,arm,χέρι
30,Arm::N,arm,μπράτςο
31,Ellenbogen::N,armbåge,αγκώνας
32,Hand::N,hand,χέρι
33,Handfläche::N,handflata,παλάμη
34,Finger::N,finger,δάχτυλο
35,Fingernagel::N,fingernagel,νύχι
36,Nagel[Anatomie]::N,nagel,νύχι
37,Zeh::N,tå,δάχτυλο του ποδιού
38,Fuß::N,fot,πόδι
39,Ferse::N,häl,φτέρνα
40,Knie::N,knä,γόνατο
41,Oberschenkel::N,lår,μηρός
42,Bein::N,ben,πόδι
43,Körper::N,kropp,σώμα
44,Körper::N,kropp,κορμί
45,Haut::N,hud,πετσί
46,Haut::N,skinn,πετσί
47,Blut::N,blod,αίμα
48,Ader::N,åder,φλέβα
49,Sehne::N,sena,νεύρο
50,Sehne::N,sena,τένοντας
51,Knochen::N,ben,οστό
52,Knochen::N,ben,κόκκαλο
53,Gehirn::N,hjärna,μυαλό
54,Gehirn::N,hjärna,εγκέφαλος
55,Herz::N,hjärta,καρδιά
56,Magen::N,mage,στομάχι
57,Leber::N,lever,ήπαρ
58,Leber::N,lever,συκωτί
59,Atem::N,anda,αναπνοή
60,Atem::N,andedräkt,αναπνοή
61,Hunger::N,svält,πείνα
62,Hunger::N,hunger,πείνα
63,Träne::N,tår,δάκρυ
64,Geschmack::N,smak,γεύση
65,Geruch::N,lukt,οσμή
66,Geruch::N,lukt,μυρωδία
67,Schlaf::N,sömn,ύπνος
68,Traum::N,dröm,όνειρο
69,Himmel::N,himmel,ουρανός
70,Sonne::N,sol,ήλιος
71,Mond::N,måne,σελήνη
72,Mond::N,måne,φεγγάρι
73,Stern::N,stjärna,άστρο
74,Stern::N,stjärna,αστέρι
75,Luft::N,luft,αέρας
76,Wind::N,vind,αέρας
77,Wind::N,vind,άνεμος
78,Welle::N,våg,κύμα
79,Welle::N,bölja,κύμα
80,Wasser::N,vatten,νερό
81,Stein::N,sten,πέτρα
82,Boden::N,mark,χώμα
83,Erde::N,jord,γη
84,Staub::N,damm,σκόνη
85,Rauch::N,rök,καπνός
86,Funke::N,gnista,σπίθα
87,Funke::N,gnista,σπινθήρας
88,Feuer::N,eld,φωτιά
89,Licht::N,ljus,φως
90,Schatten::N,skugga,σκιά
91,Schatten::N,skugga,ίσκιος
92,Wetter::N,väder,καιρός
93,Nebel::N,dimma,ομίχλη
94,Nebel::N,töcken,ομίχλη
95,Wolke::N,sky,σύννεφο
96,Wolke::N,moln,σύννεφο
97,Regen::N,regn,βροχή
98,Schnee::N,snö,χιόνι
99,Eis::N,is,πάγος
100,Frost::N,frost,παγωνία
101,Kälte::N,köld,κρύο
102,Kälte::N,köld,ψύχος
103,Hitze::N,hetta,ζέστη
104,Raureif::N,rimfrost,πάχνη
105,Regenbogen::N,regnbåge,ουράνιο τόξο
106,Donner::N,åska,βροντή
107,Donner::N,dunder,βροντή
108,Strömung::N,strömning,ρεύμα
109,Tropfen::N,dropper,στάλα
110,Schaum::N,skum,αφρός
111,Schmutz::N,lort,βρωμιά
112,Schmutz::N,smuts,βρωμιά
113,See::N,sjö,λίμνη
114,Sumpf::N,träsk,βάλτος
115,Moor::N,myr,έλος
116,Moor::N,mosse,έλος
117,Wiese::N,äng,λιβάδι
118,Wald::N,skog,δάσος
119,Hügel::N,höjd,λόφος
120,Hügel::N,kulle,λόφος
121,Anhöhe::N,höjd,ύψωμα
122,Anhöhe::N,backe,ύψωμα
123,Berg::N,berg,όρος
124,Berg::N,berg,βουνό
125,Berg::N,fjäll,όρος
126,Berg::N,fjäll,βουνό
127,Gipfel::N,topp,κορυφή
128,Höhle::N,håla,σπηλιά
129,Höhle::N,grotta,σπηλιά
130,Abhang::N,slänt,πλαγιά
131,Abhang::N,sluttning,πλαγιά
132,Quelle::N,källa,πηγή
133,Quelle::N,källa,βρύση
134,Bach::N,bäck,ρυάκι
135,Fluss::N,älv,ποτάμι
136,Fluss::N,älv,ποταμός
137,Fluss::N,flod,ποτάμι
138,Fluss::N,flod,ποταμός
139,Ufer::N,strand,όχθη
140,Küste::N,kust,ακτή
141,Küste::N,kust,ακρογιαλιά
142,Festland::N,fastland,στεριά
143,Meer::N,hav,θάλασσα
144,Bucht::N,vik,κόλπος
145,Bucht::N,bukt,κόλπος
146,Insel::N,ö,νησί
147,Insel::N,ö,νήσος
148,Blume::N,blomma,άνθος
149,Blume::N,blomma,λουλούδι
150,Blume::N,blomster,άνθος
151,Blume::N,blomster,λουλούδι
152,Gras::N,gräs,χόρτο
153,Gras::N,gräs,χορτάρι
154,Wurzel::N,rot,ρίζα
155,Baum::N,träd,δέντρο
156,Stamm::N,stam,κορμός
157,Rinde::N,bark,φλούδα
158,Ast::N,gren,κλαδί
