,Concept_ID,mn,cs
0,Auge::N,нүд,oko
1,Ohr::N,чих,ucho
2,Nase::N,хамар,nos
3,Mund::N,ам,pusa
4,Zahn::N,шүд,zub
5,Zunge::N,хэл,jazyk
6,Lippe::N,уруул,ret
7,Wange::N,хацар,tvář
8,Gesicht::N,царай,obličej
9,Gesicht::N,нүүр,obličej
10,Stirn::N,дух,čelo
11,Haar::N,үс,vlas
12,Haar::N,үс,vlasy
13,Schnurrbart::N,дээд сахал,kníry
14,Schnurrbart::N,живэр сахал,kníry
15,Bart::N,сахал,vousy
16,Kinn::N,эрүү,brada
17,Kiefer[Anatomie]::N,эрүү,čelist
18,Kehle::N,хоолой,hrdlo
19,Hals::N,хүзүү,krk
20,Genick::N,шил,týl
21,Genick::N,хүзүү,týl
22,Kopf::N,толгой,hlava
23,Rücken::N,ар,záda
24,Rücken::N,ар,hřbet
25,Rücken::N,нуруу,záda
26,Rücken::N,нуруу,hřbet
27,Bauch::N,хэвлий,břicho
28,Bauch::N,гэдэс,břicho
29,Nabel::N,хүйс,pupek
30,Busen::N,хөх,ňadra
31,Brust::N,цээж,prsa
32,Schulter::N,мөр,plece
33,Schulter::N,мөр,rameno
34,Schulter::N,бугалга,plece
35,Schulter::N,бугалга,rameno
36,Arm::N,гар,ruka
37,Ellenbogen::N,тохой,loket
38,Hand::N,гар,ruka
39,Hand::N,алга,ruka
40,Handfläche::N,алга,dlaň
41,Finger::N,хуруу,prst
42,Fingernagel::N,хурууны хумс,nehet
43,Nagel[Anatomie]::N,хумс,nehet
44,Zeh::N,хуруу,prst u nohy
45,Fuß::N,хөл,noha
46,Ferse::N,өсгий,pata
47,Knie::N,өвдөг,koleno
48,Oberschenkel::N,гуя,stehno
49,Bein::N,хөл,noha
50,Körper::N,бие,tělo
51,Haut::N,арьс,kůže
52,Blut::N,цус,krev
53,Ader::N,судас,céva
54,Sehne::N,бүлх,šlacha
55,Sehne::N,шандас,šlacha
56,Knochen::N,яс,kost
57,Gehirn::N,тархи,mozek
58,Herz::N,зүрх,srdce
59,Magen::N,ходоод,žaludek
60,Leber::N,элэг,játra
61,Atem::N,амьсгаа,dech
62,Hunger::N,өлсгөлөн,hlad
63,Träne::N,нулимс,slza
64,Geschmack::N,амт,vkus
65,Geruch::N,үнэр,vůně
66,Geruch::N,үнэр,zápach
67,Schlaf::N,нойр,spánek
68,Traum::N,зүүд,sen
69,Himmel::N,тэнгэр,nebe
70,Himmel::N,огторгуй,nebe
71,Sonne::N,нар,slunce
72,Mond::N,сар,měsíc
73,Stern::N,од,hvězda
74,Luft::N,агаар,vzduch
75,Wind::N,салхи,vítr
76,Welle::N,долгио,vlna
77,Welle::N,давалгаа,vlna
78,Wasser::N,ус,voda
79,Stein::N,чулуу,kámen
80,Boden::N,хөрс,půda
81,Erde::N,газар,země
82,Erde::N,шороо,země
83,Staub::N,тоос,prach
84,Rauch::N,утаа,dým
85,Rauch::N,утаа,kouř
86,Funke::N,оч,jiskra
87,Feuer::N,гал,oheň
88,Licht::N,гэрэл,světlo
89,Licht::N,гэгээ,světlo
90,Schatten::N,сүүдэр,stín
91,Wetter::N,тэнгэр,počasí
92,Wetter::N,цаг уур,počasí
93,Nebel::N,будан,mlha
94,Wolke::N,үүл,mrak
95,Wolke::N,үүл,oblak
96,Regen::N,бороо,déšť
97,Schnee::N,цас,sníh
98,Eis::N,мөс,led
99,Frost::N,хүйт,mráz
100,Kälte::N,хүйт,chlad
101,Hitze::N,халуун,horko
102,Raureif::N,цан,jinovatka
103,Raureif::N,хяруу,jinovatka
104,Regenbogen::N,солонго,duha
105,Donner::N,тэнгэрийн дуу,hrom
106,Strömung::N,урсгал,proudění
107,Tropfen::N,дусал,kapka
108,Schaum::N,хөөс,pěna
109,Schmutz::N,хир,špína
110,Schmutz::N,шавхай,špína
111,See::N,нуур,jezero
112,Sumpf::N,намаг,močál
113,Sumpf::N,намаг,bažina
114,Sumpf::N,балчиг,močál
115,Sumpf::N,балчиг,bažina
116,Moor::N,хүлрийн намаг,bažina
117,Moor::N,хүлрийн намаг,slatina
118,Wiese::N,нуга,louka
119,Wald::N,ой,les
120,Hügel::N,болдог,kopec
121,Anhöhe::N,гүвээ,pahorek
122,Berg::N,уул,hora
123,Gipfel::N,орой,vrchol
124,Gipfel::N,оргил,vrchol
125,Höhle::N,агуй,jeskyně
126,Abhang::N,хүр,svah
127,Abhang::N,хүр,stráň
128,Quelle::N,булаг,pramen
129,Bach::N,горхи,potok
130,Fluss::N,гол,řeka
131,Fluss::N,мөрөн,řeka
132,Ufer::N,эрэг,břeh
133,Küste::N,эрэг,pobřeží
134,Festland::N,хуурай газар,souš
135,Festland::N,хуурай газар,pevnina
136,Meer::N,далай,moře
137,Meer::N,тэнгис,moře
138,Bucht::N,булан,záliv
139,Bucht::N,булан,zátoka
140,Bucht::N,далайн тохой,záliv
141,Bucht::N,далайн тохой,zátoka
142,Insel::N,арал,ostrov
143,Blume::N,цэцэг,květina
144,Gras::N,өвс,tráva
145,Gras::N,ногоо,tráva
146,Wurzel::N,үндэс,kořen
147,Baum::N,мод,strom
148,Stamm::N,иш,kmen
149,Stamm::N,гуалин,kmen
150,Rinde::N,холтос,kůra
151,Ast::N,гишүү,větev
152,Zweig::N,салаа,větev
153,Blatt::N,навч,lupen
154,Birke::N,хус,bříza
155,Kiefer[Baum]::N,нарс,sosna
156,Kiefer[Baum]::N,нарс,borovice
157,Weide[Baum]::N,уд,vrba
158,Weide[Baum]::N,бургас,vrba
159,Tanne::N,гачуур,jedle
160,Horn::N,эвэр,roh
161,Feder::N,өд,pero
162,Fell::N,арьс,srst
163,Flügel::N,жигүүр,křídlo
164,Flügel::N,далавч,křídlo
165,Klaue::N,савар,dráp
166,Klaue::N,савар,pazneht
167,Klaue::N,хумс,dráp
168,Klaue::N,хумс,pazneht
169,Kralle::N,савар,dráp
170,Schwanz::N,сүүл,ocas
171,Ei::N,өндөг,vejce
172,Nest::N,үүр,hnízdo
173,Bau::N,нүх,nora
174,Bau::N,элүү,nora
175,Tier::N,амьтан,zvíře
176,Tier::N,адгуус,zvíře
177,Herde::N,сүрэг,stádo
178,Kuh::N,үнээ,kráva
179,Bulle::N,бух,býk
180,Pferd::N,морь,kůň
181,Pferd::N,адуу,kůň
182,Schaf::N,хонь,ovce
183,Schwein::N,гахай,vepř
184,Schwein::N,гахай,prase
185,Hund::N,нохой,pes
186,Katze::N,муур,kočka
187,Katze::N,мигуй,kočka
188,Bär::N,баавгай,medvěd
189,Eichhörnchen::N,хэрэм,veverka
190,Elch::N,хандгай,los
191,Fuchs::N,үнэг,liška
192,Hase::N,туулай,zajíc
193,Maus::N,хулгана,myš
194,Wolf::N,чоно,vlk
195,Vogel::N,шувуу,pták
196,Schwarm::N,сүрэг,roj
197,Schwarm::N,сүрэг,hejno
198,Huhn::N,тахиа,kuře
199,Huhn::N,тахиа,slepice
200,Hahn::N,эр тахиа,kohout
201,Gans::N,галуу,husa
202,Adler::N,бүргэд,orel
203,Ente::N,нугас,kachna
204,Eule::N,ууль,sova
205,Kranich::N,тогоруу,jeřáb
206,Krähe::N,хэрээ,vrána
207,Kuckuck::N,хөхөө,kukačka
208,Schwan::N,хун,labuť
209,Fisch::N,загас,ryba
210,Barsch::N,алгана,okoun
211,Hecht::N,цурхай,štika
212,Schlange[Tier]::N,могой,had
213,Wurm::N,өт,červ
214,Wurm::N,хорхой,červ
215,Spinne::N,аалз,pavouk
216,Ameise::N,шоргоолж,mravenec
217,Laus::N,бөөс,veš
218,Mücke::N,шумуул,komár
219,Fliege::N,ялаа,moucha
220,Schmetterling::N,эрвээхэй,motýl
221,Beere::N,жимсгэнэ,bobule
222,Apfel::N,алим,jablko
223,Pilz::N,мөөг,houba
224,Zwiebel::N,сонгино,cibule
225,Saat::N,тариа,osivo
226,Korn::N,үр,zrno
227,Korn::N,мөхлөг,zrno
228,Heu::N,өвс,seno
229,Schale::N,хальс,slupka
230,Schale::N,хальс,skořápka
231,Grube::N,алам,jáma
232,Grube::N,нүх,jáma
233,Falle::N,хавх,past
234,Falle::N,хавх,léčka
235,Falle::N,занга,past
236,Falle::N,занга,léčka
237,Schlinge::N,урхи,smyčka
238,Spur::N,мөр,stopa
239,Asche::N,үнс,popel
240,Dreck::N,хир,špína
241,Eisen::N,төмөр,železo
242,Gold::N,алт,zlato
243,Silber::N,мөнгө,stříbro
