,Concept_ID,he,ka
167,Hase::N,ארנב,კურდღელი
168,Maus::N,עכבר,თაგვი
169,Wolf::N,זאב,მგელი
170,Vogel::N,צפור,ჩიტი
171,Vogel::N,צפור,ფრინველი
172,Schwarm::N,נחיל,გუნდი
173,Schwarm::N,להקה,გუნდი
174,Huhn::N,תרנגלת,დედალი
175,Hahn::N,תרנגול,მამალი
176,Gans::N,אוז,ბატი
177,Adler::N,עיט,არწივი
178,Ente::N,ברוז,იხვი
179,Eule::N,ינשוף,ბუ
180,Kranich::N,עגור,წერო
181,Kranich::N,כרוכיה,წერო
182,Krähe::N,עורב,ყვავი
183,Kuckuck::N,קוקיה,გუგული
184,Schwan::N,ברבור,გედი
185,Fisch::N,דג,თევზი
186,Barsch::N,אוקונוס,ქორჭილა
187,Hecht::N,זאב הים,ქარიყლაპია
188,Schlange[Tier]::N,נחש,გველი
189,Wurm::N,תולעת,ჭია
190,Spinne::N,עכביש,ობობა
191,Ameise::N,נמלה,ჭიანჭველა
192,Laus::N,כנה,ტილი
193,Laus::N,כנה,მკბენარი
194,Mücke::N,יתוש,კოღო
195,Fliege::N,זבוב,ბუზი
196,Schmetterling::N,פרפר,პეპელა
197,Beere::N,ענבה,კენკრა
198,Apfel::N,תפוח,ვაშლი
199,Pilz::N,פטריה,სოკო
200,Zwiebel::N,בצל,ხახვი
201,Saat::N,זרעים,თესლი
202,Korn::N,גרעין,მარცვალი
203,Heu::N,חציר,თივა
204,Schale::N,קלפה,ჩენჩო
205,Grube::N,בור,ორმო
206,Grube::N,שוחה,ორმო
207,Falle::N,מלכדת,ხაფანგი
208,Schlinge::N,לולאה,მახე
209,Spur::N,עקבה,კვალი
210,Asche::N,אפר,ფერფლი
211,Dreck::N,זהמה,ტალახი
212,Dreck::N,זהמה,სიბინძურე
213,Eisen::N,ברזל,რკინა
214,Gold::N,זהב,ოქრო
215,Silber::N,כסף,ვერცხლი
216,Kohle::N,פחם,ნახშირი
217,Glas::N,זכוכית,მინა
218,Lehm::N,חרסית,თიხა
219,Sand::N,חול,ქვიშა
220,Mensch::N,אדם,ადამიანი
221,Mann::N,איש,კაცი
222,Mann::N,גבר,კაცი
223,Frau::N,אשה,ქალი
224,Frau::N,גברת,ქალი
225,Kind::N,ילד,ბავშვი
226,Junge::N,ילד,ვაჟი
227,Mädchen::N,נערה,გოგო
228,Familie::N,משפחה,ოჯახი
229,Großvater::N,סבא,პაპა
230,Großvater::N,סבא,ბაბუა
231,Großmutter::N,סבתא,ბებია
232,Großmutter::N,סבתא,დიდედა
233,Eltern::N,הורים,მშობლები
234,Vater::N,אב,მამა
235,Mutter::N,אם,დედა
236,Sohn::N,בן,ვაჟიშვილი
237,Tochter::N,בת,ქალიშვილი
238,Bruder::N,אח,ძმა
239,Schwester::N,אחות,და
240,Onkel::N,דוד,ბიძა
241,Tante::N,דודה,დეიდა
242,Tante::N,דודה,მამიდა
243,Ehemann::N,איש,ქმარი
244,Ehemann::N,בעל,ქმარი
245,Ehefrau::N,אשה,ცოლი
246,Freude::N,שמחה,სიხარული
247,Gelächter::N,צחוק,სიცილი
248,Glück::N,אשר,ბედნიერება
249,Kummer::N,יגון,მწუხარება
250,Kummer::N,עגמה,მწუხარება
251,Wunsch::N,אחול,წადილი
252,Wunsch::N,אחול,სურვილი
253,Wunsch::N,משאלה,წადილი
254,Wunsch::N,משאלה,სურვილი
255,Lust::N,חשק,წადილი
256,Lust::N,תשוקה,წადილი
257,Geist::N,רוח,სული
258,Gedanke::N,מחשבה,ფიქრი
259,Gedächtnis::N,זכרון,მეხსიერება
260,Verstand::N,שכל,ჭკუა
261,Verstand::N,שכל,გონება
262,Sinn::N,מובן,მნიშვნელობა
263,Sinn::N,משמעות,მნიშვნელობა
264,Grund::N,סבה,მიზეზი
265,Wahrheit::N,אמת,სიმართლე
266,Wahrheit::N,אמת,ჭეშმარიტება
267,Gespräch::N,דיון,ბაასი
268,Gespräch::N,דיון,საუბარი
269,Märchen::N,אגדה,არაკი
270,Märchen::N,אגדה,ზღაპარი
271,Erzählung::N,ספור,თქმულება
272,Nachricht::N,ידיעה,ცნობა
273,Nachricht::N,ידיעה,ამბავი
274,Neuigkeit::N,חדשה,სიახლე
275,Name::N,שם,სახელი
276,Rätsel::N,תעלומה,გამოცანა
277,Rede::N,נאום,სიტყვა
278,Sprache::N,לשון,ენა
279,Stimme::N,קול,ხმა
280,Wort::N,מלה,სიტყვა
281,Zeichen::N,סימן,ნიშანი
282,Ruf::N,קריאה,ძახილი
283,Lärm::N,רעש,ხმაური
284,Laut::N,הגה,ხმა
285,Laut::N,הגה,ბგერა
286,Ton::N,צליל,ტონი
287,Lied::N,שיר,სიმღერა
288,Ruhe::N,שלוה,სიწყნარე
289,Leute::N,אנשים,ადამიანები
290,Volk::N,עם,ერი
291,Volk::N,עם,ხალხი
292,Arbeit::N,עבודה,მუშაობა
293,Gast::N,אורח,სტუმარი
294,Geschenk::N,מתנה,საჩუქარი
295,Spiel::N,משחק,თამაში
296,Gesellschaft::N,חברה,საზოგადოება
297,Hilfe::N,עזרה,შველა
298,Hilfe::N,עזרה,დახმარება
299,Freund::N,חבר,მეგობარი
300,Freund::N,ידיד,მეგობარი
301,Kamerad::N,רע,ამხანაგი
302,Angelegenheit::N,ענין,საქმე
303,Anzahl::N,מספר,ოდენობა
304,Art::N,סוג,სახეობა
305,Stück::N,חתיכה,ნატეხი
306,Teil::N,פרק,წილი
307,Hälfte::N,חצי,ნახევარი
308,Kreis::N,מעגל,წრე
309,Kreuz::N,צלב,ჯვარი
310,Linie::N,קו,ხაზი
311,Strich::N,קו קצר,შტრიხი
312,Abstand::N,מרחק,მანძილი
313,Entfernung::N,מרחק,სიშორე
314,Gegend::N,נוף,არე
315,Gegend::N,נוף,მხარე
316,Platz::N,שטח,ფართობი
317,Ort::N,אתר,ადგილი
318,Ort::N,מקום,ადგილი
319,Seite::N,צד,მხარე
320,Mitte::N,אמצע,შუა
321,Gegenstand::N,אוביקט,საგანი
322,Sache::N,דבר,ნივთი
323,Rand::N,פרור,კიდე
324,Kante::N,קצה,ნაწიბული
325,Ecke::N,פנה,კუთხე
326,Spitze::N,קצה,წვეტი
327,Ende::N,סוף,ბოლო
328,Loch::N,חר,ხვრელი
329,Winkel::N,פנה,კუთხე
330,Muster::N,תבנית,მოხატულობა
331,Größe::N,גדל,ზომა
332,Größe::N,גדל,სიდიდე
333,Länge::N,ארך,სიგრძე
334,Höhe::N,קומה,სიმაღლე
335,Höhe::N,גבה,სიმაღლე
336,Gewicht::N,משקל,წონა
337,Menge::N,כמות,რაოდენობა
338,Haufen::N,ערמה,გროვა
339,Reihe::N,רצף,რიგი
340,Reihe::N,רצף,წყება
341,Boot::N,סירה,გემი
342,Ruder::N,משוט,ხოფი
343,Ruder::N,משוט,ნიჩაბი
344,Schlitten::N,מזחלת,მარხილი
345,Ski::N,מגלשים,თხილამური
346,Lagerfeuer::N,מדורה,კოცონი
347,Last::N,משא,ტვირთი
348,Gang::N,הליכה,სვლა
349,Schritt::N,צעד,ბიჯი
350,Norden::N,צפון,ჩრდილოეთი
351,Süden::N,דרום,სამხრეთი
352,Westen::N,מערב,დასავლეთი
353,Osten::N,מזרח,აღმოსავლეთი
354,Holz::N,עץ,ხე
355,Brett::N,קרש,დაფა
356,Brett::N,קרש,ფიცარი
357,Platte::N,לוח,თლილი ქვა
358,Stütze::N,משען,საყრდენი
359,Stange::N,מוט,ჭოკი
360,Stock::N,מקל,კეტი
361,Stab::N,מוט,ლატანი
362,Rohr::N,צנור,მილაკი
363,Haus::N,בית,სახლი
364,Heim::N,בית,ოჯახის კერა
365,Ofen::N,תנור,ღუმელი
366,Fußboden::N,רצפה,იატაკი
367,Tisch::N,שלחן,სუფრა
368,Tisch::N,שלחן,მაგიდა
369,Stuhl::N,כסא,სკამი
370,Wiege::N,ערש,აკვანი
