,Concept_ID,udm,ga
0,Auge::N,син,súil
1,Ohr::N,пель,cluas
2,Nase::N,ныр,soc
3,Mund::N,ым,béal
4,Zahn::N,пинь,fiacail
5,Zunge::N,кыл,teanga
6,Lippe::N,ымдур,liopa
7,Wange::N,бам,grua
8,Wange::N,бам,leiceann
9,Gesicht::N,ымныр,éadan
10,Gesicht::N,ымныр,aghaidh
11,Stirn::N,кымес,baithis
12,Stirn::N,кымес,clár éadain
13,Haar::N,йырси,gruaig
14,Schnurrbart::N,мыйык,croiméal
15,Bart::N,туш,féasóg
16,Kinn::N,ангес,smig
17,Kiefer[Anatomie]::N,ан,giall
18,Kiefer[Anatomie]::N,анлы,giall
19,Kehle::N,гульым,scornach
20,Hals::N,чырты,muinéal
21,Genick::N,йырбер,baic
22,Kopf::N,йыр,ceann
23,Rücken::N,мыш,droim
24,Bauch::N,кӧт,bolg
25,Nabel::N,гогы,imleacán
26,Busen::N,ноны,cíoch
27,Brust::N,мӧля,brollach
28,Schulter::N,пельпум,gualainn
29,Arm::N,суй,lámh
30,Ellenbogen::N,гырпум,uillinn
31,Hand::N,ки,lámh
32,Handfläche::N,ки пыдэс,bos
33,Handfläche::N,кырым пыдэс,bos
34,Finger::N,чиньы,méar
35,Fingernagel::N,гижы,ionga
36,Fingernagel::N,гиждӥнь,ionga
37,Nagel[Anatomie]::N,гижы,ionga
38,Zeh::N,пыдчиньы,ladhar
39,Fuß::N,пыд,cos
40,Fuß::N,пыд,troigh
41,Ferse::N,пыдбер,sáil
42,Knie::N,пыдес,glúin
43,Oberschenkel::N,макес,ceathrú
44,Bein::N,пыд,cos
45,Körper::N,мугор,corp
46,Körper::N,мугор,colainn
47,Körper::N,вылтыр,corp
48,Körper::N,вылтыр,colainn
49,Haut::N,ку,cneas
50,Haut::N,ку,craiceann
51,Blut::N,вир,fuil
52,Ader::N,вирсэр,
53,Sehne::N,вуж,teannán
54,Sehne::N,вуж,féitheog
55,Knochen::N,лы,cnámh
56,Gehirn::N,вим,inchinn
57,Herz::N,сюлэм,croí
58,Magen::N,ӝуш,bolg
59,Magen::N,ӝуш,goile
60,Leber::N,мус,ae
61,Atem::N,лул,anáil
62,Atem::N,шокан,anáil
63,Hunger::N,кӧтсюман,ocras
64,Träne::N,синкыли,deoir
65,Geschmack::N,шӧм,blas
66,Geruch::N,зын,boladh
67,Schlaf::N,вӧт,suan
68,Schlaf::N,вӧт,codladh
69,Traum::N,уйвӧт,taibhreamh
70,Himmel::N,ин,spéir
71,Sonne::N,шунды,grian
72,Mond::N,толэзь,ré
73,Mond::N,толэзь,gealach
74,Stern::N,кизили,rinn
75,Stern::N,кизили,réalta
76,Luft::N,омыр,aer
77,Wind::N,тӧл,gaoth
78,Welle::N,тулкым,tonn
79,Wasser::N,ву,uisce
80,Stein::N,из,cloch
81,Boden::N,музъем,talamh
82,Erde::N,му,cré
83,Erde::N,му,ithir
84,Staub::N,пыль,dusta
85,Staub::N,пыль,deannach
86,Rauch::N,ӵын,toit
87,Rauch::N,ӵын,deatach
88,Funke::N,гизьы,drithle
89,Feuer::N,тыл,tine
90,Licht::N,тыл,solas
91,Schatten::N,вужер,scáth
92,Wetter::N,куазь,aimsir
93,Nebel::N,бус,ceo
94,Wolke::N,пилем,néal
95,Wolke::N,пилем,scamall
96,Regen::N,зор,báisteach
97,Regen::N,зор,fearthainn
98,Schnee::N,лымы,sneachta
99,Eis::N,йӧ,oighear
100,Frost::N,кезьыт,sioc
101,Kälte::N,кезьыт,fuacht
102,Hitze::N,пӧсь,teas
103,Hitze::N,пӧсь,teocht
104,Raureif::N,гӧр,sioc bán
105,Regenbogen::N,вуюись,stua ceatha
106,Regenbogen::N,вуюись,bogha báistí
107,Donner::N,гудыри,toirneach
108,Strömung::N,бызён,sruth
109,Tropfen::N,шапык,deoir
110,Schaum::N,шукы,cúr
111,Schmutz::N,нӧд,salachar
112,Schmutz::N,дэри,salachar
113,See::N,ты,loch
114,Sumpf::N,нюр,portach
115,Moor::N,нюр,caorán
116,Moor::N,нюр,móinteán
117,Wiese::N,возь,cluain
118,Wiese::N,возь,móinéar
119,Wiese::N,возьвыл,cluain
120,Wiese::N,возьвыл,móinéar
121,Wald::N,сик,coill
122,Wald::N,сик,foraois
123,Wald::N,нюлэс,coill
124,Wald::N,нюлэс,foraois
125,Hügel::N,выр,ard
126,Hügel::N,вырйыл,ard
127,Anhöhe::N,выр,ard
128,Anhöhe::N,выр,ardán
129,Anhöhe::N,вырйыл,ard
130,Anhöhe::N,вырйыл,ardán
131,Berg::N,гурезь,sliabh
132,Gipfel::N,йыл,barr
133,Gipfel::N,йыл,mullach
134,Höhle::N,гу,uaimh
135,Höhle::N,гу,pluais
136,Abhang::N,бам,fána
137,Quelle::N,ошмес,foinse
138,Bach::N,пичи шур,sruthán
139,Fluss::N,шур,abhainn
140,Ufer::N,ярдур,bruach
141,Küste::N,вудур,cósta
142,Küste::N,вудур,cladach
143,Festland::N,мувыр,míntír
144,Meer::N,зарезь,muir
145,Meer::N,зарезь,farraige
146,Bucht::N,вукож,bá
147,Bucht::N,вукож,cuan
148,Insel::N,вумуӵ,inis
149,Insel::N,вумуӵ,oileán
150,Insel::N,шормуӵ,inis
151,Insel::N,шормуӵ,oileán
152,Blume::N,сяська,bláth
153,Gras::N,турын,féar
154,Wurzel::N,выжы,rúta
155,Wurzel::N,выжы,fréamh
156,Baum::N,пу,crann
157,Stamm::N,модос,stoc
158,Stamm::N,модос,tamhan
159,Rinde::N,сул,coirt
160,Rinde::N,сул,craiceann
161,Ast::N,ул,géag
162,Zweig::N,вай,géag
163,Zweig::N,вай,craobh
164,Blatt::N,куар,duille
165,Blatt::N,куар,duilleog
166,Birke::N,кызьпу,beith
167,Birke::N,кызьпу,crann beithe
168,Kiefer[Baum]::N,пужым,péine
169,Weide[Baum]::N,бадьпу,saileach
170,Tanne::N,кыз,giúis
171,Horn::N,сюр,adharc
172,Feder::N,тылы,cleite
173,Fell::N,ку,clúmh
174,Flügel::N,бурд,eite
175,Flügel::N,бурд,sciathán
176,Klaue::N,гижы,crúb
177,Klaue::N,гижы,crobh
178,Kralle::N,пыд,crobh
179,Schwanz::N,быж,eireaball
180,Ei::N,пуз,ubh
181,Ei::N,кукей,ubh
182,Nest::N,кар,nead
183,Nest::N,пузкар,nead
184,Bau::N,кар,brocais
185,Bau::N,гу,brocais
186,Tier::N,пӧйшур,ainmhí
187,Tier::N,пӧйшур,beithíoch
188,Herde::N,уллё,tréad
189,Kuh::N,скал,bó
190,Bulle::N,ош,tarbh
191,Bulle::N,пороз,tarbh
192,Pferd::N,вал,each
193,Pferd::N,вал,capall
194,Schaf::N,ыж,caora
195,Schwein::N,парсь,muc
196,Hund::N,пуны,madra
197,Katze::N,коӵыш,cat
198,Bär::N,гондыр,béar
199,Eichhörnchen::N,коньы,iora
200,Elch::N,койык,eilc
201,Fuchs::N,ӟичы,sionnach
202,Fuchs::N,ӟичы,madra rua
203,Hase::N,кеч,giorria
204,Maus::N,шыр,luch
205,Wolf::N,кион,mac tíre
206,Vogel::N,тылобурдо,éan
207,Schwarm::N,уллё,saithe
208,Huhn::N,курег,cearc
209,Hahn::N,атас,coileach
210,Gans::N,ӟазег,gé
211,Adler::N,ӧрзи,iolar
212,Ente::N,ӵӧж,lacha
213,Eule::N,кучыран,ulchabhán
214,Kranich::N,тури,grús
215,Krähe::N,куака,caróg
216,Krähe::N,куака,préachán
217,Kuckuck::N,кикы,cuach
218,Schwan::N,юсь,eala
219,Fisch::N,чорыг,iasc
220,Barsch::N,юш,péirse
221,Hecht::N,чипей,liús
222,Schlange[Tier]::N,кый,nathair
223,Wurm::N,нумыр,péist
224,Spinne::N,чонари,damhán alla
225,Ameise::N,кузьыли,seangán
226,Laus::N,тэй,míol
227,Mücke::N,нымы,muiscít
228,Mücke::N,нымы,corrmhíol
229,Mücke::N,чибинь,muiscít
230,Mücke::N,чибинь,corrmhíol
231,Fliege::N,кут,cuil
232,Fliege::N,кут,cuileog
233,Schmetterling::N,бубыли,féileacán
234,Beere::N,узы-боры,caor
235,Apfel::N,яблок,úll
236,Pilz::N,губи,beacán
237,Pilz::N,губи,muisiriún
238,Zwiebel::N,сугон,oinniún
239,Saat::N,кидыс,síol
240,Korn::N,тысь,gráinne
241,Heu::N,турын,féar
242,Schale::N,кыд,scaimh
243,Grube::N,гу,poll
244,Grube::N,гоп,poll
245,Falle::N,налик,gaiste
246,Schlinge::N,гиӟ,sealán
247,Schlinge::N,герд,sealán
248,Spur::N,пытьы,rian
249,Spur::N,бервыл,rian
250,Asche::N,пень,luaith
251,Dreck::N,дэри,salachar
252,Eisen::N,корт,iarann
253,Gold::N,зарни,ór
254,Silber::N,азвесь,airgead
255,Kohle::N,эгыр,gual
256,Glas::N,стекло,gloine
257,Glas::N,пияла,gloine
258,Lehm::N,сюй,cré
259,Sand::N,луо,gaineamh
260,Mensch::N,мурт,duine
261,Mensch::N,адями,duine
262,Mann::N,воргорон,fear
263,Frau::N,кышномурт,bean
264,Kind::N,нуны,gasúr
265,Kind::N,нуны,páiste
266,Kind::N,пинал,gasúr
267,Kind::N,пинал,páiste
268,Junge::N,пи,buachaill
269,Mädchen::N,ныл,cailín
270,Familie::N,семья,teaghlach
271,Familie::N,семья,comhluadar
272,Großvater::N,песятай,seanathair
273,Großvater::N,пересь атай,seanathair
274,Großmutter::N,песянай,seanmháthair
275,Großmutter::N,пересь анай,seanmháthair
276,Eltern::N,атай-анай,tuismitheoirí
277,Eltern::N,бубы-мумы,tuismitheoirí
278,Vater::N,айы,athair
279,Vater::N,атай,athair
280,Mutter::N,мумы,máthair
281,Sohn::N,пи,mac
282,Tochter::N,ныл,iníon
283,Bruder::N,агай,deartháir
284,Schwester::N,апа,deirfiúr
285,Schwester::N,сузэр,deirfiúr
286,Onkel::N,агай,uncail
287,Tante::N,апа,aintín
288,Tante::N,кенак,aintín
289,Ehemann::N,карт,fear céile
290,Ehefrau::N,кышно,bean chéile
291,Freude::N,шумпотон,áthas
292,Gelächter::N,горем,gáire
293,Glück::N,шуд,séan
294,Glück::N,шуд,sonas
295,Kummer::N,кайгу,brón
296,Kummer::N,кайгу,buairt
297,Kummer::N,куректон,brón
298,Kummer::N,куректон,buairt
299,Wunsch::N,мылпотон,guí
300,Wunsch::N,мылпотон,achainí
301,Lust::N,потон,fonn
302,Geist::N,лул,meon
303,Geist::N,лул,spiorad
304,Gedanke::N,малпан,smaoineamh
305,Gedächtnis::N,йырсазь,cuimhne
306,Gedächtnis::N,тодэваён,cuimhne
307,Verstand::N,йырвизь,ciall
308,Verstand::N,йырвизь,intinn
309,Sinn::N,смысл,brí
310,Sinn::N,смысл,ciall
311,Grund::N,муг,fáth
312,Grund::N,ньӧм,fáth
313,Wahrheit::N,зэм,fírinne
314,Wahrheit::N,шонер,fírinne
315,Gespräch::N,вераськон,comhrá
316,Märchen::N,выжыкыл,scéal
317,Erzählung::N,верос,scéal
318,Nachricht::N,ивор,teachtaireacht
319,Neuigkeit::N,выльивор,scéala
320,Name::N,ним,ainm
321,Rätsel::N,мадькыл,tomhas
322,Rede::N,верам,óráid
323,Rede::N,верам,aitheasc
324,Sprache::N,кыл,teanga
325,Stimme::N,куара,guth
326,Wort::N,кыл,focal
327,Zeichen::N,пус,comhartha
328,Zeichen::N,тодмет,comhartha
329,Ruf::N,ӧтён,glaoch
330,Ruf::N,чортон,glaoch
331,Lärm::N,ӵашетон,torann
332,Laut::N,куара,fuaim
333,Ton::N,куара,ton
334,Lied::N,кырӟан,amhrán
335,Ruhe::N,чалмыт улон,suaimhneas
336,Leute::N,адямиос,muintir
337,Volk::N,калык,pobal
338,Arbeit::N,уж,obair
339,Gast::N,куно,aoi
340,Geschenk::N,салам,féirín
341,Geschenk::N,салам,bronntanas
342,Geschenk::N,кузьым,féirín
343,Geschenk::N,кузьым,bronntanas
344,Spiel::N,шудон,cluiche
345,Gesellschaft::N,калык,comhluadar
346,Hilfe::N,юрттон,cúnamh
347,Hilfe::N,юрттон,cabhair
348,Freund::N,эш,cara
349,Freund::N,юлтош,cara
350,Kamerad::N,тодмо,comrádaí
351,Angelegenheit::N,уж,ábhar
352,Anzahl::N,лыд,líon
353,Art::N,тус,sórt
354,Art::N,тус,saghas
355,Stück::N,юдэс,píosa
356,Teil::N,люкет,cuid
357,Teil::N,люкет,páirt
358,Hälfte::N,ӝыны,leath
359,Kreis::N,котырес,ciorcal
360,Kreuz::N,крест,cros
361,Linie::N,гож,líne
362,Strich::N,гож,stríoc
363,Abstand::N,вис,achar
364,Abstand::N,кусып,achar
365,Entfernung::N,кусып,fad
366,Gegend::N,инты,ceantar
367,Platz::N,инты,áit
368,Platz::N,инты,spás
369,Ort::N,инты,áit
370,Ort::N,места,áit
371,Seite::N,пал,taobh
372,Mitte::N,шор,lár
373,Gegenstand::N,арбери,ball
374,Gegenstand::N,арбери,ábhar
375,Sache::N,котыр,ní
376,Sache::N,котыр,rud
377,Rand::N,дур,imeall
378,Rand::N,дур,ciumhais
379,Rand::N,шаер,imeall
380,Rand::N,шаер,ciumhais
381,Kante::N,дур,corr
382,Kante::N,дур,colbha
383,Ecke::N,сэрег,coirnéal
384,Spitze::N,йыл,gob
385,Spitze::N,йыл,barr
386,Ende::N,пум,ceann
387,Ende::N,пум,foirceann
388,Loch::N,пась,poll
389,Winkel::N,сэрег,cúinne
390,Winkel::N,сэрег,uillinn
391,Muster::N,пужы,patrún
392,Größe::N,быдӟала,méid
393,Größe::N,быдӟала,toise
394,Länge::N,кузьдала,fad
395,Höhe::N,ӝуждала,airde
396,Gewicht::N,сектала,meáchan
397,Gewicht::N,секытлык,meáchan
398,Menge::N,лыд,méid
399,Menge::N,лыдпус,méid
400,Haufen::N,люк,cnap
401,Reihe::N,чур,líne
402,Reihe::N,чур,sraith
403,Boot::N,пыж,bád
404,Boot::N,лодка,bád
405,Ruder::N,полыс,rámh
406,Ruder::N,полыс,maide rámha
407,Schlitten::N,додьы,carr sleamhnáin
408,Ski::N,куас,scí
409,Lagerfeuer::N,тылскем,tine champa
410,Last::N,секыт,ualach
411,Gang::N,ветлон,siúlóid
412,Schritt::N,вамыш,céim
413,Schritt::N,вамыш,coiscéim
414,Norden::N,уйпал,tuaisceart
415,Süden::N,лымшор,deisceart
416,Westen::N,шунды пуксён,iarthar
417,Osten::N,шунды ӝужан,oirthear
418,Holz::N,пу,adhmad
419,Brett::N,пул,clár
420,Platte::N,плита,leac
421,Stütze::N,пыкет,taca
422,Stange::N,пуӵ,polla
423,Stange::N,пуӵ,cuaille
424,Stock::N,боды,bata
425,Stock::N,боды,maide
426,Stab::N,пуӵ,maide
427,Stab::N,пуӵ,bachall
428,Stab::N,боды,maide
429,Stab::N,боды,bachall
430,Rohr::N,труба,píopa
431,Haus::N,юрт,teach
432,Heim::N,корка,baile
433,Ofen::N,гур,sornóg
434,Fußboden::N,выж,urlár
435,Tisch::N,ӝӧк,bord
436,Tisch::N,ӝӧк,tábla
437,Stuhl::N,пукон,cathaoir
438,Wiege::N,кӧкы,cliabhán
439,Wiege::N,зыбка,cliabhán
440,Bett::N,валес,leaba
441,Regal::N,ӝажы,seilf
442,Kiste::N,ящик,bosca
443,Fenster::N,укно,fuinneoig
444,Fenster::N,косяк,fuinneoig
445,Tür::N,ӧс,doras
446,Tor::N,ӟезьы,geata
