,Concept_ID,lez,hi
0,Auge::N,вил,आँख
1,Auge::N,вил,चक्षु
2,Ohr::N,яб,कान
3,Ohr::N,яб,कर्ण
4,Nase::N,нер,नाक
5,Nase::N,нер,नासा
6,Mund::N,сив,मुख
7,Mund::N,сив,मुँह
8,Zahn::N,сас,दंत
9,Zahn::N,сас,दाँत
10,Zahn::N,свах,दंत
11,Zahn::N,свах,दाँत
12,Zunge::N,мез,जीभ
13,Zunge::N,мез,ज़बान
14,Zunge::N,мез,जिह्वा
15,Lippe::N,пӏуз,ओंठ
16,Lippe::N,пӏуз,होंठ
17,Wange::N,хъвехъ,गाल
18,Wange::N,хъвехъ,कपोल
19,Gesicht::N,ччин,मुँह
20,Gesicht::N,ччин,चेहरा
21,Stirn::N,пел,माथा
22,Stirn::N,пел,मस्तक
23,Haar::N,чӏар,बाल
24,Schnurrbart::N,спел,मूँछें
25,Schnurrbart::N,спелар,मूँछें
26,Bart::N,ччуру,दाढ़ी
27,Kinn::N,чене,चिबुक
28,Kiefer[Anatomie]::N,чене,जबड़ा
29,Kehle::N,туьд,गला
30,Hals::N,гардан,गला
31,Hals::N,гардан,गरदन
32,Genick::N,кьам,गरदन
33,Genick::N,кьам,ग्रीवा
34,Kopf::N,кьил,सिर
35,Kopf::N,кьил,शीर्ष
36,Rücken::N,далу,पीठ
37,Bauch::N,руфун,उदर
38,Nabel::N,пицӏ,नाभि
39,Nabel::N,пицӏ,ढोंढी
40,Busen::N,мам,कुच
41,Busen::N,мам,स्तन
42,Brust::N,хур,वक्ष
43,Schulter::N,къуьн,कंधा
44,Schulter::N,къуьн,स्कंध
45,Arm::N,гъил,बाँह
46,Arm::N,гъил,बाज़ू
47,Ellenbogen::N,кьуьнт,कुहनी
48,Hand::N,капаш,हाथ
49,Hand::N,капаш,हस्त
50,Handfläche::N,капан юкь,हथेली
51,Finger::N,тӏуб,उँगली
52,Finger::N,тӏуб,अँगुली
53,Fingernagel::N,кек,नख
54,Fingernagel::N,кек,नाख़ून
55,Nagel[Anatomie]::N,кек,नख
56,Nagel[Anatomie]::N,кек,नाख़ून
57,Zeh::N,кул,उँगली
58,Zeh::N,кул,पाँव की उँगली
59,Fuß::N,кӏвач,चरण
60,Fuß::N,кӏвач,पाँव
61,Ferse::N,дабан,एड़ी
