,Concept_ID,mrj,mdf
0,Auge::N,сӹнзӓ,сельме
1,Ohr::N,пӹлӹш,пиле
2,Nase::N,нер,шалхка
3,Mund::N,ышма,курга
4,Zahn::N,пӱ,пей
5,Zunge::N,йӹлмӹ,кяль
6,Lippe::N,тӹрвӹ,търва́
7,Wange::N,шӹргӹ,щёка
8,Gesicht::N,лицӓ,шама
9,Stirn::N,лепкӓ,коня
10,Haar::N,ӱп,шя́ярь
11,Schnurrbart::N,öрш,уса́
12,Bart::N,пандаш,сакал
13,Kinn::N,онгылаш,ула
14,Kiefer[Anatomie]::N,пӱ арата,саласка
15,Kehle::N,логер,кълдома
16,Kehle::N,логер,кърга́парь
17,Hals::N,шӱ,сялдаз
18,Genick::N,ланга,шовонь
19,Kopf::N,вуй,пря
20,Rücken::N,туп,копорь
21,Bauch::N,мӹшкӹр,пеке
22,Nabel::N,кӹлӹмдӹ,по́кон
23,Busen::N,цӹзӹ,потя
24,Brust::N,мел,мяште
25,Schulter::N,ӹнгӹжӓ,лафту
26,Arm::N,кид,кядь
27,Ellenbogen::N,кӹнервуй,кенерьба́карь
28,Hand::N,лапа,кядь
29,Handfläche::N,кид лапа,кядьлапш
30,Finger::N,парня,сур
31,Fingernagel::N,кӹч,кенже
32,Nagel[Anatomie]::N,кӹч,кенже
33,Zeh::N,парня,пильгосу́р
34,Fuß::N,ял лапа,пильге
35,Fuß::N,ял лапа,пильгелапа
36,Ferse::N,ялгавал,кочкяря
37,Ferse::N,ял кавал,кочкяря
38,Knie::N,пылвуй,эль
39,Knie::N,пылвуй,пълма́нжа
40,Oberschenkel::N,ӓрдӹ,пильгепукша
41,Bein::N,ял,пильге
42,Körper::N,монгыр,ро́нга
43,Körper::N,монгыр,по́нда
44,Haut::N,кавашты,киське
45,Blut::N,вӹр,вер
46,Ader::N,вӹршӓр,сан
47,Ader::N,вӹршӓр,верза́н
48,Sehne::N,кукшышӱн,коське сан
49,Knochen::N,лу,пакарь
50,Gehirn::N,вим,уй
51,Herz::N,шӱм,седи
52,Magen::N,шӱм,коткърдазь
53,Leber::N,мокш,макса
54,Atem::N,шӱлӹш,лекома
55,Atem::N,шӱлӹш,ваймонь тарксема
56,Hunger::N,шужымаш,вачеши
57,Träne::N,сӹнзӓвӹд,сельмове́дь
58,Geschmack::N,тот,таньф
59,Geruch::N,пыш,шине
60,Schlaf::N,ом,удома́
61,Traum::N,ом,он
62,Himmel::N,пӹлгом,менель
63,Sonne::N,кечӹ,ши
64,Mond::N,тӹлзӹ,ков
65,Stern::N,шӹдӹр,тяште
66,Luft::N,юж,кожф
67,Luft::N,воздух,кожф
68,Wind::N,мардеж,варма
69,Welle::N,ко,тавла
70,Welle::N,коэ,тавла
71,Wasser::N,вӹд,ведь
72,Stein::N,кӱ,кев
73,Boden::N,рок,мода
74,Boden::N,рок,потмакс
75,Erde::N,свет,мода
76,Erde::N,свет,мастор
77,Staub::N,пырак,пуль
78,Rauch::N,шӹкш,качам
79,Funke::N,ип,ця́тка
80,Funke::N,тылип,ця́тка
81,Feuer::N,тыл,тол
82,Licht::N,соты,ва́лда
83,Licht::N,валгыды,ва́лда
84,Schatten::N,ӹмӹл,цильф
85,Wetter::N,игечӹ,уша
86,Nebel::N,тӹтӹрӓ,тума́н
87,Wolke::N,пӹл,ковол
88,Regen::N,юр,пизем
89,Schnee::N,лым,лов
90,Eis::N,и,эй
91,Frost::N,ӱштӹ,ке́льме
92,Kälte::N,ӱштӹ,якшама
93,Hitze::N,шокшы,пси
94,Raureif::N,пöрш,леш
95,Regenbogen::N,шанавӹл,а́тямъёнга
96,Donner::N,хӹдӹртӹш,атям
97,Strömung::N,йогы,шудема́
98,Tropfen::N,капльы,путькс
99,Tropfen::N,капльы,пътняфкс
100,Tropfen::N,капльык,путькс
101,Tropfen::N,капльык,пътняфкс
102,Schaum::N,шонг,шов
103,Schmutz::N,лявӹрӓ,ърда́з
104,See::N,йӓр,эрьхке
105,Sumpf::N,лӱкӹ,шяй
106,Moor::N,куп,шяй
107,Wiese::N,алык,луга
108,Wald::N,шӹргӹ,вирь
109,Hügel::N,пӱгӹрикӓ,губо́р
110,Hügel::N,пӱгӹрикӓ,пандоня
111,Anhöhe::N,кӱкшикӓ,губо́р
112,Berg::N,кырык,панда
113,Gipfel::N,неркӓ,пря
114,Höhle::N,ы́раж,у́нда
115,Abhang::N,полом,па́нда ша́ма
116,Quelle::N,вӹдсӹнзӓ,эшиня
117,Bach::N,ӓнгӹр,шудерькс
118,Fluss::N,вӹд,ляй
119,Ufer::N,сир,търва́
120,Küste::N,сир,ляйтърва́
121,Festland::N,мӱлӓндӹ,мода
122,Meer::N,тангыж,моря
123,Bucht::N,вӹдъял,ведьуське
124,Insel::N,острок,цёнга
125,Blume::N,пеледӹш,панчф
126,Gras::N,шуды,тише
127,Wurzel::N,важ,юр
128,Wurzel::N,важ,ункс
129,Baum::N,пушӓнгӹ,шуфта
130,Stamm::N,пушӓнгӹ тӹнг,ро́нга
