,Concept_ID,ba,udm
0,Auge::N,күҙ,син
1,Ohr::N,ҡолаҡ,пель
2,Nase::N,танау,ныр
3,Mund::N,ауыҙ,ым
4,Zahn::N,теш,пинь
5,Zunge::N,тел,кыл
6,Lippe::N,ирен,ымдур
7,Wange::N,яцаҡтар,бам
8,Gesicht::N,бит,ымныр
9,Stirn::N,маңлай,кымес
10,Haar::N,сәс,йырси
11,Schnurrbart::N,мылтыҡ,мыйык
12,Bart::N,һаҡал,туш
13,Kinn::N,эйэк,ангес
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ан
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,анлы
16,Kehle::N,тамаҡ,гульым
17,Hals::N,муйын,чырты
18,Genick::N,соңҡа,йырбер
19,Kopf::N,баш,йыр
20,Rücken::N,арҡа,мыш
21,Bauch::N,ҡорһаҡ,кӧт
22,Nabel::N,кендек,гогы
23,Busen::N,күкрәк,ноны
24,Brust::N,түш,мӧля
25,Schulter::N,яурын,пельпум
26,Arm::N,ҡул,суй
27,Ellenbogen::N,терһәк,гырпум
28,Hand::N,ҡул,ки
29,Hand::N,ҡул суғы,ки
30,Handfläche::N,ус төбө,ки пыдэс
31,Handfläche::N,ус төбө,кырым пыдэс
32,Finger::N,бармаҡ,чиньы
33,Fingernagel::N,тырнаҡ,гижы
34,Fingernagel::N,тырнаҡ,гиждӥнь
35,Nagel[Anatomie]::N,тырнаҡ,гижы
36,Zeh::N,бармаҡ,пыдчиньы
37,Fuß::N,табан,пыд
38,Ferse::N,үксә,пыдбер
39,Knie::N,тубыҡ,пыдес
40,Oberschenkel::N,сандыр,макес
41,Bein::N,аяҡ,пыд
42,Körper::N,тән,мугор
43,Körper::N,тән,вылтыр
44,Haut::N,тире,ку
45,Blut::N,ҡан,вир
46,Ader::N,тамыр,вирсэр
47,Sehne::N,һеңер,вуж
48,Sehne::N,тарамыш,вуж
49,Knochen::N,һойәк,лы
50,Gehirn::N,мейе,вим
51,Herz::N,йорәк,сюлэм
52,Magen::N,ашҡаҙан,ӝуш
53,Leber::N,бауыр,мус
