,Concept_ID,ce,he
0,Auge::N,бӏаьрг,עין
1,Ohr::N,лерг,אזן
2,Nase::N,мара,אף
3,Nase::N,мара,חטם
4,Mund::N,бага,פה
5,Zahn::N,церг,שן
6,Zunge::N,мотт,לשון
7,Lippe::N,балда,שפה
8,Wange::N,бесни,לחי
9,Gesicht::N,юьхь,פנים
10,Stirn::N,хьаж,מצח
11,Haar::N,мас,שערה
12,Schnurrbart::N,мекх,שפם
13,Bart::N,маж,זקן
14,Kinn::N,чӏениг,סנטר
15,Kiefer[Anatomie]::N,мочхал,לסת
16,Kehle::N,къамкъарг,גרון
17,Hals::N,ворта,צואר
18,Genick::N,кӏесаркӏаг,ערף
19,Kopf::N,корта,ראש
20,Rücken::N,букъ,גב
21,Bauch::N,кийра,בטן
22,Nabel::N,цӏонга,טבור
23,Busen::N,зударийн накха,שד
24,Brust::N,накха,חזה
25,Schulter::N,белш,כתף
26,Arm::N,пхьарс,זרוע
27,Ellenbogen::N,пхьаьрсан гола,מרפק
28,Hand::N,куьг,יד
29,Handfläche::N,кераюкъ,כף יד
30,Finger::N,пӏелг,אצבע
31,Fingernagel::N,мӏара,צפרן
32,Nagel[Anatomie]::N,мӏара,צפרן
33,Zeh::N,кога пӏелг,אצבע
34,Fuß::N,ког,רגל
35,Ferse::N,кӏажа,עקב
36,Knie::N,гола,ברך
37,Oberschenkel::N,варе,ירך
38,Bein::N,ког,רגל
39,Körper::N,хӏума,גוף
40,Haut::N,чкъор,עור
41,Blut::N,цӏий,דם
42,Ader::N,пха,וריד
43,Sehne::N,хьорзам,גיד
44,Knochen::N,даьӏахк,עצם
45,Gehirn::N,хье,מוח
46,Herz::N,дог,לב
47,Magen::N,зорх,קבה
48,Leber::N,доӏах,כבד
49,Atem::N,садеӏар,נשימה
50,Hunger::N,мацалла,רעב
51,Träne::N,бӏаьрхи,דמעה
52,Geschmack::N,чам,טעם
53,Geruch::N,хьожа,ריח
54,Schlaf::N,наб,שנה
55,Traum::N,гӏан,חלום
56,Himmel::N,стигал,שמים
57,Sonne::N,малх,שמש
58,Mond::N,бутт,ירח
59,Stern::N,седа,כוכב
60,Luft::N,xӏаваъ,אויר
61,Wind::N,мох,רוח
62,Welle::N,тулгӏе,גל
63,Wasser::N,хи,מים
64,Stein::N,тӏулг,אבן
65,Boden::N,цӏенкъа,קרקע
66,Erde::N,латта,אדמה
67,Staub::N,чан,אבק
68,Rauch::N,кӏур,עשן
69,Funke::N,суй,ניצוץ
70,Feuer::N,цӏе,אש
71,Licht::N,серло,אור
72,Schatten::N,ӏиндагӏ,צל
73,Wetter::N,хенан хӏоттам,מזג אויר
74,Nebel::N,дохк,ערפל
75,Wolke::N,марха,ענן
76,Regen::N,догӏа,גשם
77,Schnee::N,ло,שלג
78,Eis::N,ша,קרח
79,Frost::N,шело,צנה
80,Kälte::N,шело,קר
81,Hitze::N,йовхо,חם
82,Raureif::N,йис,כפור
83,Regenbogen::N,стелаӏад,קשת
84,Donner::N,ткъес,רעם
85,Strömung::N,дӏаэхар,זרימה
86,Strömung::N,дӏасалелар,זרימה
87,Tropfen::N,тӏадам,טפה
88,Schaum::N,чопа,קצף
89,Schmutz::N,хатт,לכלוך
90,See::N,ӏам,אגם
91,Sumpf::N,уьшал,בצה
92,Moor::N,уьшал,בצה
93,Wiese::N,бай,מרעה
94,Wald::N,хьун,יער
95,Hügel::N,гу,תל
96,Hügel::N,шу,תל
97,Hügel::N,барз,תל
98,Anhöhe::N,акъари,מעלה
99,Berg::N,лам,הר
100,Gipfel::N,бохь,פסגה
101,Höhle::N,хьех,מערה
102,Abhang::N,басе,מדרון
103,Abhang::N,басе,שפוע
104,Quelle::N,шовда,מעין
105,Bach::N,татол,נחל
106,Fluss::N,хи,נהר
107,Ufer::N,хийист,גדה
108,Küste::N,йист,חוף
109,Festland::N,латта,יבשה
110,Meer::N,xӏорд,ים
111,Bucht::N,чож,מפרץ
112,Insel::N,гӏайре,אי
113,Blume::N,зезаг,פרח
114,Gras::N,буц,דשא
115,Wurzel::N,орам,שרש
116,Baum::N,дитт,עץ
117,Stamm::N,гӏад,גזע
118,Stamm::N,тайпа,גזע
119,Rinde::N,кевстиг,קלפת עץ
120,Ast::N,га,ענף
121,Zweig::N,га,ענף
122,Blatt::N,гӏа,עלה
123,Birke::N,дакх,שדר
124,Kiefer[Baum]::N,бага,ארן
125,Weide[Baum]::N,дак,ערבה
126,Tanne::N,база,אשוח
127,Horn::N,маӏа,קרן
128,Feder::N,пелаг,נוצה
129,Fell::N,цӏока,פרוה
130,Flügel::N,тӏам,כנף
131,Klaue::N,мӏара,טלף
132,Kralle::N,тlод,טפר
133,Schwanz::N,цӏога,זנב
134,Ei::N,xӏoa,ביצה
135,Nest::N,бен,קן
136,Bau::N,lуьрг,מחלה
137,Tier::N,дийнат,חיה
138,Herde::N,жа,עדר
139,Kuh::N,етт,פרה
140,Bulle::N,сту,פר
141,Pferd::N,говр,סוס
142,Schaf::N,жий,כבשה
143,Schaf::N,уьстагӏ,כבשה
144,Schwein::N,хьакха,חזיר
145,Hund::N,жӏаьла,כלב
146,Katze::N,цициг,חתול
147,Bär::N,ча,דב
148,Eichhörnchen::N,тарсал,סנאי
149,Elch::N,сай,דישון
150,Fuchs::N,цхьогал,שועל
151,Hase::N,пхьагал,ארנב
152,Maus::N,дахка,עכבר
153,Wolf::N,борз,זאב
154,Vogel::N,олхазар,צפור
155,Huhn::N,котам,תרנגלת
156,Hahn::N,нӏаьна,תרנגול
157,Hahn::N,боргӏал,תרנגול
158,Gans::N,гӏаз,אוז
159,Adler::N,aьрзу,עיט
160,Ente::N,бад,ברוז
161,Eule::N,бухӏа,ינשוף
162,Kranich::N,гӏаргӏули,עגור
163,Kranich::N,гӏаргӏули,כרוכיה
164,Krähe::N,къиг,עורב
165,Kuckuck::N,aттйокх,קוקיה
166,Schwan::N,гӏургӏаз,ברבור
167,Fisch::N,чӏара,דג
168,Barsch::N,окунь,אוקונוס
169,Hecht::N,гӏазкхийн чӏара,זאב הים
170,Schlange[Tier]::N,лаьхьа,נחש
171,Wurm::N,нӏаьна,תולעת
172,Spinne::N,гезг,עכביש
173,Ameise::N,зингат,נמלה
174,Laus::N,меза,כנה
175,Laus::N,гӏениг,כנה
176,Mücke::N,чуьрк,יתוש
177,Fliege::N,моза,זבוב
178,Schmetterling::N,полла,פרפר
179,Beere::N,цӏазам,ענבה
180,Apfel::N,ӏаж,תפוח
181,Pilz::N,жӏаьлин нускал,פטריה
182,Zwiebel::N,xох,בצל
183,Saat::N,чlу,זרעים
184,Korn::N,буьртиг,גרעין
185,Heu::N,йол,חציר
186,Schale::N,пардо,קלפה
187,Grube::N,ор,בור
188,Grube::N,ор,שוחה
189,Falle::N,кӏело,מלכדת
190,Spur::N,лар,עקבה
191,Asche::N,чим,אפר
192,Dreck::N,мода,זהמה
193,Eisen::N,эчиг,ברזל
194,Gold::N,деши,זהב
195,Silber::N,дети,כסף
196,Kohle::N,кӏора,פחם
197,Glas::N,aнгали,זכוכית
198,Lehm::N,поппар,חרסית
199,Sand::N,гӏум,חול
200,Mensch::N,адам,אדם
201,Mann::N,майра,איש
202,Mann::N,майра,גבר
203,Frau::N,зуда,אשה
204,Frau::N,зуда,גברת
205,Kind::N,бер,ילד
206,Junge::N,жимха,ילד
207,Mädchen::N,жима йоӏ,נערה
208,Familie::N,доьзал,משפחה
209,Großvater::N,ненада,סבא
210,Großmutter::N,денана,סבתא
211,Eltern::N,да-нана,הורים
212,Vater::N,да,אב
213,Mutter::N,нана,אם
214,Sohn::N,кӏант,בן
215,Tochter::N,йоӏ,בת
216,Bruder::N,ваша,אח
217,Schwester::N,йиша,אחות
218,Onkel::N,деваша,דוד
219,Tante::N,дейиша,דודה
220,Ehemann::N,майра,איש
221,Ehemann::N,майра,בעל
222,Ehefrau::N,зуда,אשה
223,Freude::N,самукъа,שמחה
224,Freude::N,хазахетар,שמחה
225,Gelächter::N,белам,צחוק
226,Glück::N,ирс,אשר
227,Kummer::N,бала,יגון
228,Kummer::N,бала,עגמה
229,Wunsch::N,лаам,אחול
230,Wunsch::N,лаам,משאלה
231,Lust::N,лаам,חשק
232,Lust::N,лаам,תשוקה
233,Geist::N,са,רוח
234,Gedanke::N,ойла,מחשבה
235,Gedächtnis::N,диццадалар,זכרון
236,Verstand::N,хьекъал,שכל
237,Sinn::N,маьӏна,מובן
238,Sinn::N,маьӏна,משמעות
239,Grund::N,бахьана,סבה
240,Wahrheit::N,бакъдерг,אמת
241,Gespräch::N,къамел,דיון
242,Märchen::N,туьйра,אגדה
243,Erzählung::N,дийцар,ספור
244,Nachricht::N,хаам,ידיעה
245,Neuigkeit::N,керланиг,חדשה
246,Name::N,цӏе,שם
247,Rätsel::N,хӏетал-метал,תעלומה
248,Rede::N,къамел,נאום
249,Sprache::N,мотт,לשון
250,Stimme::N,aз,קול
251,Wort::N,дош,מלה
252,Zeichen::N,билгало,סימן
253,Ruf::N,кхайкхар,קריאה
254,Lärm::N,гӏовгӏа,רעש
255,Laut::N,аз,הגה
256,Ton::N,aз,צליל
257,Lied::N,илли,שיר
258,Ruhe::N,тийналла,שלוה
259,Leute::N,нах,אנשים
260,Volk::N,халкъ,עם
261,Arbeit::N,болх,עבודה
262,Gast::N,хьаша,אורח
263,Geschenk::N,совгӏат,מתנה
264,Spiel::N,ловзар,משחק
