,Concept_ID,ka,es
0,Auge::N,თვალი,ojo
1,Ohr::N,ყური,oreja
2,Nase::N,ცხვირი,nariz
3,Mund::N,პირი,boca
4,Zahn::N,კბილი,diente
5,Zunge::N,ენა,lengua
6,Lippe::N,ბაგე,labio
7,Wange::N,ლოყა,mejilla
8,Gesicht::N,სახე,cara
9,Stirn::N,შუბლი,frente
10,Haar::N,თმა,cabello
11,Schnurrbart::N,ულვაში,bigote
12,Bart::N,წვერი,barba
13,Kinn::N,ნიკაპი,barbilla
14,Kiefer[Anatomie]::N,ყბა,mandíbula
15,Kehle::N,ყელი,garganta
16,Hals::N,ყელი,cuello
17,Hals::N,კისერი,cuello
18,Genick::N,კეფა,nuca
19,Genick::N,კეფა,cerviz
20,Kopf::N,თავი,cabeza
21,Rücken::N,ზურგი,espalda
22,Bauch::N,მუცელი,vientre
23,Nabel::N,ჭიპი,ombligo
24,Busen::N,ძუძუ,pecho
25,Brust::N,მკერდი,pecho
26,Schulter::N,მხარი,hombro
27,Schulter::N,მკლავი,hombro
28,Arm::N,ხელი,brazo
29,Ellenbogen::N,იდაყვი,codo
30,Hand::N,ხელი,mano
31,Handfläche::N,ნები,palma
32,Handfläche::N,ხელისგული,palma
33,Finger::N,თითი,dedo
34,Fingernagel::N,ფრჩხილი,uña
35,Nagel[Anatomie]::N,ფრჩხილი,uña
36,Zeh::N,ფეხის თითი,dedo del pie
37,Fuß::N,ტერფი,pie
38,Fuß::N,ფეხისგული,pie
39,Ferse::N,ქუსლი,talón
40,Knie::N,მუხლი,rodilla
41,Oberschenkel::N,ბარძაყი,muslo
42,Bein::N,ფეხი,pierna
43,Körper::N,ტანი,cuerpo
44,Körper::N,სხეული,cuerpo
45,Haut::N,კანი,piel
46,Blut::N,სისხლი,sangre
47,Ader::N,ძარღვი,vena
48,Sehne::N,მყესი,tendón
49,Knochen::N,ძვალი,hueso
50,Gehirn::N,ტვინი,cerebro
51,Gehirn::N,ტვინი,encéfalo
52,Herz::N,გული,corazón
53,Magen::N,კუჭი,estómago
54,Leber::N,ღვიძლი,hígado
55,Atem::N,სუნთქვა,aliento
56,Hunger::N,შიმშილი,hambre
57,Träne::N,ცრემლი,lágrima
58,Geschmack::N,გემო,gusto
59,Geruch::N,სუნი,olor
60,Schlaf::N,ძილი,sueño
61,Traum::N,სიზმარი,sueño
62,Traum::N,სიზმარი,ensueño
63,Himmel::N,ცა,cielo
64,Sonne::N,მზე,sol
65,Mond::N,მთვარე,luna
66,Stern::N,ვარსკვლავი,estrella
67,Luft::N,ჰაერი,aire
68,Wind::N,ქარი,viento
69,Welle::N,ტალღა,ola
70,Welle::N,ტალღა,onda
71,Wasser::N,წყალი,agua
72,Stein::N,ქვა,piedra
73,Boden::N,მიწა,suelo
74,Erde::N,ნიადაგი,tierra
75,Staub::N,მტვერი,polvo
76,Rauch::N,ბოლი,humo
77,Rauch::N,კვამლი,humo
78,Funke::N,ნაკვესი,chispa
79,Feuer::N,ცეცხლი,fuego
80,Licht::N,შუქი,luz
81,Licht::N,სინათლე,luz
82,Schatten::N,ლანდი,sombra
83,Schatten::N,ჩრდილი,sombra
84,Wetter::N,ამინდი,tiempo
85,Nebel::N,ნისლი,niebla
