,Concept_ID,la,lbe
0,Auge::N,oculus,я
1,Ohr::N,auris,вичӏи
2,Nase::N,nasus,май
3,Mund::N,os,кьацӏ
4,Zahn::N,dens,ккарччи
5,Zunge::N,lingua,маз
6,Lippe::N,labrum,мурччи
7,Wange::N,gena,чӏав
8,Gesicht::N,vultus,лажин
9,Stirn::N,frons,ненттабакӏ
10,Haar::N,capillus,чӏара
11,Schnurrbart::N,barba labri superioris,ссирссилтту
12,Bart::N,barba,чӏири
13,Kinn::N,mentum,лунттубакӏ
14,Kiefer[Anatomie]::N,mala,ххинчулул
15,Kehle::N,iugulums,кьакьари
16,Hals::N,collum,ссурссу
17,Genick::N,cervices,махъабакӏ
18,Kopf::N,caput,бакӏ
19,Rücken::N,tergum,ттиликӏ
20,Bauch::N,venter,лякьа
21,Nabel::N,umbilicus,цӏумуккутӏ
22,Busen::N,sinus,ккукку
23,Brust::N,pectus,хъазам
24,Schulter::N,umerus,хъачӏ
25,Arm::N,bracchium,ка
26,Ellenbogen::N,cubitum,ссюрхъ
27,Hand::N,manus,бартка
28,Handfläche::N,palma,хъат
29,Handfläche::N,palma,битӏянхъ
30,Finger::N,digitus,кӏисса
31,Fingernagel::N,unguiculus,михь
32,Nagel[Anatomie]::N,unguis,михь
33,Zeh::N,digitus,кӏисса
34,Fuß::N,pes,чӏанччан
35,Ferse::N,calx,никъа
36,Knie::N,genu,ник
37,Oberschenkel::N,femur,жира
38,Bein::N,crus,ччан
39,Körper::N,corpus,чурх
40,Haut::N,cutis,бурчу
41,Haut::N,pellis,бурчу
42,Blut::N,sanguis,оь
43,Ader::N,vena,тунну
44,Sehne::N,nervus,хьхьа
45,Knochen::N,os,ттаркӏ
46,Gehirn::N,cerebrum,ня
47,Herz::N,cor,дакӏ
48,Herz::N,cor,къюкӏ
49,Herz::N,animus,дакӏ
50,Herz::N,animus,къюкӏ
51,Magen::N,stomachus,лякьа
52,Leber::N,iecur,
53,Atem::N,spiritus,ссихӏ ласаву
54,Atem::N,spiritus,ссихӏ бигьаву
55,Hunger::N,fames,ккаши
56,Träne::N,lacrima,макь
57,Geschmack::N,sapor,тӏин
58,Geschmack::N,sapor,тӏааьн
59,Geschmack::N,gustus,тӏин
60,Geschmack::N,gustus,тӏааьн
61,Geruch::N,odor,кьанкь
62,Schlaf::N,somnus,шану
63,Traum::N,somnium,макӏру
64,Himmel::N,caelum,ссав
65,Sonne::N,sol,баргъ
66,Mond::N,luna,барз
67,Stern::N,sidus,цӏуку
68,Stern::N,stella,цӏуку
69,Luft::N,aer,гьава
70,Wind::N,ventus,марч
71,Welle::N,unda,щатӏи
72,Wasser::N,aqua,щин
73,Stein::N,lapis,чару
74,Boden::N,solum,аьрщи
75,Erde::N,terra,аьрщи
76,Staub::N,pulvis,ххит
77,Rauch::N,fumus,пуркӏу
78,Funke::N,scintilla,пиягь
