,Concept_ID,lt,pt
0,Auge::N,akis,olho
1,Ohr::N,ausis,orelha
2,Nase::N,nosis,nariz
3,Mund::N,burna,boca
4,Zahn::N,dantis,dente
5,Zunge::N,liežuvis,língua
6,Lippe::N,lūpa,lábio
7,Wange::N,žandas,face
8,Wange::N,skruostas,face
9,Gesicht::N,veidas,cara
10,Gesicht::N,veidas,rosto
11,Stirn::N,kakta,testa
12,Haar::N,plaukai,cabelo
13,Schnurrbart::N,ūsai,bigode
14,Bart::N,barzda,barba
15,Kinn::N,smakras,queixo
16,Kiefer[Anatomie]::N,žandikaulis,maxila
17,Kiefer[Anatomie]::N,žandikaulis,mandíbula
18,Kehle::N,gerklė,garganta
19,Hals::N,kaklas,colo
20,Hals::N,kaklas,pescoço
21,Genick::N,sprandas,nuca
22,Kopf::N,galva,cabeça
23,Rücken::N,nugara,dorso
24,Rücken::N,nugara,costas
25,Bauch::N,pilvas,ventre
26,Bauch::N,pilvas,barriga
27,Nabel::N,bamba,umbigo
28,Busen::N,krūtinė,seio
29,Brust::N,krūtis,peito
30,Schulter::N,petys,ombro
31,Arm::N,ranka,braço
32,Ellenbogen::N,alkūnė,cotovelo
33,Hand::N,ranka,mão
34,Hand::N,plaštaka,mão
35,Handfläche::N,delnas,palma
36,Handfläche::N,delnas,palma da mão
37,Handfläche::N,plaštaka,palma
38,Handfläche::N,plaštaka,palma da mão
39,Finger::N,pirštas,dedo
40,Fingernagel::N,nagas,unha
41,Nagel[Anatomie]::N,nagas,unha
42,Zeh::N,pirštas,dedo do pé
43,Fuß::N,pėda,pé
44,Ferse::N,kulnas,calcanhar
45,Knie::N,kelis,joelho
46,Oberschenkel::N,kulšis,coxa
47,Oberschenkel::N,šlaunis,coxa
48,Bein::N,koja,perna
49,Körper::N,kūnas,corpo
50,Haut::N,oda,pele
51,Blut::N,kraujas,sangue
52,Ader::N,kraujagyslė,veia
53,Sehne::N,sausgyslė,tendão
54,Knochen::N,kaulas,osso
55,Gehirn::N,smegenys,cérebro
56,Herz::N,širdis,coração
57,Magen::N,skrandis,estômago
58,Leber::N,kepenys,fígado
59,Atem::N,kvapas,fôlego
60,Hunger::N,badas,fome
61,Hunger::N,alkis,fome
62,Träne::N,ašara,lágrima
63,Geschmack::N,skonis,gosto
64,Geruch::N,kvapas,odor
65,Geruch::N,kvapas,cheiro
66,Schlaf::N,miegas,sono
67,Traum::N,sapnas,sonho
68,Himmel::N,dangus,céu
69,Sonne::N,saulė,sol
70,Mond::N,mėnulis,lua
71,Stern::N,žvaigždė,estrela
72,Luft::N,oras,ar
73,Wind::N,vėjas,vento
74,Welle::N,banga,onda
75,Welle::N,vilnis,onda
76,Wasser::N,vanduo,água
77,Stein::N,akmuo,pedra
78,Boden::N,žemė,solo
79,Boden::N,dugnas,solo
80,Erde::N,žemė,terra
81,Staub::N,dulkės,pó
82,Rauch::N,dūmai,fumo
83,Funke::N,kibirkštis,faísca
84,Funke::N,kibirkštis,centelha
85,Feuer::N,ugnis,fogo
86,Licht::N,šviesa,luz
87,Schatten::N,paūksmė,sombra
88,Wetter::N,oras,tempo
89,Nebel::N,migla,nevoeiro
90,Nebel::N,rūkas,nevoeiro
91,Wolke::N,debesis,nuvem
92,Regen::N,lietus,chuva
93,Schnee::N,sniegas,neve
94,Eis::N,ledas,gelo
95,Frost::N,šalna,gelo
96,Frost::N,šalna,geada
97,Kälte::N,šaltis,frio
98,Hitze::N,karštis,ardor
99,Raureif::N,šerkšnas,geada
100,Regenbogen::N,vaivorykštė,arco-iris
101,Donner::N,perkūnas,trovão
102,Donner::N,griaustinis,trovão
103,Strömung::N,tėkmė,corrente
104,Tropfen::N,lašas,gota
105,Schaum::N,putos,espuma
106,Schmutz::N,purvas,sujidade
