,Concept_ID,ce,ce
0,Auge::N,бӏаьрг,бӏаьрг
1,Ohr::N,лерг,лерг
2,Nase::N,мара,мара
3,Mund::N,бага,бага
4,Zahn::N,церг,церг
5,Zunge::N,мотт,мотт
6,Lippe::N,балда,балда
7,Wange::N,бесни,бесни
8,Gesicht::N,юьхь,юьхь
9,Stirn::N,хьаж,хьаж
10,Haar::N,мас,мас
11,Schnurrbart::N,мекх,мекх
12,Bart::N,маж,маж
13,Kinn::N,чӏениг,чӏениг
14,Kiefer[Anatomie]::N,мочхал,мочхал
15,Kehle::N,къамкъарг,къамкъарг
16,Hals::N,ворта,ворта
17,Genick::N,кӏесаркӏаг,кӏесаркӏаг
18,Kopf::N,корта,корта
19,Rücken::N,букъ,букъ
20,Bauch::N,кийра,кийра
21,Nabel::N,цӏонга,цӏонга
22,Busen::N,зударийн накха,зударийн накха
23,Brust::N,накха,накха
24,Schulter::N,белш,белш
25,Arm::N,пхьарс,пхьарс
26,Ellenbogen::N,пхьаьрсан гола,пхьаьрсан гола
27,Hand::N,куьг,куьг
28,Handfläche::N,кераюкъ,кераюкъ
29,Finger::N,пӏелг,пӏелг
30,Fingernagel::N,мӏара,мӏара
31,Nagel[Anatomie]::N,мӏара,мӏара
32,Zeh::N,кога пӏелг,кога пӏелг
33,Fuß::N,ког,ког
34,Ferse::N,кӏажа,кӏажа
35,Knie::N,гола,гола
36,Oberschenkel::N,варе,варе
37,Bein::N,ког,ког
38,Körper::N,хӏума,хӏума
39,Haut::N,чкъор,чкъор
40,Blut::N,цӏий,цӏий
41,Ader::N,пха,пха
42,Sehne::N,хьорзам,хьорзам
43,Knochen::N,даьӏахк,даьӏахк
44,Gehirn::N,хье,хье
45,Herz::N,дог,дог
46,Magen::N,зорх,зорх
47,Leber::N,доӏах,доӏах
48,Atem::N,садеӏар,садеӏар
49,Hunger::N,мацалла,мацалла
50,Träne::N,бӏаьрхи,бӏаьрхи
51,Geschmack::N,чам,чам
52,Geruch::N,хьожа,хьожа
53,Schlaf::N,наб,наб
54,Traum::N,гӏан,гӏан
55,Himmel::N,стигал,стигал
56,Sonne::N,малх,малх
57,Mond::N,бутт,бутт
58,Stern::N,седа,седа
59,Luft::N,xӏаваъ,xӏаваъ
60,Wind::N,мох,мох
61,Welle::N,тулгӏе,тулгӏе
62,Wasser::N,хи,хи
63,Stein::N,тӏулг,тӏулг
64,Boden::N,цӏенкъа,цӏенкъа
65,Erde::N,латта,латта
66,Staub::N,чан,чан
67,Rauch::N,кӏур,кӏур
68,Funke::N,суй,суй
69,Feuer::N,цӏе,цӏе
70,Licht::N,серло,серло
71,Schatten::N,ӏиндагӏ,ӏиндагӏ
72,Wetter::N,хенан хӏоттам,хенан хӏоттам
73,Nebel::N,дохк,дохк
74,Wolke::N,марха,марха
75,Regen::N,догӏа,догӏа
76,Schnee::N,ло,ло
77,Eis::N,ша,ша
78,Frost::N,шело,шело
79,Kälte::N,шело,шело
80,Hitze::N,йовхо,йовхо
81,Raureif::N,йис,йис
82,Regenbogen::N,стелаӏад,стелаӏад
83,Donner::N,ткъес,ткъес
84,Strömung::N,дӏаэхар,дӏаэхар
85,Strömung::N,дӏаэхар,дӏасалелар
