,Concept_ID,zh,te
0,Auge::N,眼睛,కన్ను
1,Ohr::N,耳朵,చెవి
2,Nase::N,鼻子,ముక్కు
3,Mund::N,嘴,నోరు
4,Zahn::N,牙齿,పల్లు
5,Zunge::N,舌头,నాలుక
6,Lippe::N,嘴唇,పెదవి
7,Wange::N,面颊,చెంప
8,Gesicht::N,脸,ముఖము
9,Stirn::N,额,నుదురు
10,Haar::N,头发,వెండ్రుక
11,Schnurrbart::N,髭须,మీసము
12,Bart::N,胡子,గడ్డము
13,Kinn::N,下巴,గడ్డము
14,Kiefer[Anatomie]::N,颌,దౌడ
15,Kehle::N,嗓子,గొంతు
16,Hals::N,颈,మెడ
17,Genick::N,后颈,మూపు
18,Kopf::N,头,తల
19,Rücken::N,背,వెన్ను
20,Bauch::N,肚子,కడుపు
21,Nabel::N,肚脐,బొడ్డు
22,Busen::N,胸脯,స్తనము
23,Brust::N,胸,ఱొమ్ము
24,Schulter::N,肩膀,భుజము
25,Arm::N,臂膀,చేయి
26,Ellenbogen::N,肘,మోచేయి
27,Hand::N,手,చేయి
28,Handfläche::N,手掌,అరచేయు
29,Finger::N,手指,చేతిప్రేలు
30,Fingernagel::N,指甲,గోరు
31,Nagel[Anatomie]::N,指甲,గోరు
32,Zeh::N,脚趾,కాలిప్రేలు
33,Fuß::N,脚,అడుగు
34,Ferse::N,后跟,మడమ
35,Knie::N,膝,మోకాలు
36,Oberschenkel::N,大腿,తొడ
37,Bein::N,腿,కాలు
38,Körper::N,身体,కాయము
39,Haut::N,皮肤,చర్మము
40,Blut::N,血,రక్తము
41,Ader::N,血管,సిర
42,Sehne::N,腱,స్నాయువు
43,Knochen::N,骨,ఎముక
44,Gehirn::N,脑,మెదడు
45,Herz::N,心,హృదయము
46,Magen::N,胃,కడుపు
47,Leber::N,肝,కాలేయము
48,Atem::N,呼吸,ఉపిరి
49,Hunger::N,饿,ఆకలి
50,Träne::N,眼泪,కన్నీటిచుక్క
51,Geschmack::N,味道,రుచి
52,Geruch::N,气味,వాసన
53,Schlaf::N,睡眠,నిద్ర
54,Traum::N,梦,కల
55,Himmel::N,天空,ఆకాశము
56,Sonne::N,太阳,సూర్యుడు
57,Mond::N,月亮,చంద్రుడు
58,Stern::N,星,నక్షత్రము
59,Luft::N,空气,గాలి
60,Wind::N,风,వీచుచున్నగాలి
61,Welle::N,波,అల
62,Wasser::N,水,నీరు
63,Stein::N,石头,ఱాయి
64,Boden::N,地面,నేల
65,Erde::N,地,మన్ను
66,Staub::N,灰尘,దుమ్ము
67,Rauch::N,烟,పొగ
68,Funke::N,火花,అగ్నికణము
69,Feuer::N,火,అగ్ని
70,Licht::N,光,కాంతి
71,Schatten::N,影子,నీడ
72,Wetter::N,天气,వాతావరణ స్థితి
73,Nebel::N,雾,పొగమంచు
74,Wolke::N,云,మేఘము
75,Regen::N,雨,వాన
76,Schnee::N,雪,హిమము
77,Eis::N,冰,మంచుగడ్డ
78,Frost::N,霜冻,పేరిన మంచు
79,Kälte::N,寒冷,చలి
80,Hitze::N,炎热,వేడిమి
81,Raureif::N,霜,మంచు
82,Regenbogen::N,虹,ఇంద్రధనుస్సు
83,Donner::N,雷,ఉరుము
84,Strömung::N,水流,ప్రవాహము
85,Tropfen::N,滴,చుక్క
86,Schaum::N,泡沫,నురుగు
87,Schmutz::N,赃物,మైల
88,See::N,湖,సరస్సు
89,Sumpf::N,沼泽,చిత్తడినేల
90,Moor::N,沼泽,చిత్తడినేల
91,Wiese::N,草地,పచ్చిక బయలు
92,Wald::N,森林,అడవి
93,Hügel::N,丘陵,చివ్నకొండ
94,Anhöhe::N,山丘,కొండ
95,Berg::N,山,పర్వతము
96,Gipfel::N,峰,శిఖరము
97,Höhle::N,洞穴,గుహ
98,Abhang::N,斜坡,ఏటవాలు
99,Quelle::N,泉,మూలము
100,Bach::N,溪,కాలువ
101,Fluss::N,河流,నది
102,Ufer::N,岸,తీరము
103,Küste::N,海岸,తీరము
104,Festland::N,大陆,భూమి
105,Meer::N,海,సముద్రము
106,Bucht::N,海湾,మరుగు
107,Insel::N,岛,దీవి
108,Blume::N,花,పుష్పము
109,Gras::N,草,పచ్చగడ్డి
110,Wurzel::N,根,వేరు
111,Baum::N,树,చెట్టు
112,Stamm::N,树干,చెట్టుబోదె
113,Rinde::N,树皮,చెట్టుపట్ట
114,Ast::N,树枝,కొమ్మ
115,Zweig::N,树枝,చివుకు
116,Blatt::N,叶子,ఆకు
117,Birke::N,桦木,తరహా చెట్టు
118,Kiefer[Baum]::N,松树,దేవదారు చెట్టు
119,Weide[Baum]::N,柳树,జాతిచెట్టు
120,Tanne::N,冷杉,దేవదారుచెట్టు
121,Horn::N,角,కొమ్ము
122,Feder::N,羽毛,ఈక
123,Fell::N,皮毛,తోలు
124,Flügel::N,翅膀,ఱెక్క
125,Klaue::N,爪子,వంకరగోరు
126,Kralle::N,爪子,వంకరగోరు
127,Schwanz::N,尾巴,తోక
128,Ei::N,蛋,గ్రుడ్డు
129,Nest::N,巢,పక్షిగూడు
130,Bau::N,穴,గుహ
131,Tier::N,动物,జంతువు
132,Herde::N,群,మంద
133,Kuh::N,母牛,ఆవు
134,Bulle::N,公牛,గిత్త
135,Pferd::N,马,గుఱ్ఱము
136,Schaf::N,羊,గొఱ్ఱె
137,Schwein::N,猪,పంది
138,Hund::N,狗,కుక్క
139,Katze::N,猫,పిల్లి
140,Bär::N,熊,ఎలుగుబంటి
141,Eichhörnchen::N,松鼠,ఉడుత
142,Elch::N,麋鹿,కణంజు
143,Fuchs::N,狐狸,గుంటనక్క
144,Hase::N,兔子,కుందేలు
145,Maus::N,老鼠,చిట్టెలుక
146,Wolf::N,狼,తోడేలు
147,Vogel::N,鸟,పక్షి
148,Schwarm::N,群,గుంపు
149,Huhn::N,鸡,కోడిపిల్ల
150,Hahn::N,公鸡,కోడివుంజు
151,Gans::N,鹅,ఆడుబాతు
152,Adler::N,鹰,గ్రద్ద
153,Ente::N,鸭,పాట్టిబాతు
154,Eule::N,猫头鹰,గ్రుడ్లగూబ
155,Kranich::N,鹤,కొంగ
156,Krähe::N,乌鸦,కాకి
157,Kuckuck::N,布谷鸟,కోయల
158,Schwan::N,天鹅,హంస
159,Fisch::N,鱼,చేప
160,Barsch::N,鲈鱼,ఒకచేఁప
161,Hecht::N,狗鱼,గండుమీను
162,Schlange[Tier]::N,蛇,పాము
163,Wurm::N,蠕虫,పురుగు
164,Spinne::N,蜘蛛,సాలె పురుగు
165,Ameise::N,蚂蚁,చీమ
166,Laus::N,虱子,పేను
167,Mücke::N,蚊子,చీకటీగ
168,Fliege::N,苍蝇,ఈగ
169,Schmetterling::N,蝴蝶,సీతాకోకచిలుక
170,Beere::N,将果,కాయ
171,Apfel::N,苹果,ఆపిల్ పండు
172,Pilz::N,蘑菇,కుక్కగొడుగు
173,Zwiebel::N,洋葱,నీరుల్లి
174,Saat::N,种子,విత్తనము
175,Korn::N,谷粒,గింజ
176,Heu::N,干草,ఎండుగడ్డి
177,Schale::N,壳,పొట్టు
178,Grube::N,坑,గొయ్యి
179,Falle::N,圈套,బోను
180,Schlinge::N,活扣,ఉరి
181,Spur::N,踪迹,జాడ
182,Asche::N,灰烬,బూడిద
183,Dreck::N,污垢,ముఱికి
184,Eisen::N,铁,ఇనుము
185,Gold::N,金子,బంగారము
186,Silber::N,银,వెండి
187,Kohle::N,煤,నేలబొగ్గు
188,Glas::N,玻璃,గాజు
189,Lehm::N,粘土,బంకమన్ను
190,Sand::N,沙,ఇసుక
191,Mensch::N,人,నరుడు
192,Mann::N,男子,పురుమడు
193,Frau::N,妇女,ఆడుది
194,Kind::N,小孩,బిడ్డ
195,Junge::N,男孩,బాలుడు
196,Mädchen::N,女孩,బాలిక
197,Familie::N,家庭,కుటుంబము
198,Großvater::N,祖父,తాత
199,Großmutter::N,祖母,అయ్యమ్మ
200,Eltern::N,父母,తల్లితండ్రులు
201,Vater::N,父亲,తండ్రి
202,Mutter::N,母亲,తల్లి
203,Sohn::N,儿子,కొడుకు
204,Tochter::N,女儿,కూతురు
205,Bruder::N,兄弟,పోదరుడు
206,Schwester::N,姐妹,సోదరి
207,Onkel::N,伯父,మేనమామ
208,Tante::N,阿姨,మేనత్త
209,Tante::N,阿姨,పినతల్లి
210,Ehemann::N,丈夫,భర్త
211,Ehefrau::N,妻子,భార్య
212,Freude::N,愉快,సంతోషము
213,Gelächter::N,大笑,నవ్వు
214,Glück::N,运气,సంతోషము
215,Kummer::N,苦恼,దుఃఖము
216,Wunsch::N,愿望,కోరిక
217,Lust::N,乐趣,కోరిక
218,Geist::N,精神,ఆత్మ
219,Gedanke::N,思想,ఆలోచన
220,Gedächtnis::N,记性,జ్ఞాపకము
221,Verstand::N,理智,మనస్సు
222,Sinn::N,感觉,అర్థము
223,Grund::N,理由,కారణము
224,Wahrheit::N,真理,సత్యము
225,Gespräch::N,谈话,పంభాషణ
226,Märchen::N,童话,అద్భుతకథ
227,Erzählung::N,故事,కథ
228,Nachricht::N,消息,వార్త
229,Neuigkeit::N,新闻,వార్త
230,Name::N,名字,పేరు
231,Rätsel::N,谜语,చిక్కు
232,Rede::N,讲话,ఉపన్యాసము
233,Sprache::N,语言,భాష
234,Stimme::N,声音,కంరథ్సని
235,Wort::N,词,మాట
236,Zeichen::N,标记,గుర్తు
237,Ruf::N,呼喊,పిలువు
238,Lärm::N,噪音,సందడి
239,Laut::N,响声,ధ్వని
240,Ton::N,声音,స్వరము
241,Lied::N,歌曲,పాట
242,Ruhe::N,安静,గాలిలేమి
243,Leute::N,人们,జనులు
244,Volk::N,人民,జాతి
245,Arbeit::N,劳动,పని
246,Gast::N,客人,అతిధి
247,Geschenk::N,礼物,దానము
248,Spiel::N,游戏,ఆట
249,Gesellschaft::N,陪同,జట్టు
250,Hilfe::N,帮助,సాహాయ్యము
251,Freund::N,朋友,స్నేహితుడు
252,Kamerad::N,同志,చెలికాడు
253,Angelegenheit::N,事情,విషయము
254,Anzahl::N,数目,లెక్క
255,Art::N,种类,జాతి
256,Stück::N,块,తునుక
257,Teil::N,部分,భాగము
