,Concept_ID,tr,lbe
0,Auge::N,göz,я
1,Ohr::N,kulak,вичӏи
2,Nase::N,burun,май
3,Mund::N,ağız,кьацӏ
4,Zahn::N,diş,ккарччи
5,Zunge::N,dil,маз
6,Lippe::N,dudak,мурччи
7,Wange::N,yanak,чӏав
8,Gesicht::N,yüz,лажин
9,Stirn::N,alın,ненттабакӏ
10,Haar::N,saç,чӏара
11,Schnurrbart::N,bıyık,ссирссилтту
12,Bart::N,sakal,чӏири
13,Kinn::N,çene,лунттубакӏ
14,Kiefer[Anatomie]::N,çene,ххинчулул
15,Kehle::N,boğaz,кьакьари
16,Hals::N,boyun,ссурссу
17,Hals::N,gerdan,ссурссу
18,Genick::N,ense,махъабакӏ
19,Kopf::N,baş,бакӏ
20,Kopf::N,kafa,бакӏ
21,Rücken::N,arka,ттиликӏ
22,Bauch::N,karın,лякьа
23,Nabel::N,göbek,цӏумуккутӏ
24,Busen::N,koyun,ккукку
25,Brust::N,göğüs,хъазам
26,Schulter::N,omuz,хъачӏ
27,Arm::N,kol,ка
28,Ellenbogen::N,dirsek,ссюрхъ
29,Hand::N,el,бартка
30,Handfläche::N,avuç,хъат
31,Handfläche::N,avuç,битӏянхъ
32,Handfläche::N,el ayası,хъат
33,Handfläche::N,el ayası,битӏянхъ
34,Finger::N,parmak,кӏисса
35,Fingernagel::N,el tırnağı,михь
36,Nagel[Anatomie]::N,tırnak,михь
37,Zeh::N,ayak parmağı,кӏисса
38,Fuß::N,ayak,чӏанччан
39,Ferse::N,topuk,никъа
40,Knie::N,diz,ник
41,Oberschenkel::N,uyluk,жира
42,Bein::N,bacak,ччан
43,Körper::N,vücut,чурх
44,Haut::N,cilt,бурчу
45,Blut::N,kan,оь
46,Ader::N,damar,тунну
47,Sehne::N,kiriş,хьхьа
48,Knochen::N,kemik,ттаркӏ
49,Gehirn::N,beyin,ня
50,Herz::N,kalp,дакӏ
51,Herz::N,kalp,къюкӏ
52,Herz::N,yürek,дакӏ
53,Herz::N,yürek,къюкӏ
54,Magen::N,mide,лякьа
55,Leber::N,karaciğer,
56,Atem::N,nefes,ссихӏ ласаву
57,Atem::N,nefes,ссихӏ бигьаву
58,Hunger::N,açlık,ккаши
59,Träne::N,gözyaşı,макь
60,Geschmack::N,tat,тӏин
61,Geschmack::N,tat,тӏааьн
62,Geschmack::N,lezzet,тӏин
63,Geschmack::N,lezzet,тӏааьн
64,Geruch::N,koku,кьанкь
65,Schlaf::N,uyku,шану
66,Traum::N,düş,макӏру
67,Traum::N,rüya,макӏру
68,Himmel::N,gök,ссав
69,Sonne::N,güneş,баргъ
70,Mond::N,ay,барз
71,Stern::N,yıldız,цӏуку
72,Luft::N,hava,гьава
73,Wind::N,yel,марч
74,Wind::N,rüzgâr,марч
75,Welle::N,dalga,щатӏи
76,Wasser::N,su,щин
77,Stein::N,taş,чару
78,Boden::N,yer,аьрщи
79,Boden::N,zemin,аьрщи
80,Erde::N,toprak,аьрщи
81,Staub::N,toz,ххит
82,Rauch::N,duman,пуркӏу
83,Funke::N,kıvılcım,пиягь
84,Feuer::N,ateş,цӏу
85,Licht::N,ışık,чани
86,Schatten::N,gölge,ххют
87,Wetter::N,hava,гьава
88,Nebel::N,pus,шархь ттурлу
89,Wolke::N,bulut,ттурлу
90,Regen::N,yağmur,гъарал
91,Schnee::N,kar,марххала
92,Eis::N,buz,микӏ
93,Frost::N,don,дяркъу
94,Frost::N,don,замгьар
95,Kälte::N,soğukluk,дяркъу
96,Hitze::N,sıcaklık,кӏиришиву
97,Raureif::N,kırç,сил
98,Raureif::N,kırç,бурса
99,Regenbogen::N,gökkuşağı,ссурул ккуртта
100,Donner::N,gök gürlemesi,къув
101,Strömung::N,akıntı,экьинанаву
102,Strömung::N,cereyan,экьинанаву
103,Tropfen::N,damla,кӏунтӏ
104,Schaum::N,köpük,хьама
105,Schmutz::N,çamur,кьяркьи
106,Schmutz::N,pislik,кьяркьи
107,See::N,göl,бяр
108,Sumpf::N,batak,кунцӏа
109,Moor::N,cılgıt,
110,Wiese::N,çimen,кьан
111,Wald::N,koru,вацӏа
112,Wald::N,orman,вацӏа
113,Hügel::N,tepe,бакӏу
114,Anhöhe::N,tümsek,
115,Anhöhe::N,yükseklik,
116,Berg::N,dağ,зунтту
117,Gipfel::N,zirve,мицӏ
118,Höhle::N,in,нух
119,Höhle::N,mağara,нух
120,Abhang::N,bayır,сун
121,Quelle::N,pınar,дайдихьу
122,Quelle::N,pınar,бакӏ
123,Quelle::N,kaynak,дайдихьу
124,Quelle::N,kaynak,бакӏ
125,Bach::N,çay,чӏрир нех
126,Bach::N,dere,чӏрир нех
127,Fluss::N,nehir,нех
128,Ufer::N,kıyı,зума
129,Ufer::N,sahil,зума
130,Küste::N,kıyı,зумаинхалу
131,Küste::N,kıyı,зуманицӏалу
132,Küste::N,sahil,зумаинхалу
133,Küste::N,sahil,зуманицӏалу
134,Festland::N,kara,кьири
135,Meer::N,deniz,хьхьири
136,Bucht::N,koy,
137,Bucht::N,körfez,
138,Insel::N,ada,жазира
139,Blume::N,çiçek,тӏутӏи
140,Gras::N,ot,уртту
141,Gras::N,çim,уртту
142,Wurzel::N,kök,мархха
143,Baum::N,ağaç,мурхь
144,Stamm::N,gövde,ттарцӏ
145,Rinde::N,kabuk,ккамара
146,Ast::N,dal,матӏи
147,Ast::N,budak,матӏи
148,Zweig::N,dal,къяртта
149,Blatt::N,yaprak,чӏапӏи
150,Birke::N,huş,кӏялахӏи
151,Birke::N,huş,кӏялахӏилул мурхь
152,Kiefer[Baum]::N,çam,ттар
153,Kiefer[Baum]::N,çam,ттарлил мурхь
154,Weide[Baum]::N,söğüt,щавщи
155,Tanne::N,çam,ттарлил мурхь
156,Tanne::N,köknar,ттарлил мурхь
157,Horn::N,boynuz,хъи
158,Feder::N,tüy,лелуххул тӏиму
159,Fell::N,post,бурчу
160,Flügel::N,kanat,хъа
161,Flügel::N,kanat,ххурупӏайрал тӏиму
162,Klaue::N,pençe,михь
163,Kralle::N,tırnak,ххяппа
164,Schwanz::N,kuyruk,магъ
165,Ei::N,yumurta,ккунук
166,Nest::N,yuva,кюру
167,Bau::N,in,цукъуккутӏ
168,Tier::N,hayvan,хӏайван
169,Herde::N,sürü,газу
170,Kuh::N,inek,оьл
171,Bulle::N,boğa,ниц
172,Pferd::N,at,чу
173,Pferd::N,beygir,чу
174,Schaf::N,koyun,тта
175,Schwein::N,domuz,дунгъуз
176,Hund::N,it,ккаччи
177,Hund::N,köpek,ккаччи
178,Katze::N,kedi,ччиту
179,Bär::N,ayı,цуша
180,Eichhörnchen::N,sincap,бюрхттукку
181,Elch::N,büyük kuzey geyiği,ниц-бюрин
182,Fuchs::N,tilki,цулчӏа
183,Fuchs::N,tilki,куча цулчӏа
184,Hase::N,tavşan,бюрх
185,Maus::N,fare,кӏулу
186,Maus::N,sıçan,кӏулу
187,Wolf::N,kurt,барцӏ
188,Vogel::N,kuş,лелуххи
189,Schwarm::N,sürü,гьухъала
190,Huhn::N,tavuk,аьнакӏи
191,Hahn::N,horoz,ажари
192,Gans::N,kaz,къаз
193,Adler::N,kartal,барзу
194,Adler::N,karakuş,барзу
195,Ente::N,ördek,урдак
196,Eule::N,baykuş,ису
197,Eule::N,baykuş,ччиккумяв
198,Kranich::N,turna,кьурукь
199,Krähe::N,karga,хъатӏу
200,Kuckuck::N,guguk,ччикку
201,Schwan::N,kuğu,урттил къаз
202,Fisch::N,balık,чавахъ
203,Barsch::N,hani,
204,Barsch::N,levrek,
205,Hecht::N,turnabalığı,
206,Schlange[Tier]::N,yılan,шатта
207,Wurm::N,kurt,кьюнукьай шатта
208,Wurm::N,solucan,кьюнукьай шатта
209,Spinne::N,örümcek,ххялцу
210,Ameise::N,karınca,митӏикьукьу
211,Laus::N,bit,
212,Mücke::N,sivrisinek,мичӏак
213,Fliege::N,sinek,зимиз
214,Schmetterling::N,kelebek,чӏимучӏали
215,Beere::N,tane,хӏаллил ахъулсса
216,Apfel::N,elma,гьивч
217,Pilz::N,mantar,ттуккул иис
218,Zwiebel::N,soğan,лаччул чсмусул бакӏ
219,Saat::N,ekin,гьанна
220,Korn::N,tane,къама
221,Heu::N,kuru ot,ххулув
222,Schale::N,kabuk,ккиртту
223,Grube::N,çukur,кӏаланг
224,Falle::N,tuzak,къатӏа
225,Schlinge::N,ilmik,хӏатӏ
226,Spur::N,iz,ша
227,Asche::N,kül,лах
228,Dreck::N,pislik,кьяркьи
229,Dreck::N,pislik,венп
230,Eisen::N,demir,мах
231,Gold::N,altın,муси
232,Silber::N,gümüş,арцу
233,Kohle::N,kömür,кӏалаш
234,Kohle::N,kömür,хъуручӏ
235,Glas::N,cam,пюрун
236,Lehm::N,balçık,сина аьрщи
237,Sand::N,kum,къун
238,Mensch::N,insan,инсан
239,Mann::N,adam,чув
240,Mann::N,adam,адимина
241,Mann::N,erkek,чув
242,Mann::N,erkek,адимина
243,Frau::N,bayan,щарсса
244,Frau::N,bayan,хъамитайпа
245,Kind::N,çocuk,чӏиви оьрчӏ
246,Junge::N,erkek çocuk,оьрчӏ
247,Junge::N,erkek çocuk,бурхьин оьрчӏ
248,Mädchen::N,kız,душ
249,Familie::N,aile,кулпат
250,Großvater::N,dede,ттатта
251,Großvater::N,dede,ниттил ппу
252,Großvater::N,büyükbaba,ттатта
253,Großvater::N,büyükbaba,ниттил ппу
254,Großmutter::N,nine,буттал нину
255,Großmutter::N,büyükanne,буттал нину
256,Eltern::N,ebeveyn,нину-ппу
257,Eltern::N,ana baba,нину-ппу
258,Vater::N,ata,ппу
259,Vater::N,baba,ппу
260,Mutter::N,ana,нину
261,Mutter::N,anne,нину
262,Sohn::N,oğul,арс
263,Tochter::N,kız,душ
264,Tochter::N,kız evlât,душ
265,Bruder::N,abi,уссу
266,Bruder::N,erkek kardeş,уссу
267,Schwester::N,abla,ссу
268,Schwester::N,kız kardeş,ссу
269,Onkel::N,dayı,буттауссу
270,Tante::N,hala,буттал ссу
271,Tante::N,teyze,буттал ссу
272,Ehemann::N,koca,лас
273,Ehefrau::N,karı,щар
274,Ehefrau::N,karı,щарсса
275,Freude::N,neşe,шадшиву
276,Freude::N,neşe,ххаришиву
277,Freude::N,sevinç,шадшиву
278,Freude::N,sevinç,ххаришиву
279,Gelächter::N,gülme,хъяхъаву
280,Gelächter::N,kahkaha,хъяхъаву
281,Glück::N,mutluluk,талихӏ
282,Kummer::N,dert,дард
283,Kummer::N,keder,дард
284,Wunsch::N,arzu,мурад
285,Wunsch::N,istek,мурад
286,Lust::N,arzu,гьавас
287,Lust::N,arzu,ччаву
288,Lust::N,heves,гьавас
289,Lust::N,heves,ччаву
290,Geist::N,tin,рухӏ
291,Gedanke::N,fikir,пикри
292,Gedanke::N,düşünce,пикри
293,Gedächtnis::N,bellek,дакӏний личӏаву
294,Verstand::N,zekâ,аькьлу
295,Sinn::N,anlam,мяъна
296,Grund::N,sebep,багьана
297,Wahrheit::N,doğruluk,тӏайламур
298,Wahrheit::N,doğruluk,хӏакьмур
299,Wahrheit::N,gerçeklik,тӏайламур
300,Wahrheit::N,gerçeklik,хӏакьмур
301,Gespräch::N,görüşme,ихтилат
302,Märchen::N,masal,магьа
303,Erzählung::N,öykü,хавар
304,Erzählung::N,hikâye,хавар
305,Nachricht::N,haber,хавар
306,Neuigkeit::N,haber,хавар
307,Name::N,ad,цӏа
308,Name::N,isim,цӏа
309,Rätsel::N,bilmece,ссигьа
310,Rede::N,söylev,гъалгъа
311,Rede::N,konuşma,гъалгъа
312,Sprache::N,dil,маз
313,Sprache::N,lisan,маз
314,Stimme::N,ses,чӏу
315,Stimme::N,ses,чӏукӏа
316,Wort::N,kelime,махъ
317,Zeichen::N,işaret,лишан
318,Ruf::N,çağırma,
319,Lärm::N,şamata,чӏу
320,Lärm::N,gürültü,чӏу
321,Laut::N,ses,чӏу
322,Ton::N,ses,чӏу
323,Lied::N,türkü,балай
324,Ruhe::N,sakinlik,дигьалагру
325,Leute::N,halk,инсантал
326,Leute::N,insanlar,инсантал
327,Volk::N,ulus,ил
328,Volk::N,ulus,халкь
329,Volk::N,millet,ил
330,Volk::N,millet,халкь
331,Arbeit::N,iş,заву
332,Arbeit::N,çalışma,заву
333,Gast::N,konuk,хъамаличу
334,Gast::N,misafir,хъамаличу
335,Geschenk::N,hediye,бухчакарши
336,Geschenk::N,hediye,лажинккакку
337,Geschenk::N,armağan,бухчакарши
338,Geschenk::N,armağan,лажинккакку
339,Spiel::N,oyun,тӏуркӏу
340,Gesellschaft::N,çevre,жямат
341,Gesellschaft::N,çevre,ккуран
342,Gesellschaft::N,arkadaşlık,жямат
343,Gesellschaft::N,arkadaşlık,ккуран
344,Hilfe::N,yardım,кумаг
345,Freund::N,dost,дус
346,Freund::N,arkadaş,дус
347,Kamerad::N,arkadaş,хӏаласу
348,Angelegenheit::N,iş,иш
349,Angelegenheit::N,husus,иш
350,Anzahl::N,sayı,аьдад
351,Art::N,çeşit,жинс
352,Stück::N,tane,касак
353,Stück::N,parça,касак
354,Teil::N,kısım,бутӏа
355,Hälfte::N,yarı,дачӏи
356,Kreis::N,daire,кюрщан
357,Kreuz::N,haç,ххач
358,Linie::N,hat,щва
359,Linie::N,çizgi,щва
360,Strich::N,çizgi,щва
361,Abstand::N,aralık,манзил
362,Entfernung::N,mesafe,манзил
363,Entfernung::N,uzaklık,манзил
364,Gegend::N,yöre,кӏану
365,Platz::N,yer,
366,Ort::N,yer,кӏану
367,Seite::N,yan,чул
368,Seite::N,yan,чулухалу
369,Seite::N,taraf,чул
370,Seite::N,taraf,чулухалу
371,Mitte::N,orta,дя
372,Mitte::N,merkez,дя
373,Gegenstand::N,şey,зат
