,Concept_ID,hi,ka
0,Auge::N,आँख,თვალი
1,Auge::N,चक्षु,თვალი
2,Ohr::N,कान,ყური
3,Ohr::N,कर्ण,ყური
4,Nase::N,नाक,ცხვირი
5,Nase::N,नासा,ცხვირი
6,Mund::N,मुख,პირი
7,Mund::N,मुँह,პირი
8,Zahn::N,दंत,კბილი
9,Zahn::N,दाँत,კბილი
10,Zunge::N,जीभ,ენა
11,Zunge::N,ज़बान,ენა
12,Zunge::N,जिह्वा,ენა
13,Lippe::N,ओंठ,ბაგე
14,Lippe::N,होंठ,ბაგე
15,Wange::N,गाल,ლოყა
16,Wange::N,कपोल,ლოყა
17,Gesicht::N,मुँह,სახე
18,Gesicht::N,चेहरा,სახე
19,Stirn::N,माथा,შუბლი
20,Stirn::N,मस्तक,შუბლი
21,Haar::N,बाल,თმა
22,Schnurrbart::N,मूँछें,ულვაში
23,Bart::N,दाढ़ी,წვერი
24,Kinn::N,चिबुक,ნიკაპი
25,Kiefer[Anatomie]::N,जबड़ा,ყბა
26,Kehle::N,गला,ყელი
27,Hals::N,गला,ყელი
28,Hals::N,गला,კისერი
29,Hals::N,गरदन,ყელი
30,Hals::N,गरदन,კისერი
31,Genick::N,गरदन,კეფა
32,Genick::N,ग्रीवा,კეფა
33,Kopf::N,सिर,თავი
34,Kopf::N,शीर्ष,თავი
35,Rücken::N,पीठ,ზურგი
36,Bauch::N,उदर,მუცელი
37,Nabel::N,नाभि,ჭიპი
38,Nabel::N,ढोंढी,ჭიპი
39,Busen::N,कुच,ძუძუ
40,Busen::N,स्तन,ძუძუ
41,Brust::N,वक्ष,მკერდი
42,Schulter::N,कंधा,მხარი
43,Schulter::N,कंधा,მკლავი
44,Schulter::N,स्कंध,მხარი
45,Schulter::N,स्कंध,მკლავი
46,Arm::N,बाँह,ხელი
47,Arm::N,बाज़ू,ხელი
48,Ellenbogen::N,कुहनी,იდაყვი
49,Hand::N,हाथ,ხელი
50,Hand::N,हस्त,ხელი
51,Handfläche::N,हथेली,ნები
52,Handfläche::N,हथेली,ხელისგული
53,Finger::N,उँगली,თითი
54,Finger::N,अँगुली,თითი
