,Concept_ID,kn,lez
0,Auge::N,ಕಣ್ಣು,вил
1,Ohr::N,ಕಿವಿ,яб
2,Nase::N,ಮೂಗು,нер
3,Mund::N,ಬಾಯಿ,сив
4,Zahn::N,ಹಲ್ಲು,сас
5,Zahn::N,ಹಲ್ಲು,свах
6,Zunge::N,ನಾಲಿಗೆ,мез
7,Lippe::N,ತುಟಿ,пӏуз
8,Wange::N,ಗಲ್ಲ,хъвехъ
9,Gesicht::N,ಮುಖ,ччин
10,Stirn::N,ಹಣೆ,пел
11,Haar::N,ಕೂದಲು,чӏар
12,Schnurrbart::N,ಮೀಸೆ,спел
13,Schnurrbart::N,ಮೀಸೆ,спелар
14,Bart::N,ಗಡ್ಡ,ччуру
15,Kinn::N,ಗದ್ದ,чене
16,Kiefer[Anatomie]::N,ದವಡೆ,чене
17,Kehle::N,ಗಂಟಲು,туьд
18,Hals::N,ಕೊರಳು,гардан
19,Genick::N,ಹಿಂಗತ್ತು,кьам
20,Kopf::N,ತಲೆ,кьил
21,Rücken::N,ಬೆನ್ನು,далу
22,Bauch::N,ಹೊಟ್ಟೆ,руфун
23,Nabel::N,ಹೊಕ್ಕುಳು,пицӏ
24,Busen::N,ಸ್ತನ,мам
25,Brust::N,ಎದೆ,хур
26,Schulter::N,ಭುಜ,къуьн
27,Arm::N,ತೋಳು,гъил
28,Ellenbogen::N,ಮೊಣಕೈ,кьуьнт
29,Hand::N,ಕೈ,капаш
30,Handfläche::N,ಅಂಗೈ,капан юкь
31,Finger::N,ಕೈಬೆರಳು,тӏуб
32,Fingernagel::N,ಉಗುರು,кек
33,Nagel[Anatomie]::N,ಉಗುರು,кек
34,Zeh::N,ಕಾಲ್ಬೆರಳು,кул
35,Fuß::N,ಪಾದ,кӏвач
36,Ferse::N,ಹಿಮ್ಮಡಿ,дабан
37,Knie::N,ಮಂಡಿ,мет
38,Oberschenkel::N,ತೊಡೆ,
39,Bein::N,ಕಾಲು,кӏвач
40,Körper::N,ದೇಹ,беден
41,Haut::N,ಚರ್ಮ,хам
42,Blut::N,ರಕ್ತ,иви
43,Ader::N,ನರ,дамар
44,Sehne::N,ನರ,кьуру дамар
45,Knochen::N,ಮೂಳೆ,кӏараб
46,Gehirn::N,ಮಿದುಳು,мефт
47,Herz::N,ಹೃದಯ,рикӏ
48,Magen::N,ಉದರ,хук
49,Leber::N,ಯಕೃತ್ತು,лекь
50,Atem::N,ಉಸಿರು,ял
51,Atem::N,ಉಸಿರು,нефес
52,Hunger::N,ಹಸಿವು,каш
53,Träne::N,ಕಣ್ಣೀರು,вилин нагъв
54,Geschmack::N,ರುಚಿ,дад
55,Geschmack::N,ರುಚಿ,тӏям
56,Geruch::N,ವಾಸನೆ,ни
57,Schlaf::N,ನಿದ್ರೆ,ахвар
58,Traum::N,ಕನಸು,ахвар
59,Himmel::N,ಬಾನು,цав
60,Sonne::N,ಸೂರ್ಯ,рагъ
61,Mond::N,ಚಂದ್ರ,варз
62,Stern::N,ಚುಕ್ಕಿ,гъед
63,Luft::N,ವಾಯು,гьава
64,Wind::N,ಗಾಳಿ,гар
65,Welle::N,ಅಲೆ,лепе
66,Wasser::N,ನೀರು,яд
67,Stein::N,ಕಲ್ಲು,къван
68,Boden::N,ನೆಲ,накьв
69,Erde::N,ಭೂಮಿ,ччил
