,Concept_ID,he,fa
0,Auge::N,עין,چشم
1,Ohr::N,אזן,گوش
2,Nase::N,אף,بینی
3,Nase::N,חטם,بینی
4,Mund::N,פה,دهان
5,Zahn::N,שן,دندان
6,Zunge::N,לשון,زبان
7,Lippe::N,שפה,لب
8,Wange::N,לחי,لپ
9,Gesicht::N,פנים,رو
10,Gesicht::N,פנים,چهره
11,Stirn::N,מצח,پیشانی
12,Haar::N,שערה,مو
13,Schnurrbart::N,שפם,سبیل
14,Bart::N,זקן,ریش
15,Kinn::N,סנטר,چانه
16,Kiefer[Anatomie]::N,לסת,فک
17,Kiefer[Anatomie]::N,לסת,آرواره
18,Kehle::N,גרון,حلق
19,Hals::N,צואר,گردن
20,Genick::N,ערף,پشت گردن
21,Kopf::N,ראש,سر
22,Kopf::N,ראש,کله
23,Rücken::N,גב,پشت
24,Bauch::N,בטן,شکم
25,Nabel::N,טבור,ناف
26,Busen::N,שד,پستان
27,Brust::N,חזה,سینه
28,Schulter::N,כתף,دوش
29,Schulter::N,כתף,شانه
30,Arm::N,זרוע,بازو
31,Ellenbogen::N,מרפק,آرنج
32,Hand::N,יד,دست
33,Handfläche::N,כף יד,کف دست
34,Finger::N,אצבע,انگشت
35,Fingernagel::N,צפרן,ناخن دست
36,Nagel[Anatomie]::N,צפרן,ناخن
37,Zeh::N,אצבע,انگشت پا
38,Fuß::N,רגל,پا
39,Ferse::N,עקב,پاشنه
40,Knie::N,ברך,زانو
41,Oberschenkel::N,ירך,ران
42,Bein::N,רגל,پا
43,Bein::N,רגל,لنگ
44,Körper::N,גוף,تن
45,Körper::N,גוף,بدن
46,Haut::N,עור,پوست
47,Blut::N,דם,خون
48,Ader::N,וריד,رگ
49,Sehne::N,גיד,زردپی
50,Knochen::N,עצם,استخوان
51,Gehirn::N,מוח,مخ
52,Gehirn::N,מוח,مغز
53,Herz::N,לב,دل
54,Herz::N,לב,قلب
55,Magen::N,קבה,معده
56,Leber::N,כבד,کبد
57,Atem::N,נשימה,نفس
58,Hunger::N,רעב,گرسنگی
59,Träne::N,דמעה,اشک
60,Geschmack::N,טעם,مزه
61,Geruch::N,ריח,بو
62,Schlaf::N,שנה,خواب
63,Traum::N,חלום,رؤیا
64,Himmel::N,שמים,فلک
65,Himmel::N,שמים,آسمان
66,Sonne::N,שמש,آفتاب
67,Sonne::N,שמש,خورشید
68,Mond::N,ירח,ماه
69,Stern::N,כוכב,ستاره
70,Luft::N,אויר,هوا
71,Wind::N,רוח,باد
72,Welle::N,גל,موج
73,Wasser::N,מים,آب
74,Stein::N,אבן,سنگ
75,Boden::N,קרקע,زمین
76,Erde::N,אדמה,خاک
77,Erde::N,אדמה,زمین
78,Staub::N,אבק,گرد
79,Staub::N,אבק,غبار
80,Rauch::N,עשן,دود
81,Funke::N,ניצוץ,جرقه
82,Feuer::N,אש,آتش
83,Licht::N,אור,نور
84,Licht::N,אור,روشنی
85,Schatten::N,צל,سایه
86,Wetter::N,מזג אויר,هوا
87,Nebel::N,ערפל,مه
88,Wolke::N,ענן,ابر
89,Regen::N,גשם,باران
90,Schnee::N,שלג,برف
91,Eis::N,קרח,یخ
92,Frost::N,צנה,یخبندان
93,Kälte::N,קר,سرما
94,Hitze::N,חם,گرما
95,Hitze::N,חם,حرارت
96,Raureif::N,כפור,برف ریزه
97,Regenbogen::N,קשת,رنگین‌کمان
98,Donner::N,רעם,رعد
99,Strömung::N,זרימה,جریان
100,Tropfen::N,טפה,قطره
101,Schaum::N,קצף,کف
102,Schmutz::N,לכלוך,گل
103,Schmutz::N,לכלוך,کثافت
104,See::N,אגם,دریاچه
105,Sumpf::N,בצה,مرداب
106,Sumpf::N,בצה,باتلاق
107,Moor::N,בצה,باتلاق
108,Wiese::N,מרעה,چمن
109,Wald::N,יער,جنگل
110,Hügel::N,תל,تل
111,Hügel::N,תל,تپه
112,Anhöhe::N,מעלה,بلندی
113,Berg::N,הר,کوه
114,Gipfel::N,פסגה,قله
115,Höhle::N,מערה,غار
116,Abhang::N,מדרון,سرازیری
117,Abhang::N,שפוע,سرازیری
118,Quelle::N,מעין,چشمه
119,Bach::N,נחל,نهر
120,Fluss::N,נהר,رود
121,Ufer::N,גדה,ساحل
122,Ufer::N,גדה,کرانه
123,Küste::N,חוף,ساحل
124,Festland::N,יבשה,خشکی
125,Meer::N,ים,دریا
126,Bucht::N,מפרץ,خلیج
127,Insel::N,אי,جزیره
128,Blume::N,פרח,گل
129,Gras::N,דשא,علف
130,Wurzel::N,שרש,ریشه
131,Baum::N,עץ,درخت
132,Stamm::N,גזע,تنه
133,Rinde::N,קלפת עץ,توژ
134,Rinde::N,קלפת עץ,پوست
135,Ast::N,ענף,شاخه
136,Zweig::N,ענף,شاخه
137,Blatt::N,עלה,برگ
138,Birke::N,שדר,غان
139,Kiefer[Baum]::N,ארן,کاج
140,Weide[Baum]::N,ערבה,بید
141,Tanne::N,אשוח,صنوبر
142,Horn::N,קרן,شاخ
143,Feder::N,נוצה,پر
144,Fell::N,פרוה,خز
145,Flügel::N,כנף,پر
146,Flügel::N,כנף,بال
147,Klaue::N,טלף,چنگ
148,Klaue::N,טלף,پنجه
149,Kralle::N,טפר,پنجه
150,Schwanz::N,זנב,دم
151,Ei::N,ביצה,تخم
152,Nest::N,קן,لانه
153,Bau::N,מחלה,بنا
154,Bau::N,מחלה,ساختمان
155,Tier::N,חיה,هیوان
156,Herde::N,עדר,رمه
157,Kuh::N,פרה,گاو
158,Bulle::N,פר,گاو نر
159,Pferd::N,סוס,اسب
160,Schaf::N,כבשה,گوسفند
161,Schwein::N,חזיר,خوک
162,Hund::N,כלב,سگ
163,Katze::N,חתול,گربه
164,Bär::N,דב,خرس
165,Eichhörnchen::N,סנאי,سنجاب
166,Elch::N,דישון,گوزن شمالی
167,Fuchs::N,שועל,روباه
168,Hase::N,ארנב,خرگوش
169,Maus::N,עכבר,موش
170,Wolf::N,זאב,گرگ
171,Vogel::N,צפור,پرنده
172,Schwarm::N,נחיל,دسته
173,Schwarm::N,להקה,دسته
174,Huhn::N,תרנגלת,مرغ
175,Hahn::N,תרנגול,خروس
176,Gans::N,אוז,غاز
177,Adler::N,עיט,عقاب
178,Ente::N,ברוז,اردک
179,Ente::N,ברוז,مرغابی
180,Eule::N,ינשוף,جغد
181,Kranich::N,עגור,درنا
182,Kranich::N,כרוכיה,درنا
183,Krähe::N,עורב,زاغ
184,Krähe::N,עורב,کلاغ
185,Kuckuck::N,קוקיה,فاخته
186,Schwan::N,ברבור,قو
187,Fisch::N,דג,ماهی
188,Barsch::N,אוקונוס,ماهی خاردار
189,Hecht::N,זאב הים,اردک ماهی
190,Schlange[Tier]::N,נחש,مار
191,Wurm::N,תולעת,کرم
192,Spinne::N,עכביש,عنکبوت
193,Ameise::N,נמלה,مورچه
194,Laus::N,כנה,شپش
195,Mücke::N,יתוש,پشه
196,Fliege::N,זבוב,مگس
197,Schmetterling::N,פרפר,پروانه
198,Beere::N,ענבה,گیله
199,Apfel::N,תפוח,سیب
200,Pilz::N,פטריה,قارچ
