,Concept_ID,uz,ca
0,Auge::N,ko'z,ull
1,Ohr::N,quloq,orella
2,Nase::N,burun,nas
3,Mund::N,og'iz,boca
4,Zahn::N,tish,dent
5,Zunge::N,til,llēngua
6,Lippe::N,dudoq,llavi
7,Wange::N,bet,galta
8,Gesicht::N,yuz,cara
9,Stirn::N,manglay,front
10,Haar::N,soch,cabēll
11,Schnurrbart::N,mo'ylov,bigoti
12,Bart::N,soqol,barba
13,Kinn::N,ängak,mentó
14,Kinn::N,ängak,barbeta
15,Kiefer[Anatomie]::N,iyak,queix
16,Kiefer[Anatomie]::N,iyak,mandíbula
17,Kehle::N,bo'g'iz,gola
18,Kehle::N,bo'g'iz,gorja
19,Hals::N,bo'yin,coll
20,Genick::N,gardan,nuca
21,Kopf::N,bosh,cap
22,Rücken::N,orqa,esquena
23,Bauch::N,qorin,panxa
24,Nabel::N,kindik,llombrígol
25,Busen::N,ämchak,pit
26,Busen::N,ämchak,mama
27,Brust::N,ko'krak,pit
28,Schulter::N,elka,espatlla
29,Arm::N,bilak,braç
30,Ellenbogen::N,tirsak,colze
31,Hand::N,qo'l,mà
32,Handfläche::N,kaft,palma
33,Finger::N,barmoq,dit
34,Fingernagel::N,tirnoq,ungla
35,Nagel[Anatomie]::N,tirnoq,ungla
36,Zeh::N,oyoq barmog'i,dit del peu
37,Fuß::N,oyoq,peu
38,Ferse::N,tovon,taló
39,Knie::N,tiz,genoll
40,Oberschenkel::N,son,cuixa
41,Bein::N,oyoq,cama
42,Körper::N,badna,cos
43,Haut::N,teri,pell
44,Blut::N,qon,sang
45,Ader::N,qon tomir,vena
46,Sehne::N,tomir,tendó
47,Knochen::N,suyak,os
48,Gehirn::N,miya,cervell
49,Herz::N,qalb,cor
50,Magen::N,oshqozon,estómac
51,Leber::N,bag'ir,fetge
52,Atem::N,dam,alè
53,Atem::N,dam,hàlit
54,Hunger::N,ochlik,fam
55,Hunger::N,ochlik,gana
56,Träne::N,yosh,llàgrima
57,Geschmack::N,tam,gust
58,Geschmack::N,tam,sabor
59,Geruch::N,jid,olor
60,Schlaf::N,uyqu,son
61,Traum::N,tush,somni
62,Himmel::N,osmon,celm
63,Sonne::N,quyosh,sol
64,Mond::N,oy,lluna
65,Stern::N,yulduz,estel
66,Stern::N,yulduz,estrella
67,Luft::N,havo,aire
68,Wind::N,el,vent
69,Welle::N,to'lqin,ona
70,Wasser::N,suv,āigua
71,Stein::N,tosh,pedra
72,Boden::N,tuproq,sòl
73,Erde::N,er,terra
74,Staub::N,chang,pols
75,Rauch::N,tutun,fum
76,Funke::N,yalt,guspira
77,Funke::N,yalt,centella
78,Feuer::N,o't,foc
79,Licht::N,yorug',llum
80,Schatten::N,soya,ombra
81,Wetter::N,havo,temps
82,Nebel::N,tuman,boira
83,Wolke::N,bulut,núvol
84,Regen::N,yomg'ir,pluja
85,Schnee::N,qor,neu
86,Eis::N,muz,gel
87,Eis::N,muz,glaç
88,Frost::N,ajoz,glaçada
89,Kälte::N,ajoz,fred
90,Hitze::N,issiq,calor
91,Raureif::N,qirov,gebre
92,Regenbogen::N,kamalak,arc iris
93,Donner::N,guldur,tro
94,Strömung::N,oqim,corrent
95,Tropfen::N,tomchi,gota
96,Schaum::N,ko'pik,escuma
97,Schmutz::N,gard,brutícia
98,See::N,ko'l,llac
99,Sumpf::N,botqoq,pantà
100,Moor::N,qir-adir,pantà
101,Wiese::N,o'tzor,prat
102,Wiese::N,o'tzor,prada
103,Wald::N,o'rmon,bosc
104,Hügel::N,tepa,puig
105,Hügel::N,tepa,pujol
106,Anhöhe::N,adir,turó
107,Berg::N,tog',muntanya
108,Gipfel::N,cho'qqi,cim
109,Höhle::N,kavak,cova
110,Abhang::N,to'sh,coster
111,Quelle::N,buloq,font
112,Bach::N,o'zan,riera
113,Fluss::N,daryo,riu
114,Ufer::N,sohil,riba
115,Küste::N,qirg'oq,costa
116,Festland::N,materik,terra ferma
117,Meer::N,dengiz,mar
118,Bucht::N,qo'ltiq,cala
119,Bucht::N,qo'ltiq,badia
120,Insel::N,orol,illa
121,Blume::N,gul,flor
122,Gras::N,sabza,herba
123,Wurzel::N,tub,rel
124,Wurzel::N,tub,arrel
125,Wurzel::N,tomir,rel
126,Wurzel::N,tomir,arrel
127,Baum::N,daraxt,arbre
128,Stamm::N,o'simta,tronc
129,Rinde::N,qobiq,escorça
130,Ast::N,shox,branca
131,Zweig::N,butoq,ram
132,Blatt::N,barg,fulla
133,Birke::N,qayin,bedoll
134,Kiefer[Baum]::N,qarag'ay,pi
135,Weide[Baum]::N,shum,salze
136,Tanne::N,archa,avet
137,Horn::N,mugiz,corn
138,Horn::N,mugiz,banya
139,Feder::N,par,ploma
140,Fell::N,mo'yna,pell
141,Flügel::N,qanot,ala
142,Klaue::N,tirnoq,urpa
143,Kralle::N,tirnoq,grapa
144,Schwanz::N,quyruq,cua
145,Ei::N,tuxum,ou
146,Nest::N,oshyon,niu
147,Bau::N,o'pqon,cau
148,Tier::N,hayvon,animāl
149,Herde::N,gala,ramat
150,Kuh::N,inak,vaca
151,Bulle::N,ho'kiz,toro
152,Pferd::N,ot,cavāll
153,Schaf::N,qo'y,be
154,Schaf::N,qo'y,ovella
155,Schwein::N,cho'chqa,bacó
156,Hund::N,it,ca
157,Hund::N,it,gos
158,Katze::N,mushuk,gat
159,Bär::N,ayiq,ós
160,Eichhörnchen::N,tiyin,esquirol
161,Elch::N,los,ant
