,Concept_ID,hr,de
0,Auge::N,oko,Auge
1,Ohr::N,uho,Ohr
2,Nase::N,nos,Nase
3,Mund::N,usta,Mund
4,Zahn::N,zub,Zahn
5,Zunge::N,jezik,Zunge
6,Lippe::N,usna,Lippe
7,Wange::N,obraz,Wange
8,Gesicht::N,lice,Gesicht
9,Stirn::N,čelo,Stirn
10,Haar::N,kosa,Haar
11,Schnurrbart::N,brkovi,Schnurrbart
12,Bart::N,brada,Bart
13,Kinn::N,brada,Kinn
14,Kinn::N,podbradak,Kinn
15,Kiefer[Anatomie]::N,čeljust,Kiefer
16,Kehle::N,grlo,Kehle
17,Hals::N,vrat,Hals
18,Genick::N,zatiljak,Genick
19,Kopf::N,glava,Kopf
20,Rücken::N,leđa,Rücken
21,Rücken::N,hrbat,Rücken
22,Bauch::N,trbuh,Bauch
23,Nabel::N,pupak,Nabel
24,Busen::N,sisa,Busen
25,Busen::N,njedra,Busen
26,Brust::N,prsa,Brust
27,Schulter::N,rame,Schulter
28,Schulter::N,pleći,Schulter
29,Arm::N,ruka,Arm
30,Ellenbogen::N,lakat,Ellenbogen
31,Hand::N,ruka,Hand
32,Handfläche::N,dlan,Handfläche
33,Finger::N,prst,Finger
34,Fingernagel::N,nokat,Fingernagel
35,Nagel[Anatomie]::N,nokat,Nagel
36,Zeh::N,nozni prst,Zeh
37,Fuß::N,noga,Fuß
38,Fuß::N,stopalo,Fuß
39,Ferse::N,peta,Ferse
40,Knie::N,koljeno,Knie
41,Oberschenkel::N,bedro,Oberschenkel
42,Bein::N,noga,Bein
43,Körper::N,tijelo,Körper
44,Haut::N,put,Haut
45,Haut::N,koža,Haut
46,Blut::N,krv,Blut
47,Ader::N,žila,Ader
48,Sehne::N,tetiva,Sehne
49,Knochen::N,kost,Knochen
50,Herz::N,srce,Herz
51,Magen::N,stomak,Magen
52,Magen::N,želudac,Magen
53,Leber::N,jetra,Leber
54,Atem::N,dah,Atem
55,Hunger::N,glad,Hunger
56,Träne::N,suza,Träne
57,Geschmack::N,ukus,Geschmack
58,Geruch::N,njuh,Geruch
59,Geruch::N,miris,Geruch
60,Schlaf::N,san,Schlaf
61,Traum::N,san,Traum
62,Himmel::N,nebo,Himmel
63,Sonne::N,sunce,Sonne
64,Mond::N,mjesec,Mond
65,Stern::N,zvijezda,Stern
66,Luft::N,zrak,Luft
67,Wind::N,vjetar,Wind
68,Welle::N,val,Welle
69,Welle::N,talas,Welle
70,Wasser::N,voda,Wasser
71,Stein::N,kamen,Stein
72,Boden::N,tlo,Boden
73,Boden::N,zemlja,Boden
74,Erde::N,zemlja,Erde
75,Staub::N,prah,Staub
76,Staub::N,prašina,Staub
77,Rauch::N,dim,Rauch
78,Funke::N,iskra,Funke
79,Funke::N,varnica,Funke
80,Feuer::N,vatra,Feuer
81,Licht::N,svjetlo,Licht
82,Schatten::N,hlad,Schatten
83,Schatten::N,sjena,Schatten
84,Wetter::N,vrijeme,Wetter
85,Nebel::N,magla,Nebel
86,Wolke::N,oblak,Wolke
87,Regen::N,kiša,Regen
88,Schnee::N,snijeg,Schnee
89,Eis::N,led,Eis
90,Frost::N,mraz,Frost
91,Kälte::N,studen,Kälte
92,Kälte::N,hladnoća,Kälte
93,Hitze::N,vrućina,Hitze
94,Raureif::N,inje,Raureif
95,Regenbogen::N,duga,Regenbogen
96,Donner::N,grom,Donner
97,Donner::N,grmljavina,Donner
98,Strömung::N,struja,Strömung
99,Strömung::N,strujanje,Strömung
100,Tropfen::N,kap,Tropfen
101,Tropfen::N,kaplja,Tropfen
102,Schaum::N,pjena,Schaum
103,Schmutz::N,nečistoća,Schmutz
104,Schmutz::N,prljavština,Schmutz
105,See::N,jezero,See
106,Sumpf::N,bara,Sumpf
107,Moor::N,močvara,Moor
108,Wiese::N,livada,Wiese
109,Wald::N,šuma,Wald
110,Hügel::N,brijeg,Hügel
111,Hügel::N,brežuljak,Hügel
112,Anhöhe::N,uzvišica,Anhöhe
113,Berg::N,brdo,Berg
114,Gipfel::N,vrh,Gipfel
115,Höhle::N,pećina,Höhle
116,Höhle::N,spilja,Höhle
117,Abhang::N,obronak,Abhang
118,Abhang::N,nizbrdica,Abhang
119,Quelle::N,izvor,Quelle
120,Quelle::N,vrelo,Quelle
121,Bach::N,potok,Bach
122,Fluss::N,rijeka,Fluss
123,Ufer::N,obala,Ufer
124,Küste::N,obala,Küste
125,Küste::N,morska obala,Küste
126,Festland::N,kopno,Festland
127,Meer::N,more,Meer
128,Bucht::N,zaliv,Bucht
129,Insel::N,ada,Insel
130,Insel::N,otok,Insel
131,Blume::N,cvijet,Blume
132,Gras::N,trava,Gras
133,Wurzel::N,korijen,Wurzel
134,Baum::N,drvo,Baum
135,Baum::N,stablo,Baum
136,Stamm::N,deblo,Stamm
137,Stamm::N,stablo,Stamm
138,Rinde::N,kora,Rinde
139,Ast::N,grana,Ast
140,Zweig::N,grana,Zweig
141,Blatt::N,list,Blatt
142,Birke::N,breza,Birke
143,Kiefer[Baum]::N,bor,Kiefer
144,Weide[Baum]::N,iva,Weide
145,Weide[Baum]::N,vŕba,Weide
146,Tanne::N,jela,Tanne
147,Horn::N,rog,Horn
148,Feder::N,pero,Feder
149,Fell::N,koža,Fell
150,Flügel::N,krilo,Flügel
151,Klaue::N,papak,Klaue
152,Kralle::N,pandža,Kralle
153,Schwanz::N,rep,Schwanz
154,Ei::N,jaje,Ei
155,Nest::N,gnijezdo,Nest
156,Bau::N,jazbina,Bau
157,Tier::N,životinja,Tier
158,Herde::N,krdo,Herde
159,Herde::N,stado,Herde
160,Kuh::N,krava,Kuh
161,Bulle::N,bik,Bulle
162,Pferd::N,konj,Pferd
163,Schaf::N,ovca,Schaf
164,Schwein::N,svinja,Schwein
165,Hund::N,pas,Hund
166,Hund::N,pseto,Hund
167,Katze::N,mačka,Katze
168,Bär::N,medvjed,Bär
169,Eichhörnchen::N,vjeverica,Eichhörnchen
170,Elch::N,los,Elch
171,Fuchs::N,lisica,Fuchs
172,Hase::N,zec,Hase
173,Maus::N,miš,Maus
174,Wolf::N,vuk,Wolf
175,Wolf::N,kurjak,Wolf
176,Vogel::N,ptica,Vogel
177,Schwarm::N,roj,Schwarm
178,Schwarm::N,jato,Schwarm
179,Huhn::N,kokoš,Huhn
180,Hahn::N,kokot,Hahn
181,Hahn::N,pijevac,Hahn
182,Gans::N,guska,Gans
183,Adler::N,orao,Adler
184,Ente::N,patka,Ente
185,Eule::N,sova,Eule
186,Kranich::N,ždral,Kranich
187,Krähe::N,vrana,Krähe
188,Kuckuck::N,kukavica,Kuckuck
189,Schwan::N,labud,Schwan
190,Fisch::N,riba,Fisch
191,Barsch::N,grgeč,Barsch
192,Hecht::N,štuka,Hecht
193,Schlange[Tier]::N,guja,Schlange
194,Schlange[Tier]::N,zmija,Schlange
195,Wurm::N,crv,Wurm
196,Spinne::N,pauk,Spinne
197,Ameise::N,mrav,Ameise
198,Laus::N,uš,Laus
199,Mücke::N,komarac,Mücke
200,Fliege::N,muha,Fliege
201,Schmetterling::N,leptir,Schmetterling
202,Beere::N,boba,Beere
203,Beere::N,bobica,Beere
204,Apfel::N,jabuka,Apfel
205,Pilz::N,pečurka,Pilz
206,Zwiebel::N,luk,Zwiebel
207,Zwiebel::N,kapula,Zwiebel
208,Saat::N,sjemenje,Saat
209,Korn::N,zrno,Korn
210,Heu::N,sijeno,Heu
211,Schale::N,kora,Schale
212,Schale::N,ljuska,Schale
213,Grube::N,jama,Grube
214,Falle::N,zamka,Falle
215,Falle::N,klopka,Falle
216,Schlinge::N,uzao,Schlinge
217,Schlinge::N,petlja,Schlinge
218,Spur::N,trag,Spur
219,Spur::N,slijed,Spur
220,Asche::N,pepeo,Asche
221,Dreck::N,blato,Dreck
222,Eisen::N,željezo,Eisen
223,Gold::N,zlato,Gold
224,Silber::N,srebro,Silber
225,Kohle::N,ugalj,Kohle
226,Kohle::N,ugljen,Kohle
227,Glas::N,staklo,Glas
228,Lehm::N,glina,Lehm
229,Lehm::N,ilovača,Lehm
230,Sand::N,pijesak,Sand
231,Mensch::N,čovjek,Mensch
232,Mann::N,muškarac,Mann
233,Frau::N,žena,Frau
234,Kind::N,čedo,Kind
235,Kind::N,dijete,Kind
236,Junge::N,momče,Junge
237,Junge::N,dječak,Junge
238,Mädchen::N,djevojka,Mädchen
239,Mädchen::N,djevojčica,Mädchen
240,Familie::N,obitelj,Familie
241,Familie::N,porodica,Familie
242,Großvater::N,djed,Großvater
243,Großmutter::N,baka,Großmutter
244,Eltern::N,roditelji,Eltern
245,Vater::N,otac,Vater
246,Mutter::N,majka,Mutter
247,Sohn::N,sin,Sohn
248,Tochter::N,kći,Tochter
249,Tochter::N,kćerka,Tochter
250,Bruder::N,brat,Bruder
251,Schwester::N,sestra,Schwester
252,Onkel::N,čika,Onkel
253,Onkel::N,ujak,Onkel
254,Tante::N,ujna,Tante
255,Tante::N,tetka,Tante
256,Ehemann::N,muž,Ehemann
257,Ehemann::N,suprug,Ehemann
258,Ehefrau::N,žena,Ehefrau
259,Ehefrau::N,supruga,Ehefrau
260,Freude::N,radost,Freude
261,Gelächter::N,grohot,Gelächter
262,Glück::N,sreća,Glück
263,Kummer::N,jad,Kummer
264,Kummer::N,briga,Kummer
265,Wunsch::N,želja,Wunsch
266,Lust::N,volja,Lust
267,Geist::N,duh,Geist
268,Gedanke::N,misao,Gedanke
269,Gedächtnis::N,pamćenje,Gedächtnis
270,Verstand::N,um,Verstand
271,Verstand::N,razum,Verstand
272,Sinn::N,smisao,Sinn
273,Sinn::N,značenje,Sinn
274,Grund::N,razlog,Grund
275,Wahrheit::N,istina,Wahrheit
276,Gespräch::N,razgovor,Gespräch
277,Märchen::N,bajka,Märchen
278,Erzählung::N,priča,Erzählung
279,Erzählung::N,pripovijest,Erzählung
280,Nachricht::N,vijest,Nachricht
281,Neuigkeit::N,novost,Neuigkeit
282,Name::N,ime,Name
283,Rätsel::N,zagonetka,Rätsel
284,Rede::N,govor,Rede
285,Rede::N,besjeda,Rede
286,Sprache::N,jezik,Sprache
287,Stimme::N,glas,Stimme
288,Wort::N,riječ,Wort
289,Zeichen::N,znak,Zeichen
290,Ruf::N,povik,Ruf
291,Ruf::N,poklik,Ruf
292,Lärm::N,buka,Lärm
293,Lärm::N,galama,Lärm
294,Laut::N,zvuk,Laut
295,Ton::N,ton,Ton
296,Lied::N,pjesma,Lied
297,Ruhe::N,tišina,Ruhe
298,Ruhe::N,počinak,Ruhe
299,Leute::N,ljudi,Leute
300,Volk::N,puk,Volk
301,Volk::N,narod,Volk
302,Arbeit::N,rad,Arbeit
303,Arbeit::N,posao,Arbeit
304,Gast::N,gost,Gast
305,Geschenk::N,dar,Geschenk
306,Geschenk::N,poklon,Geschenk
307,Spiel::N,igra,Spiel
308,Gesellschaft::N,društvo,Gesellschaft
309,Gesellschaft::N,kompanija,Gesellschaft
310,Hilfe::N,pomoć,Hilfe
311,Freund::N,prijatelj,Freund
312,Kamerad::N,drug,Kamerad
313,Kamerad::N,drugar,Kamerad
314,Angelegenheit::N,posao,Angelegenheit
315,Anzahl::N,broj,Anzahl
316,Anzahl::N,brojnost,Anzahl
317,Art::N,vid,Art
318,Art::N,vrst,Art
319,Stück::N,komad,Stück
320,Teil::N,dio,Teil
321,Hälfte::N,polovina,Hälfte
322,Kreis::N,krug,Kreis
323,Kreuz::N,križ,Kreuz
324,Linie::N,crta,Linie
325,Strich::N,crta,Strich
326,Abstand::N,razmak,Abstand
327,Abstand::N,odstojanje,Abstand
328,Entfernung::N,udaljenost,Entfernung
329,Gegend::N,kraj,Gegend
330,Gegend::N,predeo,Gegend
331,Platz::N,mjesto,Platz
332,Ort::N,mjesto,Ort
333,Seite::N,bok,Seite
334,Seite::N,strana,Seite
335,Mitte::N,sredina,Mitte
336,Gegenstand::N,predmet,Gegenstand
337,Sache::N,posao,Sache
338,Rand::N,rub,Rand
339,Rand::N,kraj,Rand
340,Kante::N,brid,Kante
341,Kante::N,ivica,Kante
342,Ecke::N,ugao,Ecke
343,Spitze::N,vrh,Spitze
344,Spitze::N,šiljak,Spitze
345,Ende::N,konac,Ende
