,Concept_ID,cs,la
0,Auge::N,oko,oculus
1,Ohr::N,ucho,auris
2,Nase::N,nos,nasus
3,Mund::N,pusa,os
4,Zahn::N,zub,dens
5,Zunge::N,jazyk,lingua
6,Lippe::N,ret,labrum
7,Wange::N,tvář,gena
8,Gesicht::N,obličej,vultus
9,Stirn::N,čelo,frons
10,Haar::N,vlas,capillus
11,Haar::N,vlasy,capillus
12,Schnurrbart::N,kníry,barba labri superioris
13,Bart::N,vousy,barba
14,Kinn::N,brada,mentum
15,Kiefer[Anatomie]::N,čelist,mala
16,Kehle::N,hrdlo,iugulums
17,Hals::N,krk,collum
18,Genick::N,týl,cervices
19,Kopf::N,hlava,caput
20,Rücken::N,záda,tergum
21,Rücken::N,hřbet,tergum
22,Bauch::N,břicho,venter
23,Nabel::N,pupek,umbilicus
24,Busen::N,ňadra,sinus
25,Brust::N,prsa,pectus
26,Schulter::N,plece,umerus
27,Schulter::N,rameno,umerus
28,Arm::N,ruka,bracchium
29,Ellenbogen::N,loket,cubitum
30,Hand::N,ruka,manus
31,Handfläche::N,dlaň,palma
32,Finger::N,prst,digitus
33,Fingernagel::N,nehet,unguiculus
34,Nagel[Anatomie]::N,nehet,unguis
35,Zeh::N,prst u nohy,digitus
36,Fuß::N,noha,pes
37,Ferse::N,pata,calx
38,Knie::N,koleno,genu
39,Oberschenkel::N,stehno,femur
40,Bein::N,noha,crus
41,Körper::N,tělo,corpus
42,Haut::N,kůže,cutis
43,Haut::N,kůže,pellis
44,Blut::N,krev,sanguis
45,Ader::N,céva,vena
46,Sehne::N,šlacha,nervus
47,Knochen::N,kost,os
48,Gehirn::N,mozek,cerebrum
49,Herz::N,srdce,cor
50,Herz::N,srdce,animus
51,Magen::N,žaludek,stomachus
52,Leber::N,játra,iecur
53,Atem::N,dech,spiritus
54,Hunger::N,hlad,fames
55,Träne::N,slza,lacrima
56,Geschmack::N,vkus,sapor
57,Geschmack::N,vkus,gustus
58,Geruch::N,vůně,odor
59,Geruch::N,zápach,odor
60,Schlaf::N,spánek,somnus
61,Traum::N,sen,somnium
62,Himmel::N,nebe,caelum
63,Sonne::N,slunce,sol
64,Mond::N,měsíc,luna
65,Stern::N,hvězda,sidus
66,Stern::N,hvězda,stella
67,Luft::N,vzduch,aer
68,Wind::N,vítr,ventus
69,Welle::N,vlna,unda
70,Wasser::N,voda,aqua
71,Stein::N,kámen,lapis
72,Boden::N,půda,solum
73,Erde::N,země,terra
74,Staub::N,prach,pulvis
75,Rauch::N,dým,fumus
76,Rauch::N,kouř,fumus
77,Funke::N,jiskra,scintilla
78,Feuer::N,oheň,ignis
79,Licht::N,světlo,lux
80,Licht::N,světlo,lumen
81,Schatten::N,stín,umbra
82,Wetter::N,počasí,caelum
83,Wetter::N,počasí,tempestas
84,Nebel::N,mlha,nebula
85,Wolke::N,mrak,nubes
86,Wolke::N,oblak,nubes
87,Regen::N,déšť,imber
88,Regen::N,déšť,pluvia
89,Schnee::N,sníh,nix
