,Concept_ID,br,zh
0,Auge::N,lagad,眼睛
1,Ohr::N,skouarn,耳朵
2,Nase::N,fri,鼻子
3,Mund::N,genoù,嘴
4,Zahn::N,dant,牙齿
5,Zunge::N,teod,舌头
6,Lippe::N,muzell,嘴唇
7,Wange::N,chot,面颊
8,Gesicht::N,dremm,脸
9,Stirn::N,tal,额
10,Haar::N,blev,头发
11,Schnurrbart::N,mourenn,髭须
12,Bart::N,barv,胡子
13,Kinn::N,groñj,下巴
14,Kiefer[Anatomie]::N,javed,颌
15,Kehle::N,gouzoug,嗓子
16,Hals::N,gouzoug,颈
17,Genick::N,choug,后颈
18,Kopf::N,penn,头
19,Rücken::N,kein,背
20,Bauch::N,kof,肚子
21,Nabel::N,begel,肚脐
22,Busen::N,bronn,胸脯
23,Brust::N,bruched,胸
24,Schulter::N,skoaz,肩膀
25,Arm::N,brec'h,臂膀
26,Ellenbogen::N,ilin,肘
27,Hand::N,dorn,手
28,Handfläche::N,palv,手掌
29,Finger::N,biz,手指
30,Fingernagel::N,ivin,指甲
31,Nagel[Anatomie]::N,ivin,指甲
32,Zeh::N,biz-troad,脚趾
33,Fuß::N,troad,脚
34,Ferse::N,seul,后跟
35,Knie::N,glin,膝
36,Oberschenkel::N,morzhed,大腿
37,Bein::N,gar,腿
38,Körper::N,korf,身体
39,Haut::N,kroc'hen,皮肤
40,Blut::N,gwad,血
41,Ader::N,gwazhi,血管
42,Sehne::N,stir,腱
43,Knochen::N,askorn,骨
44,Gehirn::N,empenn,脑
45,Herz::N,kalon,心
46,Magen::N,stomog,胃
47,Leber::N,avu,肝
48,Atem::N,anal,呼吸
49,Hunger::N,naon,饿
50,Träne::N,daer,眼泪
51,Geschmack::N,blaz,味道
52,Geruch::N,c'hwezh,气味
53,Schlaf::N,kousked,睡眠
54,Traum::N,hune,梦
55,Himmel::N,oabl,天空
56,Sonne::N,heol,太阳
57,Mond::N,loar,月亮
58,Stern::N,steredenn,星
