,Concept_ID,mdf,ar
0,Auge::N,сельме,عين
1,Ohr::N,пиле,أذن
2,Nase::N,шалхка,أنف
3,Mund::N,курга,فم
4,Zahn::N,пей,سن
5,Zunge::N,кяль,لسان
6,Lippe::N,търва́,شفة
7,Wange::N,щёка,خد
8,Wange::N,щёка,وجنة
9,Gesicht::N,шама,وجه
10,Stirn::N,коня,جبين
11,Haar::N,шя́ярь,شعر
12,Schnurrbart::N,уса́,شارب
13,Bart::N,сакал,لحية
14,Kinn::N,ула,ذقن
15,Kiefer[Anatomie]::N,саласка,فك
16,Kehle::N,кълдома,حلق
17,Kehle::N,кърга́парь,حلق
18,Hals::N,сялдаз,عنق
19,Hals::N,сялдаз,رقبة
20,Genick::N,шовонь,قفا
21,Kopf::N,пря,رأس
22,Rücken::N,копорь,ظهر
23,Bauch::N,пеке,بطن
24,Nabel::N,по́кон,سرة
25,Busen::N,потя,ثدي
26,Brust::N,мяште,صدر
27,Schulter::N,лафту,كتف
28,Arm::N,кядь,ذراع
29,Ellenbogen::N,кенерьба́карь,كوع
30,Hand::N,кядь,يد
31,Handfläche::N,кядьлапш,كف
32,Finger::N,сур,إصبع
33,Fingernagel::N,кенже,ظفر
34,Nagel[Anatomie]::N,кенже,ظفر
35,Zeh::N,пильгосу́р,إصبع القدم
36,Fuß::N,пильге,قدم
37,Fuß::N,пильгелапа,قدم
38,Ferse::N,кочкяря,كعب
39,Knie::N,эль,ركبة
40,Knie::N,пълма́нжа,ركبة
41,Oberschenkel::N,пильгепукша,فخذ
42,Bein::N,пильге,ساق
43,Körper::N,ро́нга,جسم
44,Körper::N,по́нда,جسم
45,Haut::N,киське,بشرة
46,Blut::N,вер,دم
47,Ader::N,сан,عرق
48,Ader::N,верза́н,عرق
49,Sehne::N,коське сан,طنب
50,Knochen::N,пакарь,عظم
51,Gehirn::N,уй,دماغ
52,Herz::N,седи,قلب
53,Magen::N,коткърдазь,معدة
54,Leber::N,макса,كبد
55,Atem::N,лекома,نفس
56,Atem::N,ваймонь тарксема,نفس
57,Hunger::N,вачеши,جوع
58,Träne::N,сельмове́дь,دمعة
59,Geschmack::N,таньф,طعم
60,Geschmack::N,таньф,مذاق
61,Geruch::N,шине,رائحة
62,Schlaf::N,удома́,نوم
63,Schlaf::N,удома́,منام
64,Traum::N,он,حلم
65,Himmel::N,менель,سماء
