,Concept_ID,el,tt
0,Auge::N,μάτι,күз
1,Auge::N,οφθαλμός,күз
2,Ohr::N,αυτί,колак
3,Nase::N,μύτη,борын
4,Mund::N,στόμα,авыз
5,Mund::N,στόμα,тамак
6,Zahn::N,δόντι,теш
7,Zunge::N,γλώσσα,тел
8,Lippe::N,χείλος,ирен
9,Wange::N,παρειά,яңак
10,Wange::N,μάγουλο,яңак
11,Gesicht::N,πρόσωπο,йөз
12,Stirn::N,μέτωπο,маңгай
13,Haar::N,μαλλιά,чәч
14,Schnurrbart::N,μουστάκι,мыек
15,Bart::N,γένια,сакал
16,Kinn::N,πιγούνι,ияк
17,Kiefer[Anatomie]::N,σαγόνι,казналык
18,Kehle::N,λαρύγγι,тамак
19,Hals::N,λαιμός,бугаз
20,Genick::N,σβέρκος,җилкә
21,Kopf::N,κεφάλι,баш
22,Rücken::N,ράχη,сырт
23,Bauch::N,κοιλιά,корсак
24,Nabel::N,αφαλός,кендек
25,Busen::N,στήθος,түш
26,Brust::N,στήθος,имчәк
27,Brust::N,στήθος,күкрәк
28,Schulter::N,ώμος,иңбаш
29,Schulter::N,ώμος,кулбаш
30,Arm::N,χέρι,кул
31,Arm::N,μπράτςο,кул
32,Ellenbogen::N,αγκώνας,терсәк
33,Hand::N,χέρι,кул
34,Handfläche::N,παλάμη,уч
35,Finger::N,δάχτυλο,бармак
36,Fingernagel::N,νύχι,тырнак
37,Nagel[Anatomie]::N,νύχι,тырнак
38,Zeh::N,δάχτυλο του ποδιού,бармак
39,Fuß::N,πόδι,табан
40,Ferse::N,φτέρνα,үкчә
41,Knie::N,γόνατο,тез
42,Oberschenkel::N,μηρός,бот
43,Bein::N,πόδι,аяк
44,Körper::N,σώμα,тән
45,Körper::N,σώμα,җисем
46,Körper::N,κορμί,тән
47,Körper::N,κορμί,җисем
48,Haut::N,πετσί,тире
49,Blut::N,αίμα,кан
50,Ader::N,φλέβα,тамыр
51,Sehne::N,νεύρο,сеңер
52,Sehne::N,τένοντας,сеңер
53,Knochen::N,οστό,сөяк
54,Knochen::N,κόκκαλο,сөяк
55,Gehirn::N,μυαλό,ми
56,Gehirn::N,εγκέφαλος,ми
57,Herz::N,καρδιά,йөрәк
58,Magen::N,στομάχι,ашказаны
59,Leber::N,ήπαρ,бавыр
60,Leber::N,συκωτί,бавыр
61,Atem::N,αναπνοή,сулыш
62,Hunger::N,πείνα,ачлык
63,Träne::N,δάκρυ,яшь
64,Geschmack::N,γεύση,тәм
65,Geschmack::N,γεύση,зәвык
66,Geruch::N,οσμή,ис
67,Geruch::N,μυρωδία,ис
68,Schlaf::N,ύπνος,йокы
69,Traum::N,όνειρο,төш
70,Himmel::N,ουρανός,күк
71,Sonne::N,ήλιος,кояш
72,Mond::N,σελήνη,ай
73,Mond::N,φεγγάρι,ай
74,Stern::N,άστρο,йолдыз
75,Stern::N,αστέρι,йолдыз
76,Luft::N,αέρας,һава
77,Wind::N,αέρας,җил
78,Wind::N,άνεμος,җил
79,Welle::N,κύμα,дулкын
80,Wasser::N,νερό,су
81,Stein::N,πέτρα,таш
82,Boden::N,χώμα,туфрак
83,Erde::N,γη,җир
84,Staub::N,σκόνη,тузан
85,Rauch::N,καπνός,төтен
86,Funke::N,σπίθα,очкын
87,Funke::N,σπινθήρας,очкын
88,Feuer::N,φωτιά,ут
89,Licht::N,φως,якты
90,Schatten::N,σκιά,күләгә
91,Schatten::N,ίσκιος,күләгә
92,Wetter::N,καιρός,һава
93,Nebel::N,ομίχλη,томан
94,Wolke::N,σύννεφο,болыт
95,Regen::N,βροχή,яңгыр
96,Schnee::N,χιόνι,кар
97,Eis::N,πάγος,боз
98,Frost::N,παγωνία,суык
99,Frost::N,παγωνία,салкын
100,Kälte::N,κρύο,суык
101,Kälte::N,κρύο,салкын
102,Kälte::N,ψύχος,суык
103,Kälte::N,ψύχος,салкын
104,Hitze::N,ζέστη,эсселек
105,Raureif::N,πάχνη,бәс
106,Raureif::N,πάχνη,сыкы
107,Regenbogen::N,ουράνιο τόξο,салават күпере
108,Donner::N,βροντή,күкрәү
109,Strömung::N,ρεύμα,агыш'агым
110,Tropfen::N,στάλα,тамчы
111,Schaum::N,αφρός,күбек
112,Schmutz::N,βρωμιά,пычрак
113,See::N,λίμνη,күл
114,Sumpf::N,βάλτος,саз
115,Moor::N,έλος,торфлык
116,Wiese::N,λιβάδι,болын
117,Wald::N,δάσος,урман
118,Hügel::N,λόφος,калку
119,Anhöhe::N,ύψωμα,үр
120,Berg::N,όρος,тау
