,Concept_ID,te,hy
0,Auge::N,కన్ను,աչք
1,Ohr::N,చెవి,ականջ
2,Nase::N,ముక్కు,քիթ
3,Mund::N,నోరు,բերան
4,Zahn::N,పల్లు,ատամ
5,Zunge::N,నాలుక,լեզու
6,Lippe::N,పెదవి,շրթունք
7,Wange::N,చెంప,այտ
8,Wange::N,చెంప,թուշ
9,Gesicht::N,ముఖము,դեմք
10,Stirn::N,నుదురు,ճակատ
11,Haar::N,వెండ్రుక,մազ
12,Schnurrbart::N,మీసము,բեղ
13,Bart::N,గడ్డము,մորուք
14,Kinn::N,గడ్డము,կզակ
15,Kiefer[Anatomie]::N,దౌడ,ծնոտ
16,Kehle::N,గొంతు,կոկորդ
17,Hals::N,మెడ,վիզ
18,Hals::N,మెడ,պարանոց
19,Genick::N,మూపు,ծոծրակ
20,Kopf::N,తల,գլուխ
21,Rücken::N,వెన్ను,մեջք
22,Bauch::N,కడుపు,փոր
23,Bauch::N,కడుపు,որովայն
24,Nabel::N,బొడ్డు,պորտ
25,Busen::N,స్తనము,ծոց
26,Brust::N,ఱొమ్ము,կուրծք
27,Schulter::N,భుజము,ուս
28,Arm::N,చేయి,թեւ
29,Arm::N,చేయి,բազուկ
30,Ellenbogen::N,మోచేయి,արմունկ
31,Hand::N,చేయి,ձեռք
32,Handfläche::N,అరచేయు,ափ
33,Finger::N,చేతిప్రేలు,մատ
34,Fingernagel::N,గోరు,եղունգ
35,Nagel[Anatomie]::N,గోరు,եղունգ
36,Zeh::N,కాలిప్రేలు,ոտքի մատ
37,Fuß::N,అడుగు,ոտք
38,Ferse::N,మడమ,գարշապար
39,Knie::N,మోకాలు,ծունկ
40,Oberschenkel::N,తొడ,ազդր
41,Bein::N,కాలు,ոտք
42,Körper::N,కాయము,մարմին
43,Haut::N,చర్మము,մաշկ
44,Blut::N,రక్తము,արյուն
45,Ader::N,సిర,երակ
46,Sehne::N,స్నాయువు,ջիղ
47,Sehne::N,స్నాయువు,ձգտան
48,Knochen::N,ఎముక,ոսկոր
49,Gehirn::N,మెదడు,խելք
50,Herz::N,హృదయము,սիրտ
51,Magen::N,కడుపు,ստամոքս
52,Leber::N,కాలేయము,լյարդ
53,Atem::N,ఉపిరి,շունչ
54,Hunger::N,ఆకలి,քաղց
55,Träne::N,కన్నీటిచుక్క,արտասուք
56,Geschmack::N,రుచి,համ
57,Geschmack::N,రుచి,բուրմունք
58,Geruch::N,వాసన,հոտ
59,Geruch::N,వాసన,բուրում
60,Schlaf::N,నిద్ర,քուն
61,Traum::N,కల,երազ
62,Himmel::N,ఆకాశము,երկինք
63,Sonne::N,సూర్యుడు,արեւ
64,Mond::N,చంద్రుడు,լուսին
65,Stern::N,నక్షత్రము,աստղ
66,Luft::N,గాలి,օդ
67,Wind::N,వీచుచున్నగాలి,քամի
68,Welle::N,అల,ալիք
69,Wasser::N,నీరు,ջուր
70,Stein::N,ఱాయి,քար
71,Boden::N,నేల,գետին
72,Erde::N,మన్ను,հող
73,Staub::N,దుమ్ము,փոշի
74,Rauch::N,పొగ,ծուխ
75,Funke::N,అగ్నికణము,կայծ
76,Feuer::N,అగ్ని,կրակ
77,Feuer::N,అగ్ని,հրդեհ
78,Licht::N,కాంతి,լույս
79,Schatten::N,నీడ,ստվեր
80,Wetter::N,వాతావరణ స్థితి,եղանակ
81,Nebel::N,పొగమంచు,մեգ
82,Nebel::N,పొగమంచు,մառախուղ
83,Wolke::N,మేఘము,ամպ
84,Regen::N,వాన,անձրև
85,Schnee::N,హిమము,ձյուն
86,Eis::N,మంచుగడ్డ,սառույց
87,Frost::N,పేరిన మంచు,սառնամանիք
88,Kälte::N,చలి,դող
89,Hitze::N,వేడిమి,շոգ
90,Raureif::N,మంచు,ցօղեղեամ
91,Regenbogen::N,ఇంద్రధనుస్సు,ծիածան
92,Donner::N,ఉరుము,որոտ
