,Concept_ID,ja,fi
0,Auge::N,目,silmä
1,Ohr::N,耳,korva
2,Nase::N,鼻,nenä
3,Mund::N,口,suu
4,Zahn::N,歯,hammas
5,Zunge::N,舌,kieli
6,Lippe::N,唇,huuli
7,Wange::N,頬,poski
8,Gesicht::N,顔,naama
9,Gesicht::N,顔,kasvot
10,Stirn::N,額,otsa
11,Haar::N,髪,hius
12,Haar::N,髪,tukka
13,Schnurrbart::N,口髭,viikset
14,Bart::N,髭,parta
15,Kinn::N,顎,leuka
16,Kiefer[Anatomie]::N,顎,leukaluu
17,Kehle::N,喉,kurkku
18,Hals::N,首,kaula
19,Genick::N,首,niska
20,Kopf::N,頭,pää
21,Rücken::N,背中,selkä
22,Bauch::N,腹,maha
23,Bauch::N,腹,vatsa
24,Bauch::N,お腹,maha
25,Bauch::N,お腹,vatsa
26,Nabel::N,へそ,napa
27,Busen::N,乳房,rinta
28,Brust::N,胸,rinta
29,Schulter::N,肩,olka
30,Schulter::N,肩,hartia
31,Schulter::N,肩,olkapää
32,Arm::N,腕,käsivarsi
33,Ellenbogen::N,肘,kyynärpää
34,Hand::N,手,käsi
35,Handfläche::N,手のひら,kämmen
36,Finger::N,指,sormi
37,Fingernagel::N,爪,kynsi
38,Nagel[Anatomie]::N,爪,kynsi
39,Zeh::N,足の指,varvas
40,Fuß::N,足,jalka
41,Ferse::N,かかと,kantapää
42,Knie::N,膝,polvi
43,Oberschenkel::N,上腿,reisi
44,Bein::N,足,jalka
45,Körper::N,体,keho
46,Körper::N,体,ruumis
47,Haut::N,皮膚,iho
48,Blut::N,血,veri
49,Ader::N,血管,suoni
50,Sehne::N,腱,jänne
51,Knochen::N,骨,luu
52,Gehirn::N,脳,aivot
53,Herz::N,心,sydän
54,Herz::N,心臓,sydän
55,Magen::N,胃,maha
56,Magen::N,胃,vatsa
57,Leber::N,肝臓,maksa
58,Atem::N,息,henki
59,Atem::N,息,hengitys
60,Atem::N,呼吸,henki
61,Atem::N,呼吸,hengitys
62,Hunger::N,空腹,nälkä
63,Träne::N,涙,kyynel
64,Geschmack::N,味,maku
65,Geruch::N,匂い,haju
66,Schlaf::N,睡眠,uni
67,Traum::N,夢,uni
68,Himmel::N,空,taivas
69,Sonne::N,太陽,aurinko
70,Mond::N,月,kuu
71,Stern::N,星,tähti
72,Luft::N,空気,ilma
73,Wind::N,風,tuuli
74,Welle::N,波,aalto
75,Wasser::N,水,vesi
76,Stein::N,石,kivi
77,Boden::N,土地,maa
78,Boden::N,土地,maaperä
79,Erde::N,土,maa
80,Staub::N,埃,pöly
81,Rauch::N,煙,savu
82,Funke::N,火花,kipinä
83,Feuer::N,火,tuli
84,Licht::N,光,valo
85,Schatten::N,陰,varjo
86,Wetter::N,天気,sää
87,Nebel::N,霧,sumu
88,Wolke::N,雲,pilvi
89,Regen::N,雨,sade
90,Schnee::N,雪,lumi
91,Eis::N,氷,jää
92,Frost::N,霜,halla
93,Frost::N,霜,pakkanen
94,Kälte::N,寒さ,vilu
95,Kälte::N,寒さ,kylmyys
96,Hitze::N,暑さ,helle
97,Hitze::N,暑さ,kuumuus
98,Raureif::N,霧氷,huurre
99,Regenbogen::N,虹,sateenkaari
100,Donner::N,雷,jyrinä
101,Strömung::N,流れ,virtaus
102,Tropfen::N,滴,tippa
103,Tropfen::N,滴,pisara
104,Schaum::N,泡,vaahto
105,Schmutz::N,汚れ,loka
106,See::N,湖,järvi
107,Sumpf::N,沼,suo
108,Moor::N,湿原,räme
109,Wiese::N,草原,niitty
110,Wald::N,森,metsä
111,Hügel::N,丘,mäki
112,Hügel::N,丘,kumpu
113,Hügel::N,丘,kukkula
114,Anhöhe::N,高み,mäki
115,Anhöhe::N,高み,kumpare
116,Berg::N,山,mäki
117,Berg::N,山,vuori
118,Gipfel::N,頂上,laki
119,Gipfel::N,頂上,huippu
