,Concept_ID,ro,hi
0,Auge::N,ochi,आँख
1,Auge::N,ochi,चक्षु
2,Ohr::N,ureche,कान
3,Ohr::N,ureche,कर्ण
4,Nase::N,nas,नाक
5,Nase::N,nas,नासा
6,Mund::N,gură,मुख
7,Mund::N,gură,मुँह
8,Zahn::N,dinte,दंत
9,Zahn::N,dinte,दाँत
10,Zunge::N,limbă,जीभ
11,Zunge::N,limbă,ज़बान
12,Zunge::N,limbă,जिह्वा
13,Lippe::N,buză,ओंठ
14,Lippe::N,buză,होंठ
15,Wange::N,bucă,गाल
16,Wange::N,bucă,कपोल
17,Wange::N,obraz,गाल
18,Wange::N,obraz,कपोल
19,Gesicht::N,față,मुँह
20,Gesicht::N,față,चेहरा
21,Gesicht::N,figură,मुँह
22,Gesicht::N,figură,चेहरा
23,Stirn::N,frunte,माथा
24,Stirn::N,frunte,मस्तक
25,Haar::N,păr,बाल
26,Schnurrbart::N,mustață,मूँछें
27,Bart::N,barbă,दाढ़ी
28,Kinn::N,bărbie,चिबुक
29,Kiefer[Anatomie]::N,falcă,जबड़ा
30,Kehle::N,beregată,गला
31,Hals::N,gât,गला
32,Hals::N,gât,गरदन
33,Genick::N,ceafă,गरदन
34,Genick::N,ceafă,ग्रीवा
35,Kopf::N,cap,सिर
36,Kopf::N,cap,शीर्ष
37,Rücken::N,dos,पीठ
38,Rücken::N,spate,पीठ
39,Rücken::N,spinare,पीठ
40,Bauch::N,burtă,उदर
41,Bauch::N,pântece,उदर
42,Nabel::N,buric,नाभि
43,Nabel::N,buric,ढोंढी
44,Busen::N,sân,कुच
45,Busen::N,sân,स्तन
46,Brust::N,piept,वक्ष
47,Schulter::N,umăr,कंधा
48,Schulter::N,umăr,स्कंध
49,Schulter::N,spate,कंधा
50,Schulter::N,spate,स्कंध
51,Arm::N,braț,बाँह
52,Arm::N,braț,बाज़ू
53,Ellenbogen::N,cot,कुहनी
54,Hand::N,mână,हाथ
55,Hand::N,mână,हस्त
56,Handfläche::N,palmă,हथेली
57,Finger::N,deget,उँगली
58,Finger::N,deget,अँगुली
59,Fingernagel::N,unghie,नख
60,Fingernagel::N,unghie,नाख़ून
61,Nagel[Anatomie]::N,unghie,नख
62,Nagel[Anatomie]::N,unghie,नाख़ून
63,Zeh::N,deget de la picior,उँगली
64,Zeh::N,deget de la picior,पाँव की उँगली
65,Fuß::N,picior,चरण
66,Fuß::N,picior,पाँव
67,Ferse::N,călcâi,एड़ी
68,Knie::N,genunchi,जानु
69,Knie::N,genunchi,घुटना
70,Oberschenkel::N,coapsă,उरु
71,Bein::N,picior,टाँग
72,Körper::N,corp,तन
73,Körper::N,corp,देह
74,Körper::N,corp,शरीर
75,Haut::N,piele,चर्म
76,Haut::N,piele,त्वचा
77,Blut::N,sânge,लहू
78,Blut::N,sânge,ख़ून
79,Ader::N,vână,रग
80,Ader::N,vână,शिरा
81,Ader::N,arteră,रग
82,Ader::N,arteră,शिरा
83,Sehne::N,tendon,कंडरा
84,Sehne::N,tendon,स्नायु
85,Knochen::N,os,अस्थि
86,Gehirn::N,creier,दिमाग़
87,Gehirn::N,creier,मस्तिष्क
88,Herz::N,inimă,दिल
89,Herz::N,inimă,हृदय
90,Magen::N,stomac,मेदा
91,Magen::N,stomac,अमाशय
92,Leber::N,ficat,जिगर
93,Leber::N,ficat,यकृत्
94,Atem::N,răsuflare,दम
95,Atem::N,răsuflare,साँस
96,Atem::N,răsuflare,श्वास
97,Atem::N,respirație,दम
98,Atem::N,respirație,साँस
99,Atem::N,respirație,श्वास
100,Hunger::N,foame,भूख
101,Hunger::N,foame,क्षुधा
102,Träne::N,lacrimă,आँसू
103,Träne::N,lacrimă,अश्रु
104,Geschmack::N,gust,स्वाद
105,Geschmack::N,gust,ज़ायक़ा
106,Geruch::N,miros,बू
107,Geruch::N,miros,गंध
108,Schlaf::N,somn,नींद
109,Schlaf::N,somn,निद्रा
110,Traum::N,vis,सपना
111,Traum::N,vis,स्वप्न
112,Himmel::N,cer,आकाश
113,Himmel::N,cer,आसमान
114,Sonne::N,soare,रवि
115,Sonne::N,soare,सूरज
116,Sonne::N,soare,सूर्य
117,Mond::N,lună,चाँद
118,Mond::N,lună,चंद्र
119,Stern::N,stea,तारा
120,Stern::N,stea,सितारा
121,Luft::N,aer,हवा
122,Luft::N,aer,वायु
123,Wind::N,vânt,पाद
124,Welle::N,val,लहर
125,Welle::N,val,तरंग
126,Welle::N,undă,लहर
127,Welle::N,undă,तरंग
128,Wasser::N,apă,जल
129,Wasser::N,apă,पानी
130,Stein::N,piatră,पत्थर
131,Boden::N,sol,मिट्टी
132,Boden::N,pământ,मिट्टी
133,Erde::N,pământ,भूमि
134,Erde::N,pământ,ज़मीन
135,Staub::N,praf,धूल
136,Rauch::N,fum,धूआँ
137,Rauch::N,fum,धुम्र
138,Funke::N,scânteie,चिनगारी
139,Funke::N,scânteie,स्फुलिंग
140,Feuer::N,foc,आग
141,Feuer::N,foc,आतिश
142,Feuer::N,foc,अग्नि
143,Licht::N,lumină,रोशनी
144,Licht::N,lumină,प्रकाश
145,Schatten::N,umbră,छाया
146,Schatten::N,umbră,परछाई
147,Wetter::N,timp,ऋतु
148,Wetter::N,timp,मौसम
149,Wetter::N,vreme,ऋतु
150,Wetter::N,vreme,मौसम
151,Nebel::N,ceață,धुँध
152,Nebel::N,ceață,कुहरा
153,Nebel::N,negură,धुँध
154,Nebel::N,negură,कुहरा
155,Wolke::N,nor,मेघ
156,Wolke::N,nor,अभ्र
157,Regen::N,ploaie,मेंह
158,Regen::N,ploaie,बारिश
159,Schnee::N,zăpadă,हिम
160,Schnee::N,zăpadă,बर्फ़
161,Eis::N,gheață,हिम
162,Eis::N,gheață,बर्फ़
163,Frost::N,ger,ठंड
164,Kälte::N,frig,सर्दी
165,Kälte::N,frig,शीतलता
166,Hitze::N,arșiță,ताप
167,Hitze::N,arșiță,गरमी
168,Hitze::N,căldură,ताप
169,Hitze::N,căldură,गरमी
170,Raureif::N,chiciură,पाला
171,Regenbogen::N,curcubeu,इंद्र-धनुष
172,Donner::N,tunet,गरज
173,Donner::N,tunet,मेघ-गर्जन
174,Strömung::N,curent,बहाव
175,Strömung::N,curent,प्रवाह
176,Tropfen::N,picătură,बूँद
177,Schaum::N,spumă,झाग
178,Schmutz::N,murdărie,गंद
179,Schmutz::N,murdărie,कीचड़
180,See::N,lac,झील
181,See::N,lac,सरोवर
182,Sumpf::N,mlaștină,दलदल
183,Sumpf::N,mlaștină,धँसान
184,Moor::N,bărăgan,झाबर
185,Moor::N,bărăgan,धँसान
186,Wiese::N,fânaț,घास-स्थल
187,Wiese::N,livadă,घास-स्थल
188,Wald::N,codru,जंगल
189,Wald::N,pădure,जंगल
190,Hügel::N,deal,टीला
191,Hügel::N,deal,पहाड़
192,Hügel::N,movilă,टीला
193,Hügel::N,movilă,पहाड़
194,Anhöhe::N,deal,टीला
195,Anhöhe::N,deal,पहाड़ी
196,Anhöhe::N,ridicătură,टीला
197,Anhöhe::N,ridicătură,पहाड़ी
198,Berg::N,munte,पहाड़
199,Gipfel::N,pisc,शिखर
200,Höhle::N,peșteră,गुहा
201,Höhle::N,peșteră,गुफ़ा
202,Abhang::N,pantă,ढाल
203,Abhang::N,pantă,ढलान
204,Abhang::N,versant,ढाल
205,Abhang::N,versant,ढलान
206,Quelle::N,izvor,चश्मा
207,Bach::N,gârlă,सोता
208,Bach::N,gârlă,नदिका
209,Fluss::N,râu,नदी
210,Fluss::N,râu,सरिता
211,Fluss::N,fluviu,नदी
212,Fluss::N,fluviu,सरिता
