,Concept_ID,da,et
194,Saat::N,sæd,seeme
195,Korn::N,korn,iva
196,Korn::N,korn,tera
197,Heu::N,hø,hein
198,Schale::N,skræl,koor
199,Grube::N,grav,kaevand
200,Falle::N,fælde,lõks
201,Falle::N,fælde,püünis
202,Schlinge::N,snare,aas
203,Spur::N,spor,jälg
204,Asche::N,aske,tuhk
205,Dreck::N,snavs,saast
206,Dreck::N,snavs,mustus
207,Eisen::N,jern,raud
208,Gold::N,guld,kuld
209,Silber::N,sølv,hõbe
210,Kohle::N,kul,süsi
211,Glas::N,glas,klaas
212,Lehm::N,ler,savi
213,Sand::N,sand,liiv
214,Mensch::N,mennesge,inimene
215,Mann::N,mand,mees
216,Frau::N,kvinde,naine
217,Kind::N,barn,laps
218,Junge::N,dreng,poiss
219,Mädchen::N,pige,tüdruk
220,Familie::N,familie,perekond
221,Großvater::N,bedstefar,vanaisa
222,Großmutter::N,bedstemor,vanaema
223,Eltern::N,forældre,vanemad
224,Vater::N,far,isa
225,Mutter::N,mor,ema
226,Sohn::N,søn,poeg
227,Tochter::N,datter,tütar
228,Bruder::N,bror,vend
229,Schwester::N,søster,õde
230,Onkel::N,onkel,onu
231,Tante::N,tante,tädi
232,Ehemann::N,ægtemand,mees
233,Ehemann::N,ægtemand,abikaasa
234,Ehefrau::N,hustru,naine
235,Ehefrau::N,hustru,abikaasa
236,Freude::N,glæde,rõõm
237,Gelächter::N,latter,naer
238,Glück::N,lykke,õnn
239,Kummer::N,sorg,mure
240,Kummer::N,sorg,kurbus
241,Wunsch::N,ønske,soov
242,Lust::N,lyst,himu
243,Geist::N,ånd,vaim
244,Gedanke::N,tanke,mõte
245,Gedächtnis::N,hukommelse,mälu
246,Verstand::N,forstand,aru
247,Verstand::N,forstand,mõistus
248,Sinn::N,mening,tähendus
249,Sinn::N,betydning,tähendus
250,Grund::N,grund,põhjus
251,Wahrheit::N,sandhed,tõde
252,Gespräch::N,samtale,kõne
253,Gespräch::N,samtale,vestlus
254,Märchen::N,eventyr,muinasjutt
255,Erzählung::N,fortælling,jutustus
256,Nachricht::N,efterretning,teade
257,Neuigkeit::N,nyhed,uudis
258,Name::N,navn,nimi
259,Rätsel::N,gåde,mõistatus
260,Rede::N,tale,kõne
261,Sprache::N,sprog,keel
262,Stimme::N,stemme,hääl
263,Wort::N,ord,sõna
264,Zeichen::N,tegn,märk
265,Ruf::N,råb,hüüe
266,Lärm::N,larm,müra
267,Laut::N,lyd,hääl
268,Ton::N,tone,toon
269,Lied::N,sang,laul
270,Ruhe::N,ro,rahu
271,Ruhe::N,ro,vaikus
272,Ruhe::N,hvile,rahu
273,Ruhe::N,hvile,vaikus
274,Leute::N,folk,inimesed
275,Leute::N,mennesker,inimesed
276,Volk::N,folk,rahvas
277,Arbeit::N,arbejde,töö
278,Gast::N,gæst,külaline
279,Geschenk::N,gave,kingitus
280,Spiel::N,leg,mäng
281,Gesellschaft::N,selskab,selts
282,Hilfe::N,hjælp,abi
283,Freund::N,ven,sõber
284,Kamerad::N,kammerat,sõber
285,Angelegenheit::N,sag,asi
286,Angelegenheit::N,anliggende,asi
287,Anzahl::N,antal,arv
288,Anzahl::N,antal,hulk
289,Art::N,art,liik
290,Stück::N,stykke,tükk
291,Teil::N,del,osa
292,Hälfte::N,halvdel,pool
293,Kreis::N,cirkel,ring
294,Kreuz::N,kors,rist
295,Kreuz::N,kryds,rist
296,Linie::N,linie,joon
297,Strich::N,streg,joon
298,Abstand::N,afstand,vahe
299,Entfernung::N,afstand,kaugus
300,Entfernung::N,afstand,vahemaa
301,Gegend::N,egn,ümbrus
302,Platz::N,plads,ruum
303,Ort::N,sted,paik
304,Seite::N,side,pool
305,Mitte::N,midte,keskpaik
306,Gegenstand::N,genstand,ese
307,Sache::N,sag,ese
308,Rand::N,rand,äär
309,Rand::N,rand,serv
310,Kante::N,kant,kant
311,Ecke::N,hjørne,nurk
312,Spitze::N,spids,teravik
313,Ende::N,ende,ots
314,Ende::N,ende,jupp
315,Loch::N,hul,auk
316,Winkel::N,vinkel,nurk
317,Muster::N,mønster,muster
318,Größe::N,størrelse,suurus
319,Länge::N,længde,pikkus
320,Höhe::N,højde,kõrgus
321,Gewicht::N,vægt,kaal
322,Gewicht::N,vægt,raskus
323,Menge::N,mængde,arv
324,Menge::N,mængde,hulk
325,Haufen::N,bunke,hunnik
326,Reihe::N,række,rivi
327,Boot::N,båd,paat
328,Ruder::N,åre,aer
329,Schlitten::N,kælk,saan
330,Schlitten::N,slæde,saan
331,Ski::N,ski,suusk
332,Lagerfeuer::N,lejrbål,lõke
333,Last::N,last,koorem
334,Last::N,byrde,koorem
335,Gang::N,gang,käik
336,Schritt::N,skridt,samm
337,Norden::N,nord,põhi
338,Süden::N,syd,lõuna
339,Westen::N,vest,lääs
340,Osten::N,øst,ida
341,Holz::N,træ,puu
342,Brett::N,bræt,saelaud
343,Platte::N,plade,plaat
344,Stütze::N,støtte,tugi
345,Stange::N,stang,latt
346,Stange::N,stang,teivas
347,Stock::N,stok,kepp
348,Stab::N,stav,varras
349,Rohr::N,rør,toru
350,Haus::N,hus,maja
351,Heim::N,hjem,kodu
352,Ofen::N,ovn,ahi
353,Fußboden::N,gulv,põrand
354,Tisch::N,bord,laud
355,Stuhl::N,stol,tool
356,Wiege::N,vugge,häll
357,Wiege::N,vugge,kätki
358,Bett::N,seng,voodi
359,Regal::N,reol,riiul
360,Kiste::N,kasse,kast
361,Fenster::N,vindue,aken
362,Tür::N,dør,uks
363,Tor::N,port,värav
364,Zaun::N,stakit,aed
365,Zaun::N,stakit,tara
366,Dach::N,tag,katus
367,Leiter::N,stige,redel
368,Besen::N,kost,luud
369,Spaten::N,spade,labidas
370,Schaufel::N,skovl,kühvel
371,Gabel::N,gaffel,kahvel
372,Löffel::N,ske,lusikas
373,Messer::N,kniv,nuga
374,Nagel::N,søm,nael
375,Netz::N,net,võrk
376,Haken::N,krog,haak
377,Haken::N,krog,konks
378,Griff::N,tag,sang
379,Griff::N,tag,käepide
