,Concept_ID,sq,ady
0,Auge::N,sy,нэ
1,Ohr::N,vesh,тхьакӏу́м
2,Nase::N,hundë,пэ
3,Mund::N,gojë,жэ
4,Zahn::N,dhëmb,цэ
5,Zunge::N,gjuhë,бзэгу
6,Lippe::N,buzë,ӏупшӏэ́
7,Wange::N,faqe,нэкӏу́шъу
8,Wange::N,mollëz,нэкӏу́шъу
9,Gesicht::N,fytyrë,нэ́гу
10,Stirn::N,ballë,натӏэ́
11,Haar::N,flokë,шъхьацы́
12,Schnurrbart::N,mustaqe,
13,Bart::N,mjekër,жакӏэ́
14,Kinn::N,mjekër,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,nofull,жэпкъы́
16,Kehle::N,fyt,чый
17,Kehle::N,grykë,чый
18,Hals::N,qafë,пшъэ
19,Genick::N,arrëz,шъхьэпхэтыку
20,Kopf::N,kokë,шъхьэ́
21,Rücken::N,kurriz,кӏыбы́
22,Bauch::N,bark,ныбэ́
23,Nabel::N,kërthizë,
24,Busen::N,gji,бгъэ́
25,Brust::N,gjoks,бгъэ́
26,Brust::N,kraharor,бгъэ́
27,Schulter::N,sup,блыпкъ
28,Schulter::N,krah,блыпкъ
29,Arm::N,krah,ӏэ
30,Ellenbogen::N,bërryl,ӏэнтэ́гъу
31,Hand::N,dorë,ӏэтхьэцу
32,Handfläche::N,pëllëmbë,ӏэ́гу
33,Finger::N,gisht,ӏэхъуа́мб
34,Fingernagel::N,thua,ӏэбжъа́н
35,Nagel[Anatomie]::N,thua,ӏэбжъа́н
36,Zeh::N,gisht i këmbës,ӏэхъуа́мб
37,Fuß::N,këmbë,лъэгу
38,Ferse::N,thembër,лъэдакъэ
39,Knie::N,gju,лъагуа́ндж
40,Oberschenkel::N,kofshë,ко
41,Bein::N,këmbë,лъакъо́
42,Körper::N,trup,пкъышъол
43,Haut::N,lëkurë,кӏы́шъу
44,Blut::N,gjak,лъы
45,Ader::N,venë,льытф
46,Sehne::N,dell,фэ
47,Knochen::N,asht,къупшъхьэ́
48,Knochen::N,kockë,къупшъхьэ́
49,Gehirn::N,tru,куцӏы
50,Herz::N,zemër,гу
51,Magen::N,stomak,мышкӏу
52,Leber::N,mëlçi,шӏу
53,Atem::N,frymë,къэщэныр
54,Hunger::N,uri,гъаблэ́
55,Träne::N,lot,нэпсы
56,Geschmack::N,shije,ӏэшӏугъа́кӏ
