,Concept_ID,udm,xal
0,Auge::N,син,нүдн
1,Ohr::N,пель,чикн
2,Nase::N,ныр,хамр
3,Mund::N,ым,амн
4,Zahn::N,пинь,шүдн
5,Zunge::N,кыл,келн
6,Lippe::N,ымдур,урл
7,Wange::N,бам,халх
8,Gesicht::N,ымныр,нүр
9,Stirn::N,кымес,маңна
10,Haar::N,йырси,үсн
11,Schnurrbart::N,мыйык,сахл
12,Bart::N,туш,сахл
13,Bart::N,туш,өргнә сахл
14,Kinn::N,ангес,өргн
15,Kiefer[Anatomie]::N,ан,өргн
16,Kiefer[Anatomie]::N,анлы,өргн
17,Kehle::N,гульым,хол
18,Hals::N,чырты,күзүн
19,Genick::N,йырбер,гиҗг
20,Kopf::N,йыр,толһа
21,Rücken::N,мыш,нурһн
22,Bauch::N,кӧт,гесн
23,Nabel::N,гогы,киисн
24,Busen::N,ноны,көкн
25,Brust::N,мӧля,чееҗ
26,Schulter::N,пельпум,ээм
27,Arm::N,суй,һар
28,Ellenbogen::N,гырпум,тоха
29,Hand::N,ки,баһлцг
30,Handfläche::N,ки пыдэс,альхн
31,Handfläche::N,кырым пыдэс,альхн
32,Finger::N,чиньы,хурһн
33,Finger::N,чиньы,һарин хурһн
34,Fingernagel::N,гижы,хумсн
35,Fingernagel::N,гиждӥнь,хумсн
36,Nagel[Anatomie]::N,гижы,хумсн
37,Zeh::N,пыдчиньы,хурһн
38,Zeh::N,пыдчиньы,көлин хурһн
39,Fuß::N,пыд,тавг
40,Ferse::N,пыдбер,өскә
41,Knie::N,пыдес,өвдг
42,Oberschenkel::N,макес,һуй
43,Bein::N,пыд,көл
44,Körper::N,мугор,махмуд
45,Körper::N,вылтыр,махмуд
46,Haut::N,ку,арсн
47,Blut::N,вир,цусн
48,Ader::N,вирсэр,судцн
49,Sehne::N,вуж,шүрүсн
50,Knochen::N,лы,ясн
51,Gehirn::N,вим,экн
52,Herz::N,сюлэм,зүркн
53,Magen::N,ӝуш,гесн
54,Leber::N,мус,элкн
55,Atem::N,лул,әмсхл
56,Atem::N,шокан,әмсхл
57,Hunger::N,кӧтсюман,харһнлһн
58,Träne::N,синкыли,нульмсн
59,Geschmack::N,шӧм,амтн
60,Geruch::N,зын,үнр
61,Schlaf::N,вӧт,нөр
62,Traum::N,уйвӧт,зүүдн
63,Himmel::N,ин,теңгр
64,Sonne::N,шунды,нарн
65,Mond::N,толэзь,сар
66,Stern::N,кизили,одн
67,Luft::N,омыр,аһар
68,Wind::N,тӧл,салькн
69,Welle::N,тулкым,дольган
70,Wasser::N,ву,усн
71,Stein::N,из,чолун
72,Boden::N,музъем,Һазр
73,Erde::N,му,Һазр
74,Staub::N,пыль,тоосн
75,Rauch::N,ӵын,утан
76,Funke::N,гизьы,очн
77,Feuer::N,тыл,һал
78,Licht::N,тыл,герл
79,Schatten::N,вужер,сүүдр
80,Wetter::N,куазь,теңгр
81,Nebel::N,бус,будн
82,Wolke::N,пилем,үүлн
83,Regen::N,зор,хур
84,Schnee::N,лымы,цасн
85,Eis::N,йӧ,мөсн
86,Frost::N,кезьыт,киитн
87,Kälte::N,кезьыт,киитн
88,Hitze::N,пӧсь,халун
