,Concept_ID,vep,ps
0,Auge::N,sil'm,سترګه
1,Ohr::N,korv,غوږ
2,Nase::N,nena,پوزه
3,Mund::N,su,خوله
4,Zahn::N,pi,غاښ
5,Zahn::N,hambaz,غاښ
6,Zunge::N,kel',جبه
7,Lippe::N,hul',شونډه
8,Wange::N,modpolišk,باړخو
9,Gesicht::N,mod,مخ
10,Stirn::N,oc,تندی
11,Stirn::N,oc,وچولی
12,Haar::N,tuk,وېښته
13,Haar::N,hibuz,وېښته
14,Schnurrbart::N,habinod,برېت
15,Bart::N,bard,ږیره
16,Kinn::N,löug,زنه
17,Kiefer[Anatomie]::N,hambazlu,جامه
18,Kehle::N,kurk,غاړه
19,Hals::N,kagl,غاړه
20,Genick::N,tagarai,ورمېږ
21,Kopf::N,pä,سر
22,Rücken::N,sel'g,شا
23,Bauch::N,vac,نس
24,Bauch::N,vac,ګېډه
25,Bauch::N,koht,نس
26,Bauch::N,koht,ګېډه
27,Nabel::N,naba,نوم
28,Busen::N,niža,تی
29,Brust::N,rind,سینه
30,Schulter::N,oug,اوږه
31,Arm::N,käzi,لاس
32,Ellenbogen::N,künambruz,څنګل
33,Hand::N,käzi,لاس
34,Hand::N,käzitera,لاس
35,Handfläche::N,kämen,ورغوی
36,Finger::N,sor'm,ګوته
37,Fingernagel::N,künz',نوک
38,Nagel[Anatomie]::N,künz',نوک
39,Zeh::N,barbaz,ګوته
40,Fuß::N,jaug,پښه
41,Ferse::N,kand,پونده
42,Knie::N,komb,زنګون
43,Knie::N,pol'v,زنګون
44,Oberschenkel::N,riiže,پتون
45,Bein::N,jaug,پښه
46,Körper::N,hibj,ځان
47,Haut::N,nahk,پوټکی
48,Blut::N,čak,وینه
49,Blut::N,veri,وینه
50,Ader::N,son',رګ
51,Sehne::N,jände,پله
52,Knochen::N,lu,هډوکی
53,Gehirn::N,aivod,ماغزه
54,Herz::N,südäin,زړه
55,Magen::N,südäikoht,معده
56,Leber::N,maks,ينه
57,Leber::N,maks,ځیګر
58,Atem::N,hengaiduz,نفس
59,Hunger::N,näl'g,ولږه
60,Träne::N,kündal',اوښکه
61,Geschmack::N,magu,مزه
62,Geschmack::N,magu,خوند
63,Geruch::N,haju,بوی
64,Schlaf::N,uni,خوب
65,Traum::N,unikuva,خوب
66,Himmel::N,taivaz,اسمان
67,Sonne::N,päiväine,لمر
68,Mond::N,kudmaine,سپوږمۍ
69,Stern::N,tähtaz,ستوری
70,Luft::N,il'm,هوا
71,Wind::N,döl,ورښ
72,Wind::N,tullei,ورښ
73,Welle::N,ald,موج
74,Welle::N,laineh,موج
75,Wasser::N,vezi,اوبه
76,Stein::N,kivi,ډبره
77,Boden::N,ma,مځکه
78,Boden::N,pohj,مځکه
79,Erde::N,ma,خاوره
80,Staub::N,pölü,ګرد
81,Staub::N,pölü,خاوره
82,Rauch::N,savu,دود
83,Rauch::N,savu,لوګی
84,Funke::N,kibin,سپرغۍ
85,Feuer::N,lämoi,اور
86,Licht::N,vauktuz,رڼا
87,Schatten::N,pil'vez,سیوری
88,Schatten::N,kuvahaine,سیوری
89,Wetter::N,sä,هوا
90,Nebel::N,sumeg,لړه
91,Wolke::N,pil'v,ورېځ
92,Regen::N,vihm,وریا
93,Regen::N,vihm,باران
94,Schnee::N,lumi,واوره
95,Eis::N,jä,یخ
96,Eis::N,jä,کنګل
97,Frost::N,hala,یخ
98,Frost::N,pakaine,یخ
99,Kälte::N,vilu,ساړه
100,Hitze::N,räk,تودوخي
101,Raureif::N,hüde,سپینه پرخه
102,Regenbogen::N,jumalanbembel',بوډۍ ټال
103,Regenbogen::N,jumalanbembel',سره زرغونه
104,Donner::N,juru,تالنده
105,Donner::N,jumalanjuru,تالنده
106,Strömung::N,joksmuz,بهېدنه
107,Tropfen::N,tilkuine,قطره
108,Tropfen::N,tilkuine,څاڅکی
109,Schaum::N,vaht,ځګ
110,Schmutz::N,redu,ناپاکي
111,Schmutz::N,pačak,ناپاکي
112,See::N,järv,جهیل
113,Sumpf::N,so,جبه
114,Moor::N,so,جبه
115,Wiese::N,nit,چمن
116,Wiese::N,nit,شنېلی
117,Wald::N,mec,ځنګل
118,Hügel::N,kukaz,تپه
119,Anhöhe::N,kukaz,غونډۍ
120,Berg::N,mägi,غ‍‍‍‍‍ر
121,Gipfel::N,ladv,څوکه
122,Höhle::N,mägionduz,کاز
123,Abhang::N,paute,لمن
124,Quelle::N,lähte,چینه
125,Bach::N,oja,واله
126,Fluss::N,jogi,سیند
127,Ufer::N,rand,غاړه
128,Küste::N,randišt,ساحل
129,Festland::N,kuivma,وچه
130,Meer::N,meri,بحر
131,Meer::N,meri,سمندر
132,Bucht::N,laht,کارۍ
133,Insel::N,sar',ټاپو
134,Insel::N,sar',جزيره
135,Blume::N,änik,ګل
136,Gras::N,hein,واښه
137,Wurzel::N,jur',ریښه
138,Baum::N,pu,ونه
139,Stamm::N,tüvi,ډډ
140,Rinde::N,kor',پوستکی
141,Ast::N,oks,ښاخ
142,Zweig::N,oks,څانګه
143,Zweig::N,barb,څانګه
144,Blatt::N,lehtez,پاڼه
145,Birke::N,koiv,توس
146,Kiefer[Baum]::N,pedai,نښتر
147,Weide[Baum]::N,raid,وله
148,Tanne::N,kuz',ناجو
149,Horn::N,sar'v,ښکر
150,Feder::N,höuneh,بڼکه
151,Fell::N,nahk,پوستکی
152,Flügel::N,suug,وزر
153,Klaue::N,künz',پنجه
154,Klaue::N,künz',منګول
155,Kralle::N,künz',پنجه
156,Kralle::N,künz',منګول
157,Schwanz::N,händ,لکۍ
158,Ei::N,muna,وۍ
159,Ei::N,muna,هګۍ
160,Nest::N,peza,جاله
161,Bau::N,uru,کاز
162,Tier::N,živat,ژوی
163,Tier::N,živat,حیوان
164,Herde::N,kogo,رمه
165,Herde::N,kogo,غېله
166,Kuh::N,lehm,غوا
167,Bulle::N,härg,غوئی
168,Pferd::N,hebo,آس
169,Schaf::N,lambaz,پسه
170,Schwein::N,siga,سرکوزی
171,Hund::N,koir,سپی
172,Katze::N,kaži,پشه
