,Concept_ID,bn,tr
0,Auge::N,চক্ষু,göz
1,Ohr::N,কর্ণ,kulak
2,Nase::N,নাক,burun
3,Mund::N,মুখ,ağız
4,Zahn::N,দাঁত,diş
5,Zunge::N,জিহবা,dil
6,Lippe::N,অধর,dudak
7,Wange::N,গণ্ড,yanak
8,Gesicht::N,মুখমণ্ডল,yüz
9,Stirn::N,কপাল,alın
10,Haar::N,চুল,saç
11,Schnurrbart::N,গোঁফ,bıyık
12,Bart::N,শ্মশ্রু,sakal
13,Kinn::N,চিবুক,çene
14,Kiefer[Anatomie]::N,চোয়াল,çene
15,Kehle::N,কণ্ঠ,boğaz
16,Hals::N,গল,boyun
17,Hals::N,গল,gerdan
18,Genick::N,ঘাড়,ense
19,Kopf::N,মাথা,baş
20,Kopf::N,মাথা,kafa
21,Rücken::N,পৃষ্ঠ,arka
22,Bauch::N,উদর,karın
23,Nabel::N,নাভি,göbek
24,Busen::N,স্তন,koyun
25,Brust::N,বুক,göğüs
26,Schulter::N,স্কন্ধ,omuz
27,Arm::N,বাহু,kol
28,Ellenbogen::N,কনুই,dirsek
29,Hand::N,হাত,el
30,Handfläche::N,করতল,avuç
31,Handfläche::N,করতল,el ayası
32,Finger::N,আঙ্গুল,parmak
33,Fingernagel::N,হাতের নখ,el tırnağı
34,Nagel[Anatomie]::N,নখ,tırnak
35,Zeh::N,আঙ্গুল,ayak parmağı
36,Fuß::N,পা,ayak
37,Ferse::N,গোড়ালি,topuk
38,Knie::N,হাঁটু,diz
39,Oberschenkel::N,ঊরু,uyluk
40,Bein::N,পা,bacak
41,Körper::N,দেহ,vücut
42,Haut::N,ত্বক,cilt
43,Blut::N,রক্ত,kan
44,Ader::N,শিরা,damar
45,Sehne::N,কণ্ডরা,kiriş
46,Knochen::N,অস্থি,kemik
47,Gehirn::N,মস্তিষ্ক,beyin
48,Herz::N,হৃৎপিণ্ড,kalp
49,Herz::N,হৃৎপিণ্ড,yürek
50,Magen::N,পাকস্থলী,mide
51,Leber::N,যকৃৎ,karaciğer
52,Atem::N,শ্বাস,nefes
53,Hunger::N,ক্ষুধা,açlık
54,Träne::N,অশ্রু,gözyaşı
55,Geschmack::N,স্বাদ,tat
56,Geschmack::N,স্বাদ,lezzet
57,Geruch::N,গন্ধ,koku
58,Schlaf::N,ঘুম,uyku
59,Traum::N,স্বপ্ন,düş
60,Traum::N,স্বপ্ন,rüya
61,Himmel::N,আকাশ,gök
62,Sonne::N,সূর্য,güneş
63,Mond::N,চন্দ্র,ay
64,Stern::N,নক্ষত্র,yıldız
65,Luft::N,বায়ু,hava
66,Wind::N,বাতাস,yel
67,Wind::N,বাতাস,rüzgâr
68,Welle::N,ঢেউ,dalga
69,Welle::N,তরঙ্গ,dalga
70,Wasser::N,জল,su
71,Stein::N,ঢিল,taş
72,Stein::N,প্রস্তর,taş
73,Boden::N,ভূতল,yer
74,Boden::N,ভূতল,zemin
75,Erde::N,ভূমি,toprak
76,Staub::N,ধুলা,toz
77,Rauch::N,ধোঁয়া,duman
78,Funke::N,স্ফুলিঙ্গ,kıvılcım
79,Feuer::N,অগ্নি,ateş
80,Licht::N,আলো,ışık
81,Schatten::N,ছায়া,gölge
82,Wetter::N,আবহাওয়া,hava
83,Nebel::N,কুহেলিকা,pus
84,Wolke::N,মেঘ,bulut
85,Regen::N,বৃষ্টি,yağmur
86,Schnee::N,তুষার,kar
87,Eis::N,বরফ,buz
88,Frost::N,তুষার,don
89,Kälte::N,শৈত্য,soğukluk
90,Hitze::N,তাপ,sıcaklık
91,Raureif::N,তুহিন,kırç
92,Regenbogen::N,রামধনু,gökkuşağı
93,Donner::N,বজ্রধ্বনি,gök gürlemesi
94,Strömung::N,স্রোত,akıntı
95,Strömung::N,স্রোত,cereyan
96,Tropfen::N,ফোঁটা,damla
97,Schaum::N,ফেনা,köpük
