,Concept_ID,zh,cs
0,Auge::N,眼睛,oko
1,Ohr::N,耳朵,ucho
2,Nase::N,鼻子,nos
3,Mund::N,嘴,pusa
4,Zahn::N,牙齿,zub
5,Zunge::N,舌头,jazyk
6,Lippe::N,嘴唇,ret
7,Wange::N,面颊,tvář
8,Gesicht::N,脸,obličej
9,Stirn::N,额,čelo
10,Haar::N,头发,vlas
11,Haar::N,头发,vlasy
12,Schnurrbart::N,髭须,kníry
13,Bart::N,胡子,vousy
14,Kinn::N,下巴,brada
15,Kiefer[Anatomie]::N,颌,čelist
16,Kehle::N,嗓子,hrdlo
17,Hals::N,颈,krk
18,Genick::N,后颈,týl
19,Kopf::N,头,hlava
20,Rücken::N,背,záda
21,Rücken::N,背,hřbet
22,Bauch::N,肚子,břicho
23,Nabel::N,肚脐,pupek
24,Busen::N,胸脯,ňadra
25,Brust::N,胸,prsa
26,Schulter::N,肩膀,plece
27,Schulter::N,肩膀,rameno
28,Arm::N,臂膀,ruka
29,Ellenbogen::N,肘,loket
30,Hand::N,手,ruka
31,Handfläche::N,手掌,dlaň
32,Finger::N,手指,prst
33,Fingernagel::N,指甲,nehet
34,Nagel[Anatomie]::N,指甲,nehet
35,Zeh::N,脚趾,prst u nohy
36,Fuß::N,脚,noha
37,Ferse::N,后跟,pata
38,Knie::N,膝,koleno
39,Oberschenkel::N,大腿,stehno
40,Bein::N,腿,noha
41,Körper::N,身体,tělo
42,Haut::N,皮肤,kůže
43,Blut::N,血,krev
44,Ader::N,血管,céva
45,Sehne::N,腱,šlacha
46,Knochen::N,骨,kost
47,Gehirn::N,脑,mozek
48,Herz::N,心,srdce
49,Magen::N,胃,žaludek
50,Leber::N,肝,játra
51,Atem::N,呼吸,dech
52,Hunger::N,饿,hlad
53,Träne::N,眼泪,slza
54,Geschmack::N,味道,vkus
55,Geruch::N,气味,vůně
56,Geruch::N,气味,zápach
57,Schlaf::N,睡眠,spánek
58,Traum::N,梦,sen
59,Himmel::N,天空,nebe
60,Sonne::N,太阳,slunce
61,Mond::N,月亮,měsíc
62,Stern::N,星,hvězda
63,Luft::N,空气,vzduch
64,Wind::N,风,vítr
65,Welle::N,波,vlna
66,Wasser::N,水,voda
67,Stein::N,石头,kámen
68,Boden::N,地面,půda
69,Erde::N,地,země
70,Staub::N,灰尘,prach
71,Rauch::N,烟,dým
72,Rauch::N,烟,kouř
73,Funke::N,火花,jiskra
74,Feuer::N,火,oheň
75,Licht::N,光,světlo
76,Schatten::N,影子,stín
77,Wetter::N,天气,počasí
78,Nebel::N,雾,mlha
79,Wolke::N,云,mrak
80,Wolke::N,云,oblak
81,Regen::N,雨,déšť
82,Schnee::N,雪,sníh
83,Eis::N,冰,led
84,Frost::N,霜冻,mráz
85,Kälte::N,寒冷,chlad
86,Hitze::N,炎热,horko
87,Raureif::N,霜,jinovatka
88,Regenbogen::N,虹,duha
89,Donner::N,雷,hrom
90,Strömung::N,水流,proudění
91,Tropfen::N,滴,kapka
92,Schaum::N,泡沫,pěna
93,Schmutz::N,赃物,špína
94,See::N,湖,jezero
95,Sumpf::N,沼泽,močál
96,Sumpf::N,沼泽,bažina
97,Moor::N,沼泽,bažina
98,Moor::N,沼泽,slatina
99,Wiese::N,草地,louka
100,Wald::N,森林,les
101,Hügel::N,丘陵,kopec
102,Anhöhe::N,山丘,pahorek
103,Berg::N,山,hora
104,Gipfel::N,峰,vrchol
105,Höhle::N,洞穴,jeskyně
106,Abhang::N,斜坡,svah
107,Abhang::N,斜坡,stráň
108,Quelle::N,泉,pramen
109,Bach::N,溪,potok
110,Fluss::N,河流,řeka
111,Ufer::N,岸,břeh
112,Küste::N,海岸,pobřeží
113,Festland::N,大陆,souš
114,Festland::N,大陆,pevnina
115,Meer::N,海,moře
116,Bucht::N,海湾,záliv
117,Bucht::N,海湾,zátoka
118,Insel::N,岛,ostrov
119,Blume::N,花,květina
120,Gras::N,草,tráva
121,Wurzel::N,根,kořen
122,Baum::N,树,strom
123,Stamm::N,树干,kmen
124,Rinde::N,树皮,kůra
125,Ast::N,树枝,větev
126,Zweig::N,树枝,větev
127,Blatt::N,叶子,lupen
128,Birke::N,桦木,bříza
129,Kiefer[Baum]::N,松树,sosna
130,Kiefer[Baum]::N,松树,borovice
131,Weide[Baum]::N,柳树,vrba
