,Concept_ID,se,kl
0,Auge::N,tjelmie,isi
1,Auge::N,tjalmme,isi
2,Auge::N,čalbmi,isi
3,Auge::N,čalme,isi
4,Auge::N,čâ´lmm,isi
5,Auge::N,ча̄лльм,isi
6,Ohr::N,bieljie,siut
7,Ohr::N,biellje,siut
8,Ohr::N,beallji,siut
9,Ohr::N,pelji,siut
10,Ohr::N,pe´llj,siut
11,Ohr::N,пе̄лльй,siut
12,Nase::N,njuenie,
13,Nase::N,njunnje,
14,Nase::N,njunni,
15,Nase::N,njuṇe,
16,Nase::N,njuu´nn,
17,Nase::N,нюннҍ,
18,Mund::N,njaelmie,paaq
19,Mund::N,njaelmie,qaneq
20,Mund::N,njálmme,paaq
21,Mund::N,njálmme,qaneq
22,Mund::N,njálbmi,paaq
23,Mund::N,njálbmi,qaneq
24,Mund::N,njälmi,paaq
25,Mund::N,njälmi,qaneq
26,Mund::N,njä´lmm,paaq
27,Mund::N,njä´lmm,qaneq
28,Mund::N,ня̄лльм,paaq
29,Mund::N,ня̄лльм,qaneq
30,Zahn::N,baenie,kigut
31,Zahn::N,bádne,kigut
32,Zahn::N,bátni,kigut
33,Zahn::N,pääṇi,kigut
34,Zahn::N,pää´nn,kigut
35,Zahn::N,па̄ннҍ,kigut
36,Zunge::N,njoektjeme,oqaq
37,Zunge::N,njuovtjav,oqaq
38,Zunge::N,njuovčča,oqaq
39,Zunge::N,njuovčâ,oqaq
40,Zunge::N,njuhččâm,oqaq
41,Zunge::N,нюхчем,oqaq
42,Lippe::N,bangseme,qarloq
43,Lippe::N,njálmmerabdda,qarloq
44,Lippe::N,bavssa,qarloq
45,Lippe::N,poovsâ,qarloq
46,Lippe::N,põõus,qarloq
47,Lippe::N,пэ̄кс,qarloq
48,Wange::N,skiehrie,ersaq
49,Wange::N,nierra,ersaq
50,Wange::N,muohtu,ersaq
51,Wange::N,nieṛâ,ersaq
52,Wange::N,njiõrr,ersaq
53,Wange::N,нӣрр,ersaq
54,Gesicht::N,ååredæjja,kiinaq
55,Gesicht::N,muohto,kiinaq
56,Gesicht::N,muođut,kiinaq
57,Gesicht::N,ámadadju,kiinaq
58,Gesicht::N,muáđuh,kiinaq
59,Gesicht::N,muâđ,kiinaq
60,Gesicht::N,ка̄ссв,kiinaq
61,Stirn::N,gaalloe,qaaq
62,Stirn::N,gállo,qaaq
63,Stirn::N,gállu,qaaq
64,Stirn::N,kállu,qaaq
65,Stirn::N,käll,qaaq
66,Stirn::N,вуэххьц,qaaq
67,Haar::N,voepte,meqqoq
68,Haar::N,vuoppta,meqqoq
69,Haar::N,vuokta,meqqoq
70,Haar::N,vuop'tâ,meqqoq
71,Haar::N,vuõpt,meqqoq
72,Haar::N,вӯппт,meqqoq
73,Schnurrbart::N,bijjie-skaavtjoe,
74,Schnurrbart::N,njunjevuolskávttjá,
75,Schnurrbart::N,seamu,
76,Schnurrbart::N,siämu,
77,Schnurrbart::N,ää´bben,
78,Schnurrbart::N,о̄а̄бпан,
79,Bart::N,skaavtja,umik
80,Bart::N,skaavtjoe,umik
81,Bart::N,skávttjá,umik
82,Bart::N,seamu,umik
83,Bart::N,siämu,umik
84,Bart::N,seäm,umik
85,Bart::N,ся̄м,umik
86,Kinn::N,gaejpie,talloq
87,Kinn::N,gájbbe,talloq
88,Kinn::N,gáibi,talloq
89,Kinn::N,käibi,talloq
90,Kinn::N,käi´bb,talloq
91,Kinn::N,ка̄ййп,talloq
92,Kiefer[Anatomie]::N,gaejpie,alleroq
93,Kiefer[Anatomie]::N,oalol,alleroq
94,Kiefer[Anatomie]::N,oaloldákte,alleroq
95,Kiefer[Anatomie]::N,gáibi,alleroq
96,Kiefer[Anatomie]::N,uá'lultähti,alleroq
97,Kiefer[Anatomie]::N,vuâl'lõš,alleroq
