,Concept_ID,bn,os
0,Auge::N,চক্ষু,цӕст
1,Ohr::N,কর্ণ,хъус
2,Nase::N,নাক,фындз
3,Mund::N,মুখ,дзых
4,Zahn::N,দাঁত,дӕндаг
5,Zunge::N,জিহবা,ӕвзаг
6,Lippe::N,অধর,был
7,Wange::N,গণ্ড,рус
8,Wange::N,গণ্ড,уадул
9,Wange::N,গণ্ড,ӕхсӕрфарс
10,Gesicht::N,মুখমণ্ডল,цӕсгом
11,Stirn::N,কপাল,ных
12,Haar::N,চুল,хил
13,Schnurrbart::N,গোঁফ,рихи
14,Bart::N,শ্মশ্রু,зачъе
15,Kinn::N,চিবুক,роцъо
16,Kiefer[Anatomie]::N,চোয়াল,ӕфсӕр
17,Kehle::N,কণ্ঠ,хъуыр
18,Hals::N,গল,къубал
19,Genick::N,ঘাড়,къӕбут
20,Kopf::N,মাথা,сӕр
21,Rücken::N,পৃষ্ঠ,фӕсонтӕ
22,Bauch::N,উদর,гуыбын
23,Nabel::N,নাভি,бикъ
24,Busen::N,স্তন,дзидзи
25,Brust::N,বুক,риу
26,Schulter::N,স্কন্ধ,уӕхск
27,Arm::N,বাহু,цонг
28,Ellenbogen::N,কনুই,рæмбын
29,Hand::N,হাত,къух
30,Handfläche::N,করতল,армытъӕпӕн
31,Finger::N,আঙ্গুল,ӕнруылдз
32,Fingernagel::N,হাতের নখ,ных
33,Nagel[Anatomie]::N,নখ,ных
34,Zeh::N,আঙ্গুল,къух
35,Fuß::N,পা,фад
36,Ferse::N,গোড়ালি,зӕвӕт
37,Knie::N,হাঁটু,уӕраг
38,Oberschenkel::N,ঊরু,агъд
39,Bein::N,পা,зӕнг
40,Körper::N,দেহ,буар
41,Haut::N,ত্বক,царм
42,Blut::N,রক্ত,туг
43,Ader::N,শিরা,дадзин
44,Ader::N,শিরা,тугдадзин
45,Sehne::N,কণ্ডরা,хъиутæ
46,Sehne::N,কণ্ডরা,нуар
47,Knochen::N,অস্থি,стӕг
48,Gehirn::N,মস্তিষ্ক,магъз
49,Herz::N,হৃৎপিণ্ড,зӕрдӕ
50,Magen::N,পাকস্থলী,ахсӕн
51,Leber::N,যকৃৎ,игæр
52,Atem::N,শ্বাস,улӕфт
53,Hunger::N,ক্ষুধা,стонг
54,Träne::N,অশ্রু,цæссыг
55,Geschmack::N,স্বাদ,ад
56,Geruch::N,গন্ধ,смаг
57,Schlaf::N,ঘুম,хуыссӕг
58,Traum::N,স্বপ্ন,фын
59,Himmel::N,আকাশ,арв
60,Himmel::N,আকাশ,уӕларв
61,Sonne::N,সূর্য,хур
62,Mond::N,চন্দ্র,мӕй
63,Stern::N,নক্ষত্র,стъалы
64,Luft::N,বায়ু,уӕлдӕф
65,Wind::N,বাতাস,дымгӕ
66,Welle::N,ঢেউ,уылӕн
67,Welle::N,তরঙ্গ,уылӕн
68,Wasser::N,জল,дон
69,Stein::N,ঢিল,дур
70,Stein::N,প্রস্তর,дур
71,Boden::N,ভূতল,зӕхх
72,Erde::N,ভূমি,сыджыт
73,Staub::N,ধুলা,рыг
74,Rauch::N,ধোঁয়া,фӕздӕг
75,Funke::N,স্ফুলিঙ্গ,цӕхӕр
76,Feuer::N,অগ্নি,зынг
77,Licht::N,আলো,рухс
78,Schatten::N,ছায়া,аууон
79,Wetter::N,আবহাওয়া,боныхъӕд
80,Nebel::N,কুহেলিকা,мигъ
81,Wolke::N,মেঘ,ӕврагъ
82,Regen::N,বৃষ্টি,уарын
83,Schnee::N,তুষার,мит
84,Eis::N,বরফ,их
85,Frost::N,তুষার,ихæн
86,Kälte::N,শৈত্য,уазал
87,Hitze::N,তাপ,ӕнтӕф
88,Raureif::N,তুহিন,халас
89,Regenbogen::N,রামধনু,арвырон
90,Regenbogen::N,রামধনু,арвырдын
91,Donner::N,বজ্রধ্বনি,æрвнæрын
92,Strömung::N,স্রোত,цыд
93,Tropfen::N,ফোঁটা,æртах
94,Schaum::N,ফেনা,фынк
95,Schmutz::N,ধুলা,цъыф
96,See::N,হ্রদ,цад
97,Sumpf::N,জলা,цъыфдзаст
98,Moor::N,মাঠ,цъыфдзаст
99,Wiese::N,তৃণভূমি,уыгӕрдӕн
100,Wald::N,বন,хъӕд
101,Hügel::N,পাহাড়,обау
102,Hügel::N,পাহাড়,къуыбыр
103,Anhöhe::N,টিলা,уæлвæз
104,Anhöhe::N,টিলা,уæлхох
105,Berg::N,পর্বত,хох
106,Gipfel::N,শীর্ষ,цъупп
107,Höhle::N,গুহা,лӕгӕт
108,Abhang::N,ঢাল,къул
109,Quelle::N,উৎস,суадон
110,Bach::N,ক্ষুদ্র নদী,мӕсчъыдон
111,Fluss::N,নদী,дон
112,Fluss::N,নদী,цӕугӕдон
113,Ufer::N,উপকূল,был
114,Küste::N,তীর,донбыл
115,Festland::N,ভূমি,сурзæхх
116,Meer::N,সমুদ্র,денджыз
117,Bucht::N,উপসাগর,донбакæлæн
118,Insel::N,দ্বীপ,сакъадах
119,Blume::N,ফুল,дидинӕг
120,Gras::N,ঘাস,кӕрдӕг
121,Wurzel::N,শিকড়,уидаг
122,Baum::N,গাছ,бӕлас
123,Stamm::N,স্কন্ধ,хӕтӕл
124,Rinde::N,বল্কল,цъар
125,Ast::N,শাখা,арх
126,Zweig::N,ডাল,къалиу
127,Blatt::N,পর্ণ,сыф
