,Concept_ID,bg,br
0,Auge::N,око,lagad
1,Ohr::N,ухо,skouarn
2,Nase::N,нос,fri
3,Mund::N,уста,genoù
4,Zahn::N,зъб,dant
5,Zunge::N,език,teod
6,Lippe::N,устна,muzell
7,Wange::N,буза,chot
8,Gesicht::N,лице,dremm
9,Gesicht::N,образ,dremm
10,Stirn::N,чело,tal
11,Haar::N,коса,blev
12,Haar::N,косъм,blev
13,Schnurrbart::N,мустаци,mourenn
14,Bart::N,брада,barv
15,Kinn::N,брада,groñj
16,Kinn::N,брадичка,groñj
17,Kiefer[Anatomie]::N,челюст,javed
18,Kehle::N,гърло,gouzoug
19,Hals::N,врат,gouzoug
20,Genick::N,тил,choug
21,Kopf::N,глава,penn
22,Rücken::N,гръб,kein
23,Bauch::N,корем,kof
24,Nabel::N,пъп,begel
25,Busen::N,бозка,bronn
26,Brust::N,гръд,bruched
27,Schulter::N,рамо,skoaz
28,Schulter::N,плещи,skoaz
29,Arm::N,ръка,brec'h
30,Ellenbogen::N,лакът,ilin
31,Hand::N,ръка,dorn
32,Hand::N,китка,dorn
33,Handfläche::N,длан,palv
34,Finger::N,пръст,biz
35,Fingernagel::N,нокът,ivin
36,Nagel[Anatomie]::N,нокът,ivin
37,Zeh::N,пръст на крак,biz-troad
38,Fuß::N,крак,troad
39,Fuß::N,нога,troad
40,Ferse::N,пета,seul
41,Knie::N,коляно,glin
42,Oberschenkel::N,бедро,morzhed
43,Bein::N,крак,gar
44,Bein::N,нога,gar
45,Körper::N,тяло,korf
46,Haut::N,кожа,kroc'hen
47,Blut::N,кръв,gwad
48,Ader::N,вена,gwazhi
49,Ader::N,артерия,gwazhi
50,Sehne::N,жила,stir
51,Sehne::N,сухожилие,stir
52,Knochen::N,кост,askorn
53,Gehirn::N,мозък,empenn
54,Herz::N,сърце,kalon
55,Magen::N,стомах,stomog
56,Leber::N,черен дроб,avu
57,Atem::N,дишане,anal
58,Hunger::N,глад,naon
59,Träne::N,сълза,daer
60,Geschmack::N,вкус,blaz
61,Geruch::N,миризма,c'hwezh
62,Schlaf::N,сън,kousked
63,Traum::N,сън,hune
64,Himmel::N,небе,oabl
65,Sonne::N,слънце,heol
66,Mond::N,луна,loar
67,Mond::N,месец,loar
68,Stern::N,звезда,steredenn
69,Luft::N,въздух,aer
70,Wind::N,вятър,avel
71,Welle::N,вълна,houlenn
72,Wasser::N,вода,dour
73,Stein::N,камък,maen
74,Boden::N,земя,tachenn
75,Boden::N,почва,tachenn
76,Erde::N,земя,douar
77,Erde::N,почва,douar
78,Staub::N,прах,poultr
79,Rauch::N,дим,moged
80,Rauch::N,пушек,moged
81,Funke::N,искра,ful
82,Feuer::N,огън,tan
83,Licht::N,светлина,gouloù
84,Schatten::N,сянка,disheol
85,Wetter::N,време,amzer
86,Nebel::N,мъгла,brumenn
87,Wolke::N,облак,koumoulenn
88,Regen::N,дъжд,glav
89,Schnee::N,сняг,erc'h
90,Eis::N,лед,skorn
91,Frost::N,мраз,rev
92,Kälte::N,студ,yen
93,Hitze::N,жега,tommder
94,Hitze::N,горещина,tommder
95,Raureif::N,скреж,frim
96,Raureif::N,слана,frim
97,Regenbogen::N,дъга,gwareg-ar-glav
98,Donner::N,гръм,kurun
99,Strömung::N,течение,red
100,Tropfen::N,капка,bannac'h
101,Tropfen::N,капка,takenn
102,Schaum::N,пяна,spoum
103,Schmutz::N,кал,fank
104,Schmutz::N,мръсотия,fank
105,See::N,езеро,lenn
106,Sumpf::N,блато,gwern
107,Moor::N,мочурище,taouarc'heg
108,Wiese::N,ливада,prad
109,Wald::N,гора,koad
110,Hügel::N,рид,torgenn
111,Hügel::N,хълм,torgenn
112,Anhöhe::N,могила,run
113,Anhöhe::N,възвишение,run
114,Berg::N,планина,menez
115,Gipfel::N,връх,barr
116,Höhle::N,пещера,kav
117,Abhang::N,склон,naou
118,Abhang::N,стръмнина,naou
119,Quelle::N,извор,feunteun
120,Bach::N,поток,gwazh
121,Fluss::N,река,stêr
122,Ufer::N,бряг,ribl
123,Küste::N,бряг,aod
124,Küste::N,крайбрежие,aod
125,Festland::N,суша,douar
126,Meer::N,море,mor
127,Bucht::N,залив,mor-bihan
128,Insel::N,остров,enez
129,Blume::N,цвете,bleunienn
130,Gras::N,трева,geot
131,Wurzel::N,корен,gwrizienn
132,Baum::N,дърво,gwezenn
133,Stamm::N,стъбло,kef
134,Rinde::N,кора,rusk
135,Ast::N,клон,barr
136,Zweig::N,клон,bod
137,Blatt::N,лист,delienn
138,Birke::N,бреза,bezvenn
139,Kiefer[Baum]::N,бор,pinenn
140,Weide[Baum]::N,върба,halegenn
141,Tanne::N,ела,sapenn
142,Horn::N,рог,korn
143,Feder::N,перо,pluñv
144,Fell::N,кожа,kreoñ
145,Flügel::N,крило,askell
146,Klaue::N,нокът,skilf
147,Kralle::N,нокът,skilf
148,Schwanz::N,опашка,lost
149,Ei::N,яйце,vi
150,Nest::N,гнездо,neizh
151,Bau::N,дупка,douarenn
152,Tier::N,животно,loen
153,Herde::N,стадо,tropell
154,Kuh::N,крава,buoc'h
155,Bulle::N,бик,tarv
156,Pferd::N,кон,marc'h
157,Schaf::N,овца,dañvad
158,Schwein::N,свиня,pemoc'h
159,Hund::N,куче,ki
160,Katze::N,котка,kazh
161,Bär::N,мечка,arzh
162,Eichhörnchen::N,катерица,gwiñver
163,Elch::N,лос,karv-dour
164,Fuchs::N,лисица,louarn
165,Hase::N,заек,gad
166,Maus::N,мишка,logodenn
167,Wolf::N,вълк,bleiz
168,Vogel::N,птица,labous
169,Schwarm::N,рой,nijad
170,Schwarm::N,рояк,nijad
171,Huhn::N,кокошка,yar
172,Hahn::N,петел,kilhog
173,Gans::N,гъска,gwazenn
174,Adler::N,орел,erer
175,Ente::N,патица,houad
176,Eule::N,сова,toud
177,Kranich::N,жерав,garan
178,Krähe::N,врана,bran
179,Kuckuck::N,кукувица,koukoug
180,Schwan::N,лебед,alarc'h
181,Fisch::N,риба,pesk
182,Barsch::N,костур,brell
183,Hecht::N,щука,beked
184,Schlange[Tier]::N,змия,naer
185,Wurm::N,червей,preñv
186,Spinne::N,паяк,kevnidenn
187,Ameise::N,мравка,merion
188,Laus::N,въшка,laouenn
189,Mücke::N,комар,moustik
190,Fliege::N,муха,kelienenn
191,Schmetterling::N,пеперуда,balafenn
192,Beere::N,плод,hog
193,Apfel::N,ябълка,aval
194,Pilz::N,гъба,kabell-touseg
195,Zwiebel::N,лук,ognonenn
196,Zwiebel::N,кромид,ognonenn
197,Saat::N,семе,had
198,Korn::N,зърно,ed
199,Heu::N,сено,foenn
200,Schale::N,кора,peliadur
201,Grube::N,яма,
202,Grube::N,дупка,
203,Falle::N,примка,pech
204,Schlinge::N,клуп,krouglas
205,Spur::N,диря,
206,Spur::N,следа,
207,Asche::N,пепел,ludu
208,Dreck::N,кал,fank
209,Eisen::N,желязо,houarn
210,Gold::N,злато,aour
211,Silber::N,сребро,arc'hant
212,Kohle::N,въглища,glaou
213,Glas::N,стъкло,gwer
214,Lehm::N,глина,
215,Sand::N,пясък,traezh
216,Mensch::N,човек,den
217,Mann::N,мъж,den
218,Frau::N,жена,maouez
219,Kind::N,дете,bugel
220,Junge::N,момче,paotr
221,Mädchen::N,момиче,plac'h
222,Familie::N,фамилия,familh
223,Familie::N,семейство,familh
224,Großvater::N,дядо,tad-kozh
225,Großmutter::N,баба,mamm-gozh
226,Eltern::N,родители,kerent
227,Vater::N,баща,tad
228,Mutter::N,майка,mamm
229,Sohn::N,син,mab
230,Tochter::N,дъщеря,merc'h
231,Bruder::N,брат,breur
232,Schwester::N,сестра,c'hoar
233,Onkel::N,чичо,eontr
234,Onkel::N,вуйчо,eontr
235,Tante::N,леля,moereb
236,Ehemann::N,съпруг,gwaz
237,Ehefrau::N,съпруга,gwreg
238,Freude::N,радост,levenez
239,Gelächter::N,смях,c'hoarzherezh
240,Glück::N,щастие,chañs
241,Kummer::N,тъга,doan
242,Wunsch::N,желание,c'hoant
243,Lust::N,желание,c'hoant
244,Geist::N,дух,spered
245,Gedanke::N,мисъл,soñj
246,Gedächtnis::N,памет,eñvor
247,Verstand::N,ум,skiant
248,Verstand::N,разум,skiant
249,Sinn::N,смисъл,ster
250,Grund::N,причина,kaoz
