,Concept_ID,ml,ga
0,Auge::N,കണ്ണ്,súil
1,Ohr::N,ചെവി,cluas
2,Nase::N,മൂക്ക്,soc
3,Mund::N,വായ,béal
4,Zahn::N,പല്ല്,fiacail
5,Zunge::N,നാക്ക്,teanga
6,Lippe::N,ചുണ്ട്,liopa
7,Wange::N,കവിൾത്തടം,grua
8,Wange::N,കവിൾത്തടം,leiceann
9,Gesicht::N,മുഖം,éadan
10,Gesicht::N,മുഖം,aghaidh
11,Stirn::N,നെറ്റി,baithis
12,Stirn::N,നെറ്റി,clár éadain
13,Haar::N,തലമുടി,gruaig
14,Schnurrbart::N,മീശ,croiméal
15,Bart::N,താടിരോമം,féasóg
16,Kinn::N,താടി,smig
17,Kiefer[Anatomie]::N,താടിയെല്ല്,giall
18,Kehle::N,കണ്ഠനാളം,scornach
19,Hals::N,കഴുത്ത്,muinéal
20,Genick::N,പിടലി,baic
21,Kopf::N,തല,ceann
22,Rücken::N,മുതുക്,droim
23,Bauch::N,നയറ്,bolg
24,Nabel::N,നാഭി,imleacán
25,Busen::N,സ്തനം,cíoch
26,Brust::N,സ്തനം,brollach
27,Schulter::N,തോൾ,gualainn
28,Arm::N,കൈ,lámh
29,Ellenbogen::N,കൈമുട്ട്,uillinn
30,Hand::N,കൈ,lámh
31,Handfläche::N,ഉള്ളം കൈ,bos
32,Finger::N,വിരൽ,méar
33,Fingernagel::N,നഖം,ionga
34,Nagel[Anatomie]::N,നഖം,ionga
35,Zeh::N,കാൽവിരൽ,ladhar
36,Fuß::N,കാൽപ്പാദം,cos
37,Fuß::N,കാൽപ്പാദം,troigh
38,Ferse::N,ഉപ്പൂറ്റി,sáil
39,Knie::N,കാൽമുട്ട്,glúin
40,Oberschenkel::N,തുട,ceathrú
41,Bein::N,കാൽ,cos
42,Körper::N,ശരീരം,corp
43,Körper::N,ശരീരം,colainn
44,Haut::N,ചർമ്മം,cneas
45,Haut::N,ചർമ്മം,craiceann
46,Blut::N,രക്തം,fuil
47,Ader::N,ഞരമ്പ്,
48,Sehne::N,സ്നായു,teannán
49,Sehne::N,സ്നായു,féitheog
50,Knochen::N,അസ്ഥി,cnámh
51,Gehirn::N,തലച്ചോറ്,inchinn
52,Herz::N,ഹൃദയം,croí
53,Magen::N,വയർ,bolg
54,Magen::N,വയർ,goile
55,Leber::N,കരൾ,ae
56,Atem::N,ശ്വാസം,anáil
57,Hunger::N,വിശപ്പ്,ocras
58,Träne::N,കണ്ണീർ,deoir
59,Geschmack::N,രുചി,blas
60,Geruch::N,ഗന്ധം,boladh
61,Schlaf::N,ഉറകും,suan
62,Schlaf::N,ഉറകും,codladh
63,Traum::N,സ്വപ്നം,taibhreamh
64,Himmel::N,ആകാശം,spéir
65,Sonne::N,സൂര്യൻ,grian
66,Mond::N,ചന്ദ്രൻ,ré
67,Mond::N,ചന്ദ്രൻ,gealach
68,Stern::N,നക്ഷത്രം,rinn
69,Stern::N,നക്ഷത്രം,réalta
70,Luft::N,കാറ്റ്,aer
71,Wind::N,കാറ്റ്,gaoth
72,Welle::N,തിരമാല,tonn
73,Wasser::N,വെള്ളം,uisce
74,Stein::N,ശില,cloch
75,Stein::N,കല്ല്,cloch
76,Boden::N,തറ,talamh
77,Boden::N,നിലം,talamh
78,Erde::N,മണ്ണ്,cré
79,Erde::N,മണ്ണ്,ithir
80,Staub::N,പൊടി,dusta
81,Staub::N,പൊടി,deannach
82,Rauch::N,പുക,toit
83,Rauch::N,പുക,deatach
84,Funke::N,തീപ്പൊരി,drithle
85,Feuer::N,തീ,tine
86,Licht::N,വിളക്ക്,solas
87,Licht::N,സൂര്യപ്രകാശം,solas
88,Schatten::N,തണൽ,scáth
89,Wetter::N,കാലാവസ്ഥ,aimsir
90,Nebel::N,മൂടൽമഞ്ഞ്,ceo
91,Wolke::N,മേഘം,néal
92,Wolke::N,മേഘം,scamall
93,Regen::N,മഴ,báisteach
94,Regen::N,മഴ,fearthainn
95,Schnee::N,മഞ്ഞ്,sneachta
