,Concept_ID,eu,kv
0,Auge::N,begi,син
1,Ohr::N,belarri,пель
2,Nase::N,sudur,ныр
3,Mund::N,aho,ӧм
4,Zahn::N,hortz,пинь
5,Zunge::N,mihi,кыв
6,Lippe::N,ezpain,тырп
7,Wange::N,masail,рожабан
8,Gesicht::N,aurpegi,бан
9,Stirn::N,bekoki,кымӧс
10,Haar::N,ile,юрси
11,Haar::N,bilo,юрси
12,Schnurrbart::N,bibote,уссэз
13,Schnurrbart::N,sudurpeko,уссэз
14,Bart::N,bizar,тош
15,Kinn::N,kokots,тшӧка
16,Kiefer[Anatomie]::N,masailezur,ан
17,Kehle::N,eztarri,юан
18,Hals::N,sama,юан
19,Genick::N,garondo,юр бӧр
20,Kopf::N,buru,юр
21,Rücken::N,bizkar,мышк
22,Bauch::N,sabel,кынӧм
23,Nabel::N,zilbor,гӧг
24,Busen::N,titi,морос
25,Busen::N,ugatz,морос
26,Brust::N,bular,морос
27,Schulter::N,besaburu,пельпон
28,Arm::N,beso,ки
29,Ellenbogen::N,ukondo,гырдзза
30,Hand::N,esku,кикар
31,Handfläche::N,ahur,ки пыдӧс
32,Finger::N,hatz,чунь
33,Fingernagel::N,azazkal,гыж
34,Nagel[Anatomie]::N,azazkal,гыж
35,Zeh::N,behatz,чунь
36,Fuß::N,oin,кокпыдӧс
37,Ferse::N,orpo,кокдзир
38,Ferse::N,oinburu,кокдзир
39,Knie::N,belaun,пидзӧс
40,Oberschenkel::N,izter,лядьбей
41,Bein::N,zango,кок
42,Körper::N,soin,вывтыр
43,Haut::N,azal,кучик
44,Blut::N,odol,вир
45,Ader::N,zain,сӧн
46,Sehne::N,gihar-zain,жила
47,Knochen::N,hezur,коска
48,Gehirn::N,garun,вем
49,Gehirn::N,burmuin,вем
50,Herz::N,bihotz,сьӧлӧм
51,Magen::N,urdail,жӧвдӧк
52,Leber::N,gibel,мус
53,Atem::N,hats,лолалӧм
54,Atem::N,arnasa,лолалӧм
55,Hunger::N,gose,тшыг
56,Träne::N,malko,синва
57,Geschmack::N,dasta,кӧр
58,Geruch::N,usain,дук
59,Schlaf::N,lo,он
60,Traum::N,amets,вӧт
61,Himmel::N,zeru,небо
62,Sonne::N,eguzki,шондi
63,Mond::N,ilargi,тӧлiсь
64,Stern::N,izar,кӧдзыв
65,Luft::N,aire,ру
66,Wind::N,haize,тӧв
67,Welle::N,uhin,гы
68,Welle::N,olatu,гы
69,Wasser::N,ur,ва
70,Stein::N,harri,из
71,Boden::N,lur,му
72,Boden::N,zoru,му
73,Erde::N,lur,му
74,Staub::N,hauts,бус
75,Rauch::N,ke,тшын
76,Funke::N,zirta,бичир
77,Funke::N,txinparta,бичир
78,Feuer::N,su,би
79,Licht::N,argi,би
80,Schatten::N,itzal,вуджӧр
