,Concept_ID,sv,bg
0,Auge::N,öga,око
1,Ohr::N,öra,ухо
2,Nase::N,näsa,нос
3,Mund::N,mun,уста
4,Zahn::N,tand,зъб
5,Zunge::N,tunga,език
6,Lippe::N,läpp,устна
7,Wange::N,kind,буза
8,Gesicht::N,syn,лице
9,Gesicht::N,syn,образ
10,Gesicht::N,ansikte,лице
11,Gesicht::N,ansikte,образ
12,Stirn::N,panna,чело
13,Haar::N,hår,коса
14,Haar::N,hår,косъм
15,Schnurrbart::N,mustasch,мустаци
16,Bart::N,skägg,брада
17,Kinn::N,haka,брада
18,Kinn::N,haka,брадичка
19,Kiefer[Anatomie]::N,käke,челюст
20,Kehle::N,strupe,гърло
21,Hals::N,hals,врат
22,Genick::N,nacke,тил
23,Kopf::N,huvud,глава
24,Rücken::N,rygg,гръб
25,Bauch::N,buk,корем
26,Bauch::N,mage,корем
27,Nabel::N,navel,пъп
28,Busen::N,barm,бозка
29,Brust::N,bröst,гръд
30,Schulter::N,skuldra,рамо
31,Schulter::N,skuldra,плещи
32,Arm::N,arm,ръка
33,Ellenbogen::N,armbåge,лакът
34,Hand::N,hand,ръка
35,Hand::N,hand,китка
36,Handfläche::N,handflata,длан
37,Finger::N,finger,пръст
38,Fingernagel::N,fingernagel,нокът
39,Nagel[Anatomie]::N,nagel,нокът
40,Zeh::N,tå,пръст на крак
41,Fuß::N,fot,крак
42,Fuß::N,fot,нога
43,Ferse::N,häl,пета
44,Knie::N,knä,коляно
45,Oberschenkel::N,lår,бедро
46,Bein::N,ben,крак
47,Bein::N,ben,нога
48,Körper::N,kropp,тяло
49,Haut::N,hud,кожа
50,Haut::N,skinn,кожа
51,Blut::N,blod,кръв
52,Ader::N,åder,вена
53,Ader::N,åder,артерия
54,Sehne::N,sena,жила
55,Sehne::N,sena,сухожилие
56,Knochen::N,ben,кост
57,Gehirn::N,hjärna,мозък
58,Herz::N,hjärta,сърце
59,Magen::N,mage,стомах
60,Leber::N,lever,черен дроб
61,Atem::N,anda,дишане
62,Atem::N,andedräkt,дишане
63,Hunger::N,svält,глад
64,Hunger::N,hunger,глад
65,Träne::N,tår,сълза
66,Geschmack::N,smak,вкус
67,Geruch::N,lukt,миризма
68,Schlaf::N,sömn,сън
69,Traum::N,dröm,сън
70,Himmel::N,himmel,небе
71,Sonne::N,sol,слънце
72,Mond::N,måne,луна
73,Mond::N,måne,месец
74,Stern::N,stjärna,звезда
75,Luft::N,luft,въздух
76,Wind::N,vind,вятър
77,Welle::N,våg,вълна
78,Welle::N,bölja,вълна
79,Wasser::N,vatten,вода
80,Stein::N,sten,камък
81,Boden::N,mark,земя
82,Boden::N,mark,почва
83,Erde::N,jord,земя
84,Erde::N,jord,почва
85,Staub::N,damm,прах
86,Rauch::N,rök,дим
87,Rauch::N,rök,пушек
88,Funke::N,gnista,искра
89,Feuer::N,eld,огън
90,Licht::N,ljus,светлина
91,Schatten::N,skugga,сянка
92,Wetter::N,väder,време
93,Nebel::N,dimma,мъгла
94,Nebel::N,töcken,мъгла
95,Wolke::N,sky,облак
96,Wolke::N,moln,облак
97,Regen::N,regn,дъжд
98,Schnee::N,snö,сняг
99,Eis::N,is,лед
100,Frost::N,frost,мраз
101,Kälte::N,köld,студ
102,Hitze::N,hetta,жега
103,Hitze::N,hetta,горещина
104,Raureif::N,rimfrost,скреж
105,Raureif::N,rimfrost,слана
106,Regenbogen::N,regnbåge,дъга
107,Donner::N,åska,гръм
108,Donner::N,dunder,гръм
109,Strömung::N,strömning,течение
110,Tropfen::N,dropper,капка
111,Schaum::N,skum,пяна
112,Schmutz::N,lort,кал
113,Schmutz::N,lort,мръсотия
114,Schmutz::N,smuts,кал
115,Schmutz::N,smuts,мръсотия
116,See::N,sjö,езеро
117,Sumpf::N,träsk,блато
118,Moor::N,myr,мочурище
119,Moor::N,mosse,мочурище
120,Wiese::N,äng,ливада
121,Wald::N,skog,гора
122,Hügel::N,höjd,рид
123,Hügel::N,höjd,хълм
124,Hügel::N,kulle,рид
125,Hügel::N,kulle,хълм
126,Anhöhe::N,höjd,могила
127,Anhöhe::N,höjd,възвишение
128,Anhöhe::N,backe,могила
129,Anhöhe::N,backe,възвишение
130,Berg::N,berg,планина
131,Berg::N,fjäll,планина
132,Gipfel::N,topp,връх
133,Höhle::N,håla,пещера
134,Höhle::N,grotta,пещера
135,Abhang::N,slänt,склон
136,Abhang::N,slänt,стръмнина
137,Abhang::N,sluttning,склон
138,Abhang::N,sluttning,стръмнина
139,Quelle::N,källa,извор
140,Bach::N,bäck,поток
141,Fluss::N,älv,река
142,Fluss::N,flod,река
143,Ufer::N,strand,бряг
144,Küste::N,kust,бряг
145,Küste::N,kust,крайбрежие
146,Festland::N,fastland,суша
147,Meer::N,hav,море
148,Bucht::N,vik,залив
149,Bucht::N,bukt,залив
150,Insel::N,ö,остров
151,Blume::N,blomma,цвете
152,Blume::N,blomster,цвете
153,Gras::N,gräs,трева
154,Wurzel::N,rot,корен
155,Baum::N,träd,дърво
156,Stamm::N,stam,стъбло
157,Rinde::N,bark,кора
158,Ast::N,gren,клон
159,Zweig::N,kvist,клон
160,Blatt::N,löv,лист
161,Blatt::N,blad,лист
162,Birke::N,björk,бреза
163,Kiefer[Baum]::N,tall,бор
164,Weide[Baum]::N,pil,върба
165,Weide[Baum]::N,vide,върба
166,Tanne::N,gran,ела
167,Horn::N,horn,рог
168,Feder::N,fjäder,перо
169,Fell::N,fäll,кожа
170,Fell::N,skinn,кожа
171,Flügel::N,vinge,крило
172,Klaue::N,klöv,нокът
173,Kralle::N,klo,нокът
174,Schwanz::N,svans,опашка
175,Schwanz::N,stjärt,опашка
176,Ei::N,ägg,яйце
177,Nest::N,rede,гнездо
178,Nest::N,näste,гнездо
179,Bau::N,bo,дупка
180,Tier::N,djur,животно
181,Herde::N,flock,стадо
182,Kuh::N,ko,крава
183,Bulle::N,tjur,бик
184,Pferd::N,häst,кон
185,Schaf::N,får,овца
186,Schwein::N,svin,свиня
187,Hund::N,hund,куче
188,Katze::N,katt,котка
189,Bär::N,björn,мечка
190,Eichhörnchen::N,ekorre,катерица
191,Elch::N,älg,лос
192,Fuchs::N,räv,лисица
193,Hase::N,hare,заек
194,Maus::N,mus,мишка
195,Wolf::N,varg,вълк
196,Vogel::N,fågel,птица
197,Schwarm::N,svärm,рой
198,Schwarm::N,svärm,рояк
199,Huhn::N,höns,кокошка
200,Hahn::N,tupp,петел
201,Gans::N,gås,гъска
202,Adler::N,örn,орел
203,Ente::N,anka,патица
204,Eule::N,uggla,сова
205,Kranich::N,trana,жерав
206,Krähe::N,kråka,врана
207,Kuckuck::N,gök,кукувица
208,Schwan::N,svan,лебед
209,Fisch::N,fisk,риба
210,Barsch::N,abborre,костур
211,Hecht::N,gädda,щука
212,Schlange[Tier]::N,orm,змия
213,Wurm::N,mask,червей
214,Spinne::N,spindel,паяк
215,Ameise::N,myra,мравка
216,Laus::N,lus,въшка
217,Mücke::N,mygga,комар
218,Fliege::N,fluga,муха
