,Concept_ID,ca,myv
0,Auge::N,ull,сельме
1,Ohr::N,orella,пиле
2,Nase::N,nas,судо
3,Mund::N,boca,курго
4,Zahn::N,dent,пей
5,Zunge::N,llēngua,кель
6,Lippe::N,llavi,турва
7,Wange::N,galta,чамабока
8,Wange::N,galta,чамаумарь
9,Gesicht::N,cara,чама
10,Stirn::N,front,коня
11,Haar::N,cabēll,черь
12,Schnurrbart::N,bigoti,ус
13,Schnurrbart::N,bigoti,муюк
14,Bart::N,barba,сакал
15,Kinn::N,mentó,уло
16,Kinn::N,barbeta,уло
17,Kiefer[Anatomie]::N,queix,пейпакар
18,Kiefer[Anatomie]::N,queix,пейловажа
19,Kiefer[Anatomie]::N,mandíbula,пейпакар
20,Kiefer[Anatomie]::N,mandíbula,пейловажа
21,Kehle::N,gola,кирьгапарь
22,Kehle::N,gorja,кирьгапарь
23,Hals::N,coll,кирьга
24,Genick::N,nuca,човонь
25,Kopf::N,cap,пря
26,Rücken::N,esquena,копорь
27,Bauch::N,panxa,пеке
28,Nabel::N,llombrígol,почо
29,Busen::N,pit,поте
30,Busen::N,mama,поте
31,Brust::N,pit,меште
32,Schulter::N,espatlla,лавтов
33,Arm::N,braç,кедь
34,Ellenbogen::N,colze,кенерепакарь
35,Hand::N,mà,кедь
36,Handfläche::N,palma,кедькуншка
37,Handfläche::N,palma,кедьлапушка
38,Finger::N,dit,сур
39,Fingernagel::N,ungla,кенже
40,Nagel[Anatomie]::N,ungla,кенже
41,Zeh::N,dit del peu,пильге сур
42,Fuß::N,peu,пильге
43,Ferse::N,taló,кочкаря
44,Knie::N,genoll,эле
45,Knie::N,genoll,эзне
46,Knie::N,genoll,кумажа
47,Oberschenkel::N,cuixa,качо
48,Bein::N,cama,пильге
49,Körper::N,cos,рунго
50,Haut::N,pell,киське
51,Blut::N,sang,верь
52,Ader::N,vena,сан
53,Sehne::N,tendó,коське сан
54,Knochen::N,os,пакарь
55,Gehirn::N,cervell,удем
56,Herz::N,cor,седей
57,Magen::N,estómac,пеке
58,Leber::N,fetge,максо
59,Atem::N,alè,лексема
60,Atem::N,alè,оймень таргсема
61,Atem::N,hàlit,лексема
62,Atem::N,hàlit,оймень таргсема
63,Hunger::N,fam,вачочи
64,Hunger::N,gana,вачочи
65,Träne::N,llàgrima,селведь
66,Geschmack::N,gust,тансть
67,Geschmack::N,sabor,тансть
68,Geruch::N,olor,чине
69,Schlaf::N,son,удома
70,Traum::N,somni,он
71,Himmel::N,celm,менель
72,Sonne::N,sol,чи
73,Mond::N,lluna,ков
74,Stern::N,estel,теште
75,Stern::N,estrella,теште
76,Luft::N,aire,кошт
77,Wind::N,vent,варма
78,Welle::N,ona,толкун
79,Wasser::N,āigua,ведь
80,Stein::N,pedra,кев
81,Boden::N,sòl,мода
82,Erde::N,terra,мастор
83,Staub::N,pols,пуль
84,Rauch::N,fum,качамо
85,Funke::N,guspira,сятко
86,Funke::N,centella,сятко
87,Feuer::N,foc,тол
88,Licht::N,llum,валдо
89,Schatten::N,ombra,сулей
90,Schatten::N,ombra,сулейкс
91,Wetter::N,temps,ушо
92,Nebel::N,boira,сув
93,Wolke::N,núvol,пель
94,Regen::N,pluja,пиземс
95,Schnee::N,neu,лов
96,Eis::N,gel,эй
97,Eis::N,glaç,эй
98,Frost::N,glaçada,кельме
99,Kälte::N,fred,якшамо
100,Hitze::N,calor,пси
101,Raureif::N,gebre,лекш
102,Regenbogen::N,arc iris,пурьгинечирьке
103,Regenbogen::N,arc iris,пурьгинеёнкс
104,Donner::N,tro,пурьгине
105,Strömung::N,corrent,чудема
106,Strömung::N,corrent,чудевкс
107,Tropfen::N,gota,петнявкс
108,Schaum::N,escuma,чов
109,Schmutz::N,brutícia,рудаз
110,See::N,llac,эрьке
111,Sumpf::N,pantà,чей
112,Moor::N,pantà,чей
113,Wiese::N,prat,луга
114,Wiese::N,prada,луга
115,Wald::N,bosc,вирь
116,Hügel::N,puig,губорь
117,Hügel::N,puig,пандыне
118,Hügel::N,pujol,губорь
119,Hügel::N,pujol,пандыне
120,Anhöhe::N,turó,губорь
121,Anhöhe::N,turó,пандыне
122,Berg::N,muntanya,пандо
123,Gipfel::N,cim,пря
124,Höhle::N,cova,пещера
125,Abhang::N,coster,пандочама
126,Quelle::N,font,ушодкс
127,Bach::N,riera,чудикерькс
128,Fluss::N,riu,лей
129,Ufer::N,riba,чире
130,Küste::N,costa,лейчире
131,Festland::N,terra ferma,мода
132,Meer::N,mar,моря
133,Bucht::N,cala,усия
134,Bucht::N,badia,усия
135,Insel::N,illa,усия
136,Blume::N,flor,цеця
137,Gras::N,herba,тикше
138,Wurzel::N,rel,юр
139,Wurzel::N,rel,ундокс
140,Wurzel::N,arrel,юр
141,Wurzel::N,arrel,ундокс
142,Baum::N,arbre,чувто
143,Stamm::N,tronc,рунго
144,Rinde::N,escorça,суд
145,Rinde::N,escorça,керь
146,Ast::N,branca,морго
147,Zweig::N,ram,тарад
148,Blatt::N,fulla,лопа
149,Birke::N,bedoll,килей
150,Kiefer[Baum]::N,pi,пиче
151,Weide[Baum]::N,salze,каль
152,Tanne::N,avet,куз
153,Horn::N,corn,сюро
154,Horn::N,banya,сюро
155,Feder::N,ploma,толга
156,Fell::N,pell,пона
157,Flügel::N,ala,сёлмо
158,Klaue::N,urpa,кенже
159,Kralle::N,grapa,кенже
160,Schwanz::N,cua,пуло
161,Ei::N,ou,ал
162,Nest::N,niu,пизэ
163,Bau::N,cau,варя
164,Bau::N,cau,пизе
165,Tier::N,animāl,ракша
166,Herde::N,ramat,стада
167,Kuh::N,vaca,скал
168,Bulle::N,toro,бука
169,Pferd::N,cavāll,лишме
170,Schaf::N,be,реве
171,Schaf::N,ovella,реве
172,Schwein::N,bacó,туво
173,Hund::N,ca,пине
174,Hund::N,ca,киска
175,Hund::N,gos,пине
176,Hund::N,gos,киска
177,Katze::N,gat,псака
178,Bär::N,ós,овто
179,Eichhörnchen::N,esquirol,ур
180,Elch::N,ant,сярдо
181,Fuchs::N,guilla,ривезь
182,Hase::N,llebre,нумоло
183,Maus::N,ratolí,чеерь
184,Wolf::N,llop,верьгиз
185,Vogel::N,au,нармунь
186,Vogel::N,ocēll,нармунь
187,Schwarm::N,bandada,полк
188,Schwarm::N,bandada,стада
189,Huhn::N,gallina,сараз
190,Hahn::N,gall,атякш
191,Gans::N,oca,гала
192,Gans::N,oca,мацей
193,Adler::N,àguila,куцькан
194,Adler::N,àguila,тумоатякш
195,Ente::N,ànec,яксярго
196,Eule::N,òliba,корж
197,Eule::N,mussol,корж
198,Kranich::N,grua,карго
199,Krähe::N,cornella,варака
200,Kuckuck::N,cucut,куко
201,Schwan::N,cigne,локсей
202,Fisch::N,peix,кал
203,Barsch::N,perca,окунь
204,Hecht::N,lluç,щука
205,Schlange[Tier]::N,serp,гуй
206,Wurm::N,cuc,сукс
207,Spinne::N,aranya,шанжав
208,Ameise::N,formiga,коткудав
209,Laus::N,poll,сий
210,Mücke::N,mosquit,сеське
211,Fliege::N,mosca,карво
212,Schmetterling::N,papallona,нимиляв
213,Beere::N,baia,умарь
214,Apfel::N,poma,умарь
215,Pilz::N,bolet,панго
216,Zwiebel::N,ceba,чурька
217,Saat::N,sembra,видьметь
218,Korn::N,gra,сюро
219,Heu::N,fenc,тикше
220,Schale::N,closca,кедь
221,Schale::N,closca,ваткавкс
222,Grube::N,sot,латко
223,Grube::N,clot,латко
224,Falle::N,trampa,тувор
225,Falle::N,trampa,кундамка
226,Schlinge::N,baga,килькш
227,Spur::N,traça,челькс
228,Spur::N,traça,пильгеки
229,Asche::N,cendra,кулов
230,Dreck::N,llot,рудаз
231,Eisen::N,ferro,кшни
232,Gold::N,or,сырне
233,Silber::N,plata,сия
234,Kohle::N,carbó,сэдь
235,Kohle::N,carbó,уголия
236,Glas::N,vidre,сулика
237,Lehm::N,fang,сёвонь
238,Lehm::N,argila,сёвонь
239,Sand::N,arena,човар
240,Mensch::N,humà,ломань
241,Mensch::N,persona,ломань
242,Mann::N,home,аля
243,Mann::N,home,цёраломань
244,Frau::N,dona,ава
245,Kind::N,nen,эйкакш
246,Junge::N,noi,цёрыне
247,Mädchen::N,noia,тейтерне
248,Familie::N,família,семия
249,Großvater::N,avi,покштя
250,Großmutter::N,àvia,баба
251,Eltern::N,pares,тетят-ават
252,Vater::N,pare,тетя
253,Mutter::N,mare,ава
254,Sohn::N,fill,цёра
255,Tochter::N,filla,тейтерь
256,Bruder::N,germà,леля
257,Bruder::N,germà,ялакс
258,Schwester::N,germana,сазор
259,Onkel::N,oncle,леля
260,Tante::N,tia,патя
261,Ehemann::N,espòs,мирде
262,Ehefrau::N,muller,ни
263,Freude::N,goig,кеняркс
264,Freude::N,alegria,кеняркс
265,Gelächter::N,riallada,ракамо
266,Gelächter::N,riallada,пейдема
267,Glück::N,felicitat,уцяска
268,Kummer::N,pena,рискс
269,Kummer::N,pena,мелявкс
270,Wunsch::N,desig,мель
271,Wunsch::N,desig,бажамо
272,Lust::N,ganes,бажамо
273,Geist::N,ment,ойме
274,Geist::N,esperit,ойме
275,Gedanke::N,pensament,мель
276,Gedächtnis::N,memòria,мель
277,Verstand::N,raó,прев
278,Verstand::N,seny,прев
279,Sinn::N,solta,толк
280,Sinn::N,solta,смысла
281,Sinn::N,sentit,толк
282,Sinn::N,sentit,смысла
283,Grund::N,raó,тувтал
284,Grund::N,causa,тувтал
285,Wahrheit::N,veritāt,видечи
286,Gespräch::N,conversa,кортнема
287,Märchen::N,conte,ёвкс
288,Erzählung::N,narració,ёвтнема
289,Nachricht::N,missatge,куля
290,Neuigkeit::N,novetat,куля
291,Name::N,nom,лем
292,Rätsel::N,endevinalla,содамоёвкс
293,Rede::N,discurs,кортамо
294,Sprache::N,llēngua,кель
295,Stimme::N,veu,ваигель
296,Wort::N,mot,вал
297,Wort::N,paraula,вал
298,Zeichen::N,signe,теште
299,Zeichen::N,senyal,теште
300,Ruf::N,crida,тердема
301,Lärm::N,sorōll,шалнома
302,Laut::N,so,вайгель
303,Ton::N,to,гайнема
304,Lied::N,cançó,моро
305,Ruhe::N,calma,оймамо
306,Ruhe::N,silenci,оймамо
307,Leute::N,gent,ломанть
308,Volk::N,poble,народ
309,Arbeit::N,labor,тев
310,Arbeit::N,treball,тев
311,Gast::N,hoste,инже
312,Geschenk::N,regal,казне
313,Geschenk::N,obsequi,казне
314,Spiel::N,joc,налксема
315,Gesellschaft::N,companyia,община
316,Hilfe::N,ajut,лездамо
317,Freund::N,amīc,оя
318,Freund::N,amīc,ялга
319,Kamerad::N,company,оя
320,Kamerad::N,company,ялга
321,Kamerad::N,camarada,оя
322,Kamerad::N,camarada,ялга
323,Angelegenheit::N,afer,тев
324,Angelegenheit::N,assumpte,тев
325,Anzahl::N,nombre,ламоксчи
326,Anzahl::N,quantitat,ламоксчи
327,Art::N,tipus,вид
328,Art::N,classe,вид
329,Stück::N,peça,пакш
330,Stück::N,peça,пелькс
331,Teil::N,part,часть
332,Teil::N,part,пелькс
333,Hälfte::N,meitat,пель
334,Hälfte::N,meitat,пелькс
335,Kreis::N,cercle,кирькс
336,Kreuz::N,creu,крёст
337,Linie::N,línia,кикс
338,Strich::N,traç,межа
339,Strich::N,ratlla,межа
340,Abstand::N,distància,ютко
341,Entfernung::N,distància,ютко
342,Gegend::N,regió,тарка
343,Gegend::N,regió,пертьпелькс
344,Gegend::N,contrada,тарка
345,Gegend::N,contrada,пертьпелькс
346,Platz::N,cabuda,васолкс
347,Ort::N,lloc,тарка
348,Seite::N,banda,ён
349,Seite::N,banda,чире
350,Seite::N,costāt,ён
351,Seite::N,costāt,чире
352,Mitte::N,mig,куншка
353,Mitte::N,centre,куншка
354,Gegenstand::N,objecte,предмет
355,Sache::N,cosa,тев
356,Sache::N,cosa,веща
357,Rand::N,vora,пе
358,Rand::N,vora,чире
359,Rand::N,marge,пе
360,Rand::N,marge,чире
361,Kante::N,caire,ирдез
362,Kante::N,cantell,ирдез
363,Ecke::N,cantonada,ужо
364,Spitze::N,punta,пряне
