,Concept_ID,he,ba
0,Auge::N,עין,күҙ
1,Ohr::N,אזן,ҡолаҡ
2,Nase::N,אף,танау
3,Nase::N,חטם,танау
4,Mund::N,פה,ауыҙ
5,Zahn::N,שן,теш
6,Zunge::N,לשון,тел
7,Lippe::N,שפה,ирен
8,Wange::N,לחי,яцаҡтар
9,Gesicht::N,פנים,бит
10,Stirn::N,מצח,маңлай
11,Haar::N,שערה,сәс
12,Schnurrbart::N,שפם,мылтыҡ
13,Bart::N,זקן,һаҡал
14,Kinn::N,סנטר,эйэк
15,Kiefer[Anatomie]::N,לסת,яңаҡ һөйәге
16,Kehle::N,גרון,тамаҡ
17,Hals::N,צואר,муйын
18,Genick::N,ערף,соңҡа
19,Kopf::N,ראש,баш
20,Rücken::N,גב,арҡа
21,Bauch::N,בטן,ҡорһаҡ
22,Nabel::N,טבור,кендек
23,Busen::N,שד,күкрәк
24,Brust::N,חזה,түш
25,Schulter::N,כתף,яурын
26,Arm::N,זרוע,ҡул
27,Ellenbogen::N,מרפק,терһәк
28,Hand::N,יד,ҡул
29,Hand::N,יד,ҡул суғы
30,Handfläche::N,כף יד,ус төбө
31,Finger::N,אצבע,бармаҡ
32,Fingernagel::N,צפרן,тырнаҡ
33,Nagel[Anatomie]::N,צפרן,тырнаҡ
34,Zeh::N,אצבע,бармаҡ
35,Fuß::N,רגל,табан
36,Ferse::N,עקב,үксә
37,Knie::N,ברך,тубыҡ
38,Oberschenkel::N,ירך,сандыр
39,Bein::N,רגל,аяҡ
40,Körper::N,גוף,тән
41,Haut::N,עור,тире
42,Blut::N,דם,ҡан
43,Ader::N,וריד,тамыр
44,Sehne::N,גיד,һеңер
45,Sehne::N,גיד,тарамыш
46,Knochen::N,עצם,һойәк
47,Gehirn::N,מוח,мейе
48,Herz::N,לב,йорәк
49,Magen::N,קבה,ашҡаҙан
50,Leber::N,כבד,бауыр
51,Atem::N,נשימה,һулыш
52,Hunger::N,רעב,аслыҡ
53,Träne::N,דמעה,күҙ иәше
54,Geschmack::N,טעם,тәм
55,Geruch::N,ריח,еҫ
56,Schlaf::N,שנה,йоҡлау
57,Traum::N,חלום,төш
58,Himmel::N,שמים,күк
59,Sonne::N,שמש,ҡояш
60,Mond::N,ירח,ай
61,Stern::N,כוכב,йондоҙ
62,Luft::N,אויר,һауа
63,Wind::N,רוח,ел
64,Welle::N,גל,тулҡын
65,Wasser::N,מים,һыу
66,Stein::N,אבן,таш
67,Boden::N,קרקע,тупраҡ
68,Erde::N,אדמה,балсҡ
69,Staub::N,אבק,туҙан
70,Rauch::N,עשן,төтөн
71,Funke::N,ניצוץ,осҡон
72,Feuer::N,אש,ут
73,Licht::N,אור,яҡтылыҡ
74,Schatten::N,צל,күләгә
