,Concept_ID,ja,cv
0,Auge::N,目,куҫ
1,Ohr::N,耳,хӑлха
2,Nase::N,鼻,сӑмса
3,Mund::N,口,ҫӑвар
4,Zahn::N,歯,шӑл
5,Zunge::N,舌,чӗлхе
6,Lippe::N,唇,тута
7,Wange::N,頬,пит ҫӑмарти
8,Gesicht::N,顔,пит
9,Gesicht::N,顔,пит-куҫ
10,Stirn::N,額,ҫамка
11,Haar::N,髪,ҫӳҫ
12,Schnurrbart::N,口髭,усси
13,Bart::N,髭,сухал
14,Kinn::N,顎,янах
15,Kiefer[Anatomie]::N,顎,янах
16,Kehle::N,喉,пыр
17,Kehle::N,喉,карланкӑ
18,Hals::N,首,пыр
19,Genick::N,首,ӗнсе
20,Kopf::N,頭,пуҫ
21,Rücken::N,背中,ҫурӑм
22,Bauch::N,腹,
23,Bauch::N,お腹,
24,Nabel::N,へそ,кӑвапа
25,Busen::N,乳房,кӑкӑр
26,Brust::N,胸,умӗ
27,Schulter::N,肩,хул пуҫҫи
28,Arm::N,腕,алӑ
29,Ellenbogen::N,肘,чавса
30,Hand::N,手,алӑ сыппи
31,Handfläche::N,手のひら,ал лаппи
32,Finger::N,指,пӳрне
33,Fingernagel::N,爪,чӗрне
34,Nagel[Anatomie]::N,爪,чӗрне
35,Zeh::N,足の指,пӳрне
36,Fuß::N,足,ура лаппи
37,Ferse::N,かかと,кӗле
38,Knie::N,膝,чӗркуҫҫи
39,Oberschenkel::N,上腿,пӗҫӗ
40,Bein::N,足,ура
41,Körper::N,体,ӳт
42,Körper::N,体,ӳт-пӳ
43,Haut::N,皮膚,тир
44,Blut::N,血,юн
45,Ader::N,血管,вена
46,Sehne::N,腱,шӑнӑр
47,Knochen::N,骨,шӑмӑ
48,Gehirn::N,脳,миме
49,Herz::N,心,чӗре
50,Herz::N,心臓,чӗре
51,Magen::N,胃,хырӑмлӑх
52,Leber::N,肝臓,пӗвер
53,Atem::N,息,сывлав
54,Atem::N,呼吸,сывлав
55,Hunger::N,空腹,выҫлӑх
56,Träne::N,涙,куҫҫуль
57,Geschmack::N,味,техӗм
58,Geruch::N,匂い,шӑршӑ
59,Schlaf::N,睡眠,ыйхӑ
60,Traum::N,夢,тӗлӗк
61,Himmel::N,空,пӗлӗт
62,Sonne::N,太陽,хӗвел
63,Mond::N,月,уйӑх
64,Stern::N,星,ҫӑлтӑр
65,Luft::N,空気,сывлӑш
66,Wind::N,風,ҫил
67,Welle::N,波,хум
68,Wasser::N,水,шыв
69,Wasser::N,水,шыв-шур
70,Stein::N,石,чул
71,Boden::N,土地,тӑпра
72,Erde::N,土,ҫӗр
73,Staub::N,埃,тусан
74,Rauch::N,煙,тӗтӗм
75,Funke::N,火花,хӗм
76,Feuer::N,火,вут
77,Feuer::N,火,ҫулӑм
78,Licht::N,光,ҫутӑ
79,Schatten::N,陰,сулхӑн
80,Wetter::N,天気,ҫанталӑк
81,Nebel::N,霧,тӗтре
82,Wolke::N,雲,пӗлӗт
83,Regen::N,雨,ҫумӑр
84,Schnee::N,雪,юр
85,Eis::N,氷,пӑр
86,Frost::N,霜,сивӗ
87,Kälte::N,寒さ,сивӗ
88,Hitze::N,暑さ,вӗри
89,Hitze::N,暑さ,шӑрӑх
90,Raureif::N,霧氷,пас
91,Regenbogen::N,虹,асамат кӗперӗ
92,Donner::N,雷,аслати
93,Strömung::N,流れ,юхӑ
94,Tropfen::N,滴,тумлам
95,Schaum::N,泡,кӑпӑк
96,Schmutz::N,汚れ,пылчӑк
97,See::N,湖,кӳлӗ
98,Sumpf::N,沼,шур
99,Sumpf::N,沼,шурлӑх
100,Moor::N,湿原,торфлӑ шурлӑх
101,Wiese::N,草原,улӑх
102,Wiese::N,草原,ҫаран
103,Wald::N,森,вӑрман
104,Hügel::N,丘,сӑрт
105,Hügel::N,丘,тӗмеске
106,Anhöhe::N,高み,сӑрт
107,Berg::N,山,ту
108,Gipfel::N,頂上,тӳпе
109,Höhle::N,洞窟,ҫӗр хӑвӑлӗ
110,Abhang::N,斜面,тӑвайкки
111,Quelle::N,泉,ҫӑл куҫ
112,Bach::N,小川,пӗчӗк шыв
113,Fluss::N,川,юхан шыв
114,Ufer::N,岸,ҫыран
115,Küste::N,海岸,тинӗс ҫыранӗ
116,Festland::N,陸,тип ҫӗр
117,Meer::N,海,тинӗс
118,Bucht::N,湾,тинӗс кукӑрӗ
119,Insel::N,島,утрав
120,Blume::N,花,чечек
121,Gras::N,草,курӑк
122,Wurzel::N,根,тымар
123,Baum::N,木,йывӑҫ
124,Stamm::N,幹,вулӑ
125,Rinde::N,皮層,хуйӑр
126,Ast::N,枝,турат
127,Zweig::N,小枝,турат
128,Blatt::N,葉,ҫулҫӑ
129,Birke::N,樺,хурӑн
130,Kiefer[Baum]::N,松,хыр
131,Weide[Baum]::N,柳,хӑва
132,Tanne::N,樅,чӑрӑш
133,Horn::N,角,мӑйрака
134,Feder::N,羽根,тӗк
135,Fell::N,毛皮,ҫӑм
136,Flügel::N,羽,ҫунат
137,Klaue::N,鉤爪,чӗрне
138,Kralle::N,爪,ура
139,Schwanz::N,尻尾,хӳре
140,Ei::N,卵,ҫӑмарта
141,Nest::N,巣,йӑва
142,Bau::N,穴,йӗнӗ
143,Tier::N,動物,выльӑх
144,Herde::N,群れ,кӗтӳ
145,Kuh::N,牛,ӗне
146,Bulle::N,雄牛,вӑкӑр
147,Pferd::N,馬,лаша
148,Schaf::N,羊,сурӑх
149,Schwein::N,豚,сысна
150,Hund::N,犬,йытӑ
151,Katze::N,猫,кушак
152,Bär::N,熊,упа
153,Eichhörnchen::N,栗鼠,пакша
154,Elch::N,ヘラジカ,пӑши
155,Fuchs::N,狐,тилӗ
156,Hase::N,兎,куян
157,Hase::N,兎,мулкач
158,Maus::N,鼠,шӑши
159,Wolf::N,狼,кашкӑр
160,Vogel::N,鳥,кайӑк
161,Vogel::N,鳥,вӗҫен кайӑк
162,Schwarm::N,群れ,ушкӑн
163,Huhn::N,鶏,чӑх
164,Huhn::N,鶏,чӑхӑ
165,Hahn::N,雄鶏,автан
166,Gans::N,ガチョウ,хур
167,Adler::N,鷲,ӑмӑрт кайӑк
168,Ente::N,鴨,кӑвакал
169,Eule::N,フクロウ,тӑмана
170,Kranich::N,鶴,тӑрна
171,Krähe::N,烏,ула курак
172,Kuckuck::N,郭公,куккук
173,Schwan::N,白鳥,акӑш
174,Fisch::N,魚,пулӑ
175,Barsch::N,鱸,уланкӑ
176,Hecht::N,川魳,ҫӑрттан
177,Schlange[Tier]::N,蛇,ҫӗлен
178,Wurm::N,虫,ӑман
179,Spinne::N,蜘蛛,эрешмен
180,Ameise::N,蟻,кӑткӑ
181,Laus::N,虱,пыйтӑ
182,Mücke::N,蚊,вӑрӑм туна
183,Fliege::N,蝿,шӑна
184,Schmetterling::N,蝶,лӗпӗш
185,Beere::N,漿果,ҫырла
186,Apfel::N,林檎,улма
187,Apfel::N,林檎,пан улми
188,Pilz::N,茸,кӑмпа
189,Zwiebel::N,玉葱,сухан
190,Saat::N,種,вӑрӑ
191,Korn::N,粒,тӗшӗ
