,Concept_ID,hr,os
0,Auge::N,oko,цӕст
1,Ohr::N,uho,хъус
2,Nase::N,nos,фындз
3,Mund::N,usta,дзых
4,Zahn::N,zub,дӕндаг
5,Zunge::N,jezik,ӕвзаг
6,Lippe::N,usna,был
7,Wange::N,obraz,рус
8,Wange::N,obraz,уадул
9,Wange::N,obraz,ӕхсӕрфарс
10,Gesicht::N,lice,цӕсгом
11,Stirn::N,čelo,ных
12,Haar::N,kosa,хил
13,Schnurrbart::N,brkovi,рихи
14,Bart::N,brada,зачъе
15,Kinn::N,brada,роцъо
16,Kinn::N,podbradak,роцъо
17,Kiefer[Anatomie]::N,čeljust,ӕфсӕр
18,Kehle::N,grlo,хъуыр
19,Hals::N,vrat,къубал
20,Genick::N,zatiljak,къӕбут
21,Kopf::N,glava,сӕр
22,Rücken::N,leđa,фӕсонтӕ
23,Rücken::N,hrbat,фӕсонтӕ
24,Bauch::N,trbuh,гуыбын
25,Nabel::N,pupak,бикъ
26,Busen::N,sisa,дзидзи
27,Busen::N,njedra,дзидзи
28,Brust::N,prsa,риу
29,Schulter::N,rame,уӕхск
30,Schulter::N,pleći,уӕхск
31,Arm::N,ruka,цонг
32,Ellenbogen::N,lakat,рæмбын
33,Hand::N,ruka,къух
34,Handfläche::N,dlan,армытъӕпӕн
35,Finger::N,prst,ӕнруылдз
36,Fingernagel::N,nokat,ных
37,Nagel[Anatomie]::N,nokat,ных
38,Zeh::N,nozni prst,къух
39,Fuß::N,noga,фад
40,Fuß::N,stopalo,фад
41,Ferse::N,peta,зӕвӕт
42,Knie::N,koljeno,уӕраг
43,Oberschenkel::N,bedro,агъд
44,Bein::N,noga,зӕнг
45,Körper::N,tijelo,буар
46,Haut::N,put,царм
47,Haut::N,koža,царм
48,Blut::N,krv,туг
49,Ader::N,žila,дадзин
50,Ader::N,žila,тугдадзин
51,Sehne::N,tetiva,хъиутæ
52,Sehne::N,tetiva,нуар
53,Knochen::N,kost,стӕг
54,Herz::N,srce,зӕрдӕ
55,Magen::N,stomak,ахсӕн
56,Magen::N,želudac,ахсӕн
57,Leber::N,jetra,игæр
58,Atem::N,dah,улӕфт
59,Hunger::N,glad,стонг
60,Träne::N,suza,цæссыг
61,Geschmack::N,ukus,ад
62,Geruch::N,njuh,смаг
63,Geruch::N,miris,смаг
64,Schlaf::N,san,хуыссӕг
65,Traum::N,san,фын
66,Himmel::N,nebo,арв
67,Himmel::N,nebo,уӕларв
68,Sonne::N,sunce,хур
69,Mond::N,mjesec,мӕй
70,Stern::N,zvijezda,стъалы
71,Luft::N,zrak,уӕлдӕф
72,Wind::N,vjetar,дымгӕ
73,Welle::N,val,уылӕн
74,Welle::N,talas,уылӕн
75,Wasser::N,voda,дон
76,Stein::N,kamen,дур
77,Boden::N,tlo,зӕхх
78,Boden::N,zemlja,зӕхх
79,Erde::N,zemlja,сыджыт
80,Staub::N,prah,рыг
81,Staub::N,prašina,рыг
82,Rauch::N,dim,фӕздӕг
83,Funke::N,iskra,цӕхӕр
84,Funke::N,varnica,цӕхӕр
85,Feuer::N,vatra,зынг
86,Licht::N,svjetlo,рухс
87,Schatten::N,hlad,аууон
88,Schatten::N,sjena,аууон
89,Wetter::N,vrijeme,боныхъӕд
90,Nebel::N,magla,мигъ
91,Wolke::N,oblak,ӕврагъ
92,Regen::N,kiša,уарын
93,Schnee::N,snijeg,мит
94,Eis::N,led,их
95,Frost::N,mraz,ихæн
96,Kälte::N,studen,уазал
97,Kälte::N,hladnoća,уазал
98,Hitze::N,vrućina,ӕнтӕф
99,Raureif::N,inje,халас
100,Regenbogen::N,duga,арвырон
101,Regenbogen::N,duga,арвырдын
102,Donner::N,grom,æрвнæрын
103,Donner::N,grmljavina,æрвнæрын
104,Strömung::N,struja,цыд
105,Strömung::N,strujanje,цыд
106,Tropfen::N,kap,æртах
107,Tropfen::N,kaplja,æртах
108,Schaum::N,pjena,фынк
109,Schmutz::N,nečistoća,цъыф
110,Schmutz::N,prljavština,цъыф
111,See::N,jezero,цад
112,Sumpf::N,bara,цъыфдзаст
113,Moor::N,močvara,цъыфдзаст
114,Wiese::N,livada,уыгӕрдӕн
115,Wald::N,šuma,хъӕд
116,Hügel::N,brijeg,обау
117,Hügel::N,brijeg,къуыбыр
118,Hügel::N,brežuljak,обау
119,Hügel::N,brežuljak,къуыбыр
120,Anhöhe::N,uzvišica,уæлвæз
121,Anhöhe::N,uzvišica,уæлхох
122,Berg::N,brdo,хох
123,Gipfel::N,vrh,цъупп
124,Höhle::N,pećina,лӕгӕт
125,Höhle::N,spilja,лӕгӕт
126,Abhang::N,obronak,къул
127,Abhang::N,nizbrdica,къул
128,Quelle::N,izvor,суадон
129,Quelle::N,vrelo,суадон
130,Bach::N,potok,мӕсчъыдон
131,Fluss::N,rijeka,дон
132,Fluss::N,rijeka,цӕугӕдон
133,Ufer::N,obala,был
134,Küste::N,obala,донбыл
135,Küste::N,morska obala,донбыл
136,Festland::N,kopno,сурзæхх
137,Meer::N,more,денджыз
138,Bucht::N,zaliv,донбакæлæн
139,Insel::N,ada,сакъадах
140,Insel::N,otok,сакъадах
141,Blume::N,cvijet,дидинӕг
142,Gras::N,trava,кӕрдӕг
143,Wurzel::N,korijen,уидаг
144,Baum::N,drvo,бӕлас
145,Baum::N,stablo,бӕлас
146,Stamm::N,deblo,хӕтӕл
147,Stamm::N,stablo,хӕтӕл
148,Rinde::N,kora,цъар
149,Ast::N,grana,арх
150,Zweig::N,grana,къалиу
151,Blatt::N,list,сыф
152,Birke::N,breza,бæрз
153,Kiefer[Baum]::N,bor,нӕзы
154,Weide[Baum]::N,iva,хӕрис
155,Weide[Baum]::N,vŕba,хӕрис
156,Tanne::N,jela,наз
157,Horn::N,rog,сыкъа
158,Feder::N,pero,сис
159,Fell::N,koža,царм
160,Flügel::N,krilo,базыр
161,Klaue::N,papak,ных
162,Kralle::N,pandža,дзӕмбы
163,Schwanz::N,rep,къӕдзил
164,Ei::N,jaje,айк
165,Nest::N,gnijezdo,ахстон
166,Bau::N,jazbina,хуынкъ
167,Tier::N,životinja,сырд
168,Tier::N,životinja,цӕрӕгой
169,Herde::N,krdo,дзуг
170,Herde::N,krdo,рӕгъау
171,Herde::N,stado,дзуг
172,Herde::N,stado,рӕгъау
173,Kuh::N,krava,хъуг
174,Bulle::N,bik,гал
175,Pferd::N,konj,бӕх
176,Schaf::N,ovca,фыс
177,Schwein::N,svinja,хуы
178,Hund::N,pas,куыдз
179,Hund::N,pseto,куыдз
180,Katze::N,mačka,гӕды
181,Bär::N,medvjed,арс
182,Eichhörnchen::N,vjeverica,æхсæрæг
183,Elch::N,los,цæгатаг саг
184,Fuchs::N,lisica,рувас
185,Hase::N,zec,тæрхъус
186,Maus::N,miš,мыст
187,Wolf::N,vuk,бирӕгъ
188,Wolf::N,kurjak,бирӕгъ
189,Vogel::N,ptica,цъиу
190,Vogel::N,ptica,маргъ
191,Schwarm::N,roj,бал
192,Schwarm::N,jato,бал
193,Huhn::N,kokoš,карк
194,Hahn::N,kokot,уасӕг
195,Hahn::N,pijevac,уасӕг
196,Gans::N,guska,хъаз
197,Adler::N,orao,цӕргӕс
198,Ente::N,patka,ацц
199,Eule::N,sova, уыг
200,Eule::N,sova,сидахъ
201,Kranich::N,ždral,зырнæг
202,Kranich::N,ždral,хърихъупп
203,Krähe::N,vrana,халон
204,Kuckuck::N,kukavica,гаккук
205,Schwan::N,labud,доныхъаз
206,Fisch::N,riba,кӕсаг
207,Barsch::N,grgeč,окунь
208,Hecht::N,štuka,хихор кӕсаг
209,Schlange[Tier]::N,guja,калм
210,Schlange[Tier]::N,zmija,калм
211,Wurm::N,crv,зулкъ
212,Wurm::N,crv,къуыдыргалм
213,Spinne::N,pauk,хӕлуарӕг
214,Ameise::N,mrav,мæлдзыг
215,Laus::N,uš,сыст
216,Mücke::N,komarac,къогъо
217,Fliege::N,muha,бындз
218,Schmetterling::N,leptir,гæлæбу
219,Beere::N,boba,гагадыргъ
220,Beere::N,bobica,гагадыргъ
221,Apfel::N,jabuka,фӕткъуы
222,Pilz::N,pečurka,зокъо
223,Pilz::N,pečurka,къозо
224,Zwiebel::N,luk,хъӕдындз
225,Zwiebel::N,kapula,хъӕдындз
226,Saat::N,sjemenje,тауинаг
227,Saat::N,sjemenje,мыггаг
228,Korn::N,zrno,мыггаг
229,Korn::N,zrno,тауинаг
230,Heu::N,sijeno,хос
231,Schale::N,kora,цъар
232,Schale::N,ljuska,цъар
233,Grube::N,jama,урм
234,Grube::N,jama,къахт
235,Grube::N,jama,дзыхъхъ
236,Falle::N,zamka,цъысым
237,Falle::N,zamka,къӕппӕг
238,Falle::N,klopka,цъысым
239,Falle::N,klopka,къӕппӕг
240,Schlinge::N,uzao,цасм
241,Schlinge::N,petlja,цасм
242,Spur::N,trag,фæд
243,Spur::N,slijed,фæд
244,Asche::N,pepeo,фӕнык
245,Asche::N,pepeo,ӕртхутӕг
246,Dreck::N,blato,цъыф
247,Eisen::N,željezo,ӕфсӕйнаг
248,Gold::N,zlato,сыгъзӕрин
249,Silber::N,srebro,ӕвзист
250,Kohle::N,ugalj,ӕвзалы
251,Kohle::N,ugljen,ӕвзалы
252,Glas::N,staklo,авг
253,Lehm::N,glina,ӕлыг
254,Lehm::N,ilovača,ӕлыг
255,Sand::N,pijesak,змис
256,Mensch::N,čovjek,лӕг
257,Mensch::N,čovjek,адӕймаг
258,Mensch::N,čovjek,удгоймаг
259,Mann::N,muškarac,лӕг
260,Mann::N,muškarac,нӕлгоймаг
261,Frau::N,žena,сылгоймаг
262,Kind::N,čedo,сывӕллон
263,Kind::N,dijete,сывӕллон
264,Junge::N,momče,лӕппу
265,Junge::N,dječak,лӕппу
266,Mädchen::N,djevojka,чызг
267,Mädchen::N,djevojčica,чызг
268,Familie::N,obitelj,бинонтæ
269,Familie::N,porodica,бинонтæ
270,Großvater::N,djed,фыдыфыд
271,Großvater::N,djed,мадыфыд
272,Großmutter::N,baka,фыды мад
273,Großmutter::N,baka,мады мад
274,Eltern::N,roditelji,ныййарджытæ
275,Vater::N,otac,фыд
276,Mutter::N,majka,мад
277,Sohn::N,sin,фырт
278,Tochter::N,kći,чызг
279,Tochter::N,kćerka,чызг
280,Bruder::N,brat,ӕфсымӕр
281,Schwester::N,sestra,хо
282,Onkel::N,čika,фыдыфсымӕр
283,Onkel::N,ujak,фыдыфсымӕр
284,Tante::N,ujna,мадыхо
285,Tante::N,tetka,мадыхо
286,Ehemann::N,muž,мой
287,Ehemann::N,suprug,мой
288,Ehefrau::N,žena,ус
289,Ehefrau::N,supruga,ус
290,Freude::N,radost,цин
291,Freude::N,radost,циндзинад
292,Gelächter::N,grohot,худын
293,Gelächter::N,grohot,худт
294,Gelächter::N,grohot,худæг
295,Glück::N,sreća,амонд
296,Kummer::N,jad,хъыг
297,Kummer::N,briga,хъыг
298,Wunsch::N,želja,бӕллиц
299,Lust::N,volja,монц
300,Geist::N,duh,уд
301,Gedanke::N,misao,хъуыды
302,Gedächtnis::N,pamćenje,мысæн
303,Gedächtnis::N,pamćenje,мысын
304,Gedächtnis::N,pamćenje,зæрдылдарын
305,Verstand::N,um,зонд
306,Verstand::N,razum,зонд
307,Sinn::N,smisao,нысаниуæг
308,Sinn::N,značenje,нысаниуæг
309,Grund::N,razlog,ӕфсон
310,Wahrheit::N,istina,æцæг
311,Gespräch::N,razgovor,ныхас
312,Märchen::N,bajka,аргъау
313,Erzählung::N,priča,радзырд
314,Erzählung::N,pripovijest,радзырд
315,Nachricht::N,vijest,уац
316,Neuigkeit::N,novost,хабар
317,Name::N,ime,ном
318,Rätsel::N,zagonetka,уыци-уыци
319,Rätsel::N,zagonetka,базон-базон
320,Rede::N,govor,раныхас
321,Rede::N,besjeda,раныхас
322,Sprache::N,jezik,ӕвзаг
323,Stimme::N,glas,хъӕлӕс
324,Wort::N,riječ,дзырд
325,Zeichen::N,znak,нысан
326,Ruf::N,povik,сидт
327,Ruf::N,poklik,сидт
328,Lärm::N,buka,уынæр
329,Lärm::N,galama,уынæр
330,Laut::N,zvuk,зӕл
331,Laut::N,zvuk,мыр
332,Ton::N,ton,мыр
333,Lied::N,pjesma,зарӕг
334,Ruhe::N,tišina,æнцой
335,Ruhe::N,počinak,æнцой
336,Leute::N,ljudi,адӕм
337,Volk::N,puk,адӕм
338,Volk::N,narod,адӕм
339,Arbeit::N,rad,фӕллой
340,Arbeit::N,posao,фӕллой
341,Gast::N,gost,уазӕг
342,Geschenk::N,dar,хуын
343,Geschenk::N,poklon,хуын
344,Spiel::N,igra,хъазт
345,Gesellschaft::N,društvo,дзыллæ
346,Gesellschaft::N,društvo,æхсæнад
347,Gesellschaft::N,kompanija,дзыллæ
348,Gesellschaft::N,kompanija,æхсæнад
349,Hilfe::N,pomoć,æххуыс
350,Hilfe::N,pomoć,ахъаз
351,Freund::N,prijatelj,лымӕн
352,Kamerad::N,drug,ӕмбал
353,Kamerad::N,drugar,ӕмбал
354,Angelegenheit::N,posao,хъуыддаг
355,Anzahl::N,broj,бӕрц
356,Anzahl::N,brojnost,бӕрц
357,Art::N,vid,хуыз
358,Art::N,vid,хуызад
359,Art::N,vrst,хуыз
360,Art::N,vrst,хуызад
361,Stück::N,komad,кæрдих
362,Stück::N,komad,комдзаг
363,Teil::N,dio,хай
364,Hälfte::N,polovina,æрдæг
365,Hälfte::N,polovina,æмбис
366,Kreis::N,krug,зиллакк
367,Kreuz::N,križ,дзуар
368,Linie::N,crta,хахх
369,Strich::N,crta,хахх
370,Abstand::N,razmak,æхсæнуат
371,Abstand::N,odstojanje,æхсæнуат
372,Entfernung::N,udaljenost,дæрддзæг
373,Entfernung::N,udaljenost,дардцæг
374,Gegend::N,kraj,ран
375,Gegend::N,predeo,ран
